iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,100.0,nan,205,0,1422.505165433756,nan,1.0,-0.018522007565327035,-0.018522007565327035,1.018522007565327
1,1000000,108.84462151394422,206.38297872340425,251,376,1397.109973469805,1060.9317973701213,0.8020002475,-0.01724015978290349,-0.01724015978290349,1.0172401597829035
2,2000000,78.02281368821293,288.586387434555,263,382,1452.0509853496112,1026.458322895712,0.5545002475,-0.021707153192334253,-0.021707153192334253,1.0217071531923343
3,3000000,241.7898832684825,366.4810126582278,257,395,1454.701885581475,1042.0648326009034,0.3070002475,0.0020275486990365783,0.0020275486990365783,0.9979724513009635
4,4000000,415.7837837837838,449.9519230769231,185,416,1445.3311609289995,1003.7656692540738,0.05950024749999997,0.02724442148201913,0.02724442148201913,0.9727555785179809
5,5000000,441.0144927536232,484.73809523809524,207,420,1427.8737660958525,1008.611169331383,0.01,0.0309010989657275,0.0309010989657275,0.9690989010342725
6,6000000,506.5979381443299,560.3990024937656,194,401,1439.2320901117657,1011.4040964759025,0.01,0.04040608387720545,0.04040608387720545,0.9595939161227945
7,7000000,506.8888888888889,602.03125,180,384,1451.4410435112902,986.8920533136254,0.01,0.040448251262900754,0.040448251262900754,0.9595517487370993
8,8000000,534.8497854077253,639.2753623188406,233,414,1421.877394095956,985.0426405857969,0.01,0.044500613836102744,0.044500613836102744,0.9554993861638973
9,9000000,768.1904761904761,636.0143198090692,210,419,1410.8313513447567,984.3063517341174,0.01,0.07831859536956713,0.07831859536956713,0.9216814046304329
10,10000000,725.989847715736,646.6997518610422,197,403,1432.9457938235348,1007.8044505386332,0.01,0.07220247361784027,0.07220247361784027,0.9277975263821597
11,11000000,672.1658986175115,701.4215686274509,217,408,1427.9078776387955,1007.7149802349098,0.01,0.06440178823135286,0.06440178823135286,0.9355982117686471
12,12000000,644.0566037735849,706.5871121718377,212,419,1424.2871607546099,1004.8566193775245,0.01,0.06032791834281438,0.06032791834281438,0.9396720816571856
13,13000000,850.5347593582887,762.5263157894736,187,380,1437.713323123559,1010.7673747426961,0.01,0.09025272241022171,0.09025272241022171,0.9097472775897782
14,14000000,698.804347826087,782.3711340206186,184,388,1441.6786372128747,1010.8840702246197,0.01,0.06826248899637488,0.06826248899637488,0.9317375110036251
15,15000000,1034.9367088607594,815.5524861878453,158,362,1454.3679571547873,1015.3556695964407,0.01,0.11697802995126878,0.11697802995126878,0.8830219700487312
16,16000000,834.4378698224853,878.6486486486486,169,333,1535.4546063367802,1022.7968999103402,0.01,0.08791980605841901,0.08791980605841901,0.912080193941581
17,17000000,730.4145077720207,868.5975609756098,193,328,1527.3457619836383,1024.4366553585883,0.01,0.07284373799214781,0.07284373799214781,0.9271562620078522
18,18000000,1077.5555555555557,919.6153846153846,135,312,1526.7446674260732,1023.0710564643035,0.01,0.12315476391767355,0.12315476391767355,0.8768452360823265
19,19000000,924.3537414965987,944.516129032258,147,310,1513.7003800216714,1022.5990550508875,0.01,0.1009512806702414,0.1009512806702414,0.8990487193297586
20,20000000,1357.5675675675675,1046.5202702702702,148,296,1493.041885008059,1025.5212630664535,0.01,0.16373680307940225,0.16373680307940225,0.8362631969205978
21,21000000,977.8378378378378,1150.886524822695,148,282,1482.2794471744455,1022.9821691419492,0.01,0.10870271132014055,0.10870271132014055,0.8912972886798595
22,22000000,1140.8695652173913,1112.048611111111,138,288,1482.3091654994425,1023.3342203212565,0.01,0.1323308403335398,0.1323308403335398,0.8676691596664602
23,23000000,974.6564885496183,1157.3234200743495,131,269,1466.6627648286658,1020.7250152330456,0.01,0.10824163952370588,0.10824163952370588,0.8917583604762941
24,24000000,1005.3061224489796,1184.6007604562737,147,263,1450.07719397788,1018.9034954386651,0.01,0.11268367982854528,0.11268367982854528,0.8873163201714547
25,25000000,1088.7407407407406,1174.6946564885495,135,262,1457.7570234508069,1022.1798689938694,0.01,0.1247758287425529,0.1247758287425529,0.8752241712574471
26,26000000,1165.0,1208.953488372093,130,258,1454.2663261993862,1024.0670596143896,0.01,0.13582805547906493,0.13582805547906493,0.864171944520935
27,27000000,1333.9473684210527,1323.8866396761134,114,247,1439.7555157160975,1026.1622764823508,0.01,0.16031353619922795,0.16031353619922795,0.839686463800772
28,28000000,1277.622950819672,1279.1769547325102,122,243,1444.6765442579438,1029.4214885452586,0.01,0.15215045882109482,0.15215045882109482,0.8478495411789052
29,29000000,1003.5,1322.905982905983,120,234,1447.7189345470094,1029.2470815556064,0.01,0.11242191915824869,0.11242191915824869,0.8875780808417513
30,30000000,1625.7142857142858,1382.304347826087,105,230,1445.5214168371674,1031.5793094633723,0.01,0.20259920951235322,0.20259920951235322,0.7974007904876468
31,31000000,1063.5036496350365,1425.982142857143,137,224,1431.1766913966667,1031.8362438523616,0.01,0.12111822629821252,0.12111822629821252,0.8788817737017874
32,32000000,1415.701754385965,1477.9816513761468,114,218,1428.8796550635034,1019.8387500888866,0.01,0.1721621696525986,0.1721621696525986,0.8278378303474014
33,33000000,1174.5081967213114,1510.5882352941176,122,221,1503.4478675490864,1024.0358570129936,0.01,0.13720607497518972,0.13720607497518972,0.8627939250248102
34,34000000,1577.4074074074074,1420.8636363636363,108,220,1428.973149485191,1030.077274548199,0.01,0.1955981111910908,0.1955981111910908,0.8044018888089092
35,35000000,1445.0,1606.4928909952607,118,211,1490.8672180696908,1033.450294940094,0.01,0.17640835374425717,0.17640835374425717,0.8235916462557429
36,36000000,1535.0,1646.7906976744187,126,215,1447.2708290774237,1032.463670840633,0.01,0.18945202104378325,0.18945202104378325,0.8105479789562168
37,37000000,1704.0625,1729.9019607843138,96,204,1459.495084475174,1044.4089406513867,0.01,0.21395418774185135,0.21395418774185135,0.7860458122581486
38,38000000,1785.4347826086957,1685.5172413793102,92,203,1536.1863062904943,1046.8548640046279,0.01,0.22574744309463846,0.22574744309463846,0.7742525569053615
39,39000000,1820.7070707070707,1703.7558685446008,99,213,1548.1979027298737,1042.346332977474,0.01,0.2308594429929522,0.2308594429929522,0.7691405570070478
40,40000000,3007.340425531915,1806.813725490196,94,204,1564.0780925301708,1039.2132079231358,0.01,0.40283778395801606,0.40283778395801606,0.5971622160419839
41,41000000,2016.1458333333333,1843.623188405797,96,207,1491.939669323036,1037.2922103592844,0.01,0.2591843118499302,0.2591843118499302,0.7408156881500698
42,42000000,2082.7368421052633,1850.1005025125628,95,199,1476.3591299295604,1036.1249776487223,0.01,0.2688353225561622,0.2688353225561622,0.7311646774438378
43,43000000,1868.3157894736842,1934.2131979695432,95,197,1484.6923590088481,1035.8293194347232,0.01,0.2377593573057123,0.2377593573057123,0.7622406426942877
44,44000000,2426.543209876543,1892.923076923077,81,195,1479.5681713381807,1031.757858568619,0.01,0.31866305451912974,0.31866305451912974,0.6813369454808702
45,45000000,2053.5576923076924,1807.9126213592233,104,206,1480.5612786312502,1027.0779375114196,0.01,0.26460639897791166,0.26460639897791166,0.7353936010220883
46,46000000,1489.8148148148148,1989.010989010989,108,182,1549.3669725977036,1027.9141643977052,0.01,0.18290334857241625,0.18290334857241625,0.8170966514275837
47,47000000,2145.9139784946237,1963.7305699481865,93,193,1510.228210373811,1002.3607905826916,0.01,0.27799156197838,0.27799156197838,0.7220084380216201
48,48000000,1864.0816326530612,1885.1052631578948,98,190,1494.6334083654972,1012.8245279504102,0.01,0.237145702496132,0.237145702496132,0.762854297503868
49,49000000,1704.952380952381,1899.3048128342245,105,187,1500.051511272359,1015.4497137253649,0.01,0.21408315786495183,0.21408315786495183,0.7859168421350482
50,50000000,2079.3406593406594,1898.8442211055276,91,199,1491.1618145726786,1026.6453766288048,0.01,0.26834311502205244,0.26834311502205244,0.7316568849779476
51,51000000,2383.5365853658536,2176.4044943820227,82,178,1521.5148182382395,1035.4397787561409,0.01,0.3124301200547622,0.3124301200547622,0.6875698799452379
52,52000000,2156.923076923077,2239.6067415730336,91,178,1532.066822716864,1034.4544804869079,0.01,0.2795871066135853,0.2795871066135853,0.7204128933864147
53,53000000,2088.6813186813188,2047.7900552486187,91,181,1592.7086728778856,1035.1455643333275,0.01,0.2696968533864721,0.2696968533864721,0.7303031466135279
54,54000000,2689.178082191781,2058.720930232558,73,172,1590.155349402073,1031.5484565753377,0.01,0.35672663113839054,0.35672663113839054,0.6432733688616095
55,55000000,2282.906976744186,2135.9281437125746,86,167,1599.609921551041,1033.1205213283808,0.01,0.2978459074398449,0.2978459074398449,0.702154092560155
56,56000000,2171.6279069767443,2264.152046783626,86,171,1550.5515333279848,1031.7235769087322,0.01,0.28171827229043095,0.28171827229043095,0.718281727709569
57,57000000,2382.2988505747126,2293.952095808383,87,167,1551.0592288472772,1032.9882933935705,0.01,0.3122507356011989,0.3122507356011989,0.687749264398801
58,58000000,2382.8395061728397,2199.0588235294117,81,170,1520.5844796439867,997.0046273035824,0.01,0.31232909262059444,0.31232909262059444,0.6876709073794056
59,59000000,2612.5641025641025,2276.176470588235,78,170,1553.8510026262322,1032.6246866799224,0.01,0.34562299490776716,0.34562299490776716,0.6543770050922328
60,60000000,2072.6436781609195,2387.710843373494,87,166,1480.186267074862,1024.858023204674,0.01,0.2673725239729445,0.2673725239729445,0.7326274760270555
61,61000000,2542.7272727272725,2248.214285714286,77,168,1530.6735359822746,977.1483886876845,0.01,0.33550156853393126,0.33550156853393126,0.6644984314660687
62,62000000,1696.6666666666667,2310.5389221556884,105,167,1561.7844032908436,995.6618454637538,0.01,0.2128823123040431,0.2128823123040431,0.7871176876959569
63,63000000,2976.849315068493,2333.3333333333335,73,165,1524.0208855784217,1033.730880011616,0.01,0.39841871839714965,0.39841871839714965,0.6015812816028503
64,64000000,2405.2380952380954,2438.282208588957,84,163,1538.0610846135162,1033.8913741162128,0.01,0.31557531199555,0.31557531199555,0.68442468800445
65,65000000,2902.5373134328356,2364.5061728395062,67,162,1534.6958704003619,1037.6736651726608,0.01,0.3876487070005124,0.3876487070005124,0.6123512929994877
66,66000000,1896.7441860465117,2336.1490683229813,86,161,1535.4303515399934,1042.0939277605787,0.01,0.2418794744918784,0.2418794744918784,0.7581205255081216
67,67000000,2040.0,2468.6184210526317,83,152,1531.3861113144117,1043.2224210280656,0.01,0.2626414875577907,0.2626414875577907,0.7373585124422093
68,68000000,2645.128205128205,2474.7096774193546,78,155,1512.748303374342,1039.1234569791484,0.01,0.3503424984605871,0.3503424984605871,0.6496575015394128
69,69000000,3014.788732394366,2570.6,71,150,1484.806572418613,1036.7047934359261,0.01,0.4039172643653337,0.4039172643653337,0.5960827356346663
70,70000000,2538.846153846154,2543.7162162162163,78,148,1557.8656143763117,1045.871908494083,0.01,0.33493907938465106,0.33493907938465106,0.6650609206153489
71,71000000,2110.375,2645.9310344827586,80,145,1522.6870331852483,1048.7829941397563,0.01,0.2728409107378368,0.2728409107378368,0.7271590892621632
72,72000000,1961.5625,2696.6666666666665,96,144,1557.1194662212556,1025.5134023493097,0.01,0.2512735691821621,0.2512735691821621,0.7487264308178379
73,73000000,2289.8684210526317,2446.496815286624,76,157,1504.8711077567216,1045.3651401311406,0.01,0.29885482703410654,0.29885482703410654,0.7011451729658935
74,74000000,3094.2028985507245,2698.472222222222,69,144,1561.9575463090707,1048.6259989360346,0.01,0.41542673061214286,0.41542673061214286,0.5845732693878571
75,75000000,2722.0289855072465,2607.2297297297296,69,148,1515.4817079985721,1050.1512574309083,0.01,0.36148770061989977,0.36148770061989977,0.6385122993801002
76,76000000,2880.8695652173915,2793.6619718309857,69,142,1508.2550213607649,1051.1125988692638,0.01,0.38450840812437737,0.38450840812437737,0.6154915918756226
77,77000000,3116.0,2904.927536231884,65,138,1485.7508379983865,1061.4266331068252,0.01,0.41858577660545804,0.41858577660545804,0.581414223394542
78,78000000,2170.1369863013697,2715.27397260274,73,146,1548.676842645396,1060.065586640578,0.01,0.2815021936986579,0.2815021936986579,0.7184978063013421
79,79000000,3020.0,3004.3971631205673,78,141,1469.8243955513906,1047.1904515704296,0.01,0.40467253148596355,0.40467253148596355,0.5953274685140364
80,80000000,3073.75,2831.2080536912754,80,149,1498.8627988923697,1006.6174253703309,0.01,0.41246249945651386,0.41246249945651386,0.5875375005434862
81,81000000,2421.492537313433,2919.4594594594596,67,148,1496.2359267395393,1002.2696493268787,0.01,0.31793106237966245,0.31793106237966245,0.6820689376203375
82,82000000,3431.5873015873017,2883.5810810810813,63,148,1492.109918803593,1054.1995418936287,0.01,0.4643237295594576,0.4643237295594576,0.5356762704405424
83,83000000,3082.9411764705883,2824.6853146853146,68,143,1463.5840335973917,1063.518942621181,0.01,0.41379457332288705,0.41379457332288705,0.586205426677113
84,84000000,3300.0,2831.0135135135133,63,148,1490.1430189177142,1055.0494050013249,0.01,0.4452528297511558,0.4452528297511558,0.5547471702488442
85,85000000,2992.0,2979.230769230769,70,143,1483.470594280608,1055.8756706180702,0.01,0.40061450165944434,0.40061450165944434,0.5993854983405557
86,86000000,3452.8125,3118.0434782608695,64,138,1477.0573629693915,1058.9470873048201,0.01,0.46739988985347614,0.46739988985347614,0.5326001101465239
87,87000000,3259.1176470588234,3324.153846153846,68,130,1489.6667888749016,1059.2919002810763,0.01,0.43932776519352795,0.43932776519352795,0.5606722348064721
88,88000000,3439.5588235294117,3252.246376811594,68,138,1491.360777753262,1064.6027001096897,0.01,0.46547903933816603,0.46547903933816603,0.534520960661834
89,89000000,3330.8928571428573,3325.769230769231,56,130,1524.2568961607067,1057.5598901018566,0.01,0.4497301203123027,0.4497301203123027,0.5502698796876972
90,90000000,2215.8536585365855,3201.5671641791046,82,134,1471.6788549750172,1063.7526489991264,0.01,0.28812789439507613,0.28812789439507613,0.7118721056049239
91,91000000,3134.090909090909,3362.015503875969,66,129,1483.5589350325665,1058.9105821599674,0.01,0.4212076854868779,0.4212076854868779,0.5787923145131221
92,92000000,3512.769230769231,3468.951612903226,65,124,1497.8513753579734,1056.7620895134253,0.01,0.47608939705926623,0.47608939705926623,0.5239106029407338
93,93000000,3333.548387096774,3276.222222222222,62,135,1507.3507807738226,1062.287749812766,0.01,0.45011498530366734,0.45011498530366734,0.5498850146963327
94,94000000,3712.7868852459014,3300.230769230769,61,130,1505.8514927754236,1062.0817892109962,0.01,0.5050778830484357,0.5050778830484357,0.4949221169515643
95,95000000,4159.482758620689,3555.0793650793653,58,126,1502.9341864045932,1054.3438947330808,0.01,0.5698173536747908,0.5698173536747908,0.4301826463252092
96,96000000,3094.0298507462685,3676.2096774193546,67,124,1495.8085544703456,1058.819929388762,0.01,0.415401650856718,0.415401650856718,0.584598349143282
97,97000000,3750.0,3734.5833333333335,57,120,1497.4950069447186,1057.0519498340586,0.01,0.5104711662487862,0.5104711662487862,0.4895288337512138
98,98000000,3972.0689655172414,3491.2096774193546,58,124,1521.8246511124853,1054.3753320844494,0.01,0.5426555407349731,0.5426555407349731,0.45734445926502687
99,99000000,2549.8684210526317,3464.4961240310076,76,129,1530.5257562370202,1052.182773040304,0.01,0.33653653256607075,0.33653653256607075,0.6634634674339293
100,100000000,3976.9811320754716,3687.3949579831933,53,119,1546.5205169517087,1049.4107166409995,0.01,0.5433674592494777,0.5433674592494777,0.4566325407505223
101,101000000,3622.878787878788,3660.508474576271,66,118,1520.1708024251893,1047.916653943451,0.01,0.4920475351641021,0.4920475351641021,0.507952464835898
102,102000000,3840.1724137931033,3716.7796610169494,58,118,1542.7285620111982,1046.9763036551703,0.01,0.5235398214167022,0.5235398214167022,0.4764601785832978
103,103000000,4183.9682539682535,3948.9565217391305,63,115,1532.9898482255362,1041.106747672651,0.01,0.5733660276189877,0.5733660276189877,0.4266339723810123
104,104000000,3176.1643835616437,3748.5,73,120,1540.450773436927,1041.848939534313,0.01,0.42730537885500425,0.42730537885500425,0.5726946211449957
105,105000000,4021.206896551724,3488.6614173228345,58,127,1545.8560154735515,1040.4266183653901,0.01,0.5497770832260938,0.5497770832260938,0.45022291677390625
106,106000000,4492.307692307692,3171.9847328244273,52,131,1551.8421814787373,1037.4169685778952,0.01,0.618053550385903,0.618053550385903,0.38194644961409696
107,107000000,4373.207547169812,3805.2136752136753,53,117,1577.331521628404,1038.2746071517404,0.01,0.6007924096247499,0.6007924096247499,0.3992075903752501
108,108000000,4527.884615384615,3684.9180327868853,52,122,1550.4488144742108,1041.8478846556447,0.01,0.623209700920972,0.623209700920972,0.37679029907902795
109,109000000,2494.1176470588234,3973.9823008849557,85,113,1577.2637599152172,1044.2759247054132,0.01,0.32845659314755626,0.32845659314755626,0.6715434068524437
110,110000000,4609.4915254237285,3619.9212598425197,59,127,1559.5318227444886,1043.3765219747138,0.01,0.6350369607420004,0.6350369607420004,0.36496303925799956
111,111000000,3854.915254237288,3964.2241379310344,59,116,1568.1410613191351,1041.3828658405434,0.01,0.5256764959256349,0.5256764959256349,0.4743235040743651
112,112000000,3738.9473684210525,4063.4188034188032,57,117,1569.4209184340325,1039.4150030272976,0.01,0.5088693123698971,0.5088693123698971,0.4911306876301029
113,113000000,5506.521739130435,3706.1344537815125,46,119,1589.4964039106087,1036.6942866852544,0.01,0.7650432236888122,0.7650432236888122,0.23495677631118783
114,114000000,4234.081632653061,4093.157894736842,49,114,1565.6979651509423,1040.481841990173,0.01,0.5806289413836521,0.5806289413836521,0.41937105861634794
115,115000000,4884.68085106383,4571.470588235294,47,102,1565.849035396639,1011.2795328355688,0.01,0.6749200497201163,0.6749200497201163,0.3250799502798837
116,116000000,5431.086956521739,4596.923076923077,46,104,1566.2392579590253,1033.891159281379,0.01,0.7541104880537021,0.7541104880537021,0.24588951194629793
117,117000000,3588.813559322034,4097.652173913043,59,115,1578.9907823322167,1037.668243306325,0.01,0.48711047396658413,0.48711047396658413,0.5128895260334159
118,118000000,4185.892857142857,4624.770642201835,56,109,1573.0343576923772,1038.5045671227422,0.01,0.5736449596578004,0.5736449596578004,0.4263550403421996
119,119000000,3667.6785714285716,4154.444444444444,56,108,1561.581352024332,1041.6761854765023,0.01,0.49854035151648163,0.49854035151648163,0.5014596484835183
120,120000000,5338.04347826087,4776.530612244898,46,98,1573.4271566095692,1040.4177019323558,0.01,0.7406257305556414,0.7406257305556414,0.2593742694443586
121,121000000,3957.4576271186443,4698.857142857143,59,105,1574.971321283998,1036.999125236725,0.01,0.5405379247697277,0.5405379247697277,0.45946207523027227
122,122000000,5283.8,5035.353535353535,50,99,1567.7697676448167,1039.540990690811,0.01,0.7327642429600429,0.7327642429600429,0.26723575703995706
