iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,2.0,nan,208,0,930.1272223166137,nan,1.0,-0.0022174242866312656,-0.0022174242866312656,1.0022174242866313
1,1000000,1.5,2.173120728929385,160,439,867.1769948888788,570.2006739732217,0.8020002475,-0.0025091906401353793,-0.0025091906401353793,1.0025091906401353
2,2000000,0.995,9.254901960784315,200,408,860.5274022749145,526.4020762251117,0.5545002475,-0.0028038746571745344,-0.0028038746571745344,1.0028038746571746
3,3000000,32.01219512195122,36.79213483146067,164,356,869.3133824310952,527.4010886380639,0.3070002475,0.01529567317614006,0.01529567317614006,0.9847043268238599
4,4000000,66.18589743589743,49.013888888888886,156,360,1070.3443002692782,598.2375662177402,0.05950024749999997,0.03523714619589043,0.03523714619589043,0.9647628538041095
5,5000000,38.479166666666664,60.93181818181818,144,308,1080.5504953294649,654.6019004598597,0.01,0.019069362587773045,0.019069362587773045,0.980930637412227
6,6000000,76.05960264900662,63.39867109634552,151,301,1076.8282019134265,651.77167497035,0.01,0.040998776127097285,0.040998776127097285,0.9590012238729028
7,7000000,101.46710526315789,79.19928825622776,152,281,1088.3413769757838,652.8151434798535,0.01,0.0558248849058516,0.0558248849058516,0.9441751150941484
8,8000000,50.65972222222222,78.67910447761194,144,268,1089.6821083550067,661.4673011859372,0.01,0.026177115143970486,0.026177115143970486,0.9738228848560295
9,9000000,119.28888888888889,104.84937238493724,90,239,1099.6762589679697,661.4475603851272,0.01,0.06622447854868932,0.06622447854868932,0.9337755214513107
10,10000000,138.2982456140351,130.53488372093022,114,215,1103.2056146649927,663.5209755568417,0.01,0.07731705993699894,0.07731705993699894,0.922682940063001
11,11000000,147.38,136.73394495412845,100,218,1099.4315656766057,663.7196428338781,0.01,0.08261656065822488,0.08261656065822488,0.9173834393417751
12,12000000,125.89542483660131,146.7549019607843,153,204,1111.1601041824183,673.6147927365447,0.01,0.07007960835420511,0.07007960835420511,0.9299203916457949
13,13000000,185.27358490566039,160.9,106,190,1101.1457641519792,671.1478463433169,0.01,0.10472870683647101,0.10472870683647101,0.8952712931635289
14,14000000,152.375,166.63934426229508,104,183,1110.6180400080539,673.8775907076163,0.01,0.08553130652973098,0.08553130652973098,0.914468693470269
15,15000000,138.40776699029126,170.98387096774192,103,186,1113.2866899414287,677.2792322562283,0.01,0.07738096924216097,0.07738096924216097,0.922619030757839
16,16000000,200.7948717948718,173.01666666666668,78,180,1095.1028894775834,678.8116027695861,0.01,0.11378588539118385,0.11378588539118385,0.8862141146088162
17,17000000,191.60526315789474,189.71604938271605,76,162,1110.8177371461152,672.6603934501896,0.01,0.10842344818690244,0.10842344818690244,0.8915765518130976
18,18000000,236.42028985507247,211.09803921568627,69,153,1102.3372912423106,677.4113775035239,0.01,0.13457448203015257,0.13457448203015257,0.8654255179698475
19,19000000,180.53521126760563,198.61688311688312,71,154,1083.2655501829756,678.2055295562985,0.01,0.1019637108406405,0.1019637108406405,0.8980362891593595
20,20000000,201.40243902439025,215.04,82,150,1079.6727261431195,680.766322656255,0.01,0.11414042074131425,0.11414042074131425,0.8858595792586857
21,21000000,237.33333333333334,218.86075949367088,54,158,1057.8019262738221,687.1731957432183,0.01,0.13510727276263834,0.13510727276263834,0.8648927272373617
22,22000000,255.14473684210526,226.3375796178344,76,157,1076.799723070228,689.0174328215758,0.01,0.14550080926772788,0.14550080926772788,0.8544991907322721
23,23000000,192.73239436619718,236.7290322580645,71,155,1086.5769569899542,683.9506591659364,0.01,0.10908116611203662,0.10908116611203662,0.8909188338879633
24,24000000,223.6931818181818,252.22222222222223,88,162,1077.5354290566197,696.8679465971236,0.01,0.12714779822499958,0.12714779822499958,0.8728522017750004
25,25000000,263.19444444444446,273.51973684210526,72,152,1098.3267352231414,706.5016823212939,0.01,0.15019807693554557,0.15019807693554557,0.8498019230644545
26,26000000,282.0759493670886,266.5705128205128,79,156,1105.6057430850674,710.4082451792168,0.01,0.16121605261544528,0.16121605261544528,0.8387839473845548
27,27000000,300.8181818181818,248.20118343195267,77,169,1088.9562421799203,708.678495207153,0.01,0.17215275825300916,0.17215275825300916,0.8278472417469909
28,28000000,265.2,240.23121387283237,85,173,1091.6660259672663,709.4271446711726,0.01,0.15136838419793427,0.15136838419793427,0.8486316158020657
29,29000000,304.9718309859155,265.22222222222223,71,162,1089.9278329364352,701.3025684794501,0.01,0.1745765483958193,0.1745765483958193,0.8254234516041807
30,30000000,271.1621621621622,284.0509554140127,74,157,1090.3125457224153,697.3705697166222,0.01,0.1548475008240428,0.1548475008240428,0.8451524991759571
31,31000000,198.8988764044944,306.7248322147651,89,149,1102.285818301299,710.484055197319,0.01,0.1126795100685618,0.1126795100685618,0.8873204899314382
32,32000000,324.60526315789474,350.69718309859155,76,142,1100.1414217379115,700.3882988942657,0.01,0.18603329821899675,0.18603329821899675,0.8139667017810033
33,33000000,317.9054054054054,350.09589041095893,74,146,1087.2651710895445,693.295176772186,0.01,0.1821237120881166,0.1821237120881166,0.8178762879118834
34,34000000,317.3421052631579,360.9078014184397,76,141,1091.745689993157,701.2686722276438,0.01,0.18179500803125279,0.18179500803125279,0.8182049919687472
35,35000000,400.7761194029851,373.4,67,140,1093.2796581766718,699.7791232371119,0.01,0.2304814841588289,0.2304814841588289,0.769518515841171
36,36000000,333.23943661971833,397.32307692307694,71,130,1065.227683074795,700.6440499564548,0.01,0.19107162083195325,0.19107162083195325,0.8089283791680467
37,37000000,455.6666666666667,411.587786259542,60,131,1067.5879840030634,686.1115135930497,0.01,0.26251191379276806,0.26251191379276806,0.7374880862072319
38,38000000,355.15492957746477,411.7894736842105,71,133,1069.5476526162065,685.2785312296173,0.01,0.2038600277630068,0.2038600277630068,0.7961399722369932
39,39000000,446.18461538461537,424.5338345864662,65,133,1073.06655987886,687.6149811639962,0.01,0.2569788267401618,0.2569788267401618,0.7430211732598382
40,40000000,429.44117647058823,440.4961832061069,68,131,1073.602355023805,689.3289497407688,0.01,0.2472084825060327,0.2472084825060327,0.7527915174939673
41,41000000,449.95652173913044,457.3233082706767,69,133,1070.0695334873876,686.6956343781515,0.01,0.25917985746579353,0.25917985746579353,0.7408201425342065
42,42000000,491.4375,469.7348484848485,64,132,1075.932960987822,685.7420176247745,0.01,0.28338536499970823,0.28338536499970823,0.7166146350002918
43,43000000,428.55384615384617,468.59558823529414,65,136,1074.0429319494647,678.0337328490127,0.01,0.2466906962442937,0.2466906962442937,0.7533093037557063
44,44000000,643.0847457627119,484.780303030303,59,132,1074.147419963571,675.6214100443123,0.01,0.37187649282996554,0.37187649282996554,0.6281235071700344
45,45000000,564.1911764705883,542.3149606299213,68,127,1071.4396861918274,669.6858910641903,0.01,0.32583951477539147,0.32583951477539147,0.6741604852246086
46,46000000,604.796875,503.75912408759126,64,137,1067.1292732030056,673.4856248084023,0.01,0.34953426795821907,0.34953426795821907,0.6504657320417809
47,47000000,577.65,528.8015267175573,60,131,1065.1456659189148,660.3850079382584,0.01,0.33369317850265506,0.33369317850265506,0.6663068214973449
48,48000000,491.08,589.9186991869918,75,123,1062.639065469394,662.7465761446384,0.01,0.28317675205695275,0.28317675205695275,0.7168232479430472
49,49000000,687.7301587301587,591.936,63,125,1052.178085055873,661.8250037273579,0.01,0.39792855151435996,0.39792855151435996,0.60207144848564
50,50000000,714.0689655172414,642.2622950819672,58,122,1058.0324136316992,656.9864479032501,0.01,0.41329810673819306,0.41329810673819306,0.5867018932618069
51,51000000,715.8771929824561,618.576,57,125,1057.2238391795975,663.15079762621,0.01,0.4143532666058564,0.4143532666058564,0.5856467333941435
52,52000000,765.0,616.648,60,125,1038.278547384978,662.7846454693596,0.01,0.4430180311606466,0.4430180311606466,0.5569819688393534
53,53000000,655.7592592592592,611.4341085271318,54,129,1045.5693186776844,653.2930186060402,0.01,0.37927248600061814,0.37927248600061814,0.6207275139993819
54,54000000,704.6379310344828,597.2,58,130,1040.3924577085154,653.3697988010344,0.01,0.407794789656581,0.407794789656581,0.592205210343419
55,55000000,695.7868852459017,651.28,61,125,1043.5396929340636,653.8110138764104,0.01,0.40262991494771644,0.40262991494771644,0.5973700850522836
56,56000000,703.9166666666666,664.9661016949152,60,118,1045.4922281652148,657.7132750982519,0.01,0.40737390830756065,0.40737390830756065,0.5926260916924393
57,57000000,776.32,709.3965517241379,50,116,1048.083397601688,653.2312463428889,0.01,0.4496236214039797,0.4496236214039797,0.5503763785960203
58,58000000,786.8103448275862,687.675,58,120,1047.543820958408,652.8571816974644,0.01,0.4557450807186708,0.4557450807186708,0.5442549192813292
59,59000000,651.5166666666667,674.7833333333333,60,120,1047.201646891625,658.0339120547983,0.01,0.3767967944603295,0.3767967944603295,0.6232032055396706
