iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.21212121212121213,nan,396,0,1725.7785056058035,nan,1.0,-0.4276133156040777,-0.4276133156040777,1.4276133156040778
1,1000000,1.2352941176470589,242.375,34,432,1093.8502960555559,884.2638974976176,0.8020002475,-0.42564416066657607,-0.42564416066657607,1.4256441606665762
2,2000000,335.91358024691357,252.720823798627,243,437,993.2556436280342,686.4793902031624,0.5545002475,0.2184633953943679,0.2184633953943679,0.7815366046056321
3,3000000,542.3071428571428,351.3404255319149,140,423,1072.3534214350877,685.3340102443566,0.3070002475,0.615679643681953,0.615679643681953,0.38432035631804695
4,4000000,717.9285714285714,482.07361963190186,112,326,1000.8569769666892,686.2897900913796,0.05950024749999997,0.95367315517431,0.95367315517431,0.04632684482569005
5,5000000,730.2868217054264,759.8934426229508,129,244,1002.0360251976168,686.0525032470302,0.01,0.9774573166001278,0.9774573166001278,0.0225426833998722
6,6000000,1070.6315789473683,1014.7379679144385,76,187,1026.615525932155,672.0323272312231,0.01,1.632470321299785,1.0,0.0
7,7000000,1923.0892857142858,1616.8292682926829,56,123,1035.3219789390996,665.7041522912347,0.01,3.273074067964368,1.0,0.0
8,8000000,2670.7391304347825,1765.4,46,125,1037.505126652016,681.8521301898762,0.01,4.71196907320012,1.0,0.0
9,9000000,1294.62,1719.2592592592594,100,135,1031.534759468492,695.6670436530973,0.01,2.0635488837567353,1.0,0.0
10,10000000,2624.3636363636365,1986.4871794871794,44,117,1066.2580361592538,699.7088394755729,0.01,4.6227167751417175,1.0,0.0
11,11000000,3242.40625,2870.6341463414633,32,82,1095.6186655029778,698.2116358883864,0.01,5.812175230946882,1.0,0.0
12,12000000,3344.310344827586,3666.378787878788,29,66,1055.381631049447,699.8209071076527,0.01,6.008295505826762,1.0,0.0
13,13000000,3836.9583333333335,3548.442857142857,24,70,1027.1750337562364,695.9056722768714,0.01,6.9564248139594556,1.0,0.0
14,14000000,2789.7045454545455,4096.923076923077,44,65,1067.3980547111323,695.2444656181389,0.01,4.940924837287423,1.0,0.0
15,15000000,4152.171428571429,4029.4927536231885,35,69,1085.1294777680685,696.8103354223504,0.01,7.563070493786429,1.0,0.0
16,16000000,2762.92,2922.3829787234044,50,94,1049.6651243568772,697.065378738394,0.01,4.889376443418014,1.0,0.0
17,17000000,2719.566037735849,2785.3367346938776,53,98,1042.691323959918,688.7891588717299,0.01,4.805939256612488,1.0,0.0
18,18000000,6979.869565217391,2838.546391752577,23,97,1054.6219282289862,688.895241047742,0.01,13.005137731365263,1.0,0.0
19,19000000,4116.555555555556,3903.4133333333334,36,75,1069.9380582635315,687.1800821386727,0.01,7.494525703532632,1.0,0.0
20,20000000,2577.0,3166.752808988764,60,89,1038.4246752570525,690.2748992045983,0.01,4.531562740569669,1.0,0.0
21,21000000,3280.777777777778,2833.735294117647,45,102,1053.4926489194618,687.3469801323942,0.01,5.886023436831751,1.0,0.0
22,22000000,5183.7037037037035,2688.457943925234,27,107,1059.0991347500333,685.0560503583386,0.01,9.548313517520599,1.0,0.0
23,23000000,5041.774193548387,2775.6923076923076,31,104,1085.8433509095855,682.8579286525347,0.01,9.275162035312524,1.0,0.0
24,24000000,4014.076923076923,3057.4891304347825,39,92,1057.231606116432,689.1772233600589,0.01,7.297299697992537,1.0,0.0
25,25000000,1941.4057971014493,3119.4893617021276,69,94,1026.389040911775,689.1223592223536,0.01,3.308325244614028,1.0,0.0
