iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,650.0,nan,85,0,1269.1225574070013,nan,1.0,0.05305487562249045,0.05305487562249045,0.9469451243775096
1,1000000,280.4597701149425,233.87573964497042,348,1014,1264.95217053335,571.6507161041877,0.8020002475,0.008495987135994419,0.008495987135994419,0.9915040128640056
2,2000000,415.7239819004525,257.2772277227723,442,1010,1249.4593009377065,508.24932568833,0.5545002475,0.02480604607339087,0.02480604607339087,0.9751939539266091
3,3000000,582.9588014981273,349.671772428884,267,914,1248.052694598721,506.3319244199433,0.3070002475,0.04497109733135511,0.04497109733135511,0.9550289026686449
4,4000000,763.6042402826855,491.16883116883116,283,770,1261.5459815440722,504.0093001880071,0.05950024749999997,0.06675319116427544,0.06675319116427544,0.9332468088357245
5,5000000,984.3049327354261,757.4875207986689,223,601,1254.232692072274,500.9076095407416,0.01,0.09336511795490651,0.09336511795490651,0.9066348820450935
6,6000000,1496.4285714285713,1236.802030456853,182,394,1241.1850298440786,496.72204773787524,0.01,0.15511660875991118,0.15511660875991118,0.8448833912400888
7,7000000,2548.2608695652175,2103.653846153846,115,260,1251.4782848018856,495.73786793182677,0.01,0.28194577183572495,0.28194577183572495,0.718054228164275
8,8000000,2895.7894736842104,2538.9908256880735,95,218,1252.960474153603,494.17959432859436,0.01,0.32385051471479515,0.32385051471479515,0.6761494852852048
9,9000000,2562.735849056604,2645.701357466063,106,221,1257.5175278889917,493.6166192846056,0.01,0.28369115419152857,0.28369115419152857,0.7163088458084714
10,10000000,2655.8823529411766,2669.1304347826085,119,230,1244.1864440583527,492.3055842946947,0.01,0.2949226909603146,0.2949226909603146,0.7050773090396854
11,11000000,2777.5423728813557,2641.276595744681,118,235,1245.4715011761475,492.38909084262013,0.01,0.30959236647430527,0.30959236647430527,0.6904076335256948
12,12000000,2832.4324324324325,2693.125,111,240,1248.4716784693032,491.0030853257892,0.01,0.3162109693888359,0.3162109693888359,0.683789030611164
13,13000000,3027.8846153846152,2811.2334801762113,104,227,1244.4076746659136,490.9363832864932,0.01,0.3397784495176366,0.3397784495176366,0.6602215504823634
14,14000000,2976.6666666666665,2921.698113207547,105,212,1253.5251826090905,489.1315431780293,0.01,0.3336026270202051,0.3336026270202051,0.666397372979795
15,15000000,2940.5,3118.020304568528,100,197,1237.4927095097094,488.48644344778114,0.01,0.32924167701638674,0.32924167701638674,0.6707583229836133
16,16000000,3527.5641025641025,3180.612244897959,78,196,1240.2648739784754,488.46583073691437,0.01,0.4000294337072218,0.4000294337072218,0.5999705662927781
17,17000000,3166.509433962264,3597.0760233918127,106,171,1245.2840088232017,490.2767641975704,0.01,0.3564937279445172,0.3564937279445172,0.6435062720554827
18,18000000,3536.1702127659573,3705.8011049723755,94,181,1234.6237522844324,491.4101548638834,0.01,0.40106715213075106,0.40106715213075106,0.5989328478692489
19,19000000,3236.3636363636365,3710.9137055837564,121,197,1235.0417346023496,491.80158879617926,0.01,0.3649166961720469,0.3649166961720469,0.6350833038279531
20,20000000,3323.170731707317,3942.783505154639,123,194,1235.6569079584715,489.6652388844865,0.01,0.3753838317325211,0.3753838317325211,0.6246161682674789
21,21000000,5487.5,4623.333333333333,84,180,1224.5800346132771,491.50654625911193,0.01,0.6363570593129394,0.6363570593129394,0.3636429406870606
22,22000000,5105.06329113924,5160.122699386503,79,163,1225.3498970312519,487.44734421625213,0.01,0.5902431228991163,0.5902431228991163,0.4097568771008837
23,23000000,5558.333333333333,4834.972677595629,84,183,1248.8607066917823,494.8867952135426,0.01,0.6448980904264084,0.6448980904264084,0.35510190957359156
24,24000000,5788.636363636364,5360.057471264367,88,174,1231.4846168676752,499.2541169554326,0.01,0.6726678600359766,0.6726678600359766,0.32733213996402344
25,25000000,6679.48717948718,6167.17791411043,78,163,1226.978205635059,493.9004760225697,0.01,0.7800859946567928,0.7800859946567928,0.21991400534320715
26,26000000,6514.197530864198,6698.026315789473,81,152,1218.2397051782982,492.46082645517174,0.01,0.760155490680935,0.760155490680935,0.23984450931906498
27,27000000,7695.588235294118,7042.903225806452,68,155,1227.7420356336888,491.75788794207284,0.01,0.9026067108743345,0.9026067108743345,0.09739328912566547
28,28000000,7128.571428571428,7240.445859872611,77,157,1210.2674210024318,495.74256038693136,0.01,0.8342362423367573,0.8342362423367573,0.1657637576632427
29,29000000,9698.529411764706,7967.0,68,150,1231.0964312056674,500.3309043375411,0.01,1.144119881321634,1.0,0.0
30,30000000,10463.492063492064,8036.928104575163,63,153,1223.2776455733826,496.86747727682786,0.01,1.2363585139199191,1.0,0.0
