iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,112.81481481481481,nan,270,0,1666.4476884910694,nan,1.0,-0.012991008819128196,-0.012991008819128196,1.0129910088191283
1,1000000,367.6016260162602,914.2194092827004,246,237,1537.1548959900051,871.9841202658233,0.8020002475,-0.007531634596905477,-0.007531634596905477,1.0075316345969054
2,2000000,398.13953488372096,866.8283582089553,172,268,1502.521935256514,787.2496346529041,0.5545002475,-0.006877291965568144,-0.006877291965568144,1.0068772919655682
3,3000000,472.83185840707966,827.0818505338078,226,281,1527.8722487477555,784.8788193595103,0.3070002475,-0.005276842775445266,-0.005276842775445266,1.0052768427754453
4,4000000,262.42424242424244,613.830985915493,297,355,1540.7306102208963,771.5792130765054,0.05950024749999997,-0.009785294015285273,-0.009785294015285273,1.0097852940152854
5,5000000,547.1848739495798,438.31353919239905,238,421,1498.8942219352093,776.2067386016909,0.01,-0.003683664013628148,-0.003683664013628148,1.0036836640136282
6,6000000,559.9082568807339,465.83924349881795,218,423,1540.714289583659,769.2005162216352,0.01,-0.0034110372302155172,-0.0034110372302155172,1.0034110372302154
7,7000000,424.5814977973568,463.1121281464531,227,437,1529.0014303615967,777.7065546542254,0.01,-0.00631071408802825,-0.00631071408802825,1.0063107140880283
8,8000000,566.3265306122449,517.708830548926,196,419,1568.2166431656387,778.6037306221864,0.01,-0.0032735114375901033,-0.0032735114375901033,1.0032735114375901
9,9000000,559.144385026738,558.5436893203884,187,412,1539.0057170067976,734.7607862059451,0.01,-0.0034274048839771946,-0.0034274048839771946,1.0034274048839773
10,10000000,330.8955223880597,611.8324607329843,268,382,1656.3428576275546,793.6856698465298,0.01,-0.008318144522600157,-0.008318144522600157,1.0083181445226002
11,11000000,963.5526315789474,647.1834625322997,152,387,1516.7622969617878,798.4876787349126,0.01,0.005237941434658694,0.005237941434658694,0.9947620585653413
12,12000000,717.3094170403588,647.0103092783505,223,388,1607.5640909460026,772.5937410354973,0.01,-3.8367223195426056e-05,-3.8367223195426056e-05,1.0000383672231954
13,13000000,940.4545454545455,685.4722222222222,154,360,1496.5778628296734,777.8407272497373,0.01,0.004743013556031024,0.004743013556031024,0.995256986443969
14,14000000,691.6666666666666,670.7336956521739,186,368,1506.3296815698136,770.2145261182313,0.01,-0.0005878201941592256,-0.0005878201941592256,1.0005878201941591
15,15000000,858.3647798742138,666.159793814433,159,388,1503.2582723438532,771.4818248901269,0.01,0.0029840577136768646,0.0029840577136768646,0.9970159422863232
16,16000000,434.5652173913044,682.7083333333334,184,384,1472.647370523313,753.3711276841228,0.01,-0.006096790686200346,-0.006096790686200346,1.0060967906862004
17,17000000,605.9003831417624,690.1542416452443,261,389,1488.9969118490867,747.6421860207801,0.01,-0.002425553612163756,-0.002425553612163756,1.0024255536121638
18,18000000,605.057915057915,679.515306122449,259,392,1419.8631130648596,768.4441828531336,0.01,-0.002443605364993165,-0.002443605364993165,1.0024436053649932
19,19000000,569.4605809128631,668.9294403892944,241,411,1513.0222336959791,745.7095965717665,0.01,-0.0032063574379711194,-0.0032063574379711194,1.003206357437971
20,20000000,1006.2068965517242,676.559405940594,145,404,1512.3067762824094,708.3706281790211,0.01,0.006151903949288705,0.006151903949288705,0.9938480960507113
21,21000000,785.7216494845361,650.7598039215686,194,408,1523.2961901997498,766.8458753733487,0.01,0.0014275170450258,0.0014275170450258,0.9985724829549742
22,22000000,943.3727810650887,691.9289340101523,169,394,1517.892143230493,758.846395021763,0.01,0.004805543245819306,0.004805543245819306,0.9951944567541807
23,23000000,905.688622754491,691.4143920595534,167,403,1520.418752587738,768.7482640285012,0.01,0.003998076322798802,0.003998076322798802,0.9960019236772012
24,24000000,500.65934065934067,667.8622327790974,273,421,1515.825953623297,762.6122158892694,0.01,-0.0046805770638843995,-0.0046805770638843995,1.0046805770638845
25,25000000,652.0,691.170731707317,220,410,1534.2802959919713,755.4205234289623,0.01,-0.0014377667689459525,-0.0014377667689459525,1.001437766768946
26,26000000,694.7017543859649,662.9882352941177,285,425,1492.2401127573794,742.5525190766887,0.01,-0.0005227866879946494,-0.0005227866879946494,1.0005227866879947
27,27000000,606.2814070351759,633.120728929385,199,439,1499.7579181854294,736.8306114375215,0.01,-0.0024173893276313516,-0.0024173893276313516,1.0024173893276314
28,28000000,740.2105263157895,674.6318289786224,190,421,1494.0095601877408,732.4236849463357,0.01,0.0004523399882533696,0.0004523399882533696,0.9995476600117467
29,29000000,786.5106382978723,677.547619047619,235,420,1496.259209549281,735.584722473882,0.01,0.0014444228855158886,0.0014444228855158886,0.9985555771144841
30,30000000,629.7607655502393,690.1170960187353,209,427,1507.2219330421797,742.0186946923894,0.01,-0.0019142918398649387,-0.0019142918398649387,1.001914291839865
31,31000000,489.45525291828795,722.749391727494,257,411,1448.8030416974102,750.1935328583106,0.01,-0.004920649568063837,-0.004920649568063837,1.0049206495680638
32,32000000,832.9801324503311,682.8705882352941,151,425,1519.1680927246628,741.1359825705774,0.01,0.002440135172581961,0.002440135172581961,0.997559864827418
33,33000000,751.7391304347826,701.8823529411765,207,425,1496.574811661091,741.6388415782616,0.01,0.0006993659777410263,0.0006993659777410263,0.999300634022259
34,34000000,530.7792207792207,698.4579439252336,231,428,1488.8990645702902,747.3623189194027,0.01,-0.004035191628400056,-0.004035191628400056,1.0040351916284
35,35000000,727.1042471042471,670.8948545861298,259,447,1487.4779712582836,739.1158577409915,0.01,0.00017150880025213508,0.00017150880025213508,0.9998284911997478
36,36000000,600.2232142857143,696.2206572769953,224,426,1482.6979378291487,742.6181483473694,0.01,-0.0025471995841894017,-0.0025471995841894017,1.0025471995841895
37,37000000,695.8585858585859,707.5862068965517,198,435,1511.2152604419196,744.8664681110236,0.01,-0.0004979990002360018,-0.0004979990002360018,1.000497999000236
38,38000000,927.5882352941177,726.3981042654028,170,422,1493.317285439928,737.2464615476897,0.01,0.004467324238778941,0.004467324238778941,0.9955326757612211
39,39000000,785.3521126760563,718.018648018648,213,429,1511.7314095490215,731.5279707846743,0.01,0.0014195988968419763,0.0014195988968419763,0.998580401103158
40,40000000,788.5308056872038,708.8261851015801,211,443,1387.859300138811,676.8777206898027,0.01,0.0014877094658450859,0.0014877094658450859,0.9985122905341549
41,41000000,861.8947368421053,723.451536643026,190,423,1512.2170110923646,673.3985480901796,0.01,0.003059694894366039,0.003059694894366039,0.9969403051056339
42,42000000,831.5625,743.6992840095465,192,419,1319.950368540002,667.5024706767219,0.01,0.002409759243704681,0.002409759243704681,0.9975902407562953
43,43000000,773.8645418326694,706.2870159453303,251,439,1535.3567868105663,665.1278410055845,0.01,0.001173452136565759,0.001173452136565759,0.9988265478634343
44,44000000,884.9142857142857,698.2471910112359,175,445,1492.4787811771673,684.0080721143499,0.01,0.0035529399376528982,0.0035529399376528982,0.9964470600623471
45,45000000,404.26056338028167,753.2451923076923,284,416,1480.9434709161337,683.9081461536576,0.01,-0.006746135313345698,-0.006746135313345698,1.0067461353133458
46,46000000,743.9754098360655,722.209026128266,244,421,1458.340707245645,685.2312302896752,0.01,0.0005330109929389902,0.0005330109929389902,0.999466989007061
