iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,2014.041095890411,nan,292,0,1543.5067536174881,nan,1.0,-0.6697918114061349,-0.6697918114061349,1.6697918114061348
1,1000000,2323.310810810811,16557.21649484536,296,194,1532.1746659582134,916.0385618552317,0.8020002475,-0.6506752454978763,-0.6506752454978763,1.6506752454978764
2,2000000,4330.412371134021,15477.073170731708,194,205,1499.3440466443656,833.8864163201172,0.5545002475,-0.5266123728290701,-0.5266123728290701,1.5266123728290701
3,3000000,13130.0,12221.186440677966,120,236,1459.4933341528479,842.2995396098338,0.3070002475,0.017307347587170313,0.017307347587170313,0.9826926524128297
4,4000000,11828.57142857143,8970.545454545454,119,275,1400.419082805302,853.684802259644,0.05950024749999997,-0.06313649757564675,-0.06313649757564675,1.0631364975756468
5,5000000,5709.39226519337,5847.674418604651,181,344,1373.6240747796892,867.1574948138054,0.01,-0.4413749287497686,-0.4413749287497686,1.4413749287497686
6,6000000,5536.6120218579235,5941.666666666667,183,348,1410.6511017541188,883.7734889686146,0.01,-0.45205481349120585,-0.45205481349120585,1.452054813491206
7,7000000,3911.7073170731705,6492.284866468843,205,337,1428.470826538094,893.1630225066679,0.01,-0.5524933510688418,-0.5524933510688418,1.5524933510688417
8,8000000,5470.984455958549,6335.087719298245,193,342,1391.0543181649573,898.1908195303192,0.01,-0.45611138168520726,-0.45611138168520726,1.4561113816852074
9,9000000,3591.919191919192,7107.507507507507,198,333,1386.7240149854676,883.6053516889865,0.01,-0.5722600804841612,-0.5722600804841612,1.572260080484161
10,10000000,18214.606741573032,8298.039215686274,89,306,1426.4499659487878,880.5183508474863,0.01,0.33159683408886287,0.33159683408886287,0.6684031659111371
11,11000000,4152.153110047847,7568.9655172413795,209,319,1496.0419732362,868.0450977980628,0.01,-0.5376309263728222,-0.5376309263728222,1.537630926372822
12,12000000,4146.116504854369,7091.588785046729,206,321,1502.353084270453,835.7745040027745,0.01,-0.5380040607454294,-0.5380040607454294,1.5380040607454295
