iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,10,0,1513.2986198527042,nan,1.0,-0.01921775612396806,-0.01921775612396806,1.0192177561239681
1,1000000,18.7192118226601,14.732334047109207,203,467,1466.3822131501913,888.7319882222074,0.8020002475,0.006116134554960212,0.006116134554960212,0.9938838654450398
2,2000000,0.8333333333333334,13.969298245614034,132,456,1399.1501595476923,814.5771071031076,0.5545002475,-0.018089953534533316,-0.018089953534533316,1.0180899535345334
3,3000000,28.773006134969325,19.54233409610984,163,437,1330.980824984271,820.2386567469528,0.3070002475,0.019722568865840204,0.019722568865840204,0.9802774311341598
4,4000000,121.09677419354838,43.887468030690535,155,391,1300.4330325427543,823.5521734660114,0.05950024749999997,0.14467015048524615,0.14467015048524615,0.8553298495147539
5,5000000,164.87179487179486,85.89080459770115,156,348,1330.990362979147,826.3815550197733,0.01,0.20391364849342924,0.20391364849342924,0.7960863515065708
6,6000000,142.32954545454547,137.6454293628809,176,361,1317.431952446579,833.1819558149851,0.01,0.17340579977607995,0.17340579977607995,0.82659420022392
7,7000000,167.92746113989637,173.125,193,352,1346.1103554763438,835.7487841874274,0.01,0.2080490744889652,0.2080490744889652,0.7919509255110349
8,8000000,214.90797546012269,191.5072463768116,163,345,1321.4277976973915,824.9616342214664,0.01,0.27163076933295804,0.27163076933295804,0.728369230667042
9,9000000,200.1129943502825,213.78787878787878,177,330,1312.0126224671153,811.6720988570086,0.01,0.25160778772537895,0.25160778772537895,0.748392212274621
10,10000000,252.54777070063693,237.58620689655172,157,319,1277.5524821348463,814.728110317688,0.01,0.32257107957861275,0.32257107957861275,0.6774289204213872
11,11000000,413.7931034482759,269.9342105263158,116,304,1322.943434234123,804.6134685197617,0.01,0.5407945641470779,0.5407945641470779,0.45920543585292206
12,12000000,567.4468085106383,329.5620437956204,94,274,1301.85221853985,814.9046902079801,0.01,0.7487438198817679,0.7487438198817679,0.25125618011823214
13,13000000,673.1764705882352,398.87550200803213,85,249,1336.8101841644557,822.5681028526926,0.01,0.8918344438871771,0.8918344438871771,0.10816555611282286
14,14000000,603.5,539.8122065727699,100,213,1383.1518043466076,874.6868931794902,0.01,0.7975368791446745,0.7975368791446745,0.20246312085532547
15,15000000,839.0,654.6560846560847,80,189,1369.6278469950241,822.018592289736,0.01,1.1162538909189335,1.0,0.0
16,16000000,612.2,689.7837837837837,100,185,1362.876992640762,820.9776721784867,0.01,0.8093111381783733,0.8093111381783733,0.1906888618216267
17,17000000,715.8695652173913,711.5934065934066,92,182,1358.8540760632573,822.0775677356089,0.01,0.949613703095671,0.949613703095671,0.05038629690432905
18,18000000,953.972602739726,676.1904761904761,73,189,1272.88931340917,818.9966468045114,0.01,1.2718535698196318,1.0,0.0
19,19000000,1131.40625,667.5916230366493,64,191,1271.729773775801,813.3244520835523,0.01,1.5119857220192177,1.0,0.0
20,20000000,889.4736842105264,684.1269841269841,76,189,1311.2137541203704,812.7906594734593,0.01,1.1845631130200653,1.0,0.0
21,21000000,677.741935483871,724.3646408839779,93,181,1373.1922479172426,821.92777280536,0.01,0.8980131756447028,0.8980131756447028,0.10198682435529716
22,22000000,994.6478873239437,735.3888888888889,71,180,1352.043133776401,822.0009257843716,0.01,1.326901999355723,1.0,0.0
23,23000000,784.5348837209302,718.5326086956521,86,184,1327.6380010000344,830.0324360659017,0.01,1.0425428119108542,1.0,0.0
24,24000000,769.6590909090909,749.3820224719101,88,178,1338.0953207699,829.2059886102298,0.01,1.0224104627271495,1.0,0.0
25,25000000,874.6913580246913,712.5,81,184,1386.8547987329302,829.2978846398138,0.01,1.164557258119761,1.0,0.0
26,26000000,817.4117647058823,749.171270718232,85,181,1412.864791414882,817.9495245980312,0.01,1.0870371697196946,1.0,0.0
27,27000000,813.0487804878048,746.0109289617486,82,183,1397.3414917936204,803.4530176120566,0.01,1.0811324678411216,1.0,0.0
28,28000000,934.8717948717949,750.6043956043956,78,182,1368.808258847686,819.0177445961523,0.01,1.246003241131134,1.0,0.0
29,29000000,995.4054054054054,793.8068181818181,74,176,1331.4645423708625,826.0562459811931,0.01,1.3279271963803023,1.0,0.0
30,30000000,861.547619047619,800.9090909090909,84,176,1350.4308747791151,840.5299494111395,0.01,1.146769006695925,1.0,0.0
31,31000000,1024.4,791.5168539325842,75,178,1351.8224157095062,833.8354897395096,0.01,1.3671674110163758,1.0,0.0
32,32000000,856.829268292683,771.6483516483516,82,182,1385.237135502366,833.5419027828406,0.01,1.1403833648567911,1.0,0.0
33,33000000,857.3493975903615,818.0924855491329,83,173,1419.1295184024075,831.3967434830538,0.01,1.1410872886593064,1.0,0.0
34,34000000,985.3246753246754,807.8735632183908,77,174,1425.3863311338864,826.4629152524966,0.01,1.3142843081941742,1.0,0.0
35,35000000,944.3589743589744,789.6629213483146,78,178,1416.6981151710627,831.5155816264904,0.01,1.2588428398416218,1.0,0.0
36,36000000,989.2,800.9039548022599,75,177,1397.9890468599442,835.1988331414927,0.01,1.3195290296386522,1.0,0.0
37,37000000,863.4146341463414,794.3575418994413,82,179,1381.5272666089083,830.1358114470569,0.01,1.1492957560513486,1.0,0.0
38,38000000,846.7045454545455,775.934065934066,88,182,1344.1273616744181,836.8965680424449,0.01,1.1266809384957985,1.0,0.0
39,39000000,946.75,792.1666666666666,80,180,1332.1446902247321,837.8513995705622,0.01,1.262078765732846,1.0,0.0
40,40000000,931.5,794.804469273743,80,179,1324.9929604202014,838.0969069609886,0.01,1.2414399783461902,1.0,0.0
41,41000000,950.7594936708861,782.9834254143647,79,181,1316.7188786998809,842.2943178588711,0.01,1.2675050665460632,1.0,0.0
42,42000000,885.4761904761905,797.7653631284916,84,179,1314.9057959811626,836.9858745612606,0.01,1.1791530524782656,1.0,0.0
43,43000000,970.7692307692307,794.5251396648044,78,179,1319.5651940366652,834.9383287360506,0.01,1.294585506522169,1.0,0.0
44,44000000,935.0617283950618,782.8021978021978,81,182,1317.5764672802964,834.3148263189745,0.01,1.246260290154367,1.0,0.0
45,45000000,825.6818181818181,798.9944134078212,88,179,1314.2865304082368,830.9160802829035,0.01,1.0982295549896035,1.0,0.0
46,46000000,891.2345679012345,811.875,81,176,1317.5663739238134,828.9600310844974,0.01,1.1869462280433543,1.0,0.0
47,47000000,1064.109589041096,798.9385474860335,73,179,1373.2048017818654,826.7394841238142,0.01,1.4209089038315008,1.0,0.0
48,48000000,953.9240506329114,819.6022727272727,79,176,1447.7566957967965,820.9001256234312,0.01,1.2717878611894862,1.0,0.0
49,49000000,867.0588235294117,808.9830508474577,85,177,1421.0993197867876,818.7511348702567,0.01,1.1542276675184893,1.0,0.0
50,50000000,879.7619047619048,815.1136363636364,84,176,1448.8534034065592,813.0589872719491,0.01,1.171419549007856,1.0,0.0
51,51000000,969.8717948717949,799.5530726256983,78,179,1428.9269725762788,812.8050823529012,0.01,1.2933709498873933,1.0,0.0
52,52000000,858.1176470588235,802.68156424581,85,179,1431.2516580426916,798.7930639370052,0.01,1.1421270091471425,1.0,0.0
53,53000000,762.1505376344086,821.25,93,176,1447.3800080205017,796.3141391551021,0.01,1.012248663735835,1.0,0.0
54,54000000,834.3678160919541,779.5108695652174,87,184,1409.2388233754584,795.934935862017,0.01,1.109984864111455,1.0,0.0
55,55000000,992.2077922077922,800.3888888888889,77,180,1345.2256627524378,801.9153850397947,0.01,1.3235996646471677,1.0,0.0
56,56000000,755.7894736842105,812.6966292134831,95,178,1292.0435076087942,812.1540979255288,0.01,1.003639834462323,1.0,0.0
57,57000000,934.6341463414634,813.0898876404494,82,178,1310.1071124254145,807.025381120813,0.01,1.245681616377674,1.0,0.0
58,58000000,950.75,814.5505617977528,80,178,1307.041347306337,812.2525222801402,0.01,1.2674922181621329,1.0,0.0
59,59000000,980.3896103896104,827.7272727272727,77,176,1348.7402612113979,818.8985823585002,0.01,1.3076053733788204,1.0,0.0
60,60000000,959.620253164557,841.2716763005781,79,173,1312.4788547882142,819.5265828354757,0.01,1.279496891547648,1.0,0.0
61,61000000,919.620253164557,840.635838150289,79,173,1409.1981760719582,821.4184974716777,0.01,1.22536236725478,1.0,0.0
62,62000000,913.5365853658536,819.7159090909091,82,176,1316.866796859081,821.5510229106886,0.01,1.2171289556988139,1.0,0.0
63,63000000,762.4731182795699,818.0113636363636,93,176,1351.1236631795607,816.61314078804,0.01,1.0126852324801325,1.0,0.0
64,64000000,805.7608695652174,824.2372881355932,92,177,1410.3989540688608,813.2511489348617,0.01,1.071269278069045,1.0,0.0
65,65000000,953.75,824.4067796610169,80,177,1408.0307886787327,803.3576042458407,0.01,1.271552307484098,1.0,0.0
66,66000000,1012.9333333333333,828.2386363636364,75,176,1406.0318703330229,808.1335797508146,0.01,1.3516488473857535,1.0,0.0
67,67000000,682.1153846153846,805.8888888888889,104,180,1424.725731810685,803.4524566106672,0.01,0.9039320403510416,0.9039320403510416,0.09606795964895842
68,68000000,858.6904761904761,817.7966101694915,84,177,1418.284457440753,807.8050959779303,0.01,1.1429022549607202,1.0,0.0
69,69000000,830.0,816.0112359550562,90,178,1530.0197496460041,863.4694591516069,0.01,1.1040736229530383,1.0,0.0
70,70000000,951.125,816.4606741573034,80,178,1518.3212200564847,931.6879221662884,0.01,1.2679997293273786,1.0,0.0
71,71000000,1040.2702702702702,847.183908045977,74,174,1509.189153167481,934.3059210620963,0.01,1.3886456493033836,1.0,0.0
72,72000000,1009.6,841.3714285714286,75,175,1530.8118321337151,933.9836379720034,0.01,1.3471376370280146,1.0,0.0
73,73000000,888.7058823529412,864.1520467836257,85,171,1540.4413723211019,932.4592157472573,0.01,1.1835239983122767,1.0,0.0
74,74000000,900.6024096385543,822.3033707865169,83,178,1519.0703985714229,937.9165776251979,0.01,1.1996243194458711,1.0,0.0
75,75000000,861.2162162162163,835.4285714285714,74,175,1530.270608302642,936.2087377020428,0.01,1.1463204983302426,1.0,0.0
76,76000000,767.7894736842105,832.8571428571429,95,175,1518.72584145415,936.142816264882,0.01,1.0198801917501834,1.0,0.0
77,77000000,1000.7792207792207,832.2159090909091,77,176,1511.3161141262526,933.2655397529638,0.01,1.3351999198527822,1.0,0.0
78,78000000,931.5853658536586,837.1428571428571,82,175,1514.949799296479,930.3716157730502,0.01,1.2415555093431567,1.0,0.0
79,79000000,814.5555555555555,831.5819209039548,90,177,1517.012455840532,929.0813569320247,0.01,1.0831716816288477,1.0,0.0
80,80000000,665.1401869158879,838.8,107,175,1527.5713497441982,932.3736189995452,0.01,0.8809584340450505,0.8809584340450505,0.11904156595494952
81,81000000,1052.162162162162,830.1136363636364,74,176,1541.9510040336397,939.1661117672088,0.01,1.4047396970661281,1.0,0.0
82,82000000,946.5432098765432,818.370786516854,81,178,1545.6436253901538,955.2127305866632,0.01,1.261798903608801,1.0,0.0
83,83000000,830.7865168539325,864.9122807017544,89,171,1570.6705986062516,956.144228882975,0.01,1.1051380658464374,1.0,0.0
84,84000000,909.277108433735,820.7303370786517,83,178,1560.375989885893,958.9507989207873,0.01,1.2113643367623967,1.0,0.0
85,85000000,958.5,810.7777777777778,80,180,1558.857421988218,956.4747871949702,0.01,1.277980782243876,1.0,0.0
86,86000000,958.0,839.3714285714286,80,175,1553.6600711938077,953.9526371673414,0.01,1.2773041006902153,1.0,0.0
87,87000000,981.1392405063291,834.9431818181819,79,176,1506.3654233366337,951.0379793077126,0.01,1.3086198951229246,1.0,0.0
