iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,164.94845360824743,nan,97,0,1557.689392541553,nan,1.0,-0.06302638852607143,-0.06302638852607143,1.0630263885260713
1,1000000,666.6666666666666,3921.0526315789475,99,190,1510.446364436249,957.687567268178,0.8020002475,-0.04862058239418085,-0.04862058239418085,1.0486205823941808
2,2000000,651.3761467889908,3491.8032786885246,109,183,1475.9035450011875,895.5219130240879,0.5545002475,-0.04905961821006415,-0.04905961821006415,1.0490596182100642
3,3000000,8982.142857142857,3164.705882352941,56,170,1521.658982477557,905.6782800430904,0.3070002475,0.1901412061486715,0.1901412061486715,0.8098587938513285
4,4000000,113.63636363636364,3908.450704225352,88,142,1510.0912239829136,880.0741872615231,0.05950024749999997,-0.06449970960774205,-0.06449970960774205,1.064499709607742
5,5000000,0.0,3107.6923076923076,4,130,1418.3645805266667,878.9666986705032,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
6,6000000,0.0,3982.905982905983,4,117,1388.31433965413,862.0898014258488,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
7,7000000,54.94505494505494,3626.086956521739,91,115,1319.4491185267884,805.046798852924,0.01,-0.06618490977115628,-0.06618490977115628,1.0661849097711562
8,8000000,0.0,3834.862385321101,4,109,1253.6751710102835,795.5659355398437,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
9,9000000,2630.4347826086955,3793.3884297520663,92,121,1334.1254739872368,814.9951191987665,0.01,0.007764978324849487,0.007764978324849487,0.9922350216751505
10,10000000,2989.010989010989,4339.805825242718,91,103,1350.9616421629755,802.6263918961063,0.01,0.01806075627050431,0.01806075627050431,0.9819392437294957
11,11000000,0.0,4605.504587155963,4,109,1331.865084819878,797.4252213771778,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
12,12000000,6314.285714285715,4189.473684210527,70,95,1417.4244838260006,852.648509358344,0.01,0.11353917778438632,0.11353917778438632,0.8864608222156136
13,13000000,2826.086956521739,4323.232323232323,92,99,1350.051537282396,864.813032077199,0.01,0.013382727916782399,0.013382727916782399,0.9866172720832176
14,14000000,0.0,4393.258426966292,4,89,1406.60550704817,821.0570840857779,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
15,15000000,0.0,4435.6435643564355,4,101,1326.9456237749125,845.4897301399021,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
16,16000000,21.978021978021978,4060.0,91,100,1370.587751880953,850.3227207314368,0.01,-0.0671314902884783,-0.0671314902884783,1.0671314902884783
17,17000000,500.0,4452.631578947368,4,95,1406.6755579616192,814.540323487839,0.01,-0.05340607278730888,-0.05340607278730888,1.053406072787309
18,18000000,6775.2808988764045,4443.396226415094,89,106,1355.0164939400509,838.5269646012595,0.01,0.12677570594720852,0.12677570594720852,0.8732242940527914
19,19000000,2586.9565217391305,4693.693693693694,92,111,1378.4352920340252,856.4167269790192,0.01,0.006516589526642179,0.006516589526642179,0.9934834104733579
20,20000000,0.0,4267.857142857143,4,112,1410.9365302001988,835.385947236882,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
21,21000000,0.0,3881.1881188118814,4,101,1385.377481569395,851.8061045022656,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
22,22000000,6134.831460674157,4071.4285714285716,89,112,1416.3663763879388,862.3349068839412,0.01,0.1083865181444019,0.1083865181444019,0.8916134818555981
23,23000000,0.0,3787.6106194690265,4,113,1382.495544055728,848.9701919818882,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
24,24000000,15351.851851851852,4113.207547169812,54,106,1415.8609848977499,860.6248013845909,0.01,0.37303429335587834,0.37303429335587834,0.6269657066441217
25,25000000,0.0,5137.254901960784,4,102,1448.6146439311642,857.8494997034526,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
26,26000000,0.0,4919.19191919192,4,99,1396.279862588722,852.4284746260798,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
27,27000000,0.0,4898.989898989899,91,99,1418.8841519620082,854.7561185456661,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
28,28000000,30.303030303030305,3857.1428571428573,99,105,1443.3724522636608,838.3820500383612,0.01,-0.06689245480430607,-0.06689245480430607,1.0668924548043062
29,29000000,0.0,4686.274509803921,4,102,1400.0692916631979,854.2596420766714,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
30,30000000,21439.024390243903,4744.444444444444,41,90,1448.3522975803382,862.2000085813598,0.01,0.5478149275786061,0.5478149275786061,0.45218507242139394
31,31000000,0.0,4359.223300970873,4,103,1406.80373900844,838.3133841088,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
32,32000000,0.0,4733.94495412844,4,109,1422.6143457143007,873.991319879363,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
33,33000000,4750.0,4656.862745098039,4,102,1483.0954045943358,863.5887881400741,0.01,0.06862393223745604,0.06862393223745604,0.931376067762544
34,34000000,4250.0,4505.376344086021,4,93,1420.6503167306307,847.8535600086934,0.01,0.054267461058071925,0.054267461058071925,0.9457325389419281
35,35000000,0.0,5224.489795918367,4,98,1415.9294495316167,893.2365276453744,0.01,-0.06776254396669298,-0.06776254396669298,1.067762543966693
36,36000000,29.702970297029704,5410.0,101,100,1456.5661525867106,857.8144258745026,0.01,-0.06690968429267016,-0.06690968429267016,1.0669096842926702
37,37000000,6862.068965517241,7416.666666666667,87,84,1371.1778016742123,835.445122812509,0.01,0.12926764670209578,0.12926764670209578,0.8707323532979042
38,38000000,13766.666666666666,11303.79746835443,30,79,1379.4055280176553,862.1476590972444,0.01,0.32751896250568274,0.32751896250568274,0.6724810374943173
39,39000000,9426.22950819672,19827.58620689655,61,87,1454.9011024979593,846.5957773642186,0.01,0.20289224056267952,0.20289224056267952,0.7971077594373205
40,40000000,32276.59574468085,19384.615384615383,47,104,1428.610388005328,837.6289292370424,0.01,0.8589934891875917,0.8589934891875917,0.14100651081240834
41,41000000,21209.302325581397,17051.546391752578,43,97,1451.8920283681166,882.5002580167776,0.01,0.5412189311774143,0.5412189311774143,0.45878106882258574
42,42000000,19566.037735849055,17317.647058823528,53,85,1449.568800215953,866.8970240473617,0.01,0.4940359697322247,0.4940359697322247,0.5059640302677753
43,43000000,12254.237288135593,16698.924731182797,59,93,1440.1423246787015,862.6596486876006,0.01,0.28409266493821245,0.28409266493821245,0.7159073350617875
44,44000000,25636.363636363636,15525.862068965518,44,116,1404.4781312281632,884.9736631857393,0.01,0.6683328874126376,0.6683328874126376,0.33166711258736237
45,45000000,25937.5,19171.717171717173,16,99,1435.7585973595717,863.0718409104533,0.01,0.6769793984638576,0.6769793984638576,0.3230206015361424
46,46000000,23200.0,21737.37373737374,30,99,1473.940706629519,867.6743244226224,0.01,0.5983777187567296,0.5983777187567296,0.4016222812432704
47,47000000,21307.69230769231,22978.72340425532,52,94,1421.4505145434164,875.4931419302179,0.01,0.5440439970624451,0.5440439970624451,0.4559560029375549
48,48000000,21253.968253968254,25112.149532710282,63,107,1368.3035072155683,849.5427552546839,0.01,0.542501421404587,0.542501421404587,0.457498578595413
49,49000000,26000.0,23540.322580645163,51,124,1466.67746639988,865.8480410103626,0.01,0.6787739573612805,0.6787739573612805,0.32122604263871946
50,50000000,29597.222222222223,23459.45945945946,72,111,1453.3229617429918,867.536497144651,0.01,0.7820607916796274,0.7820607916796274,0.2179392083203726
51,51000000,14318.181818181818,21653.846153846152,44,78,1374.879797222186,860.6788742832726,0.01,0.3433545852611246,0.3433545852611246,0.6566454147388754
52,52000000,24444.444444444445,23324.56140350877,54,114,1450.0768708354233,866.3447769515099,0.01,0.6341093803587523,0.6341093803587523,0.3658906196412477
53,53000000,21347.82608695652,21564.70588235294,69,85,1439.9669363828393,843.6778867008899,0.01,0.545196355953098,0.545196355953098,0.454803644046902
54,54000000,17757.14285714286,18157.48031496063,70,127,1377.421383594756,845.7753264817837,0.01,0.44209727534686266,0.44209727534686266,0.5579027246531374
55,55000000,19948.051948051947,18144.0,77,125,1476.8878305829535,873.7221683112583,0.01,0.5050047217874366,0.5050047217874366,0.4949952782125634
56,56000000,11897.959183673469,19427.41935483871,98,124,1465.9061385034809,848.5074393454074,0.01,0.27386287226110023,0.27386287226110023,0.7261371277388997
57,57000000,22833.333333333332,19592.59259259259,12,108,1417.3621074658183,875.7831783858707,0.01,0.5878496398918479,0.5878496398918479,0.4121503601081521
58,58000000,13326.315789473685,20161.290322580644,95,124,1491.0897293887047,886.3877644298246,0.01,0.31487519315120766,0.31487519315120766,0.6851248068487923
59,59000000,19718.75,19230.15873015873,64,126,1456.8120965268208,862.5587685547324,0.01,0.49842078817026775,0.49842078817026775,0.5015792118297322
60,60000000,16688.31168831169,19437.5,77,112,1460.2474261377029,936.4670296516691,0.01,0.4114079876049584,0.4114079876049584,0.5885920123950417
61,61000000,21000.0,20402.985074626864,26,134,1461.2043978503689,931.1162907095413,0.01,0.5352092455674395,0.5352092455674395,0.46479075443256046
62,62000000,16519.48051948052,19645.16129032258,77,124,1463.0216910746062,924.5399412156507,0.01,0.4065603479859456,0.4065603479859456,0.5934396520140544
63,63000000,20985.507246376812,19166.666666666668,69,96,1446.7110078973396,933.1155502063974,0.01,0.5347931159680371,0.5347931159680371,0.46520688403196286
64,64000000,11809.52380952381,18982.608695652172,42,115,1437.4249891004552,914.5636486659149,0.01,0.271323632460665,0.271323632460665,0.7286763675393351
65,65000000,15245.61403508772,18271.317829457363,57,129,1460.4641683038167,915.4737760480301,0.01,0.3699838930468084,0.3699838930468084,0.6300161069531915
66,66000000,18090.909090909092,20612.61261261261,77,111,1457.4871612176396,933.692760554933,0.01,0.45168068597829564,0.45168068597829564,0.5483193140217044
67,67000000,30947.36842105263,19169.64285714286,57,112,1466.0943406537838,925.5349787185795,0.01,0.8208274616625548,0.8208274616625548,0.17917253833744518
68,68000000,21255.81395348837,20576.08695652174,43,92,1470.4442291549808,926.2178044169165,0.01,0.5425544168685197,0.5425544168685197,0.4574455831314803
69,69000000,21731.70731707317,21302.52100840336,41,119,1461.2182920854084,933.0951057791123,0.01,0.5562187155860504,0.5562187155860504,0.4437812844139496
70,70000000,23648.64864864865,19505.154639175256,37,97,1459.9322371924,919.1419217676217,0.01,0.6112597415447175,0.6112597415447175,0.3887402584552825
71,71000000,30783.783783783783,20990.825688073393,37,109,1441.816667467429,918.8172542221774,0.01,0.8161304654018745,0.8161304654018745,0.1838695345981255
72,72000000,18118.42105263158,21285.714285714286,76,112,1505.0668147086838,919.6821027684846,0.01,0.4524706353494101,0.4524706353494101,0.5475293646505899
73,73000000,18164.17910447761,21923.076923076922,67,91,1482.621045652427,914.231234347486,0.01,0.4537844836545147,0.4537844836545147,0.5462155163454854
74,74000000,18265.822784810127,20652.542372881355,79,118,1467.1620900350565,911.4667528610202,0.01,0.4567029727890353,0.4567029727890353,0.5432970272109647
75,75000000,17921.052631578947,22298.245614035088,76,114,1501.6215883804477,919.6583498817433,0.01,0.44680360725228474,0.44680360725228474,0.5531963927477153
76,76000000,27396.22641509434,22971.153846153848,53,104,1447.2809124759412,920.9659432296397,0.01,0.718863725937674,0.718863725937674,0.281136274062326
77,77000000,26876.923076923078,22674.157303370786,65,89,1506.7385990542543,916.3972959181073,0.01,0.7039529991220466,0.7039529991220466,0.29604700087795344
78,78000000,22079.365079365078,21590.47619047619,63,105,1494.7542025859805,912.9945508125509,0.01,0.5662009928753163,0.5662009928753163,0.43379900712468367
79,79000000,24320.0,22268.907563025212,50,119,1506.325809529635,913.6999611836884,0.01,0.63053621419855,0.63053621419855,0.36946378580145
80,80000000,28243.243243243243,22595.505617977527,37,89,1457.4588244387678,907.7433985389068,0.01,0.7431840713012201,0.7431840713012201,0.2568159286987799
81,81000000,19760.0,23059.322033898305,75,118,1510.4462940900416,916.5109897249242,0.01,0.49960519704256695,0.49960519704256695,0.500394802957433
82,82000000,21400.0,22651.162790697676,60,86,1500.2367883057398,916.5112081759149,0.01,0.5466944225109468,0.5466944225109468,0.4533055774890532
83,83000000,15984.615384615385,22830.508474576272,65,118,1495.3571990279406,912.8054836736396,0.01,0.3912027961988482,0.3912027961988482,0.6087972038011518
84,84000000,21739.130434782608,23203.703703703704,46,108,1479.8335427769805,910.1266780138253,0.01,0.5564318551369638,0.5564318551369638,0.4435681448630362
85,85000000,22552.63157894737,24075.471698113208,38,106,1481.8875608465287,914.4542278515788,0.01,0.5797898665981587,0.5797898665981587,0.4202101334018413
