iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,742.439024390244,nan,41,0,1686.4723937263266,nan,1.0,0.022855048385533913,0.022855048385533913,0.9771449516144661
1,1000000,30.541176470588237,367.30434782608694,85,184,1175.7026597242716,1009.2788968201263,0.8020002475,-0.020127203671489485,-0.020127203671489485,1.0201272036714895
2,2000000,491.16883116883116,358.14054054054054,77,185,1212.8636921284647,795.7166912160853,0.5545002475,0.0076841094495327545,0.0076841094495327545,0.9923158905504672
3,3000000,22.814814814814813,359.08196721311475,81,183,1204.8133003431838,788.4934843762528,0.3070002475,-0.02059369816243737,-0.02059369816243737,1.0205936981624373
4,4000000,576.4307692307692,386.90697674418607,65,172,1208.1861340546395,778.0276354270944,0.05950024749999997,0.012831968968082865,0.012831968968082865,0.9871680310319171
5,5000000,478.90410958904107,403.46820809248555,73,173,1196.871589217152,778.230045711331,0.01,0.006943602428908571,0.006943602428908571,0.9930563975710914
6,6000000,489.52,424.73809523809524,100,168,1190.9012808170473,776.503922178482,0.01,0.0075845579800272915,0.0075845579800272915,0.9924154420199727
7,7000000,515.8481012658228,516.2566844919786,79,187,1172.576490615964,771.7730905483893,0.01,0.009174169590874795,0.009174169590874795,0.9908258304091252
8,8000000,806.8823529411765,703.5529411764705,68,170,1190.0943623351325,777.0395038073867,0.01,0.026745942843585942,0.026745942843585942,0.9732540571564141
9,9000000,1387.3548387096773,1147.0625,62,128,1181.226700863683,775.349981284044,0.01,0.06179312660510291,0.06179312660510291,0.9382068733948971
10,10000000,3825.785714285714,2202.1951219512193,28,82,1183.2199097130854,776.9588074403331,0.01,0.20901825282779965,0.20901825282779965,0.7909817471722004
11,11000000,6151.809523809524,4648.553191489362,21,47,1192.3740684647546,778.9647810327217,0.01,0.3494565783034985,0.3494565783034985,0.6505434216965015
12,12000000,6108.666666666667,5851.5,21,44,1193.298291837986,781.9717185830947,0.01,0.34685174227878884,0.34685174227878884,0.6531482577212111
13,13000000,5980.782608695652,6556.390243902439,23,41,1188.4809113638585,780.153475145826,0.01,0.3391304872843426,0.3391304872843426,0.6608695127156574
14,14000000,7760.35294117647,6975.25,17,40,1163.7447322743624,775.5703707668359,0.01,0.44657559448253725,0.44657559448253725,0.5534244055174627
15,15000000,6721.913043478261,6978.487804878048,23,41,1161.4495237173826,780.613458030914,0.01,0.38387771506153995,0.38387771506153995,0.61612228493846
16,16000000,7058.636363636364,7591.05,22,40,1125.5550650685275,763.0630411483606,0.01,0.4042080569256255,0.4042080569256255,0.5957919430743746
17,17000000,7705.777777777777,7656.85,18,40,1107.7763007351987,748.972920617149,0.01,0.4432805101721818,0.4432805101721818,0.5567194898278183
18,18000000,7089.473684210527,8202.432432432432,19,37,1098.7779629432023,736.3615676443967,0.01,0.40606992164337286,0.40606992164337286,0.5939300783566271
19,19000000,9423.777777777777,7684.243902439024,18,41,1096.1399372224428,732.552170518989,0.01,0.5470081857786687,0.5470081857786687,0.4529918142213313
20,20000000,8206.3,9304.108108108108,20,37,1088.129289997388,732.6408396274492,0.01,0.47350053735524616,0.47350053735524616,0.5264994626447539
21,21000000,9944.714285714286,9263.891891891892,14,37,1096.1519203370758,734.7305825738212,0.01,0.5784607661668028,0.5784607661668028,0.42153923383319725
22,22000000,9590.555555555555,8749.351351351352,18,37,1076.2631232402186,741.106849440245,0.01,0.5570777266585896,0.5570777266585896,0.44292227334141043
23,23000000,8560.555555555555,9692.777777777777,18,36,1065.540812366207,743.750071664107,0.01,0.4948894228898576,0.4948894228898576,0.5051105771101424
24,24000000,11942.0,9329.135135135135,16,37,1071.3955054565322,749.3142899102568,0.01,0.6990508736551025,0.6990508736551025,0.30094912634489746
25,25000000,9698.35294117647,9984.4,17,35,1078.968606475055,747.3558160434332,0.01,0.5635862087580737,0.5635862087580737,0.43641379124192625
26,26000000,8534.8,9854.114285714286,20,35,1084.766960468551,745.6864847769472,0.01,0.49333437986789513,0.49333437986789513,0.5066656201321049
27,27000000,8278.190476190477,8128.634146341464,21,41,1082.7491823456382,749.350687394814,0.01,0.4778410682012775,0.4778410682012775,0.5221589317987225
28,28000000,8884.2,9692.842105263158,20,38,1095.7331725882232,747.6083961287977,0.01,0.514430101554104,0.514430101554104,0.48556989844589604
29,29000000,11345.777777777777,11750.64705882353,18,34,1106.3136553131874,747.9312505686735,0.01,0.6630527681510016,0.6630527681510016,0.33694723184899844
30,30000000,13676.57142857143,9657.384615384615,14,39,1122.4500665810674,753.4338897871407,0.01,0.8037790823041933,0.8037790823041933,0.19622091769580674
31,31000000,14280.8,11017.055555555555,15,36,1135.8876750577924,758.6391575556966,0.01,0.8402605871058892,0.8402605871058892,0.15973941289411075
32,32000000,11279.875,11617.142857142857,16,35,1121.7243128940033,741.4229914206022,0.01,0.6590737565358097,0.6590737565358097,0.3409262434641903
33,33000000,10911.411764705883,9898.15,17,40,1134.596233904703,747.8599680555899,0.01,0.6368270540075763,0.6368270540075763,0.36317294599242367
34,34000000,12861.5,12470.470588235294,16,34,1136.3764974881149,755.1110052255898,0.01,0.7545675195923346,0.7545675195923346,0.2454324804076654
35,35000000,14974.533333333333,11312.888888888889,15,36,1146.929949910792,753.4217041755497,0.01,0.8821461203756255,0.8821461203756255,0.11785387962437455
36,36000000,11464.777777777777,10428.105263157895,18,38,1156.6392780579267,757.2853587104739,0.01,0.6702376304310784,0.6702376304310784,0.3297623695689216
37,37000000,11523.176470588236,12625.454545454546,17,33,1177.448307524036,765.5189718729797,0.01,0.6737635679535965,0.6737635679535965,0.3262364320464035
38,38000000,15534.857142857143,10336.97435897436,14,39,1145.1362459099091,762.5950523924315,0.01,0.9159767876334117,0.9159767876334117,0.08402321236658827
39,39000000,13064.235294117647,10735.277777777777,17,36,1175.2103932932212,762.6091244642656,0.01,0.7668080672187729,0.7668080672187729,0.23319193278122707
