iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,455.6363636363636,nan,55,0,1121.5967577305448,nan,1.0,0.13241966076369874,0.13241966076369874,0.8675803392363013
1,1000000,173.65967365967367,149.04719501335708,429,1123,1088.1401995867436,601.757017052236,0.8020002475,0.019930455842212338,0.019930455842212338,0.9800695441577877
2,2000000,527.1794871794872,204.71885336273428,39,907,1125.8209694389857,540.3701827136105,0.5545002475,0.16096042094366583,0.16096042094366583,0.8390395790563342
3,3000000,516.6666666666666,336.55913978494624,15,558,1122.0591493095453,538.856006247863,0.3070002475,0.156766532359942,0.156766532359942,0.843233467640058
4,4000000,501.68674698795184,355.6334841628959,83,442,1105.0055382988087,542.9316522919469,0.05950024749999997,0.15079058004067172,0.15079058004067172,0.8492094199593283
5,5000000,458.42105263157896,471.6479400749064,76,267,1092.5152477732456,541.5084487732254,0.01,0.1335305591540986,0.1335305591540986,0.8664694408459014
6,6000000,400.0,503.4199134199134,11,231,1091.5144553512705,543.6908342765154,0.01,0.11022459807715322,0.11022459807715322,0.8897754019228468
7,7000000,250.0,547.6063829787234,4,188,1105.0097684455125,545.350650178205,0.01,0.0503849682849962,0.0503849682849962,0.9496150317150038
8,8000000,580.0,554.7196261682243,14,214,1101.120320002294,544.1848165583656,0.01,0.18203215382774163,0.18203215382774163,0.8179678461722584
9,9000000,729.2405063291139,610.2985074626865,79,201,1070.75944115071,547.4060250151836,0.01,0.24156879815259658,0.24156879815259658,0.7584312018474034
10,10000000,698.0952380952381,639.5754716981132,21,212,1107.783701810497,544.1851038541103,0.01,0.22914398934664618,0.22914398934664618,0.7708560106533539
11,11000000,671.25,610.9923664122138,48,262,1080.451515610027,536.7794078117859,0.01,0.21843459528463713,0.21843459528463713,0.7815654047153628
12,12000000,792.2857142857143,645.5725190839695,35,262,1094.3373205321202,536.4975274049576,0.01,0.2667194775145467,0.2667194775145467,0.7332805224854533
13,13000000,946.25,705.0612244897959,48,245,1097.9761762101148,532.5306171889847,0.01,0.32814058323692497,0.32814058323692497,0.671859416763075
14,14000000,754.0,687.7906976744187,25,258,1133.1395007874191,531.5832991361552,0.01,0.25144612438664377,0.25144612438664377,0.7485538756133563
15,15000000,813.0666666666667,662.8897338403042,75,263,1150.1629229168623,526.0640657561825,0.01,0.2750096408292443,0.2750096408292443,0.7249903591707557
16,16000000,783.75,702.6515151515151,8,264,1181.4444625396106,525.2960441696133,0.01,0.2633143176287549,0.2633143176287549,0.7366856823712451
17,17000000,747.5,677.6512455516014,52,281,1187.1474493433907,519.2641767194353,0.01,0.24885307376231694,0.24885307376231694,0.7511469262376831
18,18000000,785.0666666666667,687.9215686274509,75,255,1189.2484498031365,513.8261060131559,0.01,0.26383957660137497,0.26383957660137497,0.736160423398625
19,19000000,813.3333333333334,719.2857142857143,99,252,1173.987904396827,527.1880094768595,0.01,0.2751160223933192,0.2751160223933192,0.7248839776066808
20,20000000,803.2941176470588,720.6538461538462,85,260,1184.9325829639427,526.3378456742247,0.01,0.2711110693928506,0.2711110693928506,0.7288889306071493
21,21000000,858.5714285714286,750.6521739130435,7,230,1224.3144254794584,529.1682002466803,0.01,0.29316289487031894,0.29316289487031894,0.7068371051296811
22,22000000,792.6315789473684,713.7903225806451,38,248,1207.2286405786533,531.5748286234037,0.01,0.2668574536032905,0.2668574536032905,0.7331425463967095
23,23000000,809.8333333333334,740.156862745098,60,255,1208.2655262167489,524.527496860373,0.01,0.2737197643648355,0.2737197643648355,0.7262802356351645
24,24000000,732.2784810126582,736.3529411764706,79,255,1206.9689694237675,524.9517361692609,0.01,0.24278074002180478,0.24278074002180478,0.7572192599781953
25,25000000,810.3846153846154,743.9834024896265,26,241,1224.735073465355,522.5698409252421,0.01,0.2739396877905674,0.2739396877905674,0.7260603122094327
26,26000000,925.0588235294117,739.6946564885496,85,262,1213.1471100472572,526.9927172020247,0.01,0.31968676887118985,0.31968676887118985,0.6803132311288101
27,27000000,806.1538461538462,732.5954198473282,130,262,1212.8243836304127,521.8898614238908,0.01,0.2722519033605322,0.2722519033605322,0.7277480966394678
28,28000000,598.0,749.9621212121212,5,264,1237.5184709600321,524.3044814699017,0.01,0.18921290940280047,0.18921290940280047,0.8107870905971996
29,29000000,746.0,744.8132780082988,10,241,1236.7546966909551,521.1683408501059,0.01,0.24825467746439536,0.24825467746439536,0.7517453225356047
30,30000000,889.6031746031746,750.1176470588235,126,255,1217.6819154569432,518.2010649113557,0.01,0.3055424161659451,0.3055424161659451,0.694457583834055
31,31000000,849.2063492063492,745.9448818897638,63,254,1243.3385424882563,523.3662040016063,0.01,0.2894268756557821,0.2894268756557821,0.7105731243442179
32,32000000,907.4789915966387,746.8482490272373,119,257,1228.3560518127154,518.6066773931989,0.01,0.31267363130675335,0.31267363130675335,0.6873263686932467
33,33000000,766.6666666666666,730.1107011070111,72,271,1291.1201290926567,509.74915264960924,0.01,0.2564992486802037,0.2564992486802037,0.7435007513197963
34,34000000,822.0833333333334,737.8571428571429,24,266,1260.604758217636,512.7457917775811,0.01,0.2786066674645284,0.2786066674645284,0.7213933325354716
35,35000000,935.1111111111111,762.9961089494163,45,257,1295.1504264026992,515.3502979195856,0.01,0.3236969366542111,0.3236969366542111,0.6763030633457889
36,36000000,749.344262295082,726.6780821917808,122,292,1252.762721492192,513.6377424906736,0.01,0.2495888069154992,0.2495888069154992,0.7504111930845008
37,37000000,939.4117647058823,727.6491228070175,17,285,1292.5169061357965,512.0685660105826,0.01,0.3254126001140472,0.3254126001140472,0.6745873998859528
38,38000000,818.0,744.1287878787879,10,264,1259.9798220812556,513.3880240088064,0.01,0.2769776997646307,0.2769776997646307,0.7230223002353693
39,39000000,849.4915254237288,744.1444866920152,59,263,1227.6750654371097,511.6373124297282,0.01,0.289540641250939,0.289540641250939,0.7104593587490611
40,40000000,743.5714285714286,767.9377431906614,28,257,1241.1889770614991,512.3069128834715,0.01,0.24728584536299855,0.24728584536299855,0.7527141546370014
41,41000000,842.1782178217821,761.8279569892474,101,279,1256.1169155791674,511.753159249015,0.01,0.2866231371212279,0.2866231371212279,0.7133768628787721
42,42000000,900.1492537313433,766.6165413533835,67,266,1230.3355537289435,508.6076377768082,0.01,0.3097495726378678,0.3097495726378678,0.6902504273621322
43,43000000,823.9495798319327,771.2367491166078,119,283,1197.205407389576,515.6795414282615,0.01,0.27935117079504235,0.27935117079504235,0.7206488292049577
44,44000000,859.7744360902255,732.8421052631579,133,285,1193.5136926594103,512.4951925590502,0.01,0.2936428117007322,0.2936428117007322,0.7063571882992679
45,45000000,834.7457627118644,732.3611111111111,59,288,1196.0018860696937,515.5996630194371,0.01,0.28365810137306585,0.28365810137306585,0.7163418986269341
46,46000000,888.9473684210526,740.5281690140845,76,284,1178.6352369993003,528.2648702731791,0.01,0.3052807948382545,0.3052807948382545,0.6947192051617455
47,47000000,897.8625954198474,757.8798586572439,131,283,1167.3264468203959,531.0144034978935,0.01,0.3088373540590606,0.3088373540590606,0.6911626459409395
48,48000000,877.1764705882352,753.581081081081,85,296,1167.081840429733,536.4504367606318,0.01,0.30058502038067386,0.30058502038067386,0.6994149796193261
49,49000000,786.1797752808989,751.2237762237762,89,286,1166.5008075935277,530.9245014779997,0.01,0.2642836299840024,0.2642836299840024,0.7357163700159977
50,50000000,888.7301587301587,750.4529616724739,63,287,1165.1699001491577,534.567488474704,0.01,0.3051941431883187,0.3051941431883187,0.6948058568116813
51,51000000,818.0672268907563,736.3028169014085,119,284,1156.5929541694927,534.6950853891219,0.01,0.2770045186463303,0.2770045186463303,0.7229954813536696
52,52000000,827.2440944881889,743.6026936026936,127,297,1143.7420719420952,538.8255895982621,0.01,0.2806654543775437,0.2806654543775437,0.7193345456224562
53,53000000,934.4186046511628,755.438596491228,43,285,1136.4476248725578,540.7807962368576,0.01,0.3234206744529312,0.3234206744529312,0.6765793255470688
54,54000000,793.8709677419355,752.680412371134,124,291,1125.4902712868059,543.037471849563,0.01,0.2673518840475268,0.2673518840475268,0.7326481159524731
55,55000000,881.9230769230769,775.5363321799308,52,289,1131.1005143552973,540.0747005662306,0.01,0.30247858815298073,0.30247858815298073,0.6975214118470192
56,56000000,779.2307692307693,744.527027027027,26,296,1140.7123673842586,539.7301634468885,0.01,0.26151145698758094,0.26151145698758094,0.7384885430124191
57,57000000,842.5641025641025,783.6789297658863,39,299,1115.6226805235622,545.0423389419503,0.01,0.28677707845538053,0.28677707845538053,0.7132229215446195
58,58000000,922.2222222222222,781.6549295774648,108,284,1115.4498858869965,545.3713825986623,0.01,0.3185551610572554,0.3185551610572554,0.6814448389427445
59,59000000,916.6666666666666,793.5636363636364,54,275,1120.1311382171202,545.8012353293315,0.01,0.3163388784723607,0.3163388784723607,0.6836611215276394
60,60000000,727.2093023255813,754.5454545454545,43,286,1120.9361614719135,543.8170582677192,0.01,0.24075848818190498,0.24075848818190498,0.7592415118180951
61,61000000,842.08,765.1505016722408,125,299,1099.4016631283164,528.7304176927651,0.01,0.28658395500059836,0.28658395500059836,0.7134160449994016
62,62000000,895.0434782608696,753.7060702875399,115,313,1099.495359213422,545.7328996853098,0.01,0.30771272121150095,0.30771272121150095,0.692287278788499
63,63000000,787.2535211267606,785.5555555555555,142,297,999.9823003303129,535.3026195849251,0.01,0.2647119803433839,0.2647119803433839,0.735288019656616
64,64000000,832.6315789473684,760.2631578947369,19,304,1113.7667168612688,527.8069663845852,0.01,0.2828146882145324,0.2828146882145324,0.7171853117854676
65,65000000,876.1538461538462,747.3578595317725,13,299,1061.149138316585,548.3715476525017,0.01,0.3001770639302055,0.3001770639302055,0.6998229360697945
66,66000000,751.474358974359,787.9411764705883,156,306,639.997653905695,478.90055286700493,0.01,0.2504385682268955,0.2504385682268955,0.7495614317731045
67,67000000,858.7878787878788,752.275641025641,33,312,1066.6846305396823,550.2663264845098,0.01,0.2932492435424577,0.2932492435424577,0.7067507564575424
68,68000000,891.5116279069767,775.8730158730159,86,315,1074.9062182161033,554.217449734362,0.01,0.3063037570937793,0.3063037570937793,0.6936962429062207
69,69000000,920.7692307692307,802.4126984126984,130,315,1061.403650822711,551.3206888463043,0.01,0.31797551791966755,0.31797551791966755,0.6820244820803325
70,70000000,1034.7297297297298,807.5415282392026,74,301,1061.404804523867,559.119759782019,0.01,0.36343787837783925,0.36343787837783925,0.6365621216221607
71,71000000,889.8571428571429,828.936877076412,70,301,1067.1361795080359,557.2047741198008,0.01,0.30564373194125455,0.30564373194125455,0.6943562680587454
72,72000000,973.047619047619,842.5165562913908,105,302,1067.2547144585922,554.983519789455,0.01,0.33883098059106354,0.33883098059106354,0.6611690194089365
73,73000000,909.1549295774648,866.6077738515901,71,283,1056.8292528431348,554.8987103228634,0.01,0.31334221469560164,0.31334221469560164,0.6866577853043984
74,74000000,1187.2222222222222,888.5,72,280,1062.7425453759652,557.1864787322288,0.01,0.42427184035673277,0.42427184035673277,0.5757281596432673
75,75000000,1018.5294117647059,940.3088803088804,68,259,1061.5098126713888,554.5822911580228,0.01,0.35697507151422414,0.35697507151422414,0.6430249284857759
76,76000000,1024.2857142857142,971.875,91,256,1043.3087192290022,556.5850399690162,0.01,0.3592714382597495,0.3592714382597495,0.6407285617402505
77,77000000,1087.7215189873418,1008.4937238493724,79,239,1048.9520921845751,556.1045780752576,0.01,0.3845779387191693,0.3845779387191693,0.6154220612808308
78,78000000,1050.7142857142858,1062.5751072961373,14,233,1061.6685509812135,558.1888839740253,0.01,0.3698146111278915,0.3698146111278915,0.6301853888721085
79,79000000,1199.642857142857,1060.6349206349207,56,252,1100.1442619828717,561.3306224273786,0.01,0.42922681499296167,0.42922681499296167,0.5707731850070383
80,80000000,1226.3157894736842,1014.17004048583,38,247,1075.7087434661225,559.5900627278468,0.01,0.4398674709672813,0.4398674709672813,0.5601325290327187
81,81000000,1237.5675675675675,1045.910931174089,37,247,1092.4019160162177,557.3705290346504,0.01,0.44435615253822447,0.44435615253822447,0.5556438474617755
82,82000000,1086.2921348314608,1080.7264957264956,89,234,1066.8634698367864,557.9386846390787,0.01,0.38400771326104466,0.38400771326104466,0.6159922867389553
83,83000000,1202.8333333333333,1029.5833333333333,60,240,1068.1927359590993,553.624405100108,0.01,0.43049959442028685,0.43049959442028685,0.5695004055797132
84,84000000,1208.2758620689656,1071.1522633744855,29,243,1086.5021518102055,555.6813339768107,0.01,0.43267078711810963,0.43267078711810963,0.5673292128818903
85,85000000,1043.5135135135135,1052.3949579831933,74,238,1043.3949513002647,557.0405358580159,0.01,0.3669420008431457,0.3669420008431457,0.6330579991568543
86,86000000,1083.2911392405063,1053.596837944664,79,253,1049.4894708963673,556.925627126448,0.01,0.3828105234932406,0.3828105234932406,0.6171894765067594
87,87000000,1172.8260869565217,1059.9170124481327,92,241,1049.5068832643587,556.9838095196734,0.01,0.4185287776584839,0.4185287776584839,0.5814712223415162
88,88000000,1177.6190476190477,1035.2966101694915,84,236,1066.1979559928347,557.9772010199881,0.01,0.4204408376028434,0.4204408376028434,0.5795591623971565
89,89000000,911.6438356164383,1038.2101167315175,73,257,1082.2768382109994,555.635657363685,0.01,0.3143351161353326,0.3143351161353326,0.6856648838646674
90,90000000,1118.3333333333333,1053.1983805668017,12,247,1078.9840931193733,554.4680095756778,0.01,0.3967899363040384,0.3967899363040384,0.6032100636959616
91,91000000,1186.2385321100917,1090.1762114537446,109,227,1046.2320146138745,551.3253876661015,0.01,0.42387941600913215,0.42387941600913215,0.5761205839908679
92,92000000,1247.3170731707316,1099.7402597402597,41,231,1058.9853592425507,555.066226770792,0.01,0.4482455312445572,0.4482455312445572,0.5517544687554428
93,93000000,998.5714285714286,1107.5213675213674,35,234,1054.1464339978638,556.2569701630184,0.01,0.34901321600966545,0.34901321600966545,0.6509867839903345
94,94000000,1280.0,1131.4150943396226,65,212,1050.381955427177,554.6261368033167,0.01,0.4612837595244743,0.4612837595244743,0.5387162404755257
95,95000000,1368.1159420289855,1122.1393034825871,69,201,1061.2459091083485,556.1210482791466,0.01,0.4964359285231521,0.4964359285231521,0.5035640714768479
96,96000000,1283.076923076923,1153.8028169014085,65,213,1046.802274105324,553.5996320388289,0.01,0.4625112391099545,0.4625112391099545,0.5374887608900455
97,97000000,1018.0,1137.4883720930231,25,215,1045.3227369008155,554.4679637397069,0.01,0.3567638728208401,0.3567638728208401,0.6432361271791599
98,98000000,1308.2558139534883,1133.4763948497855,86,233,1032.6528532137352,555.4907210072824,0.01,0.4725558758341597,0.4725558758341597,0.5274441241658403
