iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.07114624505928854,nan,1012,0,982.2369331456334,nan,1.0,-0.05655742204655248,-0.05655742204655248,1.0565574220465526
1,1000000,0.0,1.2674591381872213,6,1346,1046.1461902424207,650.6551167237662,0.8020002475,-0.059027777777777776,-0.059027777777777776,1.0590277777777777
2,2000000,0.05309734513274336,1.206794682422452,1017,1354,975.0081189556537,609.738490767902,0.5545002475,-0.057184119960668627,-0.057184119960668627,1.0571841199606686
3,3000000,1.0250329380764163,1.3193087903831706,759,1331,984.9964007794719,606.4053558479374,0.3070002475,-0.0234363563167911,-0.0234363563167911,1.0234363563167912
4,4000000,6.052631578947368,1.839382940108893,19,1102,1039.4323836224166,610.7440831662029,0.05950024749999997,0.1511330409356725,0.1511330409356725,0.8488669590643275
5,5000000,14.82819383259912,9.914081145584726,227,419,1024.219449863207,620.6249369348909,0.01,0.45584006363191387,0.45584006363191387,0.5441599363680861
6,6000000,21.99462365591398,17.435567010309278,186,388,1020.818758760094,617.2542057552521,0.01,0.7046744324970132,0.7046744324970132,0.2953255675029868
7,7000000,23.125,21.106100795755967,216,377,1016.0437838190031,613.263260058128,0.01,0.7439236111111112,0.7439236111111112,0.25607638888888884
8,8000000,34.903614457831324,24.413513513513514,166,370,1004.5981242424755,609.3226924908778,0.01,1.1529032797858096,1.0,0.0
9,9000000,88.57037037037037,29.98787878787879,135,330,1033.2393208234118,609.5037820060671,0.01,3.016332304526749,1.0,0.0
10,10000000,53.28703703703704,39.11808118081181,108,271,1038.3669825116485,617.3819038104297,0.01,1.791216563786008,1.0,0.0
11,11000000,71.50549450549451,55.71238938053097,91,226,1018.6075033941845,613.5043379361346,0.01,2.4238018925518925,1.0,0.0
12,12000000,62.06185567010309,70.0780487804878,97,205,1025.0264357689148,612.1215605910386,0.01,2.095897766323024,1.0,0.0
13,13000000,132.61111111111111,87.55080213903743,72,187,1036.145361235666,616.8910016551857,0.01,4.545524691358025,1.0,0.0
14,14000000,176.88,117.98830409356725,25,171,1046.2377059876364,619.2876821460667,0.01,6.082638888888889,1.0,0.0
15,15000000,88.0657894736842,118.91071428571429,76,168,1036.2543225932332,616.3787776071792,0.01,2.9988121345029235,1.0,0.0
16,16000000,220.40540540540542,127.50898203592814,37,167,1033.3083746334962,616.262103618689,0.01,7.5939376876876885,1.0,0.0
17,17000000,192.42857142857142,156.31372549019608,21,153,1041.192856261969,616.6901508754697,0.01,6.622519841269841,1.0,0.0
18,18000000,195.5625,192.06521739130434,32,138,1035.0219736984513,615.0896148725441,0.01,6.731336805555555,1.0,0.0
19,19000000,289.77777777777777,225.56617647058823,27,136,1044.7994610279968,615.7035318047405,0.01,10.002700617283951,1.0,0.0
20,20000000,221.08823529411765,257.7293233082707,34,133,1015.1970955836638,606.7376153836611,0.01,7.61764705882353,1.0,0.0
21,21000000,355.4,310.4186046511628,10,129,1014.6528641988848,608.6347786050828,0.01,12.28125,1.0,0.0
22,22000000,359.875,337.7699115044248,16,113,1062.2679776675345,615.5142323079406,0.01,12.436631944444445,1.0,0.0
23,23000000,292.09090909090907,370.2020202020202,11,99,1042.9329152041566,617.4575873704714,0.01,10.083017676767676,1.0,0.0
24,24000000,385.125,363.40425531914894,8,94,1062.7592309973338,621.4910713368192,0.01,13.313368055555555,1.0,0.0
25,25000000,373.3076923076923,370.38271604938274,13,81,1046.421351613215,616.6052901770455,0.01,12.903044871794872,1.0,0.0
26,26000000,389.4,388.12820512820514,5,78,1061.5108972703051,617.91891806014,0.01,13.461805555555555,1.0,0.0
27,27000000,392.5,403.7258064516129,8,62,1005.9027539613219,620.6501295438072,0.01,13.569444444444445,1.0,0.0
28,28000000,358.1666666666667,412.1818181818182,6,66,1051.4195641784638,618.1231541584667,0.01,12.377314814814815,1.0,0.0
29,29000000,412.6666666666667,408.40983606557376,6,61,1050.445020650543,615.3465784691116,0.01,14.269675925925927,1.0,0.0
30,30000000,343.3333333333333,403.9861111111111,6,72,1025.978022756663,613.1719710690325,0.01,11.862268518518517,1.0,0.0
31,31000000,323.1875,394.5692307692308,16,65,1017.0788166442056,603.93390843175,0.01,11.162760416666666,1.0,0.0
32,32000000,372.0,384.61971830985914,4,71,1038.0772718104365,607.4419502492815,0.01,12.85763888888889,1.0,0.0
33,33000000,338.75,421.672131147541,4,61,1036.4222956998806,621.6673429456774,0.01,11.703125,1.0,0.0
34,34000000,400.0,466.31481481481484,5,54,1060.4006175361797,619.7685336810124,0.01,13.82986111111111,1.0,0.0
35,35000000,483.8,399.01612903225805,5,62,1073.3123577231395,622.2098313267811,0.01,16.739583333333332,1.0,0.0
36,36000000,389.85714285714283,425.5238095238095,7,63,1047.419818480629,612.9527067927745,0.01,13.477678571428571,1.0,0.0
37,37000000,408.2,419.140350877193,5,57,1014.8926586196599,614.636349911341,0.01,14.114583333333332,1.0,0.0
38,38000000,426.3333333333333,419.6949152542373,6,59,1071.2949573838011,614.4035564530864,0.01,14.744212962962962,1.0,0.0
39,39000000,479.2,429.82456140350877,5,57,1066.2040618499109,620.8854558544031,0.01,16.57986111111111,1.0,0.0
40,40000000,357.25,441.0,4,57,1050.371603346445,623.1431347930551,0.01,12.34548611111111,1.0,0.0
41,41000000,410.8333333333333,407.1166666666667,6,60,1067.5184748586416,621.7114548929417,0.01,14.206018518518517,1.0,0.0
42,42000000,404.5,422.45098039215685,4,51,1058.9614526656014,624.7833273820278,0.01,13.98611111111111,1.0,0.0
43,43000000,378.4,480.1333333333333,5,45,1036.0684748668064,615.7139394798235,0.01,13.07986111111111,1.0,0.0
44,44000000,318.125,402.463768115942,8,69,1020.2102038474226,619.9143035259132,0.01,10.986979166666666,1.0,0.0
45,45000000,414.54545454545456,405.8030303030303,11,66,1046.5262321713074,615.590861993497,0.01,14.334911616161616,1.0,0.0
46,46000000,383.1666666666667,393.1142857142857,6,70,1051.7306836212447,617.9219050414412,0.01,13.24537037037037,1.0,0.0
47,47000000,403.5,416.258064516129,4,62,1034.7367583065352,614.2483762824521,0.01,13.95138888888889,1.0,0.0
48,48000000,382.25,440.89285714285717,4,56,1052.3830976573968,617.2869020623313,0.01,13.213541666666666,1.0,0.0
49,49000000,607.5,428.41509433962267,6,53,1045.504976531305,616.643590635504,0.01,21.03472222222222,1.0,0.0
50,50000000,404.75,421.7536231884058,4,69,1048.4404512459107,616.3491748398742,0.01,13.994791666666666,1.0,0.0
51,51000000,401.0,425.7692307692308,5,65,1044.3484210336615,615.1082065117495,0.01,13.864583333333334,1.0,0.0
52,52000000,376.75,413.55737704918033,8,61,1015.4357524680579,610.762495056786,0.01,13.022569444444445,1.0,0.0
53,53000000,372.5,441.3898305084746,4,59,1034.7575312753759,616.1160610449637,0.01,12.875,1.0,0.0
54,54000000,409.0,421.1333333333333,5,60,1072.3543972967577,614.0357643837115,0.01,14.14236111111111,1.0,0.0
55,55000000,399.875,430.5409836065574,8,61,1065.456424497482,620.6596508708872,0.01,13.825520833333334,1.0,0.0
56,56000000,337.1333333333333,423.76190476190476,15,63,1058.453380589636,623.0976066062233,0.01,11.64699074074074,1.0,0.0
57,57000000,396.6666666666667,418.85,9,60,1051.1034850331896,625.256926706648,0.01,13.71412037037037,1.0,0.0
58,58000000,314.25,430.3606557377049,12,61,1022.8448476522738,618.036412624887,0.01,10.852430555555555,1.0,0.0
59,59000000,407.1666666666667,417.0,6,67,1065.7002588941475,615.4083742223265,0.01,14.078703703703704,1.0,0.0
60,60000000,380.85714285714283,407.2173913043478,7,69,1046.6919289983327,622.7675649050516,0.01,13.165178571428571,1.0,0.0
61,61000000,341.8333333333333,431.76666666666665,6,60,1059.4549920658487,618.7030800178187,0.01,11.810185185185185,1.0,0.0
62,62000000,385.60869565217394,426.8059701492537,23,67,1046.1570850360858,621.4914004503016,0.01,13.330163043478262,1.0,0.0
63,63000000,400.375,443.4029850746269,8,67,1045.9417326792295,618.4835041973513,0.01,13.842881944444445,1.0,0.0
64,64000000,487.75,422.972602739726,8,73,1055.2995421024211,614.1405085470466,0.01,16.87673611111111,1.0,0.0
65,65000000,412.8,468.9852941176471,5,68,1061.4368050448286,620.1587185998659,0.01,14.274305555555555,1.0,0.0
66,66000000,387.6666666666667,431.20338983050846,6,59,1004.8758162257874,612.5038485568389,0.01,13.40162037037037,1.0,0.0
67,67000000,498.6666666666667,446.34328358208955,6,67,1050.0408732035078,612.5164042879105,0.01,17.255787037037038,1.0,0.0
68,68000000,388.0,438.8524590163934,6,61,1051.7779175553917,616.8100640498525,0.01,13.413194444444445,1.0,0.0
69,69000000,415.85714285714283,481.56363636363636,7,55,1057.099591019325,621.1938405728529,0.01,14.380456349206348,1.0,0.0
70,70000000,530.3333333333334,460.2258064516129,6,62,1036.7802008346043,615.1139381193898,0.01,18.355324074074073,1.0,0.0
71,71000000,383.0,424.3538461538462,6,65,1002.4626896632393,606.8654393149847,0.01,13.239583333333334,1.0,0.0
72,72000000,458.375,453.0,8,65,1065.3885037820414,609.4221863679638,0.01,15.856770833333334,1.0,0.0
73,73000000,394.7142857142857,424.328125,7,64,1047.4253228438645,620.0506618274808,0.01,13.646329365079366,1.0,0.0
74,74000000,407.7857142857143,436.6060606060606,14,66,1051.8318242211285,617.4624367916388,0.01,14.100198412698413,1.0,0.0
