iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,180.3913043478261,nan,115,0,1529.396904807097,nan,1.0,-0.19247324685950917,-0.19247324685950917,1.1924732468595092
1,1000000,1369.41875,2237.2942857142857,160,350,1023.8493315003295,783.68899738922,0.8020002475,-0.07268526913893675,-0.07268526913893675,1.0726852691389368
2,2000000,682.7836257309941,1964.650704225352,171,355,1012.4343287098797,551.406559935582,0.5545002475,-0.14185998269904654,-0.14185998269904654,1.1418599826990465
3,3000000,1028.6971153846155,2021.3204419889503,208,362,994.0045088059242,553.8144999686673,0.3070002475,-0.10701110049419052,-0.10701110049419052,1.1070111004941905
4,4000000,2087.558659217877,2036.1820652173913,179,368,993.5622490882029,553.5303128660421,0.05950024749999997,-0.00033662171266893315,-0.00033662171266893315,1.000336621712669
5,5000000,2318.52688172043,2160.3155080213905,186,374,1009.7917384868151,554.2233995419261,0.01,0.02293215681087537,0.02293215681087537,0.9770678431891247
6,6000000,2228.3488372093025,2475.266149870801,215,387,1003.7062974996529,551.9966898090402,0.01,0.013847214637098395,0.013847214637098395,0.9861527853629016
7,7000000,4225.339743589743,3073.672463768116,156,345,1005.4246154120256,549.8167661565187,0.01,0.21503306873694028,0.21503306873694028,0.7849669312630597
8,8000000,3772.2042253521126,2887.7051671732524,142,329,1009.4291549395391,552.2932615770762,0.01,0.1693821566730249,0.1693821566730249,0.8306178433269751
9,9000000,2570.060606060606,3064.770642201835,165,327,1019.99265509087,550.0330681603513,0.01,0.04827279657273309,0.04827279657273309,0.9517272034272669
10,10000000,3929.8571428571427,3118.828025477707,140,314,1002.9903478121437,550.6281015479799,0.01,0.18526482131523384,0.18526482131523384,0.8147351786847662
11,11000000,3398.3398692810456,3226.912052117264,153,307,1008.166962842425,550.7338018303354,0.01,0.13171737835414166,0.13171737835414166,0.8682826216458583
12,12000000,4324.3488372093025,3750.751655629139,129,302,1002.6586156954751,550.5385871599366,0.01,0.22500769055412523,0.22500769055412523,0.7749923094458748
13,13000000,5126.41592920354,3811.5525423728814,113,295,1018.9656126386947,549.6011122476851,0.01,0.3058115402024501,0.3058115402024501,0.6941884597975498
14,14000000,4864.02027027027,3498.952076677316,148,313,1024.8817589002301,550.856347143745,0.01,0.2793766202506795,0.2793766202506795,0.7206233797493204
15,15000000,2641.8375,3901.967213114754,160,305,1024.0327428164626,551.0966521186766,0.01,0.05550392399834779,0.05550392399834779,0.9444960760016522
16,16000000,3589.3706293706296,3841.608108108108,143,296,1021.1874996212098,550.6910876508896,0.01,0.15096267712098704,0.15096267712098704,0.8490373228790129
17,17000000,2037.840490797546,4103.887417218543,163,302,988.6820442385834,550.3185157209042,0.01,-0.005345453824004809,-0.005345453824004809,1.0053454538240048
18,18000000,4701.633333333333,4203.8394648829435,150,299,1005.9755053334516,550.6153741749004,0.01,0.26301702917896586,0.26301702917896586,0.7369829708210341
19,19000000,3781.0,3639.158357771261,170,341,994.976361848364,551.1693369265578,0.01,0.17026828260847662,0.17026828260847662,0.8297317173915234
20,20000000,4170.860759493671,4069.420118343195,158,338,1015.3049692822342,551.4402237687349,0.01,0.20954461062186266,0.20954461062186266,0.7904553893781373
21,21000000,3713.3473684210526,4202.650887573965,190,338,1020.0652227555776,549.5050371138209,0.01,0.1634526519399414,0.1634526519399414,0.8365473480600586
22,22000000,4274.048128342246,4162.072829131653,187,357,1028.6898168370615,552.0291061073142,0.01,0.21994017069566554,0.21994017069566554,0.7800598293043345
23,23000000,3880.139037433155,4676.478527607362,187,326,1044.125369641835,549.5663863163677,0.01,0.18025599555043317,0.18025599555043317,0.8197440044495669
24,24000000,4098.186813186813,4254.476744186047,182,344,1040.2643286695732,544.8989609460328,0.01,0.20222311010233757,0.20222311010233757,0.7977768898976625
25,25000000,4178.13829787234,4402.470414201183,188,338,1034.4508581633575,542.91763793796,0.01,0.21027778260065286,0.21027778260065286,0.7897222173993471
26,26000000,5747.657142857143,4681.009118541034,140,329,1069.0622603676854,537.6665069890447,0.01,0.36839817681235765,0.36839817681235765,0.6316018231876424
27,27000000,4638.90395480226,4699.580060422961,177,331,1074.14567366395,539.6238862682986,0.01,0.25669738918631285,0.25669738918631285,0.7433026108136871
28,28000000,3358.3502824858756,4396.422740524781,177,343,1065.5663284631214,536.9363907855812,0.01,0.1276886473525227,0.1276886473525227,0.8723113526474773
29,29000000,5790.304964539007,4846.0306748466255,141,326,1091.6843347727076,536.5723022132156,0.01,0.3726947103634869,0.3726947103634869,0.6273052896365131
30,30000000,5604.5921052631575,4863.74006116208,152,327,1088.041031181439,533.2821589018267,0.01,0.3539851608651089,0.3539851608651089,0.6460148391348911
31,31000000,4646.251655629139,5005.633228840125,151,319,1095.8040465125562,533.3120587687042,0.01,0.25743762964599787,0.25743762964599787,0.7425623703540021
32,32000000,5158.898203592815,5097.364217252396,167,313,1105.9720661044469,528.447793851717,0.01,0.3090839507553636,0.3090839507553636,0.6909160492446365
33,33000000,4716.992647058823,5021.948717948718,136,312,1102.6171749715727,512.0722387484387,0.01,0.2645643955892872,0.2645643955892872,0.7354356044107129
34,34000000,4648.463855421687,5036.052147239264,166,326,1000.3879423352694,509.9286991481778,0.01,0.25766049661213236,0.25766049661213236,0.7423395033878677
35,35000000,4948.326797385621,5000.799418604651,153,344,1058.0434181335818,500.6185668600468,0.01,0.2878700393292049,0.2878700393292049,0.7121299606707951
36,36000000,5369.89928057554,5021.33628318584,139,339,956.2635133061104,527.367806322035,0.01,0.33034114914977075,0.33034114914977075,0.6696588508502292
37,37000000,5130.625,5215.74251497006,184,334,1022.9588831323209,545.9954845130301,0.01,0.30623558094317,0.30623558094317,0.69376441905683
38,38000000,5008.067415730337,5249.880952380952,178,336,1003.2647686194898,522.569525347448,0.01,0.2938885781656781,0.2938885781656781,0.7061114218343219
39,39000000,4361.24064171123,5417.264797507788,187,321,1020.8903032247275,547.9063599231406,0.01,0.2287243370217134,0.2287243370217134,0.7712756629782866
40,40000000,5584.503144654088,5489.284829721362,159,323,1020.6651659941748,550.9995192176457,0.01,0.351961308535486,0.351961308535486,0.648038691464514
41,41000000,6668.683823529412,5662.313479623825,136,319,1012.0638614751252,548.0143753270918,0.01,0.4611865509645693,0.4611865509645693,0.5388134490354307
42,42000000,5719.0,5462.217391304348,176,322,1011.9830687433324,548.5550727798853,0.01,0.3655111272302314,0.3655111272302314,0.6344888727697686
