iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,4,0,819.5922035356095,nan,1.0,-0.12331224911811214,-0.12331224911811214,1.1233122491181122
1,1000000,900.0,821.4285714285714,4,14,813.7074551544894,499.1746768957664,0.8020002475,0.013532416980902566,0.013532416980902566,0.9864675830190974
2,2000000,612.5,723.5294117647059,8,17,812.5606745694358,439.0008758833682,0.5545002475,-0.03018185135628269,-0.03018185135628269,1.0301818513562826
3,3000000,0.37243947858473,623.8095238095239,537,21,791.5471712456534,439.87209103815167,0.3070002475,-0.1232556198335688,-0.1232556198335688,1.1232556198335688
4,4000000,845.4545454545455,550.0,11,18,806.9079450775873,437.4994623890801,0.05950024749999997,0.005238800853689559,0.005238800853689559,0.9947611991463104
5,5000000,428.57142857142856,363.1578947368421,7,19,803.4666065093361,440.01713616511097,0.01,-0.05814812240429562,-0.05814812240429562,1.0581481224042957
6,6000000,420.0,258.3333333333333,5,12,808.4084327906575,439.73055917238094,0.01,-0.05945140493857195,-0.05945140493857195,1.059451404938572
7,7000000,480.0,383.3333333333333,5,12,811.5511033942847,446.1608472035025,0.01,-0.050328427198637636,-0.050328427198637636,1.0503284271986377
8,8000000,371.42857142857144,560.0,7,15,813.016959920394,443.16213570587405,0.01,-0.06683667263280449,-0.06683667263280449,1.0668366726328045
9,9000000,375.0,518.75,8,16,810.0792297234252,436.8415113478432,0.01,-0.06629363824352269,-0.06629363824352269,1.0662936382435226
10,10000000,420.0,490.0,5,10,809.4874115353532,440.0735656429019,0.01,-0.05945140493857195,-0.05945140493857195,1.059451404938572
11,11000000,468.57142857142856,436.8421052631579,35,19,817.6712962623656,445.0201467324967,0.01,-0.05206613724433941,-0.05206613724433941,1.0520661372443394
12,12000000,216.66666666666666,504.1666666666667,6,24,815.3705487706824,438.34663395691973,0.01,-0.09036816283501602,-0.09036816283501602,1.090368162835016
13,13000000,346.6666666666667,495.45454545454544,15,22,801.9042261034384,439.96217135162215,0.01,-0.07060171106515833,-0.07060171106515833,1.0706017110651582
14,14000000,340.0,587.5,10,16,807.5094471647254,446.0802554868183,0.01,-0.07161537525848437,-0.07161537525848437,1.0716153752584843
15,15000000,550.0,461.9047619047619,4,21,815.4402508101739,440.6836962027831,0.01,-0.03968495316871427,-0.03968495316871427,1.0396849531687142
16,16000000,816.6666666666666,472.22222222222223,12,18,818.6170129156463,434.8334568191757,0.01,0.0008616145643271239,0.0008616145643271239,0.9991383854356729
