iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,29,0,1238.2267765945865,nan,1.0,-0.4303781802793735,-0.4303781802793735,1.4303781802793736
1,1000000,3400.0,8411.627906976744,12,86,1395.7831225226264,654.5341136437623,0.8020002475,-0.2946436769678509,-0.2946436769678509,1.2946436769678509
2,2000000,2250.0,11897.894736842105,36,95,1228.6451849436733,619.7421952440354,0.5545002475,-0.3405538766173365,-0.3405538766173365,1.3405538766173364
3,3000000,9106.25,18725.8064516129,32,93,1234.7977866428507,639.0422146463939,0.3070002475,-0.06683926240274024,-0.06683926240274024,1.0668392624027403
4,4000000,4778.378378378378,25164.634146341465,37,82,1509.8971754490601,594.5753792138961,0.05950024749999997,-0.23961617562534168,-0.23961617562534168,1.2396161756253417
5,5000000,3876.086956521739,29097.058823529413,46,68,1218.6862519900562,601.8489871302709,0.01,-0.2756373750335648,-0.2756373750335648,1.2756373750335648
6,6000000,15916.666666666666,34649.253731343284,6,67,1215.7706578183638,633.0757462706848,0.01,0.20504559747799966,0.20504559747799966,0.7949544025220003
7,7000000,50150.0,44759.09090909091,6,66,1352.5559055250246,612.3378338852008,0.01,1.5717057435655857,1.0,0.0
8,8000000,72005.0,58336.92307692308,20,65,1253.840541830622,581.112350762122,0.01,2.4441991464695056,1.0,0.0
9,9000000,88656.52173913043,62309.67741935484,23,62,1177.4715774860852,613.8638502556728,0.01,3.108959744305356,1.0,0.0
10,10000000,32019.04761904762,65679.66101694915,21,59,1166.2680762072878,613.1722311304875,0.01,0.8478834447439855,0.8478834447439855,0.15211655525601453
11,11000000,18842.85714285714,73989.6551724138,14,58,1392.6515519566478,588.5782230137127,0.01,0.32186471832524144,0.32186471832524144,0.6781352816747586
12,12000000,90600.0,92734.61538461539,7,52,1177.419218805708,574.520449356895,0.01,3.1865471138453185,1.0,0.0
13,13000000,72631.25,98700.0,32,53,1180.186198120978,611.3955604609255,0.01,2.469200244322106,1.0,0.0
14,14000000,36530.0,77771.69811320755,10,53,1185.0790531927944,615.5979138142281,0.01,1.0279692920647214,1.0,0.0
15,15000000,49400.0,86758.82352941176,5,51,1431.9945600862006,580.4259359262743,0.01,1.5417643090115734,1.0,0.0
16,16000000,96740.0,87587.5,10,56,1188.3524705866423,572.6227564208589,0.01,3.431667658060833,1.0,0.0
17,17000000,26925.0,87305.6603773585,8,53,1225.5000319317098,628.7296119673317,0.01,0.6445193202096698,0.6445193202096698,0.35548067979033016
18,18000000,38200.0,77383.01886792453,10,53,1235.787726894281,627.6701840248488,0.01,1.094638886338322,1.0,0.0
19,19000000,95073.68421052632,98258.18181818182,19,55,1397.6428607749895,583.4716410881515,0.01,3.3651451445183747,1.0,0.0
20,20000000,74859.375,99770.37037037036,32,54,1222.7540344365746,606.8953575072785,0.01,2.558151256142984,1.0,0.0
21,21000000,98530.76923076923,90800.0,13,53,1234.139560408036,631.6068513694619,0.01,3.503158591026721,1.0,0.0
22,22000000,67850.0,97253.0612244898,14,49,1465.8081771230045,594.7243429235235,0.01,2.2783235990402773,1.0,0.0
23,23000000,100590.0,93954.54545454546,10,55,1226.4733887660964,587.6501995114265,0.01,3.5853670221047627,1.0,0.0
24,24000000,7134.482758620689,97723.07692307692,29,52,1205.7401711325258,631.7301446923112,0.01,-0.14555598215407903,-0.14555598215407903,1.145555982154079
25,25000000,130350.0,95221.42857142857,10,56,1283.9984732307105,617.44183508604,0.01,4.773443145207973,1.0,0.0
26,26000000,49538.88888888889,100740.0,18,55,1317.3805709564206,586.8686207022504,0.01,1.5473090191141683,1.0,0.0
27,27000000,72710.52631578948,105380.39215686274,19,51,1199.4751847350733,620.6041485703709,0.01,2.4723651064832977,1.0,0.0
28,28000000,123868.96551724138,103008.92857142857,29,56,1205.7578663182815,632.1312439526773,0.01,4.514707852130887,1.0,0.0
29,29000000,97514.28571428571,92340.4255319149,7,47,1493.997893328322,595.9557632404338,0.01,3.4625786247813557,1.0,0.0
30,30000000,108770.0,95851.85185185185,10,54,1227.586184091973,589.2192164249099,0.01,3.9119282683071908,1.0,0.0
31,31000000,124232.14285714286,97774.50980392157,28,51,1213.691110340703,629.4136374971908,0.01,4.529206586203101,1.0,0.0
32,32000000,104548.27586206897,103026.78571428571,29,56,1304.403403405338,627.1741534914256,0.01,3.743388965665916,1.0,0.0
33,33000000,118410.3448275862,108575.92592592593,29,54,1301.2469289587214,588.7957483987458,0.01,4.296789273284903,1.0,0.0
34,34000000,101262.5,117635.84905660378,16,53,1211.2008171964453,622.2073052433352,0.01,3.6122145084215274,1.0,0.0
35,35000000,116909.52380952382,112289.28571428571,21,56,1205.361282555153,631.9559223635009,0.01,4.236873627565434,1.0,0.0
36,36000000,119644.0,106916.36363636363,25,55,1464.1780967141397,588.4317228058811,0.01,4.346039147427631,1.0,0.0
37,37000000,84850.0,107033.96226415095,4,53,1207.8655194802775,591.822412880358,0.01,2.9569961155978906,1.0,0.0
38,38000000,126407.4074074074,113137.03703703704,27,54,1213.7257232019226,631.8150873681337,0.01,4.6160473077623125,1.0,0.0
39,39000000,109475.0,121512.5,12,56,1264.2203057419833,625.4564789332559,0.01,3.9400732167879626,1.0,0.0
40,40000000,101315.38461538461,116498.11320754717,13,53,1363.1806167910836,584.3708369034513,0.01,3.6143257634221304,1.0,0.0
41,41000000,147485.7142857143,119298.11320754717,21,53,1213.685760445059,609.6029684447712,0.01,5.457533635637264,1.0,0.0
42,42000000,125936.36363636363,123469.09090909091,22,55,1235.5930916933744,636.4725005694911,0.01,4.597242339438603,1.0,0.0
43,43000000,123260.0,117259.61538461539,15,52,1491.2779477258114,599.8061988246991,0.01,4.490396783890709,1.0,0.0
44,44000000,110614.28571428571,114885.71428571429,7,56,1246.0954684513586,591.7322732752776,0.01,3.985555681658105,1.0,0.0
45,45000000,129976.0,118260.0,25,55,1237.1312093999654,636.3763018461534,0.01,4.758512349843706,1.0,0.0
46,46000000,129759.09090909091,128237.5,22,48,1344.3064607423044,613.8362763731907,0.01,4.749852924044205,1.0,0.0
47,47000000,123311.11111111111,129869.81132075471,27,53,1220.7479505416884,583.0847519282866,0.01,4.492437237208464,1.0,0.0
48,48000000,134200.0,125575.47169811321,17,53,1217.0017374164072,625.0365634169908,0.01,4.927142509251903,1.0,0.0
49,49000000,133291.66666666666,120901.85185185185,12,54,1227.7120922023055,631.7858840660546,0.01,4.8908801051809325,1.0,0.0
50,50000000,128430.76923076923,119512.96296296296,26,54,1486.5463413807106,586.365406318475,0.01,4.696823781913347,1.0,0.0
51,51000000,97200.0,123200.0,24,55,1206.4768551854777,604.4040967724764,0.01,3.450031737920627,1.0,0.0
52,52000000,62354.545454545456,126841.07142857143,11,56,1231.3372383967444,632.5753529639131,0.01,2.058934542217241,1.0,0.0
53,53000000,134824.0,124369.64285714286,25,56,1397.6111209051107,611.7053843601119,0.01,4.952053782800841,1.0,0.0
54,54000000,127503.44827586207,132281.4814814815,29,54,1244.3793373387768,588.6399873883264,0.01,4.659803355670791,1.0,0.0
55,55000000,131544.8275862069,131192.45283018867,29,53,1216.574323396662,626.0636579888416,0.01,4.821142947842296,1.0,0.0
56,56000000,118186.36363636363,123013.2075471698,22,53,1220.640446293285,632.0222202237884,0.01,4.287847515713809,1.0,0.0
57,57000000,132650.0,127291.22807017544,28,57,1487.8826570090978,589.8061031836611,0.01,4.865263544506944,1.0,0.0
