iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,750.0,nan,4,0,1348.2329679365869,nan,1.0,-0.13433958923512745,-0.13433958923512745,1.1343395892351276
1,1000000,2062.5,3544.4,4,125,1147.5732794904598,768.1597346949707,0.8020002475,-0.051345609065155805,-0.051345609065155805,1.0513456090651558
2,2000000,1258.3333333333333,3250.3355704697988,6,149,1143.136487702991,708.706134472105,0.5545002475,-0.10219588897882098,-0.10219588897882098,1.102195888978821
3,3000000,1825.0,3351.2345679012346,4,162,1152.2897008098862,707.5019445414651,0.3070002475,-0.06636356738162687,-0.06636356738162687,1.066363567381627
4,4000000,4793.181818181818,3058.6486486486488,22,185,1161.8693149236328,702.5567867494286,0.05950024749999997,0.1213249834443177,0.1213249834443177,0.8786750165556823
5,5000000,3048.841698841699,2942.1052631578946,259,190,1147.226611491585,694.8188302773879,0.01,0.011024237330641621,0.011024237330641621,0.9889757626693584
6,6000000,2730.0,2890.5128205128203,5,195,1177.5476458352578,680.8297544091638,0.01,-0.0091372420072845,-0.0091372420072845,1.0091372420072846
7,7000000,3650.0,2960.277777777778,13,180,1191.8803423606546,684.4345527381804,0.01,0.049037585997571825,0.049037585997571825,0.9509624140024282
8,8000000,2550.0,3186.969696969697,4,165,1204.9248646656156,682.6578709530781,0.01,-0.02051927357345204,-0.02051927357345204,1.020519273573452
9,9000000,2612.686567164179,3125.602409638554,67,166,1181.4165268941122,688.3225136152299,0.01,-0.016555381983244445,-0.016555381983244445,1.0165553819832445
10,10000000,2400.0,3056.2111801242236,4,161,1167.3866651126048,693.5308554793764,0.01,-0.03000429987859166,-0.03000429987859166,1.0300042998785917
11,11000000,338.2352941176471,3176.060606060606,85,165,1143.7281304668995,700.95785301677,0.01,-0.16037691634727547,-0.16037691634727547,1.1603769163472755
12,12000000,3814.4444444444443,3144.551282051282,45,156,1140.9515710846874,704.1566448175066,0.01,0.05943598520616933,0.05943598520616933,0.9405640147938307
13,13000000,2562.5,3193.548387096774,4,155,1140.031908836234,696.5380590428011,0.01,-0.019728854714690408,-0.019728854714690408,1.0197288547146903
14,14000000,3662.5,3023.2258064516127,4,155,1145.5325018250312,700.9353858544424,0.01,0.049828004856333465,0.049828004856333465,0.9501719951436666
15,15000000,3673.913043478261,3161.470588235294,23,170,1146.5983062677308,703.8284963080084,0.01,0.05054969164042018,0.05054969164042018,0.9494503083595798
16,16000000,2350.0,3244.0789473684213,4,152,1152.9139772038368,703.0671486074853,0.01,-0.0331659753136382,-0.0331659753136382,1.0331659753136382
17,17000000,1839.3854748603353,3436.3636363636365,179,154,1153.9352285998432,699.5505329471407,0.01,-0.06545392333187883,-0.06545392333187883,1.0654539233318787
18,18000000,4394.927536231884,3511.3496932515336,138,163,1170.118355945764,691.7961385733777,0.01,0.09614196784145361,0.09614196784145361,0.9038580321585464
19,19000000,3660.0,3529.2397660818715,5,171,1199.162854685444,686.1719457961427,0.01,0.04966992108458114,0.04966992108458114,0.9503300789154189
20,20000000,4975.925925925926,3581.5151515151515,27,165,1174.807823724897,689.4216231321726,0.01,0.1328805345713986,0.1328805345713986,0.8671194654286014
21,21000000,4350.0,3551.818181818182,19,165,1149.6387837276382,693.9077571816035,0.01,0.09330104208822339,0.09330104208822339,0.9066989579117766
22,22000000,2314.285714285714,3823.3146067415732,112,178,1131.9602799746099,694.9929142864333,0.01,-0.03542431491010002,-0.03542431491010002,1.0354243149101001
23,23000000,3554.090909090909,3788.440860215054,110,186,1141.092363174163,702.7350547295551,0.01,0.042972917663073464,0.042972917663073464,0.9570270823369266
24,24000000,5829.310344827586,3925.0,87,186,1144.6567089682442,701.789115904731,0.01,0.18684302564925548,0.18684302564925548,0.8131569743507445
25,25000000,4377.830188679245,4179.512195121952,106,205,1139.1998552330929,696.0013153481023,0.01,0.09506084256622098,0.09506084256622098,0.9049391574337791
26,26000000,3629.4117647058824,4248.623853211009,17,218,1146.645116557984,694.5640110570021,0.01,0.047735719641964436,0.047735719641964436,0.9522642803580356
27,27000000,2896.153846153846,4241.497975708502,13,247,1139.914012567898,694.7378655973297,0.01,0.0013692486691778496,0.0013692486691778496,0.9986307513308221
28,28000000,8666.477272727272,4311.3725490196075,88,255,1135.0119076272,688.309828255211,0.01,0.3662470452705934,0.3662470452705934,0.6337529547294066
29,29000000,2139.9171270718234,4992.796610169492,362,236,1148.4306272023136,688.1347991518107,0.01,-0.04645025248685859,-0.04645025248685859,1.0464502524868586
30,30000000,6504.807692307692,4777.090909090909,52,275,1178.1603874138052,673.2493383302794,0.01,0.22955709304859445,0.22955709304859445,0.7704429069514056
31,31000000,3781.767955801105,5289.433962264151,181,265,1173.8275581786,672.1000995462692,0.01,0.057369736177224864,0.057369736177224864,0.9426302638227751
