iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,57.5,nan,4,0,1629.4355516122157,nan,1.0,-0.052009456264775406,-0.052009456264775406,1.0520094562647755
1,1000000,78.68811881188118,159.16666666666666,202,258,1629.9753882404787,1117.7149354265161,0.8020002475,-0.040360592219538624,-0.040360592219538624,1.0403605922195387
2,2000000,40.58479532163743,139.90228013029315,171,307,1647.551538458101,1079.8860219973606,0.5545002475,-0.06130914546064246,-0.06130914546064246,1.0613091454606425
3,3000000,113.51282051282051,163.27692307692308,195,325,1638.4163337785044,1058.4212148236027,0.3070002475,-0.02121456896320825,-0.02121456896320825,1.0212145689632082
4,4000000,1816.0227272727273,303.05555555555554,44,234,1647.9455092761589,1081.030163006057,0.05950024749999997,0.9147961555185702,0.9147961555185702,0.08520384448142981
5,5000000,4396.607142857143,2489.6428571428573,28,70,1644.7098167421184,1083.330175433094,0.01,2.333557173487901,1.0,0.0
6,6000000,6690.476190476191,6069.0,21,45,1653.701405600004,1060.2751723730755,0.01,3.5946870033955634,1.0,0.0
7,7000000,8180.0,8115.119047619048,20,42,1629.8285891891276,1068.1358258291923,0.01,4.413601627357194,1.0,0.0
8,8000000,7429.444444444444,8792.209302325582,9,43,1633.4857110412054,1070.1543498972057,0.01,4.000959065613527,1.0,0.0
9,9000000,10207.857142857143,10895.416666666666,7,36,1624.3498413401858,1064.2820535326455,0.01,5.528482677913653,1.0,0.0
10,10000000,7015.0,11200.0,31,39,1622.0751037502403,1061.6726682861797,0.01,3.7731046236736487,1.0,0.0
11,11000000,17135.76923076923,11234.875,13,40,1616.5743734955058,1056.4368009649422,0.01,9.337329831639579,1.0,0.0
12,12000000,44747.142857142855,16606.166666666668,7,30,1607.8509763194725,1052.368974621848,0.01,24.517589123724697,1.0,0.0
13,13000000,28400.625,17387.58620689655,8,29,1602.8650472632216,1044.0497497758772,0.01,15.530554181098466,1.0,0.0
14,14000000,28595.0,35444.41176470588,11,17,1576.2676097743365,1046.0936687603269,0.01,15.637418219803179,1.0,0.0
15,15000000,52100.833333333336,24480.869565217392,6,23,1552.510040760605,1042.8419756029405,0.01,28.5605219271721,1.0,0.0
16,16000000,40741.875,22269.2,8,25,1523.0904859946857,1040.6636460913505,0.01,22.31556160316675,1.0,0.0
