iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-14.0,nan,4,0,758.7211914524122,nan,1.0,2.090909090909089,1.0,0.0
1,1000000,-18.5,-17.984375,4,128,760.6909485732491,488.07944779862606,0.8020002475,0.04545454545454604,0.04545454545454604,0.9545454545454539
2,2000000,-22.75,-18.916030534351144,8,131,808.7288869757472,447.6276352680185,0.5545002475,-1.8863636363636334,-1.8863636363636334,2.886363636363633
3,3000000,-23.5625,-19.125925925925927,32,135,876.5717379756303,437.62842579201435,0.3070002475,-2.255681818181815,-2.255681818181815,3.255681818181815
4,4000000,-17.2,-20.87878787878788,5,132,902.454419207977,439.9408446304309,0.05950024749999997,0.6363636363636365,0.6363636363636365,0.36363636363636354
5,5000000,-16.0,-22.106382978723403,4,94,996.723576637819,526.8853837039277,0.01,1.181818181818181,1.0,0.0
6,6000000,-14.5,-22.055555555555557,4,72,965.8620343915362,527.4310617688836,0.01,1.863636363636362,1.0,0.0
7,7000000,-13.5,-21.52112676056338,4,71,943.4067711833168,520.1156675397492,0.01,2.3181818181818157,1.0,0.0
8,8000000,-18.0,-21.403508771929825,5,57,922.0504036647465,520.5700078241756,0.01,0.27272727272727304,0.27272727272727304,0.727272727272727
9,9000000,-14.5,-21.48,4,50,965.541480458288,528.2579550668256,0.01,1.863636363636362,1.0,0.0
10,10000000,-18.0,-21.6,6,60,978.8995260888332,535.4448369911444,0.01,0.27272727272727304,0.27272727272727304,0.727272727272727
11,11000000,-20.8,-20.853658536585368,5,82,972.6359863579338,533.5497537189365,0.01,-0.9999999999999983,-0.9999999999999983,1.9999999999999982
12,12000000,-14.0,-21.176470588235293,4,51,983.7305819510937,535.5210308545652,0.01,2.090909090909089,1.0,0.0
13,13000000,-17.2,-20.581818181818182,5,55,982.6479034485196,537.6219164723148,0.01,0.6363636363636365,0.6363636363636365,0.36363636363636354
14,14000000,-14.5,-20.918032786885245,4,61,976.7684848823778,533.9023046332246,0.01,1.863636363636362,1.0,0.0
15,15000000,-22.0,-21.428571428571427,5,56,982.9630336872864,525.9939806905776,0.01,-1.5454545454545427,-1.5454545454545427,2.5454545454545427
16,16000000,-11.0,-21.114754098360656,4,61,870.7951645016086,511.310197071318,0.01,3.4545454545454506,1.0,0.0
17,17000000,-9.5,-19.674418604651162,4,43,848.1302535154175,510.87006906550823,0.01,4.136363636363631,1.0,0.0
18,18000000,-10.0,-20.0,4,43,835.5544440638175,511.28741640589345,0.01,3.9090909090909047,1.0,0.0
19,19000000,-16.0,-20.610169491525422,4,59,856.3274059243518,504.1932127119775,0.01,1.181818181818181,1.0,0.0
20,20000000,-18.8,-20.46808510638298,5,47,720.3703576111882,495.03898711069013,0.01,-0.09090909090909047,-0.09090909090909047,1.0909090909090904
21,21000000,-18.444444444444443,-19.93846153846154,9,65,704.8097842950978,433.8213119585228,0.01,0.07070707070707198,0.07070707070707198,0.9292929292929281
22,22000000,-12.5,-20.15686274509804,4,51,781.2715688189313,428.44180045802784,0.01,2.77272727272727,1.0,0.0
23,23000000,-15.5,-19.586206896551722,4,58,777.6291765687566,436.087234105343,0.01,1.4090909090909078,1.0,0.0
24,24000000,-20.0,-20.036363636363635,10,55,894.3776750713812,446.44148440989505,0.01,-0.6363636363636349,-0.6363636363636349,1.636363636363635
25,25000000,-12.5,-19.28813559322034,4,59,900.7094443360028,530.1068448481547,0.01,2.77272727272727,1.0,0.0
26,26000000,-14.8,-19.345454545454544,5,55,742.1877774990165,488.94914598744214,0.01,1.7272727272727253,1.0,0.0
27,27000000,-21.5,-18.387096774193548,12,62,908.1952082728261,461.84660757704614,0.01,-1.318181818181816,-1.318181818181816,2.3181818181818157
28,28000000,-17.75,-19.95,8,80,784.4863679936481,449.33399841324297,0.01,0.3863636363636365,0.3863636363636365,0.6136363636363635
29,29000000,-14.5,-18.25531914893617,4,47,765.7207057840216,470.74747206304534,0.01,1.863636363636362,1.0,0.0
30,30000000,-17.666666666666668,-18.893617021276597,6,47,816.9861636847909,482.93790835325296,0.01,0.4242424242424238,0.4242424242424238,0.5757575757575761
31,31000000,-11.0,-19.15625,4,64,915.9515359834724,472.9970993326895,0.01,3.4545454545454506,1.0,0.0
32,32000000,-15.5,-19.647058823529413,4,51,982.9015333589426,478.70541919198547,0.01,1.4090909090909078,1.0,0.0
33,33000000,-11.5,-19.508196721311474,4,61,1102.1549117710276,497.2032245543856,0.01,3.227272727272724,1.0,0.0
34,34000000,-19.714285714285715,-19.166666666666668,7,60,1084.0860381153939,493.7239157339711,0.01,-0.5064935064935057,-0.5064935064935057,1.5064935064935057
35,35000000,-18.4,-19.22077922077922,5,77,1103.6436047479956,496.4758888044829,0.01,0.09090909090909208,0.09090909090909208,0.909090909090908
36,36000000,-18.8,-19.129032258064516,5,62,1096.7415597511233,502.85130523580426,0.01,-0.09090909090909047,-0.09090909090909047,1.0909090909090904
37,37000000,-13.666666666666666,-18.158730158730158,6,63,1085.473152463433,498.895713593472,0.01,2.2424242424242404,1.0,0.0
38,38000000,-13.5,-18.0,4,61,1095.6528097173189,502.53806703039754,0.01,2.3181818181818157,1.0,0.0
39,39000000,-16.857142857142858,-18.363636363636363,7,55,1095.0732063270368,507.3000464593549,0.01,0.7922077922077916,0.7922077922077916,0.20779220779220842
40,40000000,-19.0,-18.933333333333334,6,75,1092.4578628888225,510.72349648953406,0.01,-0.18181818181818094,-0.18181818181818094,1.181818181818181
41,41000000,-15.5,-18.166666666666668,4,60,1088.264903789149,505.0022925769404,0.01,1.4090909090909078,1.0,0.0
42,42000000,-16.8,-19.0,5,68,1080.2414604511412,513.5886331961867,0.01,0.8181818181818175,0.8181818181818175,0.18181818181818254
43,43000000,-16.8,-17.50769230769231,5,65,1096.7580552515092,503.71674629715653,0.01,0.8181818181818175,0.8181818181818175,0.18181818181818254
44,44000000,-16.0,-18.911392405063292,7,79,1029.390490186528,495.2023567045105,0.01,1.181818181818181,1.0,0.0
45,45000000,-16.571428571428573,-18.417910447761194,7,67,911.971775706604,508.1342880453079,0.01,0.9220779220779208,0.9220779220779208,0.07792207792207917
46,46000000,-16.0,-18.19607843137255,5,51,914.1896630353394,511.45526876641554,0.01,1.181818181818181,1.0,0.0
47,47000000,-18.0,-18.327272727272728,8,55,947.0488353577178,511.1439021110572,0.01,0.27272727272727304,0.27272727272727304,0.727272727272727
48,48000000,-20.22222222222222,-18.56,9,75,992.8736232688575,528.5436603856958,0.01,-0.7373737373737355,-0.7373737373737355,1.7373737373737355
49,49000000,-16.8,-18.258064516129032,5,62,1013.5995236067903,533.5166903430487,0.01,0.8181818181818175,0.8181818181818175,0.18181818181818254
50,50000000,-16.666666666666668,-17.841269841269842,6,63,1005.7623102081835,532.9485395968707,0.01,0.8787878787878778,0.8787878787878778,0.12121212121212221
51,51000000,-18.285714285714285,-18.0625,7,64,1000.8037649514325,531.9632095697157,0.01,0.1428571428571438,0.1428571428571438,0.8571428571428562
52,52000000,-17.142857142857142,-18.083333333333332,7,72,958.8856420985907,532.0420470859422,0.01,0.6623376623376623,0.6623376623376623,0.33766233766233766
53,53000000,-18.5,-17.28358208955224,8,67,1011.4771879413611,530.0003850318463,0.01,0.04545454545454604,0.04545454545454604,0.9545454545454539
