iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,37,0,1547.8935741987655,nan,1.0,0.0,0.0,1.0
1,1000000,0.0,0.0,37,75,1512.161779594056,1070.1049586262666,0.8020002475,0.0,0.0,1.0
2,2000000,0.10810810810810811,0.0,37,75,1521.368573188441,986.0637252171327,0.5545002475,0.00012563405939350157,0.00012563405939350157,0.9998743659406065
3,3000000,0.0,0.0,37,75,1511.0525991808718,981.8342791130424,0.3070002475,0.0,0.0,1.0
4,4000000,0.0,0.04,37,75,1513.947482683064,979.0151873789542,0.05950024749999997,0.0,0.0,1.0
5,5000000,17.513513513513512,0.12,37,75,1522.1646980166952,977.9689786646467,0.01,0.020352717621747254,0.020352717621747254,0.9796472823782527
6,6000000,1.3513513513513513,3.04,37,75,1523.252347630382,982.1768680934958,0.01,0.0015704257424187698,0.0015704257424187698,0.9984295742575813
7,7000000,48.108108108108105,6.493333333333333,37,75,1523.3393387866804,981.6085679815196,0.01,0.0559071564301082,0.0559071564301082,0.9440928435698918
8,8000000,136.30555555555554,102.58666666666667,36,75,1507.2753837498299,980.4072929845457,0.01,0.15840273742656077,0.15840273742656077,0.8415972625734393
9,9000000,351.2105263157895,191.3125,19,64,1509.2920006962177,970.2071972882123,0.01,0.40814703813572284,0.40814703813572284,0.5918529618642772
10,10000000,606.7857142857143,389.56410256410254,14,39,1500.589450880406,973.5499076428958,0.01,0.7051548103262224,0.7051548103262224,0.2948451896737776
11,11000000,689.5384615384615,628.3928571428571,13,28,1494.5315393349345,967.6211085898461,0.01,0.8013230232869978,0.8013230232869978,0.19867697671300222
12,12000000,996.6666666666666,699.2692307692307,9,26,1497.247272030806,970.9243378190776,0.01,1.1582413325585899,1.0,0.0
13,13000000,1087.7777777777778,846.6818181818181,9,22,1486.4763726860488,969.0867576564601,0.01,1.2641229259474467,1.0,0.0
14,14000000,1618.1666666666667,1025.111111111111,6,18,1504.5160045452367,974.382319662523,0.01,1.8804958357544064,1.0,0.0
15,15000000,1305.857142857143,1068.1666666666667,7,18,1507.7447489666902,976.2860980443942,0.01,1.5175562380675687,1.0,0.0
