iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,61,0,1001.9666269421244,nan,1.0,0.0,0.0,1.0
1,1000000,19.19672131147541,0.0,61,122,1028.2570174995137,601.2997007477749,0.8020002475,0.6485378821444395,0.6485378821444395,0.3514621178555605
2,2000000,0.0,0.02459016393442623,61,122,1033.695657887386,548.6006563086253,0.5545002475,0.0,0.0,1.0
3,3000000,11.934426229508198,0.01639344262295082,61,122,1045.753086475384,545.5296977665629,0.3070002475,0.40319007532122286,0.40319007532122286,0.5968099246787771
4,4000000,2.8852459016393444,0.0,61,122,1050.8034485896867,539.648910536103,0.05950024749999997,0.0974745237040319,0.0974745237040319,0.9025254762959681
5,5000000,0.0,0.0,61,122,1049.1366603894357,539.606065592427,0.01,0.0,0.0,1.0
6,6000000,0.0,0.0,61,122,1048.8843517059477,537.4362384076223,0.01,0.0,0.0,1.0
7,7000000,0.0,0.0,61,122,1049.5937327984425,536.9522688153947,0.01,0.0,0.0,1.0
8,8000000,0.0,0.0,61,122,1031.2098488055567,535.1407796595805,0.01,0.0,0.0,1.0
9,9000000,4.622950819672131,0.0,61,122,1196.8483424801316,537.155998835323,0.01,0.1561807709348693,0.1561807709348693,0.8438192290651307
10,10000000,0.0,0.0,61,122,936.6234317054092,653.7767716487471,0.01,0.0,0.0,1.0
11,11000000,0.0,0.0,61,122,936.5518389644006,548.1962799391995,0.01,0.0,0.0,1.0
12,12000000,0.0,0.0,61,122,934.4065900276428,540.6262526145472,0.01,0.0,0.0,1.0
13,13000000,0.0,0.0,61,122,936.5113913917137,548.0413395289617,0.01,0.0,0.0,1.0
14,14000000,0.0,0.0,61,122,938.1934795372625,546.1038056187793,0.01,0.0,0.0,1.0
15,15000000,0.0,0.0,61,122,934.9171666893582,549.3401030993849,0.01,0.0,0.0,1.0
16,16000000,21.24590163934426,0.0,61,122,933.5239906628126,553.8185787963959,0.01,0.7177669472751439,0.7177669472751439,0.2822330527248561
17,17000000,0.7377049180327869,0.01639344262295082,61,122,932.6465160747968,549.8500674356261,0.01,0.024922463447053612,0.024922463447053612,0.9750775365529464
18,18000000,0.0,0.01639344262295082,61,122,934.1044653061996,552.1313087145325,0.01,0.0,0.0,1.0
19,19000000,0.0,0.03278688524590164,61,122,953.483065582214,552.4985149019385,0.01,0.0,0.0,1.0
20,20000000,0.0,0.13934426229508196,61,122,984.3973449574609,543.3744367176197,0.01,0.0,0.0,1.0
21,21000000,0.0,0.18032786885245902,61,122,974.5550525982248,545.8159850642618,0.01,0.0,0.0,1.0
22,22000000,8.245901639344263,0.4098360655737705,61,122,989.8517270486185,541.0160745404952,0.01,0.2785777580859548,0.2785777580859548,0.7214222419140452
23,23000000,0.0,0.7377049180327869,61,122,996.7026680126801,540.2282145691108,0.01,0.0,0.0,1.0
24,24000000,0.0,1.3524590163934427,61,122,1017.9635071383764,532.9353269034842,0.01,0.0,0.0,1.0
25,25000000,3.278688524590164,2.7295081967213113,61,122,1037.727743143856,531.4639284019939,0.01,0.11076650420912716,0.11076650420912716,0.8892334957908729
26,26000000,5.672131147540983,5.245901639344262,61,122,1063.8622296921753,522.433588550364,0.01,0.19162605228178997,0.19162605228178997,0.80837394771821
