iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,2.0,nan,5,0,1052.8531177810532,nan,1.0,-0.014802670101885467,-0.014802670101885467,1.0148026701018855
1,1000000,40.0,74.0909090909091,301,638,1047.570451298736,608.1062833183893,0.8020002475,-0.005902330483663193,-0.005902330483663193,1.0059023304836632
2,2000000,200.0558659217877,111.2,179,575,1041.9643707249227,547.3826121867501,0.5545002475,0.03158586858456206,0.03158586858456206,0.968414131415438
3,3000000,202.6609442060086,188.99598393574297,233,498,1037.9862163234127,546.5967502351733,0.3070002475,0.03219602862302579,0.03219602862302579,0.9678039713769742
4,4000000,212.70531400966183,222.68065268065268,207,429,1034.242213352706,549.7936721393721,0.05950024749999997,0.03454861553101343,0.03454861553101343,0.9654513844689866
5,5000000,252.45989304812835,251.93121693121694,187,378,1041.4408912030224,551.1588051886741,0.01,0.0438599117105348,0.0438599117105348,0.9561400882894652
6,6000000,270.0,324.8126801152738,25,347,1030.5899687614974,548.9144940671349,0.01,0.04796814615294531,0.04796814615294531,0.9520318538470547
7,7000000,259.0967741935484,261.04046242774564,155,346,1055.3269523573733,549.5740787161114,0.01,0.045414398452640455,0.045414398452640455,0.9545856015473595
8,8000000,255.54285714285714,278.27794561933536,175,331,1046.1224776196816,548.1524433175952,0.01,0.04458200190721563,0.04458200190721563,0.9554179980927844
9,9000000,265.8267716535433,338.2621951219512,127,328,1054.7885521676826,551.3529443077311,0.01,0.04699069484800171,0.04699069484800171,0.9530093051519983
10,10000000,264.2857142857143,522.4691358024692,7,243,907.5719792300858,537.1867263551703,0.01,0.04662974921787429,0.04662974921787429,0.9533702507821257
11,11000000,784.9565217391304,638.125,115,288,1054.0926856570409,509.79923236466726,0.01,0.1685809864712801,0.1685809864712801,0.8314190135287199
12,12000000,283.1645569620253,656.5263157894736,79,285,1005.5611150339032,552.8268791847483,0.01,0.05105154162361525,0.05105154162361525,0.9489484583763848
13,13000000,264.1040462427746,681.9934640522875,173,306,1044.192378131015,552.3991146326647,0.01,0.0465871990262969,0.0465871990262969,0.9534128009737031
14,14000000,818.1294964028777,1013.0716723549488,139,293,1051.660576273951,555.6919671729221,0.01,0.176350742804281,0.176350742804281,0.823649257195719
15,15000000,1436.7226890756303,1049.859649122807,119,285,1060.4101178218814,549.9137872830315,0.01,0.32123730860185745,0.32123730860185745,0.6787626913981426
16,16000000,984.6511627906976,1381.634241245136,129,257,1064.214893420037,544.1421894298022,0.01,0.21535335818964693,0.21535335818964693,0.784646641810353
17,17000000,1075.8083832335328,1783.625,167,240,1070.4626154062157,542.3248509630907,0.01,0.23670415346844662,0.23670415346844662,0.7632958465315534
18,18000000,986.2096774193549,1688.4162895927602,124,221,1072.920879486023,545.1325485864743,0.01,0.2157183926500421,0.2157183926500421,0.7842816073499579
19,19000000,1317.6984126984128,1681.2204724409448,126,254,1078.9880174491548,544.2646487942175,0.01,0.29335950642895253,0.29335950642895253,0.7066404935710475
20,20000000,2799.0625,1758.091286307054,96,241,1072.8204349716316,543.7995671304533,0.01,0.6403238084084788,0.6403238084084788,0.3596761915915212
21,21000000,2356.3888888888887,2366.507177033493,108,209,1107.568051798007,544.5435261150245,0.01,0.5366410326475908,0.5366410326475908,0.4633589673524092
22,22000000,3302.53164556962,2627.401129943503,79,177,1392.6179662478391,589.7223391505631,0.01,0.7582460816417895,0.7582460816417895,0.24175391835821047
23,23000000,3604.6835443037976,2695.78125,79,192,1206.2686270046945,572.0933830916144,0.01,0.8290159373003391,0.8290159373003391,0.17098406269966093
24,24000000,3343.048780487805,2867.0466321243525,82,193,1180.617279587543,619.0506172061021,0.01,0.767735983250452,0.767735983250452,0.232264016749548
25,25000000,2848.390804597701,3087.3118279569894,87,186,1180.6966143359462,618.6461860849265,0.01,0.651877457453496,0.651877457453496,0.348122542546504
26,26000000,3393.3333333333335,3109.558011049724,75,181,1386.9712660064445,568.3284464147199,0.01,0.7795136042471796,0.7795136042471796,0.22048639575282036
27,27000000,2954.2528735632186,3189.491525423729,87,177,1140.9961366978887,572.794797372101,0.01,0.676672414466148,0.676672414466148,0.323327585533852
