iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,121,0,1110.5906207993173,nan,1.0,-0.11954151004686993,-0.11954151004686993,1.11954151004687
1,1000000,135.15151515151516,400.43290043290045,33,231,1128.7972153532787,660.2883947002833,0.8020002475,-0.05682327943221721,-0.05682327943221721,1.0568232794322172
2,2000000,102.97029702970298,496.4102564102564,101,234,1113.0491591237635,581.3642997739393,0.5545002475,-0.0717572522949079,-0.0717572522949079,1.071757252294908
3,3000000,211.74825174825176,649.2241379310345,143,232,1180.3901214715593,571.8058335497602,0.3070002475,-0.021277900715461626,-0.021277900715461626,1.0212779007154615
4,4000000,170.1639344262295,794.3809523809524,122,210,1333.9581419693618,554.2265538990873,0.05950024749999997,-0.04057546316477355,-0.04057546316477355,1.0405754631647735
5,5000000,519.0990990990991,596.7741935483871,111,217,1618.0166491465623,817.8736053399919,0.01,0.12135092073836332,0.12135092073836332,0.8786490792616367
6,6000000,305.3225806451613,744.5771144278607,124,201,1594.136674469201,815.1582635951725,0.01,0.02214607668344761,0.02214607668344761,0.9778539233165524
7,7000000,862.6262626262626,938.2,99,200,1463.9019034873247,776.5155772289029,0.01,0.2807676748926923,0.2807676748926923,0.7192323251073077
8,8000000,682.7118644067797,994.3,118,200,1507.338331836418,777.7781787669215,0.01,0.19727684087743266,0.19727684087743266,0.8027231591225673
9,9000000,1067.191011235955,1264.8128342245989,89,187,1478.9941326505,774.1814849214618,0.01,0.3756977174049631,0.3756977174049631,0.6243022825950368
10,10000000,1749.1566265060242,1619.1616766467066,83,167,1503.6233061229625,777.1280212729985,0.01,0.6921697649570858,0.6921697649570858,0.3078302350429142
11,11000000,1777.9775280898875,1804.0963855421687,89,166,1472.7475242410117,776.9575270653672,0.01,0.7055443538400332,0.7055443538400332,0.2944556461599668
12,12000000,1740.0,1616.8181818181818,79,176,1488.1232186215761,777.334583159936,0.01,0.6879205531579192,0.6879205531579192,0.3120794468420808
13,13000000,2820.5797101449275,1892.2424242424242,69,165,1489.4519188641361,778.1472793942326,0.01,1.189372922244618,1.0,0.0
14,14000000,2392.6470588235293,2222.420382165605,68,157,1500.8900323773357,775.3516548677684,0.01,0.9907870707798642,0.9907870707798642,0.009212929220135835
15,15000000,3058.4210526315787,2198.0,76,160,1492.1486869306361,773.8640124114113,0.01,1.2997452562214389,1.0,0.0
16,16000000,2894.5454545454545,2498.4210526315787,77,152,1471.7209164967967,776.4670609747149,0.01,1.2236973662561856,1.0,0.0
17,17000000,2698.8888888888887,2507.3417721518986,72,158,1477.5944332217807,767.6392210392349,0.01,1.13290124316158,1.0,0.0
18,18000000,3118.2608695652175,2841.6216216216217,69,148,1478.4684589722171,772.1684578812233,0.01,1.3275144413036417,1.0,0.0
19,19000000,2961.1267605633802,2965.3521126760565,71,142,1479.613396444051,774.2974913589516,0.01,1.2545949977091189,1.0,0.0
20,20000000,4109.538461538462,3084.1428571428573,65,140,1476.2140359504522,773.9635998481315,0.01,1.7875253893630618,1.0,0.0
21,21000000,2444.8,3201.438848920863,75,139,1486.269568442222,774.385964340313,0.01,1.0149890946215603,1.0,0.0
22,22000000,2442.4324324324325,3273.5251798561153,74,139,1326.612392765543,766.4251999441852,0.01,1.0138904043957644,1.0,0.0
23,23000000,3409.2063492063494,3220.143884892086,63,139,1244.847102882197,753.1276115204416,0.01,1.4625302098502713,1.0,0.0
24,24000000,4501.9672131147545,3477.2932330827066,61,133,859.4618101796713,561.921363331714,0.01,1.9696353487933334,1.0,0.0
25,25000000,4339.0625,4046.3492063492063,64,126,914.8871517713694,510.9250327258486,0.01,1.8940380064040094,1.0,0.0
26,26000000,3880.6153846153848,4467.179487179487,65,117,959.6165129240812,547.6560582857608,0.01,1.6812916537265696,1.0,0.0
27,27000000,8171.9047619047615,5108.181818181818,42,110,333.82201047345353,583.7363445593378,0.01,3.67270163901098,1.0,0.0
28,28000000,6044.615384615385,5905.544554455446,52,101,1077.8436005908827,145.0368236285811,0.01,2.685514587505399,1.0,0.0
29,29000000,6418.222222222223,6396.0,45,95,1031.5465864742566,557.299809888674,0.01,2.8588900748165678,1.0,0.0
30,30000000,13488.666666666666,8543.79746835443,30,79,1013.1875370278336,559.0071117831662,0.01,6.139991028199297,1.0,0.0
31,31000000,7445.333333333333,9184.736842105263,45,76,977.4284681459089,561.7755698528061,0.01,3.3355298776432005,1.0,0.0
32,32000000,17340.95238095238,11184.545454545454,21,66,812.6253602481532,527.745940190987,0.01,7.9276775632058945,1.0,0.0
33,33000000,11203.529411764706,17411.063829787236,34,47,1055.6666304234625,554.6161592201292,0.01,5.079553302596271,1.0,0.0
