iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,518,0,1493.4370090157636,nan,1.0,-0.05442990183740246,-0.05442990183740246,1.0544299018374024
1,1000000,0.0,192.22222222222223,250,405,1235.1972626297224,647.535876987692,0.8020002475,-0.05442990183740246,-0.05442990183740246,1.0544299018374024
2,2000000,0.0,200.98765432098764,509,405,1218.6745258755498,622.1092914327834,0.5545002475,-0.05442990183740246,-0.05442990183740246,1.0544299018374024
3,3000000,0.0,184.45273631840797,379,402,1448.4146651145845,584.9064437613005,0.3070002475,-0.05442990183740246,-0.05442990183740246,1.0544299018374024
4,4000000,0.0,130.83538083538085,242,407,1228.8604209176658,581.0277612854268,0.05950024749999997,-0.05442990183740246,-0.05442990183740246,1.0544299018374024
5,5000000,1.2396694214876034,70.91346153846153,242,416,1225.7169757358636,624.2844687072035,0.01,-0.05403987244478744,-0.05403987244478744,1.0540398724447875
6,6000000,117.12962962962963,65.04854368932038,216,412,1452.0873004727061,591.6625973582532,0.01,-0.017578143207390626,-0.017578143207390626,1.0175781432073907
7,7000000,0.0,76.67464114832536,367,418,1217.5151494233667,573.1103761306069,0.01,-0.05442990183740246,-0.05442990183740246,1.0544299018374024
8,8000000,177.68595041322314,87.62135922330097,121,412,1223.66395784293,621.3291543810645,0.01,0.0014743111040848033,0.0014743111040848033,0.9985256888959152
9,9000000,0.0,95.39007092198581,380,423,1353.6755425257966,596.5448667881052,0.01,-0.05442990183740246,-0.05442990183740246,1.0544299018374024
10,10000000,1.9230769230769231,98.15242494226328,260,433,1195.0191167960484,567.9132086593236,0.01,-0.05382485624116633,-0.05382485624116633,1.0538248562411663
11,11000000,180.52325581395348,94.47058823529412,172,425,1206.7999177276583,620.4293736313363,0.01,0.0023669946557870257,0.0023669946557870257,0.997633005344213
12,12000000,147.48603351955308,112.15538847117794,179,399,1307.7080994503915,608.0913719919349,0.01,-0.008027298791985566,-0.008027298791985566,1.0080272987919856
13,13000000,19.965870307167236,105.2896725440806,293,397,1225.4259103593804,572.3705122194901,0.01,-0.04814816564712836,-0.04814816564712836,1.0481481656471283
14,14000000,108.42696629213484,110.77922077922078,178,385,1217.9763805195523,618.3670323587183,0.01,-0.020316207433886596,-0.020316207433886596,1.0203162074338865
15,15000000,176.5463917525773,130.6366047745358,194,377,1289.765668565896,613.3000890589607,0.01,0.0011157789304610203,0.0011157789304610203,0.998884221069539
16,16000000,87.27272727272727,104.81770833333333,165,384,1257.9829218658497,571.6561997250127,0.01,-0.026971832597304533,-0.026971832597304533,1.0269718325973045
17,17000000,134.2948717948718,118.07692307692308,156,390,1205.7818345718458,616.2614671385298,0.01,-0.012177551033579223,-0.012177551033579223,1.0121775510335793
18,18000000,268.5279187817259,120.39473684210526,197,380,1283.2825957861346,616.955346889973,0.01,0.0300553482197728,0.0300553482197728,0.9699446517802272
19,19000000,146.36363636363637,122.76315789473684,165,380,1218.7424680246702,573.4926558452156,0.01,-0.008380431549321554,-0.008380431549321554,1.0083804315493214
20,20000000,25.925925925925927,139.12466843501326,162,377,1204.323748252273,625.6361869469979,0.01,-0.046272990836293125,-0.046272990836293125,1.046272990836293
21,21000000,136.23595505617976,135.02673796791444,178,374,1357.3934009251182,613.3143116743681,0.01,-0.011566840216404554,-0.011566840216404554,1.0115668402164046
22,22000000,33.18385650224215,121.712158808933,223,403,1200.4219981764556,573.4462997465951,0.01,-0.043989473791139516,-0.043989473791139516,1.0439894737911395
23,23000000,74.45054945054945,146.01063829787233,182,376,1202.7963098479593,621.8697075116304,0.01,-0.031005993754546487,-0.031005993754546487,1.0310059937545464
24,24000000,239.3491124260355,137.16931216931218,169,378,1369.3116923535474,601.1322028918248,0.01,0.020875003909525392,0.020875003909525392,0.9791249960904747
25,25000000,196.3855421686747,136.17021276595744,166,376,1211.855459068995,570.9068720656848,0.01,0.007357646038470521,0.007357646038470521,0.9926423539615294
26,26000000,73.01136363636364,154.30107526881721,176,372,1215.8658633030136,625.0548337333803,0.01,-0.03145879573484658,-0.03145879573484658,1.0314587957348467
27,27000000,146.26865671641792,133.63636363636363,201,385,1418.1501562155834,601.9890225802434,0.01,-0.008410314398307977,-0.008410314398307977,1.008410314398308
28,28000000,71.68367346938776,144.60154241645245,196,389,1271.6492986850435,528.4959438713602,0.01,-0.03187651854096786,-0.03187651854096786,1.031876518540968
29,29000000,140.93023255813952,147.08121827411168,215,394,1217.377857904032,535.2892417754034,0.01,-0.01008990921276758,-0.01008990921276758,1.0100899092127675
30,30000000,182.66666666666666,157.29166666666666,225,384,1150.7355723674223,549.4089563603534,0.01,0.003041362530413622,0.003041362530413622,0.9969586374695864
31,31000000,89.40520446096654,136.21134020618555,269,388,1150.9176940022844,556.5037198662706,0.01,-0.026300904712759077,-0.026300904712759077,1.0263009047127591
32,32000000,0.0,132.0855614973262,379,374,1150.6228560699853,547.3307560646286,0.01,-0.05442990183740246,-0.05442990183740246,1.0544299018374024
33,33000000,234.6875,154.18848167539267,160,382,1144.8054020480686,550.1866097874031,0.01,0.019408350113264534,0.019408350113264534,0.9805916498867354
34,34000000,131.32911392405063,148.46938775510205,158,392,1145.472445447391,542.4816905023356,0.01,-0.01311064877798558,-0.01311064877798558,1.0131106487779855
35,35000000,69.06077348066299,143.55263157894737,181,380,1141.9187936004225,542.2331228912022,0.01,-0.032701745066491636,-0.032701745066491636,1.0327017450664917
36,36000000,110.51282051282051,153.31632653061226,195,392,1151.2500901639078,540.455994792415,0.01,-0.01965994824036606,-0.01965994824036606,1.019659948240366
37,37000000,188.85135135135135,143.32460732984293,148,382,1145.9734184841755,540.811193690976,0.01,0.004987210971353937,0.004987210971353937,0.9950127890286461
38,38000000,109.3632958801498,155.2699228791774,267,389,1169.7792636430668,535.9680875020404,0.01,-0.02002161594508249,-0.02002161594508249,1.0200216159450826
39,39000000,194.80519480519482,169.8684210526316,154,380,1199.587859022226,522.5609492243073,0.01,0.006860431287816138,0.006860431287816138,0.9931395687121839
40,40000000,97.60479041916167,155.2835051546392,167,388,1220.1535932987708,521.6310655955508,0.01,-0.023721120557776972,-0.023721120557776972,1.023721120557777
41,41000000,170.69892473118279,173.55163727959697,186,397,1239.0224167305018,513.633821397134,0.01,-0.0007239728381629797,-0.0007239728381629797,1.000723972838163
42,42000000,49.46236559139785,145.8133971291866,279,418,1275.1485953735726,511.2029720405394,0.01,-0.03886786886754409,-0.03886786886754409,1.0388678688675441
43,43000000,294.6236559139785,149.27884615384616,186,416,1227.2715971871364,501.42815955741315,0.01,0.038265685852623486,0.038265685852623486,0.9617343141473765
44,44000000,110.61776061776062,163.93034825870646,259,402,1293.6445389273779,505.17778144076016,0.01,-0.01962693159521752,-0.01962693159521752,1.0196269315952176
45,45000000,212.65822784810126,168.12339331619538,158,389,1242.332803983126,509.1891532241125,0.01,0.012477418779291864,0.012477418779291864,0.9875225812207081
46,46000000,148.9189189189189,184.90813648293963,185,381,1224.0347845699634,506.84418271049225,0.01,-0.007576479071570946,-0.007576479071570946,1.0075764790715709
47,47000000,248.4472049689441,163.15104166666666,161,384,1219.1731698502292,535.9977060016287,0.01,0.023737479539687925,0.023737479539687925,0.976262520460312
48,48000000,77.3170731707317,175.24875621890547,205,402,1222.4729073973244,625.145529766509,0.01,-0.030104117426777086,-0.030104117426777086,1.030104117426777
49,49000000,158.25471698113208,181.6793893129771,212,393,1344.4571161310912,608.6585495490062,0.01,-0.004639215649027159,-0.004639215649027159,1.0046392156490271
50,50000000,242.8251121076233,190.63291139240508,223,395,1218.0364342788084,573.878464460983,0.01,0.0219686358254541,0.0219686358254541,0.978031364174546
51,51000000,355.3370786516854,188.17733990147784,178,406,1215.991798979108,625.2132271185565,0.01,0.057367568163757036,0.057367568163757036,0.942632431836243
52,52000000,235.8139534883721,199.4962216624685,215,397,1317.5498138565956,609.8401297967846,0.01,0.019762759088966807,0.019762759088966807,0.9802372409110331
53,53000000,186.11111111111111,191.64588528678306,180,401,1247.6846442844947,574.9403805788471,0.01,0.00412506642056101,0.00412506642056101,0.995874933579439
54,54000000,277.7456647398844,188.51674641148324,173,418,1209.9120021732283,613.1479039514128,0.01,0.03295546965136055,0.03295546965136055,0.9670445303486395
55,55000000,250.0,224.64454976303318,187,422,1232.0895167584304,620.9463524055562,0.01,0.024226025673294738,0.024226025673294738,0.9757739743267053
56,56000000,167.54658385093168,203.7470725995316,322,427,1345.0151296952195,571.8937245327477,0.01,-0.0017157740212271322,-0.0017157740212271322,1.001715774021227
57,57000000,308.04020100502515,211.33004926108376,199,406,1206.7733244047631,600.0566177879057,0.01,0.04248684904512495,0.04248684904512495,0.9575131509548751
58,58000000,261.8918918918919,223.74100719424462,185,417,1222.0855071094181,622.9186876353165,0.01,0.02796749681974952,0.02796749681974952,0.9720325031802505
59,59000000,181.9796954314721,226.09756097560975,197,410,1464.9043231305197,575.8015630506505,0.01,0.0028252250917040317,0.0028252250917040317,0.997174774908296
60,60000000,220.95959595959596,227.23880597014926,198,402,1224.224321573353,588.2667931260148,0.01,0.015089226012961225,0.015089226012961225,0.9849107739870387
61,61000000,195.1417004048583,259.875,247,400,1220.01077158872,620.974637813212,0.01,0.006966303928032442,0.006966303928032442,0.9930336960719676
62,62000000,221.356783919598,246.21951219512195,199,410,1485.5970052924758,585.2731716836723,0.01,0.015214190762521394,0.015214190762521394,0.9847858092374786
63,63000000,170.16806722689077,247.72182254196642,238,417,1221.0441750298176,577.6761577285072,0.01,-0.0008909931956673893,-0.0008909931956673893,1.0008909931956673
64,64000000,175.40983606557376,265.4963680387409,183,413,1221.9888362939569,625.5378543359202,0.01,0.0007581915635457326,0.0007581915635457326,0.9992418084364543
65,65000000,144.29530201342283,262.53101736972707,298,403,1440.0208913587644,591.8389257958984,0.01,-0.009031178576194681,-0.009031178576194681,1.0090311785761947
66,66000000,238.29787234042553,251.06132075471697,188,424,1216.4831438099352,571.8441273662442,0.01,0.02054425885364508,0.02054425885364508,0.9794557411463549
67,67000000,220.11834319526628,274.0786240786241,169,407,1210.4543893707512,622.8680377452672,0.01,0.014824547947164068,0.014824547947164068,0.985175452052836
68,68000000,262.6470588235294,280.5693069306931,170,404,1435.9603668228594,594.9155145789143,0.01,0.028205090241482943,0.028205090241482943,0.971794909758517
69,69000000,189.9736147757256,275.9569377990431,379,418,1214.9396148861433,572.5971530163332,0.01,0.005340301653575885,0.005340301653575885,0.9946596983464241
70,70000000,148.17275747508305,273.93364928909955,301,422,1212.4389524555127,624.6124520960846,0.01,-0.007811239153321468,-0.007811239153321468,1.0078112391533214
71,71000000,420.9944751381216,268.50961538461536,181,416,1394.3671094101246,600.8524496261703,0.01,0.07802494183806996,0.07802494183806996,0.92197505816193
72,72000000,300.8152173913044,299.6296296296296,184,405,1218.2944880261598,572.9056488728382,0.01,0.040213697895577764,0.040213697895577764,0.9597863021044223
73,73000000,303.7037037037037,276.5625,162,416,1216.7873226603322,623.3842940819982,0.01,0.04112248417559265,0.04112248417559265,0.9588775158244074
74,74000000,254.54545454545453,276.9138755980861,341,418,1355.7051573133158,603.1769081867317,0.01,0.025656133446216502,0.025656133446216502,0.9743438665537835
75,75000000,201.92307692307693,274.537037037037,182,432,1220.537359780692,572.0657217796731,0.01,0.009099885767391434,0.009099885767391434,0.9909001142326086
76,76000000,299.21465968586386,249.3119266055046,191,436,1218.5737597034774,618.4297615296931,0.01,0.0397101244921545,0.0397101244921545,0.9602898755078455
77,77000000,377.14285714285717,267.76155717761554,210,411,1275.1867410661,608.9396411841265,0.01,0.06422818309302075,0.06422818309302075,0.9357718169069793
78,78000000,280.85585585585585,266.42335766423355,222,411,1282.978035866064,570.527603974508,0.01,0.033934009519209614,0.033934009519209614,0.9660659904807903
79,79000000,345.32163742690057,303.8647342995169,171,414,1223.298513077249,610.0878034309775,0.01,0.05421647288789975,0.05421647288789975,0.9457835271121002
80,80000000,207.43801652892563,326.7901234567901,242,405,1227.084767238343,620.9847222742529,0.01,0.010835016526845466,0.010835016526845466,0.9891649834731545
81,81000000,300.74626865671644,301.90930787589497,201,419,1347.7044923283356,572.6131202030488,0.01,0.04019200498889895,0.04019200498889895,0.959807995011101
82,82000000,452.1857923497268,333.1295843520782,183,409,1216.2912669896505,605.101587164572,0.01,0.0878384697803067,0.0878384697803067,0.9121615302196933
83,83000000,286.57142857142856,339.6296296296296,175,405,1222.2420698553717,620.8260551606429,0.01,0.035732264212002436,0.035732264212002436,0.9642677357879975
84,84000000,238.80597014925374,367.46231155778895,201,398,1384.0783402274726,571.7309801555475,0.01,0.020704118471323224,0.020704118471323224,0.9792958815286767
85,85000000,325.72614107883817,353.72208436724566,241,403,1220.2365688040768,598.8696925060972,0.01,0.04805126512674244,0.04805126512674244,0.9519487348732576
86,86000000,406.3636363636364,366.54589371980677,165,414,1218.6287408087212,620.7468045970174,0.01,0.07342173306180354,0.07342173306180354,0.9265782669381964
87,87000000,370.97701149425285,380.3439803439803,174,407,1421.347032380379,572.3573668873988,0.01,0.06228826185950568,0.06228826185950568,0.9377117381404944
88,88000000,263.52941176470586,367.6904176904177,255,407,1215.9468236271857,594.0472254326002,0.01,0.028482699397403048,0.028482699397403048,0.971517300602597
89,89000000,421.7171717171717,371.2713936430318,198,409,1214.1542627640451,622.3085707623073,0.01,0.07825231931700595,0.07825231931700595,0.9217476806829941
90,90000000,510.0,365.20681265206815,195,411,1464.4988976076504,571.6928375146466,0.01,0.10602819028441983,0.10602819028441983,0.8939718097155802
91,91000000,408.1818181818182,379.2147806004619,165,433,1225.158645679053,586.6117532046652,0.01,0.07399377617097225,0.07399377617097225,0.9260062238290278
92,92000000,446.96132596685084,422.72727272727275,181,407,1214.2827101998719,618.5271484301958,0.01,0.08619472878393243,0.08619472878393243,0.9138052712160676
93,93000000,451.86046511627904,428.27669902912623,215,412,1477.2414847578987,580.994176580282,0.01,0.08773611411914141,0.08773611411914141,0.9122638858808586
94,94000000,414.4144144144144,423.67788461538464,222,416,1195.7425934756366,581.4387511083567,0.01,0.07595469872087038,0.07595469872087038,0.9240453012791296
95,95000000,464.4886363636364,457.6829268292683,176,410,1219.3527167783639,620.9980308976263,0.01,0.09170923620804064,0.09170923620804064,0.9082907637919594
96,96000000,490.7692307692308,445.91584158415844,195,404,1465.5313991442702,588.9184560870685,0.01,0.0999777343220585,0.0999777343220585,0.9000222656779415
97,97000000,256.5104166666667,479.1566265060241,192,415,1214.1371298322338,572.0943549211241,0.01,0.02627435711888582,0.02627435711888582,0.9737256428811142
98,98000000,474.01960784313724,483.0143540669856,204,418,1204.7160596988667,625.2042720019925,0.01,0.09470790581523321,0.09470790581523321,0.9052920941847667
99,99000000,537.3417721518987,464.1025641025641,158,429,1498.8099729417322,589.4156691328627,0.01,0.1146305600779948,0.1146305600779948,0.8853694399220052
100,100000000,510.5911330049261,463.66995073891627,203,406,1190.3515604539264,571.1014923168636,0.01,0.10621417474355843,0.10621417474355843,0.8937858252564416
101,101000000,520.360824742268,471.0,194,400,1195.3268378977698,630.7919259859633,0.01,0.10928795140393532,0.10928795140393532,0.8907120485960647
102,102000000,475.8536585365854,463.1449631449631,205,407,1485.8343939144966,587.8182780613065,0.01,0.09528494164881242,0.09528494164881242,0.9047150583511876
103,103000000,480.5,441.21140142517817,200,421,1225.4671676213786,578.4881312412072,0.01,0.09674679083815756,0.09674679083815756,0.9032532091618425
104,104000000,415.7258064516129,454.86935866983373,248,421,1212.7427684499396,619.3818499730163,0.01,0.07636729374893435,0.07636729374893435,0.9236327062510656
