iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,25,0,1529.3011339366478,nan,1.0,-0.03446378114995604,-0.03446378114995604,1.034463781149956
1,1000000,219.83333333333334,676.5060240963855,30,415,1510.2608316333028,1024.912659502236,0.8020002475,-0.027086675123212767,-0.027086675123212767,1.0270866751232128
2,2000000,3.125,716.5271966527197,24,239,1520.4156504330876,965.4630805268652,0.5545002475,-0.03435891326671007,-0.03435891326671007,1.0343589132667101
3,3000000,183.33333333333334,1241.357142857143,24,210,1493.6990362397269,960.0414139015438,0.3070002475,-0.028311531999525717,-0.028311531999525717,1.0283115319995257
4,4000000,202.17391304347825,534.6538461538462,23,130,1503.4691960775956,963.4202508640338,0.05950024749999997,-0.02767928505126015,-0.02767928505126015,1.0276792850512602
5,5000000,148.40425531914894,361.13861386138615,47,101,1489.3706355368813,970.7259964698178,0.01,-0.02948367231155161,-0.02948367231155161,1.0294836723115517
6,6000000,445.625,169.17391304347825,24,115,1467.7586497108696,960.4940467680758,0.01,-0.019509620999080518,-0.019509620999080518,1.0195096209990806
7,7000000,0.0,324.0860215053763,24,93,1460.7906252581927,955.5222105054679,0.01,-0.03446378114995604,-0.03446378114995604,1.034463781149956
8,8000000,0.0,61.03658536585366,23,82,1456.0208872768676,957.5585701554538,0.01,-0.03446378114995604,-0.03446378114995604,1.034463781149956
9,9000000,12.5,946.1643835616438,24,73,1456.8347043037097,937.224050480139,0.01,-0.03404430961697215,-0.03404430961697215,1.0340443096169722
10,10000000,2305.0,1400.4237288135594,20,59,1396.745679970247,920.9785277767734,0.01,0.04288676953227246,0.04288676953227246,0.9571132304677276
11,11000000,1013.4090909090909,1786.25,22,60,1385.7485410626375,924.2835587244192,0.01,-0.00045607995768066206,-0.00045607995768066206,1.0004560799576807
