iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-17.833333333333332,nan,36,0,819.5656211893968,nan,1.0,-0.5482093663911846,-0.5482093663911846,1.5482093663911844
1,1000000,-6.365853658536586,-9.746666666666666,41,75,819.1939163276799,502.4826379030785,0.8020002475,0.3995162265672243,0.3995162265672243,0.6004837734327757
2,2000000,-21.11764705882353,-11.864864864864865,34,74,818.0182850437203,450.9221963068813,0.5545002475,-0.819640252795333,-0.819640252795333,1.819640252795333
3,3000000,-17.22222222222222,-13.397260273972602,36,73,820.2851947864424,449.730572636015,0.3070002475,-0.49770431588613406,-0.49770431588613406,1.497704315886134
4,4000000,-17.555555555555557,-17.2,36,70,817.2092300432091,449.18239890977816,0.05950024749999997,-0.5252525252525254,-0.5252525252525254,1.5252525252525255
5,5000000,-8.142857142857142,-16.4,35,70,832.1672556370678,447.33001733356014,0.01,0.2526564344746163,0.2526564344746163,0.7473435655253837
6,6000000,-13.621621621621621,-15.169014084507042,37,71,815.2572744098427,448.36794128149745,0.01,-0.20013401831583652,-0.20013401831583652,1.2001340183158364
7,7000000,-15.91891891891892,-14.098591549295774,37,71,815.6406216546491,447.89167715642657,0.01,-0.38999329908420827,-0.38999329908420827,1.3899932990842083
8,8000000,-1.3823529411764706,-13.183098591549296,34,71,817.5682861167174,446.2129461667037,0.01,0.8113757899854156,0.8113757899854156,0.1886242100145844
9,9000000,-2.1470588235294117,-12.75,34,72,820.5867967626074,450.0671895749661,0.01,0.7481769567331065,0.7481769567331065,0.25182304326689353
10,10000000,-13.382352941176471,-12.333333333333334,34,72,817.5305622567381,444.4102829474528,0.01,-0.18035974720466708,-0.18035974720466708,1.1803597472046672
11,11000000,-8.5,-12.26388888888889,36,72,830.7145878202838,448.5274722142776,0.01,0.22314049586776855,0.22314049586776855,0.7768595041322315
12,12000000,-7.842105263157895,-13.0,38,71,819.1224366320382,450.15033426636404,0.01,0.277511961722488,0.277511961722488,0.7224880382775121
13,13000000,-15.75,-12.902777777777779,36,72,822.5036403603655,447.7868252277555,0.01,-0.37603305785123975,-0.37603305785123975,1.3760330578512399
14,14000000,-9.384615384615385,-12.527777777777779,39,72,813.1552054738067,449.5407023286721,0.01,0.15003178639542267,0.15003178639542267,0.8499682136045773
15,15000000,-9.432432432432432,-12.205479452054794,37,73,1074.7745313532016,605.5391900892827,0.01,0.14607996426178246,0.14607996426178246,0.8539200357382175
16,16000000,-21.529411764705884,-12.26027397260274,34,73,1072.270494590287,616.7052639153166,0.01,-0.8536703937773459,-0.8536703937773459,1.853670393777346
17,17000000,-10.513513513513514,-12.273972602739725,37,73,1076.9368135319987,616.854421602127,0.01,0.056734420370783904,0.056734420370783904,0.9432655796292161
