iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.3597122302158273,nan,139,0,1038.0304904667141,nan,1.0,-0.10460295021834978,-0.10460295021834978,1.1046029502183499
1,1000000,58.02139037433155,26.534653465346533,187,505,1033.290238684519,519.3559485048083,0.8020002475,0.10599485162283255,0.10599485162283255,0.8940051483771675
2,2000000,5.357142857142857,38.477366255144034,168,486,1042.5201250444568,459.5499186536645,0.5545002475,-0.08635082959407284,-0.08635082959407284,1.086350829594073
3,3000000,56.46067415730337,51.97215777262181,178,431,1039.2397987943614,459.15443826916777,0.3070002475,0.10029464630132714,0.10029464630132714,0.8997053536986729
4,4000000,20.673076923076923,72.22222222222223,104,324,1047.4634501661315,459.4523419577292,0.05950024749999997,-0.030412429061077707,-0.030412429061077707,1.0304124290610777
5,5000000,17.088607594936708,76.57657657657657,79,222,1034.862911244121,458.8959369516031,0.01,-0.04350398979205001,-0.04350398979205001,1.04350398979205
6,6000000,197.46835443037975,150.29761904761904,79,168,1040.8566480835855,459.89531956576343,0.01,0.6152971308633299,0.6152971308633299,0.38470286913667007
7,7000000,73.29545454545455,140.3846153846154,88,156,1036.3119684784922,458.44767892812456,0.01,0.1617803306992496,0.1617803306992496,0.8382196693007504
8,8000000,120.25316455696202,163.96103896103895,79,154,1041.5446184200412,459.2007413680074,0.01,0.33328401956523745,0.33328401956523745,0.6667159804347625
9,9000000,91.77215189873418,156.57894736842104,79,152,1039.8056376594081,457.8928375843093,0.01,0.22926278998807223,0.22926278998807223,0.7707372100119277
10,10000000,293.4782608695652,144.09937888198758,69,161,1036.5363584619795,459.1856096718748,0.01,0.9659542033220058,0.9659542033220058,0.03404579667799423
11,11000000,117.44186046511628,144.7019867549669,86,151,1041.1320151341022,458.8330580500295,0.01,0.32301629096097983,0.32301629096097983,0.6769837090390202
12,12000000,382.6388888888889,201.94805194805195,72,154,1060.1019585275264,458.1063439165527,0.01,1.291595649703758,1.0,0.0
13,13000000,359.2857142857143,281.93548387096774,70,155,1056.0367118235133,457.02346423559635,0.01,1.2063028279244494,1.0,0.0
14,14000000,294.6666666666667,280.4635761589404,75,151,1090.2405119199882,452.7646796187603,0.01,0.9702946189432676,0.9702946189432676,0.02970538105673237
15,15000000,236.875,317.10526315789474,80,152,1104.5027208293595,450.63320388258006,0.01,0.7592220598977355,0.7592220598977355,0.2407779401022645
16,16000000,268.67469879518075,276.1437908496732,83,153,1093.9457437265012,449.49871919100565,0.01,0.8753641300043123,0.8753641300043123,0.12463586999568765
17,17000000,317.6829268292683,300.0,82,157,1128.6506108272436,445.4654473743006,0.01,1.0543569277913378,1.0,0.0
18,18000000,292.5,371.2837837837838,80,148,1140.7793560376701,444.1844958215696,0.01,0.962381300219138,0.962381300219138,0.037618699780861964
19,19000000,395.3333333333333,403.6666666666667,75,150,1123.4888395905907,443.84021376732875,0.01,1.3379595812028242,1.0,0.0
20,20000000,482.43243243243245,420.27027027027026,74,148,1114.8909523317595,444.1222144560462,0.01,1.656071703551616,1.0,0.0
