iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,442,0,972.7041716034902,nan,1.0,-0.017432115320147504,-0.017432115320147504,1.0174321153201475
1,1000000,1.1627906976744187,38.40304182509506,344,526,925.6767883622917,424.8714345683234,0.8020002475,-0.017042309521396442,-0.017042309521396442,1.0170423095213965
2,2000000,2.0338983050847457,45.25252525252525,295,495,889.9307902924041,372.6311525979511,0.5545002475,-0.01675028551623039,-0.01675028551623039,1.0167502855162305
3,3000000,0.5263157894736842,71.37096774193549,380,496,865.789432691671,378.8608158828457,0.3070002475,-0.01725567690597597,-0.01725567690597597,1.017255676905976
4,4000000,147.54098360655738,139.09626719056973,244,509,804.5624747815643,380.99014307909425,0.05950024749999997,0.03202848930826597,0.03202848930826597,0.967971510691734
5,5000000,0.0,187.73584905660377,447,530,769.9464137812703,385.57418701397665,0.01,-0.017432115320147504,-0.017432115320147504,1.0174321153201475
6,6000000,181.9047619047619,219.17808219178082,210,511,764.5466056356235,393.64367405127234,0.01,0.043548361349232956,0.043548361349232956,0.9564516386507671
7,7000000,871.8592964824121,405.8455114822547,199,479,755.7959465249671,393.7145882606632,0.01,0.2748438808187771,0.2748438808187771,0.7251561191812229
8,8000000,614.018691588785,646.189376443418,214,433,761.1730299543915,397.4329622197479,0.01,0.1884072046895022,0.1884072046895022,0.8115927953104978
9,9000000,652.0930232558139,707.5425790754258,215,411,760.9745076431005,401.20862419732225,0.01,0.2011709766194482,0.2011709766194482,0.7988290233805518
10,10000000,190.19607843137254,672.9268292682926,204,410,762.3412122034548,405.32483006651256,0.01,0.04632788415399683,0.04632788415399683,0.9536721158460032
11,11000000,51.78082191780822,754.70737913486,365,393,765.9613459358123,404.5317327313539,0.01,-7.347572316184436e-05,-7.347572316184436e-05,1.0000734757231617
12,12000000,1352.5316455696202,786.1728395061729,158,405,758.9940233078752,400.5256616471503,0.01,0.4359811081359773,0.4359811081359773,0.5640188918640228
13,13000000,1020.1117318435754,867.3575129533679,179,386,763.6959439818045,400.2263795890981,0.01,0.3245429875439408,0.3245429875439408,0.6754570124560593
14,14000000,621.0762331838565,946.4,223,375,756.7735039779539,401.2993255599537,0.01,0.19077312543877187,0.19077312543877187,0.8092268745612281
15,15000000,759.8039215686274,1034.3575418994412,204,358,763.9680965818804,400.85243054079365,0.01,0.23727922278532598,0.23727922278532598,0.762720777214674
16,16000000,1650.0,1321.7532467532467,140,308,772.1091855706051,396.67391263928795,0.01,0.5357023131076097,0.5357023131076097,0.46429768689239026
17,17000000,1921.7054263565892,1533.4519572953736,129,281,805.6361057535913,386.53984308224517,0.01,0.6267869347491081,0.6267869347491081,0.37321306525089193
18,18000000,1900.0,1978.75,120,240,845.1266515928344,380.5016661548493,0.01,0.6195105598390882,0.6195105598390882,0.3804894401609118
19,19000000,731.8681318681319,2223.214285714286,182,224,870.585503172349,372.86905572342664,0.01,0.2279142245618947,0.2279142245618947,0.7720857754381053
20,20000000,1567.605633802817,2346.5437788018435,142,217,910.8063877382657,367.13415778580975,0.01,0.5080810036214606,0.5080810036214606,0.4919189963785394
21,21000000,3631.6455696202534,2789.175257731959,79,194,913.5257486429507,361.1814303750313,0.01,1.2000152764399106,1.0,0.0
22,22000000,3861.6438356164385,2940.7608695652175,73,184,952.8765003863849,359.00603191894794,0.01,1.2771182821375926,1.0,0.0
23,23000000,6748.936170212766,3571.698113207547,47,159,931.9876701709215,360.3859711268608,0.01,2.2450339155926136,1.0,0.0
24,24000000,6904.347826086957,3543.125,46,160,915.7548498337471,364.28369905139533,0.01,2.2971330291944208,1.0,0.0
25,25000000,1661.4814814814815,3865.3333333333335,135,150,859.2502375932448,367.8473696403962,0.01,0.5395512844389814,0.5395512844389814,0.46044871556101863
26,26000000,6558.333333333333,4402.941176470588,48,136,842.4872432744127,374.3083802027434,0.01,2.1811375572689684,1.0,0.0
27,27000000,5349.122807017544,3283.431952662722,57,169,795.6160613664846,387.19647917811034,0.01,1.7757703007098706,1.0,0.0
28,28000000,3188.235294117647,4190.780141843971,85,141,765.7366044875783,396.0354182031608,0.01,1.0513695253495297,1.0,0.0
29,29000000,2786.315789473684,3485.276073619632,95,163,764.5601928957957,397.59971130222607,0.01,0.9166328493039504,0.9166328493039504,0.08336715069604961
30,30000000,4222.5352112676055,4155.633802816901,71,142,761.5438693795943,400.47766647757965,0.01,1.398100975952935,1.0,0.0
31,31000000,7695.555555555556,4449.264705882353,45,136,761.8026534462671,400.1970383497777,0.01,2.562371959623049,1.0,0.0
32,32000000,6736.734693877551,5089.430894308943,49,123,768.821832225722,399.3555206640102,0.01,2.2409435782358536,1.0,0.0
33,33000000,3553.6585365853657,4914.0625,82,128,770.3230586850973,403.13777859073514,0.01,1.1738714504141354,1.0,0.0
34,34000000,6655.102040816327,5063.709677419355,49,124,770.9230854273513,402.6666562807572,0.01,2.2135776201194526,1.0,0.0
35,35000000,4575.757575757576,6340.384615384615,66,104,768.7600593621673,400.0600097645186,0.01,1.5165127642499416,1.0,0.0
36,36000000,8485.0,5507.692307692308,40,117,759.3420440772686,399.71452334433303,0.01,2.827019778746229,1.0,0.0
37,37000000,6872.0,5819.642857142857,50,112,778.3405049573772,396.75924078130424,0.01,2.2862889708347303,1.0,0.0
38,38000000,10105.714285714286,6547.058823529412,35,102,804.0501954179049,385.22623827775703,0.01,3.3703366696997272,1.0,0.0
39,39000000,9570.27027027027,6198.165137614679,37,109,829.7752344374359,376.1171550768655,0.01,3.1908381730708246,1.0,0.0
40,40000000,7445.833333333333,6078.378378378378,48,111,878.5446849116018,372.7979823860727,0.01,2.478656833165717,1.0,0.0
41,41000000,7151.063829787234,7219.791666666667,47,96,906.9770756340057,367.14241236790855,0.01,2.379840372037289,1.0,0.0
42,42000000,8077.272727272727,7419.148936170212,44,94,937.0707735452703,360.9686162742285,0.01,2.690336147258708,1.0,0.0
43,43000000,4265.277777777777,6981.818181818182,72,99,960.3450497434691,358.5239103524546,0.01,1.4124296941930197,1.0,0.0
44,44000000,3571.4285714285716,6788.235294117647,84,102,934.3738391297802,360.95285194611705,0.01,1.1798285522724008,1.0,0.0
45,45000000,5617.241379310345,7461.0526315789475,58,95,866.991767066722,367.06386329896867,0.01,1.865652490549898,1.0,0.0
46,46000000,8500.0,6875.0,43,104,844.7274397056195,368.21706378647445,0.01,2.832048273550117,1.0,0.0
47,47000000,7726.666666666667,7550.526315789473,45,95,825.5030548092645,375.7220580123548,0.01,2.572801430327411,1.0,0.0
48,48000000,9365.0,7414.285714285715,40,98,774.1401336370374,387.66177975649623,0.01,3.1220248072410324,1.0,0.0
49,49000000,8295.454545454546,6597.272727272727,44,110,761.7485926109787,397.25769554294305,0.01,2.763477889860726,1.0,0.0
50,50000000,8630.434782608696,6469.026548672567,46,113,768.0181825625459,401.3652072615232,0.01,2.8757743153230626,1.0,0.0
51,51000000,11094.444444444445,7812.371134020618,36,97,764.3547023922391,399.3013113356676,0.01,3.701791634074571,1.0,0.0
52,52000000,6055.0,7732.0,60,100,769.8502981967946,401.2830537692921,0.01,2.0124036205162588,1.0,0.0
53,53000000,11440.54054054054,8489.247311827958,37,93,776.0144722246699,402.1601839289217,0.01,3.817814462132263,1.0,0.0
54,54000000,6885.714285714285,8471.578947368422,56,95,761.7555369374874,404.12808329561545,0.01,2.2908864517982854,1.0,0.0
55,55000000,6941.509433962264,7580.582524271845,53,103,769.6492109860455,403.5689086927706,0.01,2.3095908260014295,1.0,0.0
56,56000000,9588.636363636364,8165.306122448979,44,98,764.4740186714426,403.1378575648291,0.01,3.1969950934081006,1.0,0.0
57,57000000,12948.484848484848,9194.38202247191,33,89,772.4241183631281,399.060144373755,0.01,4.323327136602363,1.0,0.0
58,58000000,11647.368421052632,8950.0,38,92,817.7432634385302,386.83203931923646,0.01,3.887149990295887,1.0,0.0
59,59000000,13200.0,9035.164835164835,32,91,836.7530060642357,375.48456445079074,0.01,4.407643312101911,1.0,0.0
60,60000000,10679.48717948718,9379.12087912088,39,91,892.2168308258978,373.9163476416325,0.01,3.562684270696339,1.0,0.0
61,61000000,10151.162790697674,9390.10989010989,43,91,912.3131296938221,367.5483083468425,0.01,3.3855725077766254,1.0,0.0
62,62000000,11365.78947368421,9341.304347826086,38,92,998.9069537714666,365.9131475768902,0.01,3.7927554387141167,1.0,0.0
63,63000000,10885.714285714286,9078.72340425532,42,94,903.2174937025753,363.1804099254301,0.01,3.6318183995019395,1.0,0.0
64,64000000,10476.744186046511,9434.065934065935,43,91,881.9687709976994,367.62918990894343,0.01,3.494718131426923,1.0,0.0
65,65000000,12677.142857142857,9115.95744680851,35,94,832.8765054132822,375.4556847730053,0.01,4.232364350366361,1.0,0.0
66,66000000,13893.939393939394,10181.39534883721,33,86,788.5144520124846,384.1220590251353,0.01,4.640274687877772,1.0,0.0
67,67000000,10742.857142857143,9331.182795698925,42,93,768.4522720117479,395.6761043873783,0.01,3.5839279727982376,1.0,0.0
68,68000000,11540.0,10638.095238095239,40,84,768.6626277442496,403.851899060269,0.01,3.8511565538048944,1.0,0.0
69,69000000,11119.512195121952,10768.292682926829,41,82,767.8287445942616,407.7724529259015,0.01,3.7101951710097056,1.0,0.0
70,70000000,12337.837837837838,10492.857142857143,37,84,764.5409990832395,404.3043107818814,0.01,4.118618115265786,1.0,0.0
71,71000000,11548.780487804877,10844.578313253012,41,83,764.9672505937209,404.6924467963817,0.01,3.85410006295839,1.0,0.0
72,72000000,12042.105263157895,10587.209302325582,38,86,770.0496859762234,402.95738302310974,0.01,4.019478800924538,1.0,0.0
73,73000000,12672.972972972973,9956.043956043955,37,91,762.9703221655876,402.489612019726,0.01,4.230966467640957,1.0,0.0
74,74000000,14081.818181818182,11611.39240506329,33,79,767.7271845021899,406.1100054248466,0.01,4.703257855118398,1.0,0.0
75,75000000,14987.5,11675.949367088608,32,79,789.8635507501547,395.1250439597421,0.01,5.006872276231981,1.0,0.0
76,76000000,9687.234042553191,11234.146341463415,47,82,825.8610424789915,384.3746485328125,0.01,3.2300482878153507,1.0,0.0
