iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,1.2,nan,85,0,1612.8382699209417,nan,1.0,-1.495831381733021,-1.495831381733021,2.495831381733021
1,1000000,47.4,2156.7340425531916,90,188,991.1123721610514,842.9663209608052,0.8020002475,-1.4525526932084307,-1.4525526932084307,2.452552693208431
2,2000000,1243.7157894736843,2876.620320855615,95,187,971.3409952646045,612.4763388578004,0.5545002475,-0.33188216442746205,-0.33188216442746205,1.331882164427462
3,3000000,1351.64,2634.6077348066297,75,181,1013.5430960738988,610.9707240562923,0.3070002475,-0.23078220140515213,-0.23078220140515213,1.2307822014051522
4,4000000,1783.5257731958764,1962.0813953488373,97,172,970.0549105994204,615.7206757775757,0.05950024749999997,0.17379463531229636,0.17379463531229636,0.8262053646877037
5,5000000,813.2272727272727,1563.264705882353,88,170,902.5188400460281,596.2400965556325,0.01,-0.7351500958058335,-0.7351500958058335,1.7351500958058335
6,6000000,1604.3936170212767,1911.535294117647,94,170,834.0816009269565,565.3379516980256,0.01,0.0059893367880811885,0.0059893367880811885,0.9940106632119188
7,7000000,3513.1392405063293,1931.2298850574712,79,174,855.7244132604478,563.7368618367389,0.01,1.794041443097264,1.0,0.0
8,8000000,2181.7912087912086,2128.5141242937852,91,177,860.4320261311468,568.4015206201386,0.01,0.5468770105772446,0.5468770105772446,0.4531229894227554
9,9000000,607.3804347826087,1880.777142857143,92,175,858.8623128089042,574.6121143947964,0.01,-0.9279808573465024,-0.9279808573465024,1.9279808573465025
10,10000000,2702.2558139534885,1965.8869047619048,86,168,861.0167151874139,573.6824338599288,0.01,1.0344316758346497,1.0,0.0
11,11000000,2770.4302325581393,2239.676470588235,86,170,879.3376811117321,581.8696322697415,0.01,1.098295299820271,1.0,0.0
12,12000000,2795.0967741935483,2313.567415730337,93,178,936.1614947155895,590.0656065056427,0.01,1.1214021303920827,1.0,0.0
13,13000000,2217.289156626506,2439.137142857143,83,175,945.1402284300605,602.8724057251951,0.01,0.5801303574955561,0.5801303574955561,0.4198696425044439
