iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,4.419889502762431,nan,181,0,1491.0053224614671,nan,1.0,-0.011303602242979187,-0.011303602242979187,1.011303602242979
1,1000000,2.197802197802198,515.1291512915129,182,271,1471.015920435717,1122.7949208775835,0.8020002475,-0.011402459217636858,-0.011402459217636858,1.011402459217637
2,2000000,640.4494382022472,807.3643410852713,178,258,1475.80808823561,1056.0855422756722,0.5545002475,0.016992296319134754,0.016992296319134754,0.9830077036808652
3,3000000,1900.0,2214.4796380090497,130,221,1468.0657751754077,1057.0472849016662,0.3070002475,0.0730276094635596,0.0730276094635596,0.9269723905364404
4,4000000,12970.76923076923,6203.389830508475,65,177,1469.8273248044654,1055.3379063115399,0.05950024749999997,0.5655477507037713,0.5655477507037713,0.4344522492962287
5,5000000,10177.631578947368,9829.605263157895,76,152,1477.6790377548114,1056.990107861462,0.01,0.44128569428268644,0.44128569428268644,0.5587143057173136
6,6000000,12593.103448275862,11505.223880597016,58,134,1482.102583778423,1054.1347191766774,0.01,0.5487460271145692,0.5487460271145692,0.4512539728854308
7,7000000,17023.076923076922,14987.85046728972,52,107,1460.7404348038976,1054.709400785804,0.01,0.7458281915079288,0.7458281915079288,0.2541718084920712
8,8000000,19158.0,16039.39393939394,50,99,1495.296561391039,1053.2438956112808,0.01,0.8408073743871731,0.8408073743871731,0.15919262561282688
9,9000000,9525.0,15398.019801980197,64,101,1496.9266056430272,1051.9895007843736,0.01,0.4122511989607524,0.4122511989607524,0.5877488010392475
10,10000000,16568.18181818182,15871.27659574468,44,94,1491.5754691793811,1050.0015483267694,0.01,0.7255906635961624,0.7255906635961624,0.2744093364038376
11,11000000,25063.88888888889,15469.565217391304,36,92,1481.6047715038856,1055.0596250259885,0.01,1.1035505649524817,1.0,0.0
12,12000000,10042.372881355932,17244.18604651163,59,86,1495.1714273433288,1052.4399643559464,0.01,0.4352682594095477,0.4352682594095477,0.5647317405904523
13,13000000,17677.5,21082.894736842107,40,76,1473.5262962601607,1047.1977916513279,0.01,0.7749423876002101,0.7749423876002101,0.22505761239978994
14,14000000,24643.243243243243,18487.17948717949,37,78,1506.6571634518032,1043.6961046796312,0.01,1.0848367386151334,1.0,0.0
15,15000000,23576.923076923078,21617.80821917808,39,73,1522.1017983140603,1045.5978930275953,0.01,1.0373979249269536,1.0,0.0
