iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,4,0,481.3110852827023,nan,1.0,0.0,0.0,1.0
1,1000000,0.0,0.21978021978021978,5,455,444.0941608518623,146.9482775735534,0.8020002475,0.0,0.0,1.0
2,2000000,0.0,0.0,4,334,441.4277677487749,125.82844506762386,0.5545002475,0.0,0.0,1.0
3,3000000,0.0,14.705882352941176,4,34,438.3257176149313,126.01646080605722,0.3070002475,0.0,0.0,1.0
4,4000000,0.0,0.0,4,18,442.84548653694947,130.04300765211806,0.05950024749999997,0.0,0.0,1.0
5,5000000,0.0,0.0,4,9,415.51023902404756,134.15114513091868,0.01,0.0,0.0,1.0
6,6000000,0.0,0.0,4,9,776.0274449523407,132.42439500572846,0.01,0.0,0.0,1.0
7,7000000,0.0,0.0,4,9,762.1215751422718,266.28407596691716,0.01,0.0,0.0,1.0
8,8000000,0.0,0.0,4,9,755.3072782862271,267.8787602681745,0.01,0.0,0.0,1.0
9,9000000,0.0,0.0,4,9,750.0369770074311,267.10144434656365,0.01,0.0,0.0,1.0
10,10000000,0.0,0.0,4,9,833.7360514347836,268.46647362142545,0.01,0.0,0.0,1.0
11,11000000,0.0,0.0,4,9,746.055836280088,269.52764285471267,0.01,0.0,0.0,1.0
12,12000000,0.0,0.0,4,9,741.6201387101312,270.3123405537144,0.01,0.0,0.0,1.0
13,13000000,0.0,0.0,4,9,746.6838713874301,271.24025541061513,0.01,0.0,0.0,1.0
14,14000000,0.0,0.0,4,9,766.2338957568552,272.30162136548176,0.01,0.0,0.0,1.0
15,15000000,0.0,0.0,4,9,739.4623055512135,274.11854819855324,0.01,0.0,0.0,1.0
16,16000000,0.0,0.0,4,9,716.9323064845081,276.71063770395943,0.01,0.0,0.0,1.0
17,17000000,0.0,0.0,4,9,701.0918270990852,277.7790132280841,0.01,0.0,0.0,1.0
18,18000000,0.0,0.0,4,9,715.2335859251316,280.08127815676374,0.01,0.0,0.0,1.0
19,19000000,0.0,0.0,4,9,695.6414369174356,280.33851757304933,0.01,0.0,0.0,1.0
20,20000000,0.0,0.0,4,9,686.4814555186317,280.6067024891827,0.01,0.0,0.0,1.0
21,21000000,0.0,11.11111111111111,4,9,704.8990326493382,281.1101190263482,0.01,0.0,0.0,1.0
22,22000000,0.0,0.0,4,9,691.3119511698203,280.85258192158034,0.01,0.0,0.0,1.0
23,23000000,0.0,0.0,4,9,693.0407270041788,280.82657525853165,0.01,0.0,0.0,1.0
24,24000000,0.0,22.22222222222222,4,9,677.3574653734552,281.1440869872078,0.01,0.0,0.0,1.0
25,25000000,0.0,0.0,4,9,678.2018819710961,282.30304696114035,0.01,0.0,0.0,1.0
26,26000000,0.0,0.0,4,9,680.8328207888368,283.7951757542115,0.01,0.0,0.0,1.0
27,27000000,0.0,0.0,4,9,679.0388150180075,284.3162997340526,0.01,0.0,0.0,1.0
28,28000000,0.0,0.0,4,9,684.4711066154858,284.29986147792124,0.01,0.0,0.0,1.0
29,29000000,0.0,0.0,4,9,676.4222696744022,284.92993479718973,0.01,0.0,0.0,1.0
30,30000000,0.0,33.333333333333336,4,9,675.1672653261905,283.9559918257048,0.01,0.0,0.0,1.0
31,31000000,0.0,33.333333333333336,4,9,673.1195019025971,283.5713389054949,0.01,0.0,0.0,1.0
32,32000000,0.0,22.22222222222222,4,9,665.5137938731565,282.8656234579444,0.01,0.0,0.0,1.0
33,33000000,0.0,22.22222222222222,4,9,677.3749464839323,283.1232330797004,0.01,0.0,0.0,1.0
34,34000000,0.0,0.0,4,9,668.775024952818,283.1365172982563,0.01,0.0,0.0,1.0
35,35000000,0.0,0.0,4,9,665.0288796180223,282.85843502982163,0.01,0.0,0.0,1.0
36,36000000,0.0,11.11111111111111,4,9,665.2556796246978,283.4366216691059,0.01,0.0,0.0,1.0
37,37000000,0.0,11.11111111111111,4,9,670.571283224095,283.33439958764615,0.01,0.0,0.0,1.0
38,38000000,0.0,0.0,4,9,665.9381589647153,282.9469388968199,0.01,0.0,0.0,1.0
39,39000000,0.0,22.22222222222222,4,9,668.3393597510828,282.414311240863,0.01,0.0,0.0,1.0
40,40000000,0.0,22.22222222222222,4,9,667.2801791018853,281.6383881466564,0.01,0.0,0.0,1.0
41,41000000,0.0,22.22222222222222,4,9,667.2449401250655,281.84721949805396,0.01,0.0,0.0,1.0
