iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,99.87124463519314,nan,233,0,1688.2833858829626,nan,1.0,-0.031219053228301985,-0.031219053228301985,1.0312190532283019
1,1000000,448.9201877934272,274.46247464503045,213,493,1562.527878138995,992.9679599690505,0.8020002475,0.021314538445498726,0.021314538445498726,0.9786854615545013
2,2000000,750.7777777777778,397.0974576271187,180,472,1536.2486834668632,923.0915223263279,0.5545002475,0.06674559814845474,0.06674559814845474,0.9332544018515453
3,3000000,834.4919786096257,590.0932400932401,187,429,1678.0906295398054,898.9793935049928,0.3070002475,0.0793449992639745,0.0793449992639745,0.9206550007360255
4,4000000,1058.3974358974358,866.3538873994638,156,373,1559.705114830481,891.5042055963135,0.05950024749999997,0.11304387759394305,0.11304387759394305,0.8869561224060569
5,5000000,1601.476510067114,1153.2153392330383,149,339,1476.2133438049354,903.9885939337158,0.01,0.19477996328689465,0.19477996328689465,0.8052200367131054
6,6000000,1975.654761904762,1181.1834319526627,168,338,1448.2233799078867,886.3927201908938,0.01,0.2510956401584459,0.2510956401584459,0.7489043598415541
7,7000000,1751.0975609756097,1180.0569800569801,164,351,1487.1392358601568,863.9507309469292,0.01,0.21729867118817778,0.21729867118817778,0.7827013288118222
8,8000000,1243.5416666666667,1380.3603603603603,144,333,1446.927909094299,833.3340598617439,0.01,0.1409089996939733,0.1409089996939733,0.8590910003060267
9,9000000,1452.230215827338,1674.448051948052,139,308,1402.2031735016474,817.0792075512805,0.01,0.17231765811708352,0.17231765811708352,0.8276823418829165
10,10000000,1487.062937062937,1739.2617449664428,143,298,1339.259494167671,808.1754342553377,0.01,0.1775601548790598,0.1775601548790598,0.8224398451209403
11,11000000,2061.2403100775196,1729.5409836065573,129,305,1380.6256824696948,806.9074769742444,0.01,0.2639766883008774,0.2639766883008774,0.7360233116991226
12,12000000,1695.8278145695365,1690.8843537414966,151,294,1349.1824264527106,805.5061321152705,0.01,0.20898030109560622,0.20898030109560622,0.7910196989043938
13,13000000,1580.1136363636363,1714.948805460751,176,293,1423.269145091823,794.1160307122517,0.01,0.19156474517460625,0.19156474517460625,0.8084352548253937
14,14000000,1497.6470588235295,1793.3333333333333,153,288,1401.0451201387418,819.3526348744762,0.01,0.17915311753285215,0.17915311753285215,0.8208468824671479
15,15000000,1487.4534161490683,1773.9527027027027,161,296,1569.925807386775,833.3998785030714,0.01,0.17761892391208528,0.17761892391208528,0.8223810760879147
16,16000000,1780.3703703703704,1759.8972602739725,135,292,1560.007814176985,894.1409669384084,0.01,0.22170437372941776,0.22170437372941776,0.7782956262705822
17,17000000,2024.7826086956522,1807.630662020906,138,287,1495.0443608726707,882.5827056265254,0.01,0.2584896239928438,0.2584896239928438,0.7415103760071562
18,18000000,2180.6962025316457,1894.7122302158273,158,278,1479.2006396477361,857.0757736726733,0.01,0.28195539071559766,0.28195539071559766,0.7180446092844024
19,19000000,2046.0958904109589,1960.0,146,268,1428.3694714118653,848.4542260183607,0.01,0.26169737826572537,0.26169737826572537,0.7383026217342746
20,20000000,1750.3937007874015,1987.8308823529412,127,272,1423.265727262258,844.0102286846279,0.01,0.21719273674990616,0.21719273674990616,0.7828072632500939
21,21000000,2354.864864864865,1972.0664206642066,148,271,1445.1111942904863,836.4589145855095,0.01,0.30816863550183843,0.30816863550183843,0.6918313644981615
22,22000000,1561.958041958042,2024.2105263157894,143,266,1444.9360381593926,835.2867859432521,0.01,0.18883223845371852,0.18883223845371852,0.8111677615462815
23,23000000,2264.9579831932774,2054.037037037037,119,270,1463.0141944880481,834.4671771426138,0.01,0.2946372053027824,0.2946372053027824,0.7053627946972176
24,24000000,1999.2857142857142,2016.3295880149813,126,267,1412.1452171205503,840.6297279098368,0.01,0.25465221532527343,0.25465221532527343,0.7453477846747265
25,25000000,1835.6204379562043,2056.9961977186313,137,263,1430.099319258904,855.0229607074285,0.01,0.2300197820622495,0.2300197820622495,0.7699802179377505
26,26000000,2373.84,2109.2996108949415,125,257,1455.0099288635615,850.4286797908867,0.01,0.311024487154403,0.311024487154403,0.688975512845597
27,27000000,2279.6747967479673,2166.235294117647,123,255,1511.1240679313262,834.0703869820386,0.01,0.29685215850397595,0.29685215850397595,0.703147841496024
28,28000000,1804.962962962963,2172.9803921568628,135,255,1458.076718240998,829.1902719696839,0.01,0.22540568050253046,0.22540568050253046,0.7745943194974696
29,29000000,1950.9219858156027,2181.176470588235,141,255,1440.24302601276,849.410790185539,0.01,0.24737323507602046,0.24737323507602046,0.7526267649239795
30,30000000,1884.2063492063492,2257.410358565737,126,251,1436.6180070459422,877.6931119511516,0.01,0.23733220191838858,0.23733220191838858,0.7626677980816114
31,31000000,2070.3174603174602,2172.924901185771,126,253,1457.1717917295791,864.0851563957764,0.01,0.2653428442902127,0.2653428442902127,0.7346571557097873
32,32000000,2427.8125,2232.9435483870966,128,248,1557.9401155870055,845.3695911256472,0.01,0.3191476152491609,0.3191476152491609,0.6808523847508391
