iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,32.38095238095238,nan,21,0,1741.4003335633984,nan,1.0,-0.3925719679015839,-0.3925719679015839,1.392571967901584
1,1000000,29.375,2214.242424242424,16,99,1648.5548882691342,1177.9270843573509,0.8020002475,-0.3930941337919294,-0.3930941337919294,1.3930941337919294
2,2000000,216.25,2490.8695652173915,128,92,1554.7493531705009,1085.228208910904,0.5545002475,-0.3606319592822277,-0.3606319592822277,1.3606319592822276
3,3000000,2627.2727272727275,2087.9411764705883,44,102,1567.425744794511,1087.8207044699948,0.3070002475,0.058188324434611374,0.058188324434611374,0.9418116755653886
4,4000000,1732.5,1640.1694915254238,52,118,1596.1426209240058,1085.7329878414332,0.05950024749999997,-0.09724321225702229,-0.09724321225702229,1.0972432122570224
5,5000000,3330.5405405405404,2265.9574468085107,37,94,1575.1686331119581,1087.1676008910858,0.01,0.18035342132481114,0.18035342132481114,0.8196465786751889
6,6000000,3465.3125,3000.125,32,80,1559.8535763807924,1088.3393243810808,0.01,0.20376474368996123,0.20376474368996123,0.7962352563100388
7,7000000,4298.181818181818,4385.0,33,64,1573.5232548798429,1087.9705787779344,0.01,0.34844300001421263,0.34844300001421263,0.6515569999857873
8,8000000,8550.90909090909,6492.35294117647,22,51,1560.472198450828,1094.830927982218,0.01,1.0871869458038617,1.0,0.0
9,9000000,5004.6875,7057.254901960784,32,51,1554.8405710831705,1090.4084489281026,0.01,0.47117054909931033,0.47117054909931033,0.5288294509006897
10,10000000,7964.8,6485.892857142857,25,56,1558.895142335044,1091.0706151530037,0.01,0.9853735647158963,0.9853735647158963,0.014626435284103678
11,11000000,5841.0,6953.7037037037035,30,54,1623.5871700447835,1100.510547656468,0.01,0.6164469227161394,0.6164469227161394,0.38355307728386057
12,12000000,7569.615384615385,7460.192307692308,26,52,1579.7978150719591,1097.954409020674,0.01,0.91672579509361,0.91672579509361,0.08327420490639004
13,13000000,6172.758620689655,7773.333333333333,29,51,1597.1684713545515,1093.3412094789453,0.01,0.6740769226622292,0.6740769226622292,0.3259230773377708
14,14000000,10502.5,7556.862745098039,20,51,1575.0982341450137,1095.3778206380573,0.01,1.4261990376430944,1.0,0.0
15,15000000,7355.925925925926,7479.423076923077,27,52,1604.4469673882293,1093.2401665307157,0.01,0.8796056639960266,0.8796056639960266,0.12039433600397342
16,16000000,10801.42857142857,8157.142857142857,21,49,1646.7917168051324,1091.43316227909,0.01,1.4781261089562718,1.0,0.0
17,17000000,10156.818181818182,8001.6,22,50,1645.9678253277598,1096.5190452782915,0.01,1.3661504302496539,1.0,0.0
18,18000000,6990.714285714285,8247.551020408164,28,49,1662.2120739503832,1096.3829888185214,0.01,0.8161645188587707,0.8161645188587707,0.18383548114122927
19,19000000,6839.642857142857,7868.6274509803925,28,51,1644.1490081527072,1098.33878621519,0.01,0.7899218053994227,0.7899218053994227,0.2100781946005773
20,20000000,8445.833333333334,7983.2,24,50,1657.3756725728542,1099.734681788144,0.01,1.0689341694605128,1.0,0.0
21,21000000,10823.0,8350.0,20,49,1626.241551511913,1100.4703133690402,0.01,1.4818732954644156,1.0,0.0
22,22000000,8054.0,7881.7307692307695,25,52,1656.9009979338514,1097.557168100279,0.01,1.0008685531641393,1.0,0.0
23,23000000,10324.761904761905,8134.509803921569,21,51,1625.7754697034754,1101.1641596934548,0.01,1.3953240406416705,1.0,0.0
24,24000000,9020.833333333334,8038.823529411765,24,51,1652.340259784538,1102.727634116363,0.01,1.168817783336518,1.0,0.0
25,25000000,10150.90909090909,8051.0,22,50,1637.9156242938623,1100.0945532167036,0.01,1.3651239583283983,1.0,0.0
26,26000000,8599.6,8012.5,25,52,1638.1156424573635,1101.6491638783316,0.01,1.0956450744350061,1.0,0.0
27,27000000,8401.6,8170.0,25,51,1545.6719795815713,1096.495680868224,0.01,1.0612503691350947,1.0,0.0
28,28000000,9425.652173913044,8273.921568627451,23,51,1545.5788917551783,1054.8015626903987,0.01,1.23913912031425,1.0,0.0
29,29000000,10363.636363636364,9151.702127659575,22,47,1630.061411342663,1103.6985073131896,0.01,1.4020769474935926,1.0,0.0
30,30000000,8386.25,9301.521739130434,24,46,1596.5714869066571,1070.772633310027,0.01,1.0585839109211874,1.0,0.0
31,31000000,8443.6,8806.041666666666,25,48,1607.7170961115864,1053.2396090671693,0.01,1.0685462157138639,1.0,0.0
32,32000000,7646.785714285715,8486.938775510203,28,49,1594.343790919534,1080.465208100356,0.01,0.9301311018961756,0.9301311018961756,0.06986889810382435
33,33000000,8162.0,8843.333333333334,25,48,1582.1739460340793,1084.0193842281951,0.01,1.0196293015095454,1.0,0.0
34,34000000,10549.047619047618,8275.2,21,50,1529.075939395466,1086.8885438711918,0.01,1.434284854004485,1.0,0.0
35,35000000,9068.75,9044.893617021276,24,47,1576.7379170942936,1087.0082416551106,0.01,1.1771414178261852,1.0,0.0
36,36000000,7810.384615384615,9112.553191489362,26,47,1626.625560200234,1086.7159898539696,0.01,0.9585499705360042,0.9585499705360042,0.041450029463995786
