iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,19.439252336448597,nan,321,0,1461.8374049699792,nan,1.0,-0.114478915580996,-0.114478915580996,1.114478915580996
1,1000000,199.1549295774648,772.114537444934,213,227,1419.1685367557227,999.2039839573308,0.8020002475,-0.08675014972883649,-0.08675014972883649,1.0867501497288365
2,2000000,501.34715025906735,909.0489913544668,193,347,1395.1574456018761,950.5914651518863,0.5545002475,-0.04012418221022845,-0.04012418221022845,1.0401241822102285
3,3000000,472.09302325581393,964.1818181818181,43,330,1396.8148988325281,956.2814394174883,0.3070002475,-0.044637872113834784,-0.044637872113834784,1.0446378721138347
4,4000000,2080.222222222222,1098.5767790262173,45,267,1469.5778800096414,960.4139023596462,0.05950024749999997,0.20348426560239183,0.20348426560239183,0.7965157343976081
5,5000000,1391.8918918918919,2276.4596273291927,74,161,1448.9719478491606,940.8137137138185,0.01,0.09728011662838545,0.09728011662838545,0.9027198833716146
6,6000000,3002.1428571428573,4502.12962962963,28,108,1466.6675331351219,935.8941458672018,0.01,0.3457296267886899,0.3457296267886899,0.6542703732113101
7,7000000,5233.333333333333,5286.216216216216,6,37,1488.588192018588,936.0026273991889,0.01,0.6899853936513813,0.6899853936513813,0.31001460634861866
8,8000000,5185.0,5609.2307692307695,4,13,1472.8700602696265,926.9470912582664,0.01,0.6825279269271123,0.6825279269271123,0.3174720730728877
9,9000000,4952.5,7716.363636363636,4,11,1468.3048456886806,925.6368367277445,0.01,0.6466549404431278,0.6466549404431278,0.35334505955687223
10,10000000,6550.0,10757.777777777777,7,18,1454.042158115956,923.8909220399917,0.01,0.8931370733814725,0.8931370733814725,0.10686292661852748
11,11000000,11045.714285714286,10741.777777777777,21,45,1424.189314326134,927.7440118751033,0.01,1.5867916876063515,1.0,0.0
12,12000000,7937.0,9932.553191489362,10,47,1420.6353489001494,934.622011102388,0.01,1.1071406529655001,1.0,0.0
13,13000000,5187.5,12029.583333333334,4,24,1393.2512393821485,940.1067638346161,0.01,0.6829136579645745,0.6829136579645745,0.3170863420354255
14,14000000,16931.176470588234,13111.42857142857,17,42,1362.9896387285382,950.9721206882591,0.01,2.4948738614127373,1.0,0.0
15,15000000,10311.25,13457.954545454546,8,44,1333.5688752773226,950.7227714236903,0.01,1.47346941924335,1.0,0.0
16,16000000,15291.363636363636,10070.51724137931,22,58,1322.0155276178277,958.0088395814306,0.01,2.2418631790970243,1.0,0.0
17,17000000,6904.0,12472.857142857143,5,49,1310.4350059649898,965.0119234812764,0.01,0.9477565882861197,0.9477565882861197,0.05224341171388025
18,18000000,9104.583333333334,12318.4,24,50,1307.933114943848,968.7733830374713,0.01,1.2872899051615956,1.0,0.0
19,19000000,11154.615384615385,11253.793103448275,26,58,1309.8327524806145,962.8043513310316,0.01,1.603594301150309,1.0,0.0
20,20000000,10920.76923076923,14073.877551020409,13,49,1317.9273838977315,962.4479995515134,0.01,1.5675136133384604,1.0,0.0
21,21000000,13525.625,12755.185185185184,16,54,1316.9000209647454,962.1363303286927,0.01,1.9694231006603713,1.0,0.0
22,22000000,13765.0,14130.208333333334,22,48,1331.4801503261556,960.2149809508826,0.01,2.006356847497377,1.0,0.0
23,23000000,15006.818181818182,14506.037735849057,22,53,1352.688409910996,953.9350133622746,0.01,2.197959973742236,1.0,0.0
24,24000000,14396.785714285714,13826.666666666666,28,54,1366.9966193581754,948.2102183452932,0.01,2.103836591107467,1.0,0.0
25,25000000,23014.761904761905,15029.0,21,50,1382.4715853006135,948.6556633623323,0.01,3.4335249498182283,1.0,0.0
26,26000000,14963.181818181818,14517.34693877551,22,49,1389.0265144307698,947.653722590009,0.01,2.191227213815623,1.0,0.0
27,27000000,10081.290322580646,16698.297872340427,31,47,1385.925576467825,947.8987136064559,0.01,1.4379883852651738,1.0,0.0
28,28000000,21464.21052631579,16197.4,19,50,1408.582946749854,942.5886025572303,0.01,3.1942866330796438,1.0,0.0
29,29000000,7512.0,18716.04651162791,5,43,1422.0705261321207,935.3051040179021,0.01,1.0415663765969265,1.0,0.0
30,30000000,8862.0,18588.333333333332,5,42,1447.4749597684342,929.4622424288841,0.01,1.2498611368265136,1.0,0.0
31,31000000,21443.0,17474.69387755102,20,49,1446.4748635588521,923.42454166573,0.01,3.1910140097512802,1.0,0.0
32,32000000,26782.666666666668,21234.146341463416,15,41,1456.31877380454,920.4148939854691,0.01,4.014884074965541,1.0,0.0
33,33000000,23121.875,18960.909090909092,16,44,1472.5160342474057,923.4273027873016,0.01,3.4500516879590193,1.0,0.0
34,34000000,28874.615384615383,19576.222222222223,13,45,1481.556486518742,921.6238057762174,0.01,4.337655894682371,1.0,0.0
35,35000000,18769.565217391304,17585.098039215685,23,51,1501.8753296140396,918.8962589152201,0.01,2.7785233008380086,1.0,0.0
36,36000000,28342.63157894737,17306.363636363636,19,55,1526.5534629394533,913.8041221362374,0.01,4.255574828573006,1.0,0.0
37,37000000,15270.0,17432.909090909092,5,55,1554.3351688887276,911.269383806291,0.01,2.23856693204962,1.0,0.0
