iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-21.0,nan,164,0,916.6184808378708,nan,1.0,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
1,1000000,-21.0,-20.316176470588236,164,272,913.644932980421,592.5700215726739,0.8020002475,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
2,2000000,-21.0,-20.084291187739463,93,261,921.8394046416511,540.1644437920952,0.5545002475,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
3,3000000,-19.662921348314608,-18.685567010309278,89,194,923.5722098756495,536.8735507002156,0.3070002475,0.0293789986313142,0.0293789986313142,0.9706210013686858
4,4000000,-12.108695652173912,-16.1953125,46,128,1146.4226531250783,527.2936709624846,0.05950024749999997,0.24337972656731127,0.24337972656731127,0.7566202734326888
5,5000000,-13.911764705882353,-13.351648351648352,34,91,1185.8333476427115,683.4296650314178,0.01,0.19230128311948008,0.19230128311948008,0.8076987168805199
6,6000000,-10.294117647058824,-10.420289855072463,34,69,1198.9424334826892,685.4385511342459,0.01,0.2947842026328945,0.2947842026328945,0.7052157973671055
7,7000000,-7.833333333333333,-11.025974025974026,18,77,1192.3314269867667,681.775835470851,0.01,0.36449480642115206,0.36449480642115206,0.6355051935788479
8,8000000,0.8666666666666667,-6.917808219178082,30,73,1184.2424959194811,681.3402294192917,0.01,0.6109537299339,0.6109537299339,0.38904627006610004
9,9000000,10.137931034482758,4.383333333333334,29,60,1191.431396416485,683.8360500760238,0.01,0.8735957800136759,0.8735957800136759,0.12640421998632412
10,10000000,12.421052631578947,7.327868852459017,19,61,1193.7280387349742,681.1896502313226,0.01,0.9382734456537947,0.9382734456537947,0.06172655434620533
11,11000000,7.888888888888889,11.73611111111111,9,72,1197.5154980605228,683.420875335509,0.01,0.8098835379288638,0.8098835379288638,0.1901164620711362
12,12000000,19.294117647058822,15.08860759493671,51,79,1181.9519274137149,682.6021302517497,0.01,1.1329778370271621,1.0,0.0
13,13000000,20.152542372881356,16.683168316831683,59,101,1186.534000598991,681.949957987303,0.01,1.1572958179286505,1.0,0.0
14,14000000,20.017857142857142,19.135593220338983,56,118,1195.6972951657601,681.7865175490417,0.01,1.1534803723188993,1.0,0.0
15,15000000,19.4375,19.025641025641026,32,117,1185.0819948460985,680.4047530053181,0.01,1.1370396600566575,1.0,0.0
16,16000000,20.661538461538463,19.28205128205128,65,117,1178.7680934876087,681.329440670139,0.01,1.1717149705818262,1.0,0.0
17,17000000,19.724137931034484,19.35042735042735,58,117,889.2955992782541,584.7692797584616,0.01,1.1451597147601837,1.0,0.0
18,18000000,20.333333333333332,19.333333333333332,60,117,889.6096506241199,529.4375234547601,0.01,1.1624173748819642,1.0,0.0
19,19000000,19.275862068965516,19.57017543859649,58,114,883.3222561589233,531.2571311568374,0.01,1.1324606818403828,1.0,0.0
20,20000000,20.311475409836067,19.434782608695652,61,115,894.4093151123355,531.6210140700629,0.01,1.1617981702503135,1.0,0.0
21,21000000,20.634920634920636,19.504347826086956,63,115,884.8945814765041,530.4153203621988,0.01,1.1709609245020012,1.0,0.0
22,22000000,20.7,19.722689075630253,60,119,890.8320476582612,530.4934038096718,0.01,1.1728045325779037,1.0,0.0
23,23000000,19.31578947368421,19.82905982905983,38,117,898.0173836750722,529.9361911554416,0.01,1.1335917697927538,1.0,0.0
24,24000000,20.35593220338983,19.75,59,120,915.7786357327473,527.7318095239333,0.01,1.1630575695011285,1.0,0.0
25,25000000,20.45,19.672268907563026,60,119,962.8059471437676,519.418425246455,0.01,1.1657223796033995,1.0,0.0
26,26000000,20.58730158730159,19.391666666666666,63,120,1028.2869857764756,515.4697089176758,0.01,1.1696119429830478,1.0,0.0
27,27000000,20.625,19.201680672268907,64,119,1080.7470845704036,508.13504403811197,0.01,1.1706798866855526,1.0,0.0
28,28000000,20.90625,18.629310344827587,64,116,1054.7678746766087,504.8139526228272,0.01,1.1786473087818699,1.0,0.0
29,29000000,20.177419354838708,18.791304347826088,62,115,997.5080570959813,513.9958291618874,0.01,1.158000548295714,1.0,0.0
30,30000000,20.047619047619047,17.17094017094017,63,117,928.4076397741171,524.7747075471868,0.01,1.154323485768245,1.0,0.0
31,31000000,18.04,18.51304347826087,50,115,914.6390269479463,536.5773144052946,0.01,1.0974504249291783,1.0,0.0
32,32000000,16.9375,19.084033613445378,48,119,927.3474337302903,538.1377801132469,0.01,1.066218130311615,1.0,0.0
33,33000000,20.096774193548388,19.11764705882353,62,119,921.1552947452011,540.4212677820515,0.01,1.1557159828200678,1.0,0.0
34,34000000,19.918032786885245,19.0,61,119,927.7530306479288,541.4756656719716,0.01,1.1506524868806018,1.0,0.0
35,35000000,20.076923076923077,19.4672131147541,65,122,925.1168206430616,541.6143447178983,0.01,1.155153628241447,1.0,0.0
36,36000000,18.36842105263158,19.330578512396695,57,121,934.7982145006246,540.3144106520576,0.01,1.1067541374683167,1.0,0.0
37,37000000,19.616666666666667,19.365853658536587,60,123,933.6221639108595,526.4531115622945,0.01,1.1421152030217185,1.0,0.0
38,38000000,18.5,19.297520661157026,58,121,1000.8410646502477,517.5771171207019,0.01,1.1104815864022664,1.0,0.0
39,39000000,18.949152542372882,19.39344262295082,59,122,1025.48357760772,508.8294318140485,0.01,1.1232054544581553,1.0,0.0
40,40000000,20.375,19.275,64,120,1052.7051784804387,502.992454044213,0.01,1.1635977337110484,1.0,0.0
