iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,46,0,777.9889189355555,nan,1.0,-0.00035803434829121273,-0.00035803434829121273,1.0003580343482912
1,1000000,63.04347826086956,46.52173913043478,46,92,883.5855718616644,468.37908683640126,0.8020002475,0.0005484608586622681,0.0005484608586622681,0.9994515391413378
2,2000000,65.21739130434783,5.782608695652174,46,92,739.741040624869,423.4812962417194,0.5545002475,0.0005797193140744571,0.0005797193140744571,0.9994202806859256
3,3000000,0.0,-145.9673913043478,46,92,870.9857216098274,429.21574569421415,0.3070002475,-0.00035803434829121273,-0.00035803434829121273,1.0003580343482912
4,4000000,0.0,287.39130434782606,46,92,756.3766131594542,421.4469167348531,0.05950024749999997,-0.00035803434829121273,-0.00035803434829121273,1.0003580343482912
5,5000000,0.0,1018.5434782608696,46,92,826.311582829029,420.84098339197413,0.01,-0.00035803434829121273,-0.00035803434829121273,1.0003580343482912
6,6000000,76.08695652173913,2364.7934782608695,46,92,742.3290576985527,422.50245421482174,0.01,0.000736011591135402,0.000736011591135402,0.9992639884088645
7,7000000,30.434782608695652,1865.4891304347825,46,92,805.7088686991507,416.19460082246053,0.01,7.95840274794332e-05,7.95840274794332e-05,0.9999204159725206
8,8000000,-104.15217391304348,1613.5978260869565,46,92,737.8214653792477,418.5478320454272,0.01,-0.0018556269470891874,-0.0018556269470891874,1.0018556269470893
9,9000000,97.82608695652173,-80.15217391304348,46,92,811.7070281752381,417.3617567620962,0.01,0.001048596145257292,0.001048596145257292,0.9989514038547427
10,10000000,-941.0217391304348,774.7717391304348,46,92,756.8245661274736,425.6655733242619,0.01,-0.013888881942565462,-0.013888881942565462,1.0138888819425655
11,11000000,2.4565217391304346,-184.43478260869566,46,92,808.6229719018974,419.69209059547785,0.01,-0.0003227122936754392,-0.0003227122936754392,1.0003227122936755
12,12000000,-541.804347826087,-5.478260869565218,46,92,754.0889974326648,423.7214081897395,0.01,-0.008148579190671076,-0.008148579190671076,1.008148579190671
13,13000000,100.0,372.0869565217391,46,92,790.0567958861043,415.88696346144616,0.01,0.0010798546006694808,0.0010798546006694808,0.9989201453993305
14,14000000,91.78260869565217,132.25,46,92,732.8621698407335,427.76089819398146,0.01,0.0009616976392114066,0.0009616976392114066,0.9990383023607886
15,15000000,65.6304347826087,278.79347826086956,46,92,793.5762603727355,417.7356456436254,0.01,0.0005856584206027731,0.0005856584206027731,0.9994143415793972
16,16000000,26.08695652173913,1250.7717391304348,46,92,765.0283036713672,425.2856575738551,0.01,1.706711665505519e-05,1.706711665505519e-05,0.9999829328833449
17,17000000,98.71739130434783,584.7608695652174,46,92,776.4446180974559,414.8831674693883,0.01,0.0010614121119762896,0.0010614121119762896,0.9989385878880237
18,18000000,100.0,315.6521739130435,46,92,736.1818342830849,423.8107912540487,0.01,0.0010798546006694808,0.0010798546006694808,0.9989201453993305
19,19000000,100.0,224.18478260869566,46,92,765.6880803276389,406.9870790588985,0.01,0.0010798546006694808,0.0010798546006694808,0.9989201453993305
20,20000000,100.0,100.8913043478261,46,92,715.5830707430657,410.0032366529932,0.01,0.0010798546006694808,0.0010798546006694808,0.9989201453993305
21,21000000,96.6304347826087,-6.728260869565218,46,92,797.9887617889631,402.0893221757264,0.01,0.0010314039947805882,0.0010314039947805882,0.9989685960052194
22,22000000,100.0,327.54347826086956,46,92,717.4888282464766,404.49991726968216,0.01,0.0010798546006694808,0.0010798546006694808,0.9989201453993305
23,23000000,100.0,-35.02173913043478,46,92,817.1065128335637,407.35339750899186,0.01,0.0010798546006694808,0.0010798546006694808,0.9989201453993305
24,24000000,95.65217391304348,384.29347826086956,46,92,721.1061231028239,401.91694464052705,0.01,0.0010173376898451032,0.0010173376898451032,0.9989826623101549
25,25000000,100.0,70.1195652173913,46,92,874.9253707421107,407.2429483010241,0.01,0.0010798546006694808,0.0010798546006694808,0.9989201453993305
26,26000000,143.34782608695653,-78.21739130434783,46,92,758.102440824057,411.5469466538011,0.01,0.0017031482015885295,0.0017031482015885295,0.9982968517984114
27,27000000,-48.97826086956522,86.27173913043478,46,92,843.703304110416,411.1375160961379,0.01,-0.0010622873487278308,-0.0010622873487278308,1.0010622873487278
28,28000000,100.0,-167.68478260869566,46,92,728.6466412539476,407.86143842184777,0.01,0.0010798546006694808,0.0010798546006694808,0.9989201453993305
29,29000000,86.95652173913044,67.05434782608695,46,92,781.412882489226,412.3305076995296,0.01,0.0008923038681963471,0.0008923038681963471,0.9991076961318036
30,30000000,100.0,-251.72826086956522,46,92,744.9448715586794,408.1371445325964,0.01,0.0010798546006694808,0.0010798546006694808,0.9989201453993305
31,31000000,100.0,-73.28260869565217,46,92,747.0675405363949,423.1235030930592,0.01,0.0010798546006694808,0.0010798546006694808,0.9989201453993305
32,32000000,52.17391304347826,281.25,46,92,784.5908311018466,409.21232313412173,0.01,0.00039216858160132307,0.00039216858160132307,0.9996078314183987
33,33000000,10.91304347826087,62.19565217391305,46,92,778.6872051353291,428.83349444505654,0.01,-0.00020111690212202396,-0.00020111690212202396,1.000201116902122
34,34000000,100.0,396.7826086956522,46,92,760.2287143962131,414.7147027181662,0.01,0.0010798546006694808,0.0010798546006694808,0.9989201453993305
