iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.11013215859030837,nan,454,0,1394.6030326688206,nan,1.0,-0.012323274058686617,-0.012323274058686617,1.0123232740586867
1,1000000,143.28358208955223,157.0291777188329,402,754,1041.387711762319,638.2254125167743,0.8020002475,-0.0015511445937843955,-0.0015511445937843955,1.0015511445937844
2,2000000,432.4162679425837,246.38728323699422,209,692,1049.6274930090729,465.8509796844028,0.5545002475,0.020202712186544656,0.020202712186544656,0.9797972878134553
3,3000000,394.589552238806,317.8515625,268,640,1047.0400871619413,466.7784397047305,0.3070002475,0.01735669374534884,0.01735669374534884,0.9826433062546511
4,4000000,512.171052631579,431.4631956912029,228,557,1048.0333129248272,469.1147196574418,0.05950024749999997,0.02620332798877286,0.02620332798877286,0.9737966720112271
5,5000000,572.4452554744526,587.0179948586118,137,389,1052.7950941550935,469.0296316402005,0.01,0.030738257591505034,0.030738257591505034,0.9692617424084949
6,6000000,862.5912408759124,727.076677316294,137,313,1053.3624498730856,469.18661732464545,0.01,0.05256835332484989,0.05256835332484989,0.9474316466751501
7,7000000,703.448275862069,831.115107913669,116,278,1053.0576552575878,468.84466573729804,0.01,0.04059470441589251,0.04059470441589251,0.9594052955841075
8,8000000,660.4895104895105,811.4695340501792,143,279,1050.9336387938167,469.69297210612206,0.01,0.03736255919295698,0.03736255919295698,0.962637440807043
9,9000000,660.9872611464968,783.0327868852459,157,305,1049.5916150552862,467.5317345771395,0.01,0.03740000911485858,0.03740000911485858,0.9625999908851415
10,10000000,1297.008547008547,992.1,117,250,1051.0883391528143,468.54988354444464,0.01,0.08525318047479494,0.08525318047479494,0.9147468195252051
11,11000000,3616.6666666666665,2226.9736842105262,123,266,1051.3603314964264,468.0146224264717,0.01,0.259780354272157,0.259780354272157,0.7402196457278429
12,12000000,1646.6783216783217,2926.063829787234,143,282,1048.1207126737932,468.64789726695676,0.01,0.11156174595619035,0.11156174595619035,0.8884382540438096
13,13000000,649.0384615384615,2629.00641025641,156,312,1048.7081589887268,468.23121557439157,0.01,0.036501001537755456,0.036501001537755456,0.9634989984622445
14,14000000,1397.1153846153845,2010.0,130,300,1049.9213787203898,468.8439730643155,0.01,0.09278505049359229,0.09278505049359229,0.9072149495064077
15,15000000,3200.185185185185,3137.072243346008,135,263,1049.3889650745507,469.01091773539673,0.01,0.22844498838961297,0.22844498838961297,0.7715550116103871
16,16000000,4150.2,3472.3107569721114,125,251,1051.8434906158902,469.63102826419237,0.01,0.2999225045331086,0.2999225045331086,0.7000774954668914
17,17000000,3790.948275862069,3700.4065040650407,116,246,1051.485179056065,469.57679989656117,0.01,0.27289300929660215,0.27289300929660215,0.7271069907033978
18,18000000,2469.1304347826085,3953.099173553719,115,242,1052.4072679561702,469.7462069461914,0.01,0.17344165906378015,0.17344165906378015,0.8265583409362198
19,19000000,4442.2,4012.2317596566522,125,233,1044.9638644622105,468.9220264088454,0.01,0.32189209320522755,0.32189209320522755,0.6781079067947724
20,20000000,5162.264150943396,4266.328828828829,106,222,1048.7254071731093,468.93567538464913,0.01,0.37606850832086103,0.37606850832086103,0.623931491679139
21,21000000,4346.5625,4355.339805825242,80,206,1050.4701870288097,469.0875905758424,0.01,0.31469648862772837,0.31469648862772837,0.6853035113722716
22,22000000,4325.903614457831,4480.778894472362,83,199,1051.0019653183492,467.9472903936203,0.01,0.31314214884079056,0.31314214884079056,0.6868578511592094
23,23000000,4439.583333333333,4637.28813559322,84,177,1051.479450008155,469.8020683060023,0.01,0.3216952196081087,0.3216952196081087,0.6783047803918913
24,24000000,5590.656565656565,5036.497326203208,99,187,1047.4623606368114,468.8510889845305,0.01,0.4083000327780669,0.4083000327780669,0.5916999672219331
25,25000000,5222.405660377359,5580.078125,106,192,1046.929359796292,467.5615586233374,0.01,0.38059345429478064,0.38059345429478064,0.6194065457052194
26,26000000,7725.0,6409.836065573771,88,183,1046.9562832979618,469.1959953744337,0.01,0.568884441468351,0.568884441468351,0.43111555853164896
27,27000000,12551.25,6406.3725490196075,80,204,1050.284341143836,469.0660171850768,0.01,0.9320033706766182,0.9320033706766182,0.0679966293233818
28,28000000,6089.678899082569,6502.347417840376,109,213,1050.288572237331,468.9679003750492,0.01,0.4458456334752255,0.4458456334752255,0.5541543665247746
29,29000000,8722.25,7828.1578947368425,100,190,1046.4152255467081,469.5624587946818,0.01,0.6439158534658531,0.6439158534658531,0.3560841465341469
30,30000000,8322.252747252747,8592.622950819672,91,183,1051.1161469727786,468.98837273248904,0.01,0.6138207332164191,0.6138207332164191,0.38617926678358094
31,31000000,11574.285714285714,9727.083333333334,70,168,1053.873259556546,470.58713887150026,0.01,0.8584982216886272,0.8584982216886272,0.14150177831137278
32,32000000,15053.225806451614,9725.140449438202,62,178,1051.8541505141152,469.26268618147674,0.01,1.1202478204551627,1.0,0.0
33,33000000,11972.590361445784,12943.548387096775,83,155,1046.807022648167,469.2882651553464,0.01,0.8884659931417102,0.8884659931417102,0.11153400685828985
34,34000000,9651.344086021505,12363.636363636364,93,154,1048.6092418632693,469.6971623862903,0.01,0.7138193291767804,0.7138193291767804,0.28618067082321963
35,35000000,14817.028985507246,10051.129943502825,69,177,1048.633910840496,468.95340696474585,0.01,1.1024767690791015,1.0,0.0
36,36000000,12000.0,11241.017964071856,77,167,1046.5647034495723,469.4555635750129,0.01,0.8905282482262566,0.8905282482262566,0.10947175177374335
37,37000000,15320.90909090909,12121.656050955415,55,157,1046.1765942589577,469.35719915174514,0.01,1.1403878603658908,1.0,0.0
38,38000000,15810.60606060606,13122.089041095891,66,146,1049.0177121336017,469.90172432360094,0.01,1.177231836387211,1.0,0.0
39,39000000,14846.153846153846,13168.32191780822,65,146,1047.5951940084242,470.14804540779085,0.01,1.1046680745877953,1.0,0.0
40,40000000,15563.768115942028,14667.692307692309,69,130,1046.3127289468468,469.0511848020456,0.01,1.1586601647675534,1.0,0.0
41,41000000,17471.808510638297,14697.67441860465,47,129,1054.2791044148673,468.86327426089076,0.01,1.3022179135390068,1.0,0.0
42,42000000,17025.96153846154,14891.8,52,125,1047.5530120242677,468.9098612689782,0.01,1.268673137547798,1.0,0.0
43,43000000,14783.666666666666,14107.517482517482,75,143,1047.8852435602782,468.7250902660939,0.01,1.0999666443459657,1.0,0.0
44,44000000,14765.753424657534,13906.551724137931,73,145,1046.193444020559,468.3872817226522,0.01,1.0986188821585523,1.0,0.0
45,45000000,15157.236842105263,14339.107142857143,76,140,1047.9831522137274,469.6731609748554,0.01,1.1280734357656825,1.0,0.0
46,46000000,17750.520833333332,14626.111111111111,48,135,1048.2349213576504,467.92915755136073,0.01,1.3231877597289412,1.0,0.0
47,47000000,13840.753424657534,14496.401515151516,73,132,1051.5502239592513,468.2622337843878,0.01,1.0290234385910522,1.0,0.0
48,48000000,15244.672131147541,13185.387323943662,61,142,1045.4920780552038,468.57555798648997,0.01,1.1346519197920069,1.0,0.0
49,49000000,15491.25,14866.412213740457,60,131,1046.639999297311,469.95275151574793,0.01,1.153204023745213,1.0,0.0
50,50000000,16028.985507246376,15666.528925619834,69,121,1041.6006405988571,468.42753063102606,0.01,1.193662338500679,1.0,0.0
51,51000000,16220.258620689656,15362.60162601626,58,123,1050.3685350460253,468.64591936144194,0.01,1.2080534057143244,1.0,0.0
52,52000000,17711.160714285714,14944.921875,56,128,1049.87443460202,468.5830090841809,0.01,1.3202263706003048,1.0,0.0
53,53000000,17492.78846153846,15784.583333333334,52,120,1047.394565752951,468.40712623178206,0.01,1.3037964097432462,1.0,0.0
54,54000000,16712.280701754386,15843.333333333334,57,120,1047.1632295296733,468.5559702087798,0.01,1.2450723192026532,1.0,0.0
55,55000000,18429.081632653062,16630.434782608696,49,115,1045.1012528087836,469.42898220096424,0.01,1.3742415325031834,1.0,0.0
56,56000000,19301.630434782608,15717.4,46,125,1040.6674598827244,468.6382037790636,0.01,1.4398906361988553,1.0,0.0
57,57000000,16247.727272727272,16035.504201680673,66,119,1046.240611557434,469.0054096659777,0.01,1.210120100874064,1.0,0.0
58,58000000,16921.031746031746,16547.5,63,120,1045.1408865714388,468.81045076870646,0.01,1.2607783965233685,1.0,0.0
59,59000000,16252.67857142857,15752.642276422765,56,123,1048.5622133401812,468.2555625918403,0.01,1.2104926282571473,1.0,0.0
60,60000000,17905.392156862745,16458.83620689655,51,116,1043.1429734971987,468.8858434957568,0.01,1.3348400175202009,1.0,0.0
61,61000000,19358.163265306124,16153.75,49,120,1044.504881159763,465.55356637052546,0.01,1.4441440712436233,1.0,0.0
62,62000000,16012.90322580645,16561.956521739132,62,115,1046.609135089449,467.0609598373563,0.01,1.192452334705664,1.0,0.0
63,63000000,15600.79365079365,16121.07438016529,63,121,1048.5478819106288,468.5012318196591,0.01,1.1614459037095237,1.0,0.0
