iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,122.32558139534883,nan,516,0,1216.8289502154062,nan,1.0,-0.07707306433059674,-0.07707306433059674,1.0770730643305968
1,1000000,203.52542372881356,1480.057306590258,590,349,1182.3618207267593,838.6549773554082,0.8020002475,-0.07192715715144246,-0.07192715715144246,1.0719271571514424
2,2000000,2232.769230769231,1755.4727793696275,130,349,1215.4767363188794,787.080588478857,0.5545002475,0.05667284963206888,0.05667284963206888,0.9433271503679311
3,3000000,2099.5424836601305,1901.0344827586207,153,348,1204.3303790080565,773.2412246117964,0.3070002475,0.048229822469668275,0.048229822469668275,0.9517701775303318
4,4000000,2065.897435897436,2146.0830860534124,195,337,1203.6392359299891,767.9118201510983,0.05950024749999997,0.04609762260511651,0.04609762260511651,0.9539023773948835
5,5000000,2435.808383233533,2324.185303514377,167,313,1203.0773392685717,761.2876453957332,0.01,0.06954012378298,0.06954012378298,0.93045987621702
6,6000000,2584.8818897637793,2416.6315789473683,127,285,1200.920823951249,762.2930983593566,0.01,0.0789874134011711,0.0789874134011711,0.9210125865988289
7,7000000,2476.7586206896553,2457.5824175824177,145,273,1202.4819017089196,756.8570164566663,0.01,0.0721352780943411,0.0721352780943411,0.9278647219056589
8,8000000,2422.091503267974,2515.860805860806,153,273,1179.1265528871193,752.0639869526252,0.01,0.06867083895357737,0.06867083895357737,0.9313291610464226
9,9000000,2667.8358208955224,2513.0223880597014,134,268,1208.01990196645,746.5412614481928,0.01,0.08424448308853401,0.08424448308853401,0.915755516911466
10,10000000,2953.943661971831,2736.9498069498068,142,259,1188.637978879043,754.9432012605548,0.01,0.10237609949439658,0.10237609949439658,0.8976239005056035
11,11000000,3184.3518518518517,3074.527559055118,108,254,1173.3145489519768,752.2073682749177,0.01,0.11697784162057427,0.11697784162057427,0.8830221583794258
12,12000000,3296.030534351145,3314.2622950819673,131,244,1215.1369780581558,749.2785717439887,0.01,0.12405529543719034,0.12405529543719034,0.8759447045628097
13,13000000,3743.037037037037,3467.448559670782,135,243,1197.8741193749638,747.7576829038281,0.01,0.15238360132051312,0.15238360132051312,0.8476163986794869
14,14000000,4255.0,4192.331838565023,112,223,1198.4565446577008,760.6819279577035,0.01,0.1848284166164961,0.1848284166164961,0.8151715833835039
15,15000000,4733.166666666667,4668.6567164179105,120,201,1199.0096627519608,758.872402591849,0.01,0.2151314469195264,0.2151314469195264,0.7848685530804735
16,16000000,5535.384615384615,5080.761421319797,91,197,1165.9076959415086,757.1119153434369,0.01,0.2659706971313803,0.2659706971313803,0.7340293028686198
17,17000000,5679.266055045871,5611.783783783784,109,185,1176.888631651675,755.6114946336304,0.01,0.27508894800506173,0.27508894800506173,0.7249110519949382
18,18000000,6497.058823529412,6180.284090909091,85,176,1183.8265185952325,756.774269795338,0.01,0.326915226941881,0.326915226941881,0.673084773058119
19,19000000,5942.448979591837,6022.608695652174,98,184,1162.2175258057719,760.5065685452612,0.01,0.29176773532696454,0.29176773532696454,0.7082322646730355
20,20000000,7055.263157894737,6541.142857142857,76,175,1127.91603676313,751.669612997673,0.01,0.36229051350769903,0.36229051350769903,0.637709486492301
21,21000000,7215.8441558441555,6744.137931034483,77,174,1161.8281406951878,757.4159435501035,0.01,0.3724670715703384,0.3724670715703384,0.6275329284296616
22,22000000,6985.402298850575,6745.606936416185,87,173,1171.5393156922623,753.5555045217139,0.01,0.3578631958459124,0.3578631958459124,0.6421368041540876
23,23000000,6999.101123595506,6934.310344827586,89,174,1166.3352241821378,763.5679612200328,0.01,0.3587313364552429,0.3587313364552429,0.6412686635447571
24,24000000,7051.836734693878,6973.76404494382,98,178,1196.0131796837154,755.0455316179473,0.01,0.3620733695423732,0.3620733695423732,0.6379266304576268
25,25000000,6941.095890410959,7049.771428571428,73,175,1210.9025529429628,749.577397426044,0.01,0.3550553496885807,0.3550553496885807,0.6449446503114193
26,26000000,6349.545454545455,7160.611111111111,88,180,1204.537151441071,748.3087276751318,0.01,0.3175668084885741,0.3175668084885741,0.6824331915114259
27,27000000,8274.736842105263,7339.418604651163,76,172,1222.7010352172833,751.9582819292114,0.01,0.4395726633990471,0.4395726633990471,0.5604273366009529
28,28000000,8529.43661971831,7416.6863905325445,71,169,1206.0796988550396,751.8160140820214,0.01,0.45571384516101965,0.45571384516101965,0.5442861548389804
29,29000000,7859.117647058823,7538.779069767442,68,172,1189.9983690428999,750.060384921692,0.01,0.4132334767932332,0.4132334767932332,0.5867665232067668
30,30000000,7119.61038961039,7751.543209876543,77,162,1203.2099357639872,755.5873574971022,0.01,0.3663684140568706,0.3663684140568706,0.6336315859431294
31,31000000,6965.764705882353,8173.096774193548,85,155,1179.6749377084307,760.2951555226183,0.01,0.35661869551521613,0.35661869551521613,0.6433813044847838
32,32000000,8047.820512820513,8401.56862745098,78,153,1167.810453300508,758.3722703329728,0.01,0.4251922122260219,0.4251922122260219,0.5748077877739781
33,33000000,9172.098765432098,9095.205479452055,81,146,1165.6640154697836,761.0989314801578,0.01,0.4964415073628504,0.4964415073628504,0.5035584926371496
34,34000000,9219.066666666668,9395.862068965518,75,145,1162.2065007762624,764.2837950749614,0.01,0.499418021272326,0.499418021272326,0.500581978727674
35,35000000,9688.5,9320.068027210884,80,147,1152.3806405568798,766.2426125594793,0.01,0.5291675908615608,0.5291675908615608,0.47083240913843916
36,36000000,10069.846153846154,9813.857142857143,65,140,1165.28178869026,768.2838643045544,0.01,0.553334779546003,0.553334779546003,0.44666522045399704
37,37000000,10765.538461538461,10128.561151079137,65,139,1164.4349504518252,762.3917299665213,0.01,0.5974231415151596,0.5974231415151596,0.40257685848484037
38,38000000,11779.193548387097,10076.5,62,140,1177.073550426236,767.111952628357,0.01,0.6616618744818972,0.6616618744818972,0.33833812551810283
39,39000000,10390.588235294117,10322.971014492754,68,138,1205.0862101504038,766.86191609213,0.01,0.5736612842798642,0.5736612842798642,0.4263387157201358
40,40000000,11652.777777777777,10532.255639097744,72,133,1215.2113707804333,760.0689960029889,0.01,0.6536504818136049,0.6536504818136049,0.34634951818639514
41,41000000,9064.09090909091,10848.396946564886,66,131,1201.643068634264,758.7726131162738,0.01,0.4895966861491752,0.4895966861491752,0.5104033138508248
42,42000000,12555.357142857143,11011.692307692309,56,130,1202.590344374554,748.621727621755,0.01,0.7108499726136533,0.7108499726136533,0.28915002738634665
43,43000000,12192.758620689656,11045.0,58,132,1197.992855352415,743.9324750893574,0.01,0.6878708844190029,0.6878708844190029,0.3121291155809971
44,44000000,12247.460317460318,11475.625,63,128,1192.170093531661,747.824887367249,0.01,0.6913375149694425,0.6913375149694425,0.3086624850305575
45,45000000,10768.518518518518,11248.712121212122,81,132,1179.9581581349978,756.3661249648628,0.01,0.5976119977514192,0.5976119977514192,0.40238800224858084
46,46000000,12112.786885245901,11836.850393700788,61,127,1184.577513712053,758.4785076979316,0.01,0.6828028065050161,0.6828028065050161,0.3171971934949839
47,47000000,11126.712328767124,11528.384615384615,73,130,1178.3378936272923,763.1581805838407,0.01,0.6203119445335482,0.6203119445335482,0.3796880554664518
48,48000000,12559.420289855072,11793.070866141732,69,127,1184.8349701329882,764.7404127899656,0.01,0.7111074679080498,0.7111074679080498,0.2888925320919502
49,49000000,8169.072164948454,11643.538461538461,97,130,1177.7340810071896,764.0027799319828,0.01,0.43287633733315084,0.43287633733315084,0.5671236626668492
50,50000000,12682.42857142857,11951.953125,70,128,1179.7644605148942,762.9454167926136,0.01,0.7189029165327526,0.7189029165327526,0.2810970834672474
51,51000000,12986.0,11783.953488372093,60,129,1169.9895834657375,766.7576154499023,0.01,0.7381412592287462,0.7381412592287462,0.2618587407712538
52,52000000,11356.07142857143,12277.886178861789,56,123,1199.7567046004426,763.8104872109467,0.01,0.6348472022923052,0.6348472022923052,0.3651527977076948
53,53000000,12902.923076923076,12536.363636363636,65,121,1203.7584324713841,765.3133555503355,0.01,0.7328763951280507,0.7328763951280507,0.2671236048719493
54,54000000,11160.125,12019.527559055117,80,127,1162.8236872855682,762.1678790870759,0.01,0.6224294179156501,0.6224294179156501,0.3775705820843499
55,55000000,11351.451612903225,12565.327868852459,62,122,1188.739559311002,761.0073245465928,0.01,0.6345544290315426,0.6345544290315426,0.3654455709684574
56,56000000,13454.179104477613,12910.588235294117,67,119,1200.2301588452913,759.2981039132093,0.01,0.7678113441159488,0.7678113441159488,0.23218865588405124
57,57000000,13155.142857142857,12836.218487394957,70,119,1198.7928853290769,758.1036427709666,0.01,0.7488604111120667,0.7488604111120667,0.2511395888879333
58,58000000,12986.923076923076,12045.078125,65,128,1173.7530840393088,758.8736069262566,0.01,0.7381997577187538,0.7381997577187538,0.2618002422812462
59,59000000,13267.727272727272,12703.11475409836,66,122,1192.1515019444128,749.8983275213526,0.01,0.7559952642813316,0.7559952642813316,0.24400473571866843
