iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,966.0,nan,150,0,673.2712701533995,nan,1.0,0.12184847130912108,0.12184847130912108,0.878151528690879
1,1000000,0.0,20.699925539836187,1256,1343,626.6557404493781,274.1633775648229,0.8020002475,-0.00146805387119423,-0.00146805387119423,1.0014680538711942
2,2000000,618.6046511627907,96.579476861167,215,994,591.2435818176245,236.10446934392846,0.5545002475,0.07750107246604847,0.07750107246604847,0.9224989275339516
3,3000000,193.98663697104678,619.506726457399,449,446,582.444874423457,244.35569174114136,0.3070002475,0.0232956707692662,0.0232956707692662,0.9767043292307338
4,4000000,2255.4140127388537,1048.1572481572482,157,407,649.7844960903041,235.36340844005122,0.05950024749999997,0.28645101330680456,0.28645101330680456,0.7135489866931954
5,5000000,1409.090909090909,2405.8309037900876,22,343,606.5325873076715,236.18458443123063,0.01,0.17841206473363236,0.17841206473363236,0.8215879352663676
6,6000000,4882.014388489209,3884.3260188087775,139,319,634.3605637659864,235.13809491804037,0.01,0.6217545654546766,0.6217545654546766,0.37824543454532344
7,7000000,1857.2413793103449,6056.944444444444,290,288,586.9098624304767,240.42468112471792,0.01,0.2356215458365156,0.2356215458365156,0.7643784541634844
8,8000000,17197.272727272728,9391.447368421053,110,304,608.3998663799133,243.42649315353293,0.01,2.1938817549336473,1.0,0.0
9,9000000,16331.538461538461,15867.910447761195,130,268,631.9212993863127,236.2056996077276,0.01,2.083364838391327,1.0,0.0
10,10000000,26245.52845528455,21634.934497816594,123,229,626.1370087321548,236.3003319447309,0.01,3.34895365485218,1.0,0.0
11,11000000,28079.41176470588,24242.574257425742,34,202,626.771668996637,237.0841466193033,0.01,3.583061436740395,1.0,0.0
12,12000000,35321.95121951219,26886.036036036036,123,222,584.4338676569525,242.62959327851615,0.01,4.507621270123469,1.0,0.0
