iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,4,0,1187.587021612333,nan,1.0,-0.001629102826398135,-0.001629102826398135,1.0016291028263982
1,1000000,80.59701492537313,93.81263616557735,201,459,1184.286923770906,542.0106395321734,0.8020002475,0.00029049987556353205,0.00029049987556353205,0.9997095001244365
2,2000000,84.26877470355731,223.9087947882736,253,307,1175.5724981752198,472.44679945238914,0.5545002475,0.0003779512532315853,0.0003779512532315853,0.9996220487467684
3,3000000,297.4074074074074,289.96078431372547,108,255,1180.8239901660818,471.8297247011193,0.3070002475,0.005454336471835037,0.005454336471835037,0.994545663528165
4,4000000,317.719298245614,303.6507936507937,114,252,1183.7604305781767,467.86843455126103,0.05950024749999997,0.005938110722917096,0.005938110722917096,0.9940618892770829
5,5000000,132.4200913242009,339.64285714285717,219,224,1174.7921587937485,470.25401371353433,0.01,0.0015247852591012048,0.0015247852591012048,0.9984752147408988
6,6000000,360.96153846153845,386.70103092783506,104,194,1185.102736088126,468.3227518691508,0.01,0.006968023818758464,0.006968023818758464,0.9930319761812415
7,7000000,190.54794520547946,382.2335025380711,146,197,1182.3647499786819,467.95859530859536,0.01,0.002909233373873846,0.002909233373873846,0.9970907666261262
8,8000000,618.4615384615385,469.6296296296296,65,162,1185.3144555855258,466.8936749850215,0.01,0.013100976710535069,0.013100976710535069,0.9868990232894649
9,9000000,604.1095890410959,541.3986013986014,73,143,1169.1140998140686,466.10255020321745,0.01,0.012759152129172991,0.012759152129172991,0.987240847870827
10,10000000,802.9090909090909,533.469387755102,55,147,1179.9229534607243,466.3272329762055,0.01,0.017494018070396557,0.017494018070396557,0.9825059819296035
11,11000000,766.4285714285714,606.5151515151515,56,132,1184.4549900907973,465.8464614946838,0.01,0.01662515085703126,0.01662515085703126,0.9833748491429687
12,12000000,778.1818181818181,693.0578512396694,55,121,1186.192911025779,464.99234236654763,0.01,0.016905081376111214,0.016905081376111214,0.9830949186238888
13,13000000,864.0,745.1666666666666,55,120,1167.0315014450223,465.2064297422741,0.01,0.018949038138630938,0.018949038138630938,0.9810509618613691
14,14000000,842.0689655172414,786.1016949152543,58,118,1176.7200898912542,465.6344793280579,0.01,0.018426700269307882,0.018426700269307882,0.9815732997306921
15,15000000,850.0,799.1525423728814,56,118,1169.3777987251249,465.003748079951,0.01,0.018615596039660558,0.018615596039660558,0.9813844039603394
16,16000000,826.4285714285714,833.2173913043479,56,115,1176.0905949952196,463.20813757931893,0.01,0.018054188424047168,0.018054188424047168,0.9819458115759528
17,17000000,890.7142857142857,827.0689655172414,56,116,1172.9910493691832,464.0202485572917,0.01,0.01958530010299278,0.01958530010299278,0.9804146998970072
18,18000000,886.5454545454545,851.0526315789474,55,114,1161.0649913158563,465.35456181923564,0.01,0.019486009830479337,0.019486009830479337,0.9805139901695207
19,19000000,902.1818181818181,836.7241379310345,55,116,1166.629661680101,465.84878523633023,0.01,0.019858425681277422,0.019858425681277422,0.9801415743187226
20,20000000,926.1818181818181,858.0701754385965,55,114,1157.7147145135725,469.4276663962187,0.01,0.020430040708083786,0.020430040708083786,0.9795699592919163
21,21000000,733.0,831.0344827586207,60,116,1165.829914249269,467.64383664826585,0.01,0.015828972783979538,0.015828972783979538,0.9841710272160205
22,22000000,873.4545454545455,847.1304347826087,55,115,1157.4254336485783,467.48420587803906,0.01,0.019174219815857686,0.019174219815857686,0.9808257801841423
23,23000000,906.5454545454545,829.4915254237288,55,118,1165.1898839638752,469.556689307466,0.01,0.019962355686151307,0.019962355686151307,0.9800376443138487
24,24000000,809.2857142857143,858.6086956521739,56,115,1151.8013030606648,466.95310534771716,0.01,0.017645891976328338,0.017645891976328338,0.9823541080236716
25,25000000,923.6363636363636,873.8053097345132,55,113,1156.433126574876,469.94703322971884,0.01,0.020369414871907354,0.020369414871907354,0.9796305851280926
26,26000000,919.6363636363636,877.6991150442478,55,113,1150.2331027821695,468.303836650095,0.01,0.02027414570077296,0.02027414570077296,0.9797258542992271
27,27000000,955.0877192982456,883.5398230088496,57,113,1146.1829627855957,468.3051569260627,0.01,0.021118501018147485,0.021118501018147485,0.9788814989818525
28,28000000,831.6417910447761,806.8217054263566,67,129,1156.2958235699234,470.71098183812387,0.01,0.01817835320199151,0.01817835320199151,0.9818216467980085
29,29000000,1329.0,1002.7692307692307,60,130,1141.471832564032,469.1470728656331,0.01,0.03002407928300422,0.03002407928300422,0.9699759207169958
30,30000000,1360.9375,1272.16,64,125,1136.4061623602536,469.4837267606809,0.01,0.030784744071280394,0.030784744071280394,0.9692152559287196
31,31000000,1279.3846153846155,1365.2459016393443,65,122,1145.1014026569355,471.0685180753171,0.01,0.02884237514104876,0.02884237514104876,0.9711576248589513
32,32000000,1677.090909090909,1561.2068965517242,55,116,1138.342583298926,472.7240133769061,0.01,0.038314662380131356,0.038314662380131356,0.9616853376198686
33,33000000,1678.2456140350878,1670.6306306306305,57,111,1136.3234603165745,472.592388501977,0.01,0.03834216432586553,0.03834216432586553,0.9616578356741344
34,34000000,1776.7272727272727,1623.0088495575221,55,113,1129.0571951089553,474.8367077381435,0.01,0.04068773082475171,0.04068773082475171,0.9593122691752483
35,35000000,1757.4545454545455,1689.642857142857,55,112,1127.8076617570264,474.2953849702996,0.01,0.040228706636558725,0.040228706636558725,0.9597712933634412
36,36000000,1444.8387096774193,1712.5,62,112,1131.951431874244,474.8690514166455,0.01,0.032783043747065574,0.032783043747065574,0.9672169562529345
37,37000000,1706.1818181818182,1697.6991150442477,55,113,1127.6985753234137,474.5479486906383,0.01,0.03900752907929059,0.03900752907929059,0.9609924709207094
38,38000000,1769.4545454545455,1686.0176991150443,55,113,1115.9622172005506,475.7940516394576,0.01,0.040514514149961905,0.040514514149961905,0.9594854858500381
39,39000000,1772.0,1715.0442477876106,55,113,1120.3344855716127,477.24001552296744,0.01,0.04057513998613834,0.04057513998613834,0.9594248600138616
40,40000000,1765.4545454545455,1728.5714285714287,55,112,1117.7641397427763,476.5045960962065,0.01,0.04041924497882751,0.04041924497882751,0.9595807550211725
41,41000000,1802.5454545454545,1733.9285714285713,55,112,1113.9382624883754,477.0209884815971,0.01,0.04130265002025552,0.04130265002025552,0.9586973499797444
42,42000000,1497.4603174603174,1713.4513274336284,63,113,1102.8344988601157,477.5756907211951,0.01,0.03403634798637454,0.03403634798637454,0.9659636520136254
43,43000000,1460.983606557377,1723.0088495575221,61,113,1099.816524723957,478.7744403998601,0.01,0.033167571483016536,0.033167571483016536,0.9668324285169835
44,44000000,1776.0,1710.9734513274336,55,113,1099.1777595453123,481.4550039030914,0.01,0.040670409157272734,0.040670409157272734,0.9593295908427273
45,45000000,1450.4615384615386,1739.2857142857142,65,112,1097.5931140724617,484.1410415783338,0.01,0.03291696430648899,0.03291696430648899,0.9670830356935111
46,46000000,1746.4285714285713,1726.25,56,112,1090.4880936490636,481.29601954096654,0.01,0.039966097784957744,0.039966097784957744,0.9600339022150423
47,47000000,1655.7894736842106,1738.5714285714287,57,112,1093.5743588134003,482.6657413725138,0.01,0.03780731985633911,0.03780731985633911,0.9621926801436609
48,48000000,1788.3636363636363,1712.5663716814158,55,113,1089.4186013459816,484.84666068918403,0.01,0.0409648775044154,0.0409648775044154,0.9590351224955846
49,49000000,1789.8181818181818,1723.0357142857142,55,112,1084.5939293750978,487.4638598063815,0.01,0.04099952083937336,0.04099952083937336,0.9590004791606266
50,50000000,1624.406779661017,1716.6371681415928,59,113,1076.6835860266426,486.8747785721367,0.01,0.03705986904445062,0.03705986904445062,0.9629401309555494
