iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-29977.962962962964,nan,27,0,1551.2675570911153,nan,1.0,-1.0092987307590953,-1.0092987307590953,2.0092987307590953
1,1000000,-29975.222222222223,-16490.853658536584,27,205,1499.0857663492704,1047.1025881515527,0.8020002475,-1.0090839593629302,-1.0090839593629302,2.00908395936293
2,2000000,-29969.777777777777,-16477.268656716416,27,201,1518.540201518738,977.9951069656448,0.5545002475,-1.0086573188867645,-1.0086573188867645,2.0086573188867645
3,3000000,-9368.251101321586,-17254.043956043955,227,182,1480.9259007870062,978.668409505314,0.3070002475,0.6057305659874003,0.6057305659874003,0.39426943401259973
4,4000000,-9364.934497816594,-18847.581699346407,229,153,1481.796160179201,981.3962447706017,0.05950024749999997,0.6059904634504126,0.6059904634504126,0.39400953654958737
5,5000000,-29979.11111111111,-21227.84677419355,27,124,1497.0822138653614,992.3073473334782,0.01,-1.0093887025601913,-1.0093887025601913,2.0093887025601913
6,6000000,-29969.40740740741,-22753.848214285714,27,112,1460.3516818490289,955.9273263187206,0.01,-1.0086282957251207,-1.0086282957251207,2.0086282957251207
7,7000000,-29971.11111111111,-23945.0,27,103,1425.9528041769336,944.2829226740017,0.01,-1.0087618022686826,-1.0087618022686826,2.0087618022686824
8,8000000,-29972.666666666668,-25442.760869565216,27,92,1350.4884624714055,938.5781189755598,0.01,-1.0088836995475872,-1.0088836995475872,2.008883699547587
9,9000000,-29973.814814814814,-25257.73404255319,27,94,1265.0650784914765,915.4964768587174,0.01,-1.0089736713486832,-1.0089736713486832,2.0089736713486834
10,10000000,-29975.925925925927,-24885.649484536083,27,97,1420.5602262286206,924.7616501247574,0.01,-1.0091391033700536,-1.0091391033700536,2.0091391033700536
11,11000000,-29977.40740740741,-24838.79381443299,27,97,1418.7788034680275,936.7671634648874,0.01,-1.0092551960166294,-1.0092551960166294,2.009255196016629
