iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,332.1311475409836,nan,183,0,1058.065743704709,nan,1.0,0.12108315087853198,0.12108315087853198,0.8789168491214681
1,1000000,212.2422680412371,154.33194154488518,194,479,1021.2083794234685,626.2339409045136,0.8020002475,0.042245195003115084,0.042245195003115084,0.9577548049968849
2,2000000,280.26011560693644,151.25,173,488,999.1894896019082,558.4475334117916,0.5545002475,0.08697318051353747,0.08697318051353747,0.9130268194864626
3,3000000,154.10652920962198,184.06741573033707,291,445,1029.5706061898074,527.7942763278324,0.3070002475,0.004015604136004459,0.004015604136004459,0.9959843958639956
4,4000000,202.5,210.04728132387706,208,423,1168.332488886742,549.8940305026752,0.05950024749999997,0.035838758466495695,0.035838758466495695,0.9641612415335044
5,5000000,243.31428571428572,257.81094527363183,175,402,1140.2434873403654,740.5981142810672,0.01,0.06267790209396049,0.06267790209396049,0.9373220979060395
6,6000000,343.84615384615387,319.84806629834253,195,362,1125.2777452879154,728.841553616561,0.01,0.12878684411531127,0.12878684411531127,0.8712131558846887
7,7000000,409.5810055865922,390.1510574018127,179,331,1090.9517363892644,713.7936765690893,0.01,0.17201355006680621,0.17201355006680621,0.8279864499331938
8,8000000,470.3225806451613,423.7976539589443,155,341,1058.40215503166,700.3288094046719,0.01,0.21195671772549568,0.21195671772549568,0.7880432822745043
9,9000000,560.5072463768116,521.7697594501718,138,291,1020.8975461906,679.3647187131675,0.01,0.27126142327665653,0.27126142327665653,0.7287385767233434
10,10000000,904.9537037037037,661.8951612903226,108,248,946.4139969011106,657.3626590492413,0.01,0.4977666230707593,0.4977666230707593,0.5022333769292406
11,11000000,757.2169811320755,639.7191011235955,106,267,877.9953054609699,628.0121947664168,0.01,0.40061615120147004,0.40061615120147004,0.5993838487985299
12,12000000,639.6071428571429,686.4822134387351,140,253,859.5701542832986,617.2881540204057,0.01,0.3232768743717649,0.3232768743717649,0.6767231256282351
13,13000000,696.7073170731708,758.7280701754386,123,228,827.0707539688343,612.6699983807281,0.01,0.3608254863373254,0.3608254863373254,0.6391745136626745
14,14000000,719.1284403669724,742.4058577405858,109,239,863.7525727718471,620.0807280064555,0.01,0.3755694353698773,0.3755694353698773,0.6244305646301227
15,15000000,734.2957746478874,758.2278481012659,142,237,863.9500668611342,624.3725131561894,0.01,0.38554335151436003,0.38554335151436003,0.61445664848564
16,16000000,772.8448275862069,774.6170212765958,116,235,860.6166159854558,631.0343875379416,0.01,0.4108928964202057,0.4108928964202057,0.5891071035797943
17,17000000,749.2692307692307,797.8913043478261,130,230,894.3617236575977,633.2143803879001,0.01,0.3953897749518187,0.3953897749518187,0.6046102250481813
18,18000000,899.4736842105264,722.3938223938223,114,259,1104.6248821676413,686.8622131854327,0.01,0.4941630066486002,0.4941630066486002,0.5058369933513998
19,19000000,895.3571428571429,780.7415254237288,98,236,1127.290777732151,700.0446874909343,0.01,0.4914560024049075,0.4914560024049075,0.5085439975950925
20,20000000,885.5092592592592,782.1186440677966,108,236,1098.325805721574,709.250553545132,0.01,0.4849801139338852,0.4849801139338852,0.5150198860661148
21,21000000,760.4761904761905,797.7991452991453,147,234,1084.348069564915,697.5950085058522,0.01,0.40275938086157065,0.40275938086157065,0.5972406191384294
22,22000000,841.5533980582525,802.7446808510638,103,235,1050.2684190154619,679.8992383390529,0.01,0.4560750957179276,0.4560750957179276,0.5439249042820724
23,23000000,739.9618320610687,780.7949790794979,131,239,1017.9683009259704,671.343669510732,0.01,0.3892693049655216,0.3892693049655216,0.6107306950344784
24,24000000,726.6666666666666,848.0454545454545,126,220,1013.9291414897733,666.1487855198499,0.01,0.38052651191337317,0.38052651191337317,0.6194734880866268
25,25000000,1405.2083333333333,847.5339366515838,72,221,1036.9143030715968,665.3821964933048,0.01,0.826730014686219,0.826730014686219,0.17326998531378102
26,26000000,681.2080536912752,921.4663461538462,149,208,1050.1215502415798,673.0307177192507,0.01,0.35063329630517204,0.35063329630517204,0.649366703694828
