iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,133,0,1737.8811695758832,nan,1.0,-0.06926768203630294,-0.06926768203630294,1.069267682036303
1,1000000,420.3125,684.9056603773585,128,212,1107.9823465181003,800.6287738213312,0.8020002475,-0.025421187147924056,-0.025421187147924056,1.025421187147924
2,2000000,122.72727272727273,626.1802575107296,88,233,1075.4617632799545,512.1212004625501,0.5545002475,-0.05646492043320751,-0.05646492043320751,1.0564649204332075
3,3000000,213.33333333333334,650.8333333333334,105,240,1061.7400442042563,509.31572513951994,0.3070002475,-0.04701300507684818,-0.04701300507684818,1.0470130050768482
4,4000000,538.0952380952381,615.7142857142857,126,280,1070.581842188932,511.7989600916425,0.05950024749999997,-0.013134233455535356,-0.013134233455535356,1.0131342334555353
5,5000000,482.02247191011236,644.3708609271523,89,302,1081.5550568703782,510.86715736613183,0.01,-0.018983677038377597,-0.018983677038377597,1.0189836770383776
6,6000000,345.36082474226805,631.3868613138686,97,274,1100.0733185386443,510.2782967580362,0.01,-0.03324005583744335,-0.03324005583744335,1.0332400558374433
7,7000000,480.4347826086956,682.7464788732394,138,284,1094.1174171371183,512.7047361844085,0.01,-0.019149302878291714,-0.019149302878291714,1.0191493028782916
8,8000000,617.0940170940171,718.9655172413793,117,290,1111.475730083926,510.6880682626343,0.01,-0.004893175767367297,-0.004893175767367297,1.0048931757673674
9,9000000,1088.3333333333333,812.6712328767123,180,292,1102.9411083389282,511.0417895533913,0.01,0.044265943389665476,0.044265943389665476,0.9557340566103345
10,10000000,613.7931034482758,881.3793103448276,87,290,1113.2989381744294,520.1587640661113,0.01,-0.005237523112009617,-0.005237523112009617,1.0052375231120096
11,11000000,1214.4578313253012,1076.5273311897106,166,311,1120.094060358474,522.5206610514643,0.01,0.05742309944974976,0.05742309944974976,0.9425769005502502
12,12000000,527.3504273504274,992.063492063492,117,252,1133.9500713469233,523.7682430564927,0.01,-0.014255119199830236,-0.014255119199830236,1.0142551191998301
13,13000000,1257.3529411764705,1045.357142857143,136,280,1146.7290928723594,515.1529496763837,0.01,0.06189786576011585,0.06189786576011585,0.9381021342398842
14,14000000,1191.275167785235,1115.2647975077882,149,321,1163.6859753131055,512.7708435336887,0.01,0.05500471184907521,0.05500471184907521,0.9449952881509248
15,15000000,1374.846625766871,1162.5748502994013,163,334,1174.3347559957742,510.06797114415434,0.01,0.07415466573825068,0.07415466573825068,0.9258453342617493
16,16000000,1073.9130434782608,1239.0029325513196,184,341,1182.9433130353837,503.75887092291987,0.01,0.0427616360816045,0.0427616360816045,0.9572383639183955
17,17000000,1257.0048309178744,1241.8960244648317,207,327,1194.4481646854829,501.03575335145814,0.01,0.061861551316281495,0.061861551316281495,0.9381384486837185
18,18000000,1498.73417721519,1289.0282131661443,158,319,1209.4382404587714,496.5753585412113,0.01,0.08707846622315772,0.08707846622315772,0.9129215337768423
19,19000000,1242.857142857143,1363.1410256410256,147,312,1222.3565469981793,495.6276712722635,0.01,0.06038568149980627,0.06038568149980627,0.9396143185001937
20,20000000,1506.6666666666667,1452.317880794702,135,302,1235.6495642360721,492.7265104904335,0.01,0.08790597398984631,0.08790597398984631,0.9120940260101537
21,21000000,1467.741935483871,1531.5068493150684,155,292,1238.2855460443263,490.2758131415846,0.01,0.08384539281075223,0.08384539281075223,0.9161546071892478
22,22000000,1927.5590551181103,1744.4866920152092,127,263,1237.6344464586678,489.7376920497852,0.01,0.13181296214459737,0.13181296214459737,0.8681870378554026
23,23000000,1668.421052631579,1826.1363636363637,114,264,1243.2934031290322,490.7348832422807,0.01,0.10477999714495921,0.10477999714495921,0.8952200028550408
24,24000000,1948.5981308411215,1984.7908745247148,107,263,1241.3242436846122,486.2621703890967,0.01,0.13400773324025886,0.13400773324025886,0.8659922667597412
25,25000000,2134.7305389221556,2133.884297520661,167,242,1249.944144259265,483.50589116104163,0.01,0.1534248423661752,0.1534248423661752,0.8465751576338247
26,26000000,2477.2727272727275,2285.655737704918,110,244,1253.9918510348639,477.9691566404535,0.01,0.18915843180395656,0.18915843180395656,0.8108415681960435
27,27000000,2604.201680672269,2598.283261802575,119,233,1241.7662499904143,481.38429814731745,0.01,0.20239950768540257,0.20239950768540257,0.7976004923145974
28,28000000,3695.4954954954956,2996.153846153846,111,208,1254.2194250103792,482.73232471773747,0.01,0.31624196698263046,0.31624196698263046,0.6837580330173696
29,29000000,3618.269230769231,3408.0,104,200,1258.5381449843906,481.4905773466257,0.01,0.30818581585324756,0.30818581585324756,0.6918141841467524
30,30000000,3812.6582278481014,3697.9591836734694,79,196,1249.144687739648,478.29851779823497,0.01,0.3284642424210413,0.3284642424210413,0.6715357575789587
31,31000000,3704.7619047619046,4238.04347826087,84,184,1248.9699270396643,481.02707007347647,0.01,0.3172086276613712,0.3172086276613712,0.6827913723386287
32,32000000,5595.121951219512,4761.581920903955,82,177,1249.097959323129,480.6516726139789,0.01,0.5144087159628116,0.5144087159628116,0.48559128403718843
33,33000000,5126.666666666667,5719.2307692307695,90,156,1249.4139875176759,481.928354983212,0.01,0.4655400236455943,0.4655400236455943,0.5344599763544057
34,34000000,7115.714285714285,6461.8421052631575,70,152,1227.1302812042563,482.04577198094415,0.01,0.673035080921582,0.673035080921582,0.32696491907841796
35,35000000,8444.0,6913.071895424837,75,153,1228.935860098846,482.4262308407002,0.01,0.8116002503651157,0.8116002503651157,0.18839974963488426
36,36000000,9432.857142857143,9017.557251908396,70,131,1239.5758143406101,484.4076418545971,0.01,0.9147566391463742,0.9147566391463742,0.08524336085362583
37,37000000,9139.0625,8405.072463768116,64,138,1229.4801399337205,485.5890203535298,0.01,0.88410833507198,0.88410833507198,0.11589166492802006
38,38000000,8002.898550724638,10176.612903225807,69,124,1225.2593577399355,488.3494022740724,0.01,0.765585077271504,0.765585077271504,0.23441492272849596
39,39000000,12325.0,11186.88524590164,52,122,1211.8528454326274,488.1058617921122,0.01,1.2164615063634467,1.0,0.0
40,40000000,9675.925925925925,12119.672131147541,54,122,1201.7390725196767,488.6342192980518,0.01,0.9401132824875783,0.9401132824875783,0.059886717512421694
41,41000000,14160.344827586207,14165.137614678899,58,109,1200.8497867464773,488.37717752672916,0.01,1.4079224731469024,1.0,0.0
