iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-10.0,nan,143,0,1394.8591750412868,nan,1.0,0.0,0.0,1.0
1,1000000,-10.0,-10.0,103,218,1344.3311389737137,937.2207092356675,0.8020002475,0.0,0.0,1.0
2,2000000,-10.0,-9.98,151,200,1364.7600153486592,889.8766220592048,0.5545002475,0.0,0.0,1.0
3,3000000,-10.0,-9.951612903225806,102,186,1356.3147535228375,875.9695564729227,0.3070002475,0.0,0.0,1.0
4,4000000,-9.91764705882353,-9.960674157303371,85,178,1365.8357760427205,872.5695727506117,0.05950024749999997,0.004991087344028503,0.004991087344028503,0.9950089126559715
5,5000000,-10.0,-9.983957219251337,84,187,1326.5606051654938,865.8416180094961,0.01,0.0,0.0,1.0
6,6000000,-9.893333333333333,-9.937888198757763,75,161,1305.046330009192,843.894797601422,0.01,0.006464646464646506,0.006464646464646506,0.9935353535353535
7,7000000,-9.383333333333333,-9.855263157894736,60,152,1370.4923394547568,842.126817071404,0.01,0.0373737373737374,0.0373737373737374,0.9626262626262626
8,8000000,-9.923076923076923,-9.788732394366198,65,142,1344.4411954172563,828.9076508290115,0.01,0.0046620046620046455,0.0046620046620046455,0.9953379953379954
9,9000000,-9.883333333333333,-9.720930232558139,60,129,1336.7944460279666,841.8755875653275,0.01,0.0070707070707071,0.0070707070707071,0.9929292929292929
10,10000000,-9.470588235294118,-9.194690265486726,51,113,1345.1185646862182,874.4275351742295,0.01,0.0320855614973262,0.0320855614973262,0.9679144385026738
11,11000000,-9.191489361702128,-9.048543689320388,47,103,1331.3534406240735,883.6150281518159,0.01,0.04900064474532555,0.04900064474532555,0.9509993552546745
12,12000000,-8.477272727272727,-8.77319587628866,44,97,1346.8316833864983,873.1163920437527,0.01,0.09228650137741051,0.09228650137741051,0.9077134986225894
13,13000000,-8.645833333333334,-8.806122448979592,48,98,1354.8688628712753,850.6940220332639,0.01,0.08207070707070703,0.08207070707070703,0.9179292929292929
14,14000000,-8.604166666666666,-8.638297872340425,48,94,1337.417457783129,854.0104454027612,0.01,0.08459595959595963,0.08459595959595963,0.9154040404040403
15,15000000,-8.125,-8.142857142857142,40,84,1334.497855655385,852.4752644093296,0.01,0.11363636363636363,0.11363636363636363,0.8863636363636364
16,16000000,-4.407407407407407,-7.8,27,80,1328.3722009300875,847.6559769584607,0.01,0.3389450056116723,0.3389450056116723,0.6610549943883277
17,17000000,-7.9743589743589745,-8.096385542168674,39,83,1367.5878659055365,830.7676003321367,0.01,0.12276612276612275,0.12276612276612275,0.8772338772338772
18,18000000,-6.818181818181818,-7.551282051282051,33,78,1384.2752840059977,825.6381130639581,0.01,0.19283746556473827,0.19283746556473827,0.8071625344352618
19,19000000,-6.875,-7.723684210526316,32,76,1394.0169052891752,824.4319606754397,0.01,0.1893939393939394,0.1893939393939394,0.8106060606060606
20,20000000,-7.641025641025641,-7.631578947368421,39,76,1372.943364447189,837.0784949422014,0.01,0.14296814296814295,0.14296814296814295,0.857031857031857
21,21000000,-5.032258064516129,-6.915492957746479,31,71,1365.1037884820928,837.6069866105236,0.01,0.3010752688172043,0.3010752688172043,0.6989247311827957
22,22000000,-5.636363636363637,-7.194444444444445,33,72,1334.628640090746,849.9191609450177,0.01,0.2644628099173554,0.2644628099173554,0.7355371900826446
23,23000000,-6.483870967741935,-7.154929577464789,31,71,1344.2267434365388,858.1824320505879,0.01,0.21309872922776152,0.21309872922776152,0.7869012707722385
24,24000000,-4.533333333333333,-6.626865671641791,30,67,1338.886020879058,855.8282670475735,0.01,0.33131313131313134,0.33131313131313134,0.6686868686868687
25,25000000,-5.310344827586207,-6.446153846153846,29,65,1334.605390897911,863.6004771221233,0.01,0.2842215256008359,0.2842215256008359,0.7157784743991641
26,26000000,-3.8461538461538463,-6.125,26,64,1324.8764801053194,841.5356757821773,0.01,0.37296037296037293,0.37296037296037293,0.627039627039627
27,27000000,-7.457142857142857,-5.25,35,60,1324.5813081666959,841.5356304393708,0.01,0.1541125541125541,0.1541125541125541,0.8458874458874459
28,28000000,-5.733333333333333,-5.770491803278689,30,61,1320.0554250741848,840.267150965669,0.01,0.2585858585858586,0.2585858585858586,0.7414141414141414
29,29000000,-4.620689655172414,-5.05,29,60,1275.0371788910097,829.5103836549473,0.01,0.32601880877742945,0.32601880877742945,0.6739811912225706
30,30000000,-6.258064516129032,-5.6,31,60,1315.0252707756308,818.9116901949221,0.01,0.2267839687194526,0.2267839687194526,0.7732160312805474
31,31000000,-6.032258064516129,-5.271186440677966,31,59,1327.9915005651185,816.6727259579931,0.01,0.2404692082111437,0.2404692082111437,0.7595307917888563
32,32000000,-8.369565217391305,-5.166666666666667,46,60,1339.866379785492,806.7052683824613,0.01,0.09881422924901184,0.09881422924901184,0.9011857707509882
33,33000000,-1.8148148148148149,-3.7142857142857144,27,56,1348.0888855320081,803.2176272079936,0.01,0.49607182940516276,0.49607182940516276,0.5039281705948373
34,34000000,0.0,-4.857142857142857,25,56,1362.8450426707557,796.0101472116106,0.01,0.6060606060606061,0.6060606060606061,0.3939393939393939
35,35000000,-3.4782608695652173,-3.6296296296296298,23,54,1363.819482456407,799.8443425117829,0.01,0.3952569169960475,0.3952569169960475,0.6047430830039525
36,36000000,0.9259259259259259,-3.888888888888889,27,54,1358.4573066764951,813.2272855904409,0.01,0.6621773288439955,0.6621773288439955,0.3378226711560045
37,37000000,-1.6956521739130435,-2.888888888888889,23,54,1342.5836549559715,814.1631139581126,0.01,0.5032938076416338,0.5032938076416338,0.4967061923583662
38,38000000,1.5769230769230769,-2.740740740740741,26,54,1285.161870191556,810.9465131271123,0.01,0.7016317016317016,0.7016317016317016,0.29836829836829837
39,39000000,0.5,-2.4339622641509435,24,53,1259.8841987911294,806.6058260950682,0.01,0.6363636363636364,0.6363636363636364,0.36363636363636365
40,40000000,6.59375,-2.1538461538461537,32,52,1251.742288988231,819.0060088184622,0.01,1.0056818181818181,1.0,0.0
41,41000000,2.782608695652174,-2.056603773584906,23,53,1247.6917801324728,814.7437844062147,0.01,0.7747035573122529,0.7747035573122529,0.22529644268774707
42,42000000,-4.0,-2.1132075471698113,26,53,1296.5556263258431,818.6432919476067,0.01,0.36363636363636365,0.36363636363636365,0.6363636363636364
43,43000000,1.9583333333333333,-3.2037037037037037,24,54,1303.8446268119344,828.9762499770653,0.01,0.7247474747474748,0.7247474747474748,0.2752525252525252
44,44000000,-0.21739130434782608,-0.52,23,50,1275.450951653645,824.7137893476398,0.01,0.5928853754940712,0.5928853754940712,0.40711462450592883
45,45000000,0.9545454545454546,-2.2745098039215685,22,51,1305.6867318733105,824.0001069486873,0.01,0.6639118457300276,0.6639118457300276,0.3360881542699724
46,46000000,-4.481481481481482,-0.9591836734693877,27,49,1280.9449006400273,826.1976292553574,0.01,0.3344556677890011,0.3344556677890011,0.6655443322109988
47,47000000,-0.875,-2.1818181818181817,24,55,1262.922355043662,821.7819000244,0.01,0.553030303030303,0.553030303030303,0.446969696969697
48,48000000,1.2916666666666667,-2.2452830188679247,24,53,1317.9339649149658,822.8057800527122,0.01,0.6843434343434343,0.6843434343434343,0.31565656565656575
49,49000000,-4.214285714285714,-1.3962264150943395,28,53,1326.643959062492,836.5477274377348,0.01,0.35064935064935066,0.35064935064935066,0.6493506493506493
50,50000000,-3.769230769230769,-1.6111111111111112,26,54,1304.901007128118,833.0998378556343,0.01,0.3776223776223776,0.3776223776223776,0.6223776223776224
51,51000000,1.2692307692307692,-1.0392156862745099,26,51,1324.7404094119563,828.4421064330162,0.01,0.6829836829836831,0.6829836829836831,0.31701631701631694
52,52000000,3.185185185185185,-1.4259259259259258,27,54,1337.1680376195625,840.5171728238681,0.01,0.7991021324354658,0.7991021324354658,0.2008978675645342
53,53000000,4.714285714285714,-0.11320754716981132,28,53,1286.4560386870696,817.0238499925814,0.01,0.8917748917748919,0.8917748917748919,0.10822510822510811
54,54000000,2.8275862068965516,-0.16666666666666666,29,54,1281.4207078071713,806.9411513196349,0.01,0.7774294670846394,0.7774294670846394,0.22257053291536055
55,55000000,6.366666666666666,0.22641509433962265,30,53,1265.7165583814656,803.9904896933845,0.01,0.991919191919192,0.991919191919192,0.008080808080808022
56,56000000,-2.269230769230769,-0.6,26,55,1203.1452861001285,803.0963725564507,0.01,0.46853146853146854,0.46853146853146854,0.5314685314685315
57,57000000,5.451612903225806,0.09090909090909091,31,55,1220.1260590830998,806.5462004139499,0.01,0.9364613880742912,0.9364613880742912,0.06353861192570875
58,58000000,4.9655172413793105,0.3333333333333333,29,54,1276.0828979953442,803.2787767568731,0.01,0.9070010449320793,0.9070010449320793,0.09299895506792066
59,59000000,8.2,2.1320754716981134,35,53,1213.6663567245776,793.5626616974452,0.01,1.103030303030303,1.0,0.0
60,60000000,1.9583333333333333,1.5357142857142858,24,56,1197.0335523519477,789.0370471708576,0.01,0.7247474747474748,0.7247474747474748,0.2752525252525252
61,61000000,2.32,2.8545454545454545,25,55,1201.2453447704206,793.5955794648494,0.01,0.7466666666666667,0.7466666666666667,0.2533333333333333
62,62000000,6.258064516129032,0.8301886792452831,31,53,1240.885122260591,793.484519175085,0.01,0.9853372434017595,0.9853372434017595,0.014662756598240456
63,63000000,3.6153846153846154,2.2142857142857144,26,56,1297.2179022232647,798.1007599338952,0.01,0.8251748251748251,0.8251748251748251,0.1748251748251749
64,64000000,4.222222222222222,2.8035714285714284,27,56,1378.8920928947143,787.4365166754145,0.01,0.8619528619528619,0.8619528619528619,0.13804713804713808
65,65000000,6.3125,3.267857142857143,32,56,1359.8026629773337,792.102059397228,0.01,0.9886363636363636,0.9886363636363636,0.011363636363636354
66,66000000,5.7,3.727272727272727,30,55,1352.1757068464954,798.1941650872341,0.01,0.9515151515151514,0.9515151515151514,0.048484848484848575
67,67000000,6.0,3.017543859649123,29,57,1349.7662193915796,801.0246519408761,0.01,0.9696969696969697,0.9696969696969697,0.030303030303030276
68,68000000,7.454545454545454,2.9107142857142856,33,56,1311.051431983946,810.5826461408755,0.01,1.0578512396694215,1.0,0.0
69,69000000,7.235294117647059,3.9833333333333334,34,60,1235.595411349066,807.9035180999056,0.01,1.0445632798573974,1.0,0.0
70,70000000,2.8620689655172415,3.824561403508772,29,57,1252.9042978456841,808.9832693720965,0.01,0.7795193312434692,0.7795193312434692,0.22048066875653083
71,71000000,8.526315789473685,4.8,38,60,1252.0449705382687,811.0340094817122,0.01,1.1228070175438596,1.0,0.0
72,72000000,8.0,4.916666666666667,35,60,1263.773890696171,819.8796904712381,0.01,1.0909090909090908,1.0,0.0
73,73000000,8.894736842105264,5.370967741935484,38,62,1263.222899421242,820.0748773730493,0.01,1.145135566188198,1.0,0.0
74,74000000,8.35135135135135,5.016129032258065,37,62,1256.1830168095853,816.9216836275118,0.01,1.1122031122031122,1.0,0.0
75,75000000,6.451612903225806,5.333333333333333,31,60,1262.7204288220137,813.130448789806,0.01,0.997067448680352,0.997067448680352,0.00293255131964798
76,76000000,9.205128205128204,6.09375,39,64,1259.6508466456862,818.15261558663,0.01,1.163947163947164,1.0,0.0
77,77000000,9.0,5.921875,39,64,1258.2578977245923,819.6778493372183,0.01,1.1515151515151516,1.0,0.0
78,78000000,8.083333333333334,5.5625,36,64,1271.4514250023265,820.1035183183859,0.01,1.095959595959596,1.0,0.0
79,79000000,4.481481481481482,5.921875,27,64,1281.55649186394,821.4796361244942,0.01,0.877665544332211,0.877665544332211,0.122334455667789
