iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-24.0,nan,82,0,1351.593069863068,nan,1.0,-0.012903225806451568,-0.012903225806451568,1.0129032258064516
1,1000000,-5.0,-23.87248322147651,4,149,1231.181623637249,749.9327685046197,0.8020002475,1.2129032258064516,1.0,0.0
2,2000000,-1.75,-23.87837837837838,4,148,1171.608585157,511.8022520719765,0.5545002475,1.4225806451612903,1.0,0.0
3,3000000,0.0,-23.962962962962962,4,135,1108.681992970291,497.84484368659895,0.3070002475,1.535483870967742,1.0,0.0
4,4000000,-23.975609756097562,-23.226190476190474,82,84,971.024119646871,497.37181867852985,0.05950024749999997,-0.011329661683713622,-0.011329661683713622,1.0113296616837135
5,5000000,0.0,-19.846153846153847,4,26,1045.2097798431107,507.5601753904346,0.01,1.535483870967742,1.0,0.0
6,6000000,-21.444444444444443,-8.636363636363637,18,11,1037.4241323497185,513.8536971558198,0.01,0.1519713261648747,0.1519713261648747,0.8480286738351253
7,7000000,-10.666666666666666,-7.25,6,12,986.5540533247622,517.0769902764569,0.01,0.8473118279569893,0.8473118279569893,0.15268817204301066
8,8000000,-9.5,-8.818181818181818,6,11,1009.9445059030702,506.8051461500923,0.01,0.9225806451612903,0.9225806451612903,0.07741935483870965
9,9000000,0.0,-6.5,4,10,986.6198513905013,502.4698081624317,0.01,1.535483870967742,1.0,0.0
10,10000000,-4.25,-10.909090909090908,4,11,1045.388582590555,505.61863868614336,0.01,1.261290322580645,1.0,0.0
11,11000000,-22.666666666666668,-12.363636363636363,9,11,1034.3123748892667,524.0301035377543,0.01,0.07311827956989245,0.07311827956989245,0.9268817204301075
12,12000000,-5.4,-20.153846153846153,5,13,1048.0982853746427,517.3731404186265,0.01,1.1870967741935483,1.0,0.0
13,13000000,-21.6,-7.1,10,10,999.1042003261337,498.9472044000604,0.01,0.1419354838709677,0.1419354838709677,0.8580645161290323
14,14000000,-17.666666666666668,-10.090909090909092,6,11,1036.6932391689336,510.1331954676358,0.01,0.3956989247311828,0.3956989247311828,0.6043010752688172
15,15000000,-5.25,-9.222222222222221,4,9,1047.0421335038093,525.6140207927524,0.01,1.196774193548387,1.0,0.0
16,16000000,0.0,-0.8888888888888888,4,9,1069.4563536025132,528.5935857776989,0.01,1.535483870967742,1.0,0.0
17,17000000,-23.857142857142858,-8.2,7,10,1089.90730373857,523.0932298432015,0.01,-0.003686635944700448,-0.003686635944700448,1.0036866359447005
18,18000000,0.0,-11.909090909090908,4,11,1153.0489903331666,519.5744075474855,0.01,1.535483870967742,1.0,0.0
19,19000000,-1.5,-1.3333333333333333,4,9,1222.5554436524683,513.8103239180101,0.01,1.4387096774193548,1.0,0.0
20,20000000,-14.8,-5.5,5,10,1275.8336317673566,506.6024131038504,0.01,0.5806451612903226,0.5806451612903226,0.4193548387096774
21,21000000,-0.25,-5.7,4,10,1235.87193944719,516.6382122782251,0.01,1.5193548387096774,1.0,0.0
22,22000000,0.0,-12.727272727272727,4,11,1088.1467032016594,539.246796675308,0.01,1.535483870967742,1.0,0.0
23,23000000,-5.5,-4.333333333333333,4,9,1065.8878585706125,565.253655824812,0.01,1.1806451612903226,1.0,0.0
24,24000000,-4.0,-10.666666666666666,4,12,1087.1877215376694,575.8586285098013,0.01,1.2774193548387098,1.0,0.0
25,25000000,-0.5,-17.23076923076923,4,13,1077.558776438676,576.0637398573415,0.01,1.5032258064516129,1.0,0.0
26,26000000,-13.0,-15.666666666666666,5,12,1104.7728923302925,569.1846130786197,0.01,0.6967741935483871,0.6967741935483871,0.3032258064516129
27,27000000,0.0,-10.727272727272727,4,11,1181.6873228339173,532.4356919406355,0.01,1.535483870967742,1.0,0.0
28,28000000,-8.8,-5.444444444444445,5,9,1227.086449112982,504.58362073641746,0.01,0.967741935483871,0.967741935483871,0.032258064516129004
29,29000000,-0.25,-13.0,4,10,1259.030285607544,493.2610716195363,0.01,1.5193548387096774,1.0,0.0
30,30000000,-13.4,-22.434782608695652,5,23,1264.9194714208309,494.7941650934343,0.01,0.6709677419354839,0.6709677419354839,0.3290322580645161
31,31000000,-0.5,-21.51851851851852,4,27,1200.8616326581414,497.2856902887475,0.01,1.5032258064516129,1.0,0.0
32,32000000,-4.75,-12.8,4,10,1167.483635527413,500.6383309496978,0.01,1.229032258064516,1.0,0.0
33,33000000,-15.4,-17.846153846153847,5,13,1129.2285048429076,518.2212467622461,0.01,0.5419354838709678,0.5419354838709678,0.4580645161290322
34,34000000,0.0,-14.3,4,10,1075.5900673156855,533.3220143357479,0.01,1.535483870967742,1.0,0.0
35,35000000,0.0,-3.6666666666666665,4,9,1062.3086490046662,548.978889641735,0.01,1.535483870967742,1.0,0.0
36,36000000,0.0,-15.6,4,10,1070.469908916147,550.6404225052917,0.01,1.535483870967742,1.0,0.0
37,37000000,0.0,-16.923076923076923,4,13,1066.36156987336,542.5181321517421,0.01,1.535483870967742,1.0,0.0
38,38000000,-12.6,-13.6,5,10,1067.4545744849088,532.5532580384462,0.01,0.7225806451612904,0.7225806451612904,0.2774193548387096
39,39000000,0.0,-19.46153846153846,4,13,1067.7630303196943,519.8419747801894,0.01,1.535483870967742,1.0,0.0
40,40000000,-2.25,-15.75,4,12,1056.4443115697943,519.8100098129548,0.01,1.3903225806451613,1.0,0.0
41,41000000,-0.75,-11.9,4,10,1057.1046630237963,515.029777306203,0.01,1.4870967741935484,1.0,0.0
42,42000000,-4.75,-2.7777777777777777,4,9,1064.1413181180803,529.81197833898,0.01,1.229032258064516,1.0,0.0
43,43000000,-1.75,-19.25,4,16,1095.9926219950164,523.7636203354414,0.01,1.4225806451612903,1.0,0.0
44,44000000,-0.75,-15.692307692307692,4,13,1155.969414058145,514.6359954404006,0.01,1.4870967741935484,1.0,0.0
45,45000000,0.0,-15.272727272727273,4,11,1193.2243118717363,502.64297433561336,0.01,1.535483870967742,1.0,0.0
46,46000000,-5.75,-14.0,4,9,1215.378956656425,496.3471333092655,0.01,1.164516129032258,1.0,0.0
47,47000000,-15.0,-17.916666666666668,4,12,1226.9306289877688,493.1861592169294,0.01,0.567741935483871,0.567741935483871,0.432258064516129
48,48000000,-5.0,-19.75,4,12,1248.6146597659276,492.04259234280437,0.01,1.2129032258064516,1.0,0.0
49,49000000,-11.0,-22.3125,5,16,1235.8516795024257,493.63469117097947,0.01,0.8258064516129032,0.8258064516129032,0.17419354838709677
50,50000000,-1.0,-14.3,4,10,1186.685459634029,510.92068512302126,0.01,1.4709677419354839,1.0,0.0
51,51000000,0.0,-13.88888888888889,4,9,1116.9049317385184,522.6248603814253,0.01,1.535483870967742,1.0,0.0
52,52000000,-3.25,-15.2,4,10,1069.3367065407172,525.1848599434638,0.01,1.3258064516129033,1.0,0.0
53,53000000,-3.5,-21.615384615384617,4,13,1061.8673480430043,537.521559369002,0.01,1.3096774193548388,1.0,0.0
54,54000000,-9.25,-20.923076923076923,4,13,1071.0316119008505,532.1638682524406,0.01,0.9387096774193548,0.9387096774193548,0.06129032258064515
55,55000000,0.0,-22.0,4,15,1070.7902330658828,535.1463317393989,0.01,1.535483870967742,1.0,0.0
56,56000000,-3.5,-21.23076923076923,4,13,1070.0380028417812,543.3012635396235,0.01,1.3096774193548388,1.0,0.0
57,57000000,0.0,-20.533333333333335,4,15,1068.9676970164714,529.3742609656041,0.01,1.535483870967742,1.0,0.0
58,58000000,0.0,-17.454545454545453,4,11,1069.8908224646661,531.6600554290773,0.01,1.535483870967742,1.0,0.0
59,59000000,-0.75,-21.714285714285715,4,14,1070.586099774598,524.4981069397952,0.01,1.4870967741935484,1.0,0.0
60,60000000,-8.0,-20.571428571428573,4,14,1072.6853327831489,524.396026451004,0.01,1.0193548387096774,1.0,0.0
61,61000000,0.0,-22.53846153846154,4,13,1115.02692769223,515.4167548180291,0.01,1.535483870967742,1.0,0.0
62,62000000,-8.75,-18.272727272727273,4,11,1145.3224216038896,509.58195212551277,0.01,0.970967741935484,0.970967741935484,0.029032258064516037
63,63000000,0.0,-13.666666666666666,4,9,1131.110296459921,497.89571852870085,0.01,1.535483870967742,1.0,0.0
64,64000000,-6.0,-16.384615384615383,4,13,1208.2149699029933,496.80415599261096,0.01,1.1483870967741936,1.0,0.0
65,65000000,-3.25,-20.785714285714285,4,14,1231.4865509113772,487.39562364676965,0.01,1.3258064516129033,1.0,0.0
66,66000000,0.0,-23.3125,4,16,1269.3024161710189,487.645693013202,0.01,1.535483870967742,1.0,0.0
67,67000000,0.0,-16.8,4,10,1247.9274518695515,492.2818429419379,0.01,1.535483870967742,1.0,0.0
68,68000000,0.0,-15.1,4,10,1210.4708708941957,501.49020113670883,0.01,1.535483870967742,1.0,0.0
69,69000000,-6.0,-22.681818181818183,4,22,1159.3442007525289,511.7622623963359,0.01,1.1483870967741936,1.0,0.0
70,70000000,-1.5,-22.761904761904763,4,21,1091.6801601191626,529.2636244351456,0.01,1.4387096774193548,1.0,0.0
71,71000000,0.0,-19.0,4,13,1077.80813425255,540.6407982370786,0.01,1.535483870967742,1.0,0.0
72,72000000,-2.0,-22.210526315789473,4,19,1089.7788646307986,543.2754696933201,0.01,1.4064516129032258,1.0,0.0
73,73000000,-15.25,-22.807692307692307,4,26,1083.5260227551469,532.779626661557,0.01,0.5516129032258065,0.5516129032258065,0.4483870967741935
74,74000000,-3.25,-22.166666666666668,4,24,1063.7686803123524,526.6067645780754,0.01,1.3258064516129033,1.0,0.0
75,75000000,-8.0,-22.64,4,25,1065.3530299923573,529.8085967232229,0.01,1.0193548387096774,1.0,0.0
76,76000000,-6.25,-22.68421052631579,4,19,1076.0114277589557,528.8464494969178,0.01,1.132258064516129,1.0,0.0
77,77000000,-22.818181818181817,-22.77777777777778,11,27,1069.2923041028744,537.4406642004781,0.01,0.06334310850439898,0.06334310850439898,0.936656891495601
78,78000000,-1.75,-22.526315789473685,4,19,1072.11668911811,529.494983003718,0.01,1.4225806451612903,1.0,0.0
79,79000000,-19.333333333333332,-22.19047619047619,6,21,1118.9243470369702,524.3518388859967,0.01,0.28817204301075283,0.28817204301075283,0.7118279569892472
80,80000000,-9.75,-21.125,4,16,1161.940725480962,516.872073251327,0.01,0.9064516129032258,0.9064516129032258,0.09354838709677415
81,81000000,-4.5,-20.7,4,20,1199.3883454925688,503.4675091407423,0.01,1.2451612903225806,1.0,0.0
82,82000000,-7.25,-20.857142857142858,4,14,1231.6705888066442,504.69786324717114,0.01,1.067741935483871,1.0,0.0
83,83000000,-15.875,-21.636363636363637,8,22,1258.2573753600893,489.00288242000624,0.01,0.5112903225806452,0.5112903225806452,0.4887096774193548
84,84000000,-15.6,-21.807692307692307,5,26,1242.898414052827,492.1519781969542,0.01,0.5290322580645161,0.5290322580645161,0.47096774193548385
85,85000000,-15.833333333333334,-20.782608695652176,6,23,1165.438875975341,491.256236760503,0.01,0.513978494623656,0.513978494623656,0.48602150537634403
86,86000000,-21.25,-20.576923076923077,12,26,1176.9248103856205,505.2023876522317,0.01,0.16451612903225812,0.16451612903225812,0.8354838709677419
87,87000000,-8.6,-19.6,5,25,1105.334331240026,506.86527835681346,0.01,0.9806451612903226,0.9806451612903226,0.019354838709677358
88,88000000,-16.77777777777778,-20.545454545454547,9,22,1070.7205529752707,514.1352024947322,0.01,0.45304659498207883,0.45304659498207883,0.5469534050179212
89,89000000,-17.142857142857142,-19.272727272727273,7,22,1061.7192967202707,522.6056728416916,0.01,0.4294930875576038,0.4294930875576038,0.5705069124423963
90,90000000,-17.857142857142858,-18.714285714285715,7,21,1047.0715646351337,532.5586411368587,0.01,0.38341013824884795,0.38341013824884795,0.616589861751152
91,91000000,-16.666666666666668,-17.68421052631579,6,19,1045.7855145551132,526.7523606607976,0.01,0.46021505376344085,0.46021505376344085,0.5397849462365591
92,92000000,-17.428571428571427,-19.03846153846154,7,26,1067.270424041907,531.7070291119902,0.01,0.4110599078341015,0.4110599078341015,0.5889400921658985
93,93000000,-10.25,-14.642857142857142,4,14,1073.908582522164,534.6033327248523,0.01,0.8741935483870968,0.8741935483870968,0.12580645161290316
94,94000000,-7.6,-16.41176470588235,5,17,1062.5303960149854,528.516444193216,0.01,1.0451612903225809,1.0,0.0
95,95000000,-10.2,-17.61904761904762,5,21,1071.521496413434,532.2764027845523,0.01,0.8774193548387098,0.8774193548387098,0.12258064516129019
96,96000000,-19.375,-16.263157894736842,8,19,1069.9730625980521,534.7535114382518,0.01,0.28548387096774197,0.28548387096774197,0.714516129032258
97,97000000,-16.0,-15.105263157894736,6,19,1059.9902591883294,529.8043240599305,0.01,0.503225806451613,0.503225806451613,0.49677419354838703
98,98000000,0.4,-15.2,5,20,1111.1897746438187,520.5944172030368,0.01,1.5612903225806452,1.0,0.0
99,99000000,-4.5,-13.736842105263158,4,19,1174.3576095162298,518.3886469514935,0.01,1.2451612903225806,1.0,0.0
100,100000000,3.4,-10.785714285714286,5,14,1246.3656633598846,504.8795079400996,0.01,1.7548387096774194,1.0,0.0
101,101000000,-15.0,-8.153846153846153,12,13,1303.1674797503483,499.9919032848295,0.01,0.567741935483871,0.567741935483871,0.432258064516129
102,102000000,-3.4,-6.076923076923077,5,13,1249.4585282659093,501.0862920740966,0.01,1.3161290322580645,1.0,0.0
103,103000000,5.5,-9.6875,4,16,1178.2745595289266,493.246637962576,0.01,1.8903225806451613,1.0,0.0
104,104000000,-5.5,-8.105263157894736,4,19,1154.432086288554,506.1776046881351,0.01,1.1806451612903226,1.0,0.0
105,105000000,-5.4,-0.5384615384615384,5,13,1094.2156109213222,504.81989783587517,0.01,1.1870967741935483,1.0,0.0
106,106000000,-8.0,6.5,10,16,1057.5845048661554,510.567114008072,0.01,1.0193548387096774,1.0,0.0
107,107000000,6.125,2.9375,8,16,1056.09869002367,522.3154914059177,0.01,1.9306451612903226,1.0,0.0
108,108000000,12.25,12.476190476190476,8,21,1049.5295553907936,526.8537332590728,0.01,2.325806451612903,1.0,0.0
109,109000000,15.615384615384615,8.222222222222221,13,18,1061.4776773135598,541.7566359611031,0.01,2.5429280397022334,1.0,0.0
110,110000000,17.46153846153846,13.095238095238095,13,21,1058.0464671640843,535.8780916579262,0.01,2.6620347394540946,1.0,0.0
111,111000000,18.27777777777778,12.909090909090908,18,22,1047.538306090635,540.102172785197,0.01,2.7146953405017924,1.0,0.0
112,112000000,15.555555555555555,14.181818181818182,18,33,1050.0418285484961,533.785108438482,0.01,2.539068100358423,1.0,0.0
113,113000000,17.208333333333332,16.674418604651162,24,43,1052.9055143372213,533.4366709046026,0.01,2.6456989247311826,1.0,0.0
114,114000000,20.375,17.081632653061224,32,49,1074.64789277194,529.0670598223901,0.01,2.8499999999999996,1.0,0.0
115,115000000,20.23076923076923,18.31578947368421,39,57,1110.9511921862695,513.1598251259053,0.01,2.8406947890818857,1.0,0.0
116,116000000,19.27777777777778,19.855072463768117,36,69,1157.7645344755433,500.2382995452354,0.01,2.7792114695340504,1.0,0.0
117,117000000,21.023809523809526,20.225352112676056,42,71,1198.4627152248715,492.5140369736344,0.01,2.8918586789554537,1.0,0.0
118,118000000,21.404761904761905,20.21794871794872,42,78,1216.905839231135,486.0376711178327,0.01,2.916436251920123,1.0,0.0
119,119000000,22.0,20.48148148148148,46,81,1253.3013279512534,477.57711905199545,0.01,2.954838709677419,1.0,0.0
120,120000000,21.452380952380953,20.658823529411766,42,85,1216.0076404633053,477.26239281331516,0.01,2.919508448540707,1.0,0.0
121,121000000,20.866666666666667,20.908045977011493,45,87,1193.859253881714,488.4878477934162,0.01,2.881720430107527,1.0,0.0
122,122000000,18.71875,21.355555555555554,32,90,1150.9590807139136,495.7116743787117,0.01,2.7431451612903226,1.0,0.0
123,123000000,21.068181818181817,21.127906976744185,44,86,1098.0554413224081,506.89801536673326,0.01,2.8947214076246333,1.0,0.0
124,124000000,22.170212765957448,21.48913043478261,47,92,1057.0065864049686,520.6223546566749,0.01,2.9658201784488676,1.0,0.0
125,125000000,22.020408163265305,21.329787234042552,49,94,1052.87417550211,527.6520342871622,0.01,2.9561553653719552,1.0,0.0
126,126000000,21.75,21.372340425531913,44,94,1050.8424494214578,526.0376834025262,0.01,2.9387096774193546,1.0,0.0
127,127000000,21.023255813953487,21.621052631578948,43,95,1059.526251257798,530.4398439125183,0.01,2.8918229557389346,1.0,0.0
128,128000000,21.5,21.625,50,96,1058.2330882322372,536.0927646379401,0.01,2.92258064516129,1.0,0.0
129,129000000,22.6875,21.814432989690722,48,97,1058.5537524510123,539.172964542182,0.01,2.9991935483870966,1.0,0.0
130,130000000,22.576923076923077,21.75,52,96,1064.0310674394684,539.3241576780291,0.01,2.992059553349876,1.0,0.0
131,131000000,22.803571428571427,21.864583333333332,56,96,1063.0167273723196,542.7048971692834,0.01,3.0066820276497697,1.0,0.0
132,132000000,22.29787234042553,21.6734693877551,47,98,1080.6417390491279,535.4678668966638,0.01,2.9740562800274537,1.0,0.0
133,133000000,22.596491228070175,21.97979797979798,57,99,1132.4099497995564,516.7455686960797,0.01,2.993322014714205,1.0,0.0
134,134000000,22.361702127659573,21.81,47,100,1178.6412845982836,504.6584428787674,0.01,2.9781743308167465,1.0,0.0
135,135000000,21.595744680851062,21.99,47,100,1173.2817950888766,489.8227577395753,0.01,2.9287577213452303,1.0,0.0
136,136000000,22.083333333333332,22.14423076923077,48,104,1216.6924671531342,488.0077573276345,0.01,2.9602150537634406,1.0,0.0
137,137000000,21.9,22.04901960784314,50,102,1255.1339278390785,483.25839406925706,0.01,2.948387096774194,1.0,0.0
138,138000000,22.020408163265305,22.38235294117647,49,102,1238.5678720463225,487.0654167417798,0.01,2.9561553653719552,1.0,0.0
139,139000000,23.056603773584907,22.0,53,103,1190.1160505021685,497.5949037289449,0.01,3.023006695069994,1.0,0.0
140,140000000,22.982758620689655,22.096153846153847,58,104,1136.8175417685977,519.5341559779397,0.01,3.0182424916573973,1.0,0.0
141,141000000,21.612244897959183,21.923076923076923,49,104,1069.2557002828619,538.809740945754,0.01,2.9298222514812378,1.0,0.0
142,142000000,22.403846153846153,22.39047619047619,52,105,1059.3575382456872,546.0867423967044,0.01,2.9808933002481393,1.0,0.0
143,143000000,22.15,22.115384615384617,40,104,1070.6929317159197,537.382480354758,0.01,2.9645161290322584,1.0,0.0
144,144000000,22.867924528301888,22.21153846153846,53,104,1066.8217979735425,542.1551612894201,0.01,3.010833840535606,1.0,0.0
145,145000000,22.545454545454547,22.60747663551402,55,107,1067.1749367401167,536.3390507720934,0.01,2.9900293255131962,1.0,0.0
146,146000000,22.70689655172414,22.452830188679247,58,106,809.2930539846867,535.077159819779,0.01,3.000444938820912,1.0,0.0
147,147000000,23.089285714285715,22.632075471698112,56,106,1056.0709342030825,461.3453091183611,0.01,3.0251152073732723,1.0,0.0
148,148000000,21.8,22.763636363636362,50,110,1058.464397551859,526.7252859416772,0.01,2.9419354838709677,1.0,0.0
149,149000000,21.791666666666668,22.314814814814813,24,108,1098.9682394640797,520.4626624451303,0.01,2.9413978494623656,1.0,0.0
150,150000000,22.859649122807017,22.401869158878505,57,107,1137.6539115766602,506.10745012479595,0.01,3.0102999434069044,1.0,0.0
