iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,4,0,925.738944617878,nan,1.0,-0.07298335467349552,-0.07298335467349552,1.0729833546734955
1,1000000,0.0,14.466442953020135,4,298,818.6848425503331,505.27382106417235,0.8020002475,-0.07298335467349552,-0.07298335467349552,1.0729833546734955
2,2000000,16.163265306122447,38.383050847457625,245,295,766.428275655374,482.6205681383566,0.5545002475,0.0304946562491834,0.0304946562491834,0.9695053437508167
3,3000000,88.0952380952381,42.653979238754324,42,289,780.9904929259906,484.2909423646942,0.3070002475,0.49100664593622345,0.49100664593622345,0.5089933540637765
4,4000000,53.91304347826087,40.43494423791822,92,269,829.4304664159084,494.973947359234,0.05950024749999997,0.2721705728441797,0.2721705728441797,0.7278294271558203
5,5000000,122.21875,53.52,32,150,919.8109751950612,485.3626431740985,0.01,0.7094670294494239,0.7094670294494239,0.29053297055057614
6,6000000,99.61538461538461,92.92941176470588,13,85,936.3377668012638,467.58598565759416,0.01,0.5647591844774943,0.5647591844774943,0.4352408155225057
7,7000000,108.75,125.70967741935483,24,31,803.8676775383134,476.34182698942504,0.01,0.6232394366197184,0.6232394366197184,0.37676056338028163
8,8000000,17.6,119.93939393939394,5,33,743.7951587303774,474.23697414743623,0.01,0.03969270166453266,0.03969270166453266,0.9603072983354674
9,9000000,151.75,134.45,4,20,716.5206704069628,447.6657355022623,0.01,0.8985275288092189,0.8985275288092189,0.10147247119078107
10,10000000,151.25,148.72727272727272,4,33,765.7068941881619,443.2737776824133,0.01,0.8953265044814341,0.8953265044814341,0.10467349551856586
11,11000000,188.0,157.425,4,80,699.7711865335727,425.28464729906045,0.01,1.1306017925736236,1.0,0.0
12,12000000,157.2,146.9857142857143,5,70,789.3563368883504,436.348298388907,0.01,0.9334186939820742,0.9334186939820742,0.06658130601792578
13,13000000,187.1,163.2051282051282,10,39,682.1994618752592,435.85981202090716,0.01,1.1248399487836107,1.0,0.0
14,14000000,162.28571428571428,150.69,7,100,685.3538158097706,440.3658417712372,0.01,0.9659776842875434,0.9659776842875434,0.03402231571245662
15,15000000,84.28571428571429,166.51724137931035,7,58,822.7534858967889,446.38382894468924,0.01,0.4666178891531005,0.4666178891531005,0.5333821108468995
16,16000000,173.25,173.36111111111111,4,36,692.2011355603771,439.66946237319246,0.01,1.0361715749039693,1.0,0.0
17,17000000,192.71428571428572,165.72093023255815,7,43,740.9189220448683,461.94253083932597,0.01,1.1607828790927384,1.0,0.0
18,18000000,193.83333333333334,193.53968253968253,6,63,856.4362412047437,454.5216947879932,0.01,1.1679470763977808,1.0,0.0
19,19000000,198.57142857142858,179.66666666666666,7,60,723.7430710935361,454.1244722556836,0.01,1.1982805926467899,1.0,0.0
20,20000000,186.8,186.0,5,37,728.5101486402616,451.39131196933334,0.01,1.12291933418694,1.0,0.0
21,21000000,175.66666666666666,183.73076923076923,6,26,772.324209161229,441.7059442256482,0.01,1.051643192488263,1.0,0.0
22,22000000,226.0,186.0,6,30,693.82869599521,440.5253723955822,0.01,1.3738796414852754,1.0,0.0
23,23000000,215.0,182.22857142857143,4,35,798.5490539785643,437.3237580036633,0.01,1.3034571062740077,1.0,0.0
24,24000000,213.75,170.8148148148148,4,27,703.8527078052374,441.5975059972144,0.01,1.2954545454545454,1.0,0.0
25,25000000,211.66666666666666,174.04761904761904,6,21,715.8348874260075,441.0682520754283,0.01,1.282116944088775,1.0,0.0
26,26000000,161.75,173.72,4,25,800.7742683680057,444.14634881747565,0.01,0.9625480153649169,0.9625480153649169,0.037451984635083146
27,27000000,209.0,166.88,4,25,709.2687304386081,440.9288835998188,0.01,1.265044814340589,1.0,0.0
28,28000000,166.16666666666666,188.32142857142858,6,28,826.7269997702887,446.7977656666745,0.01,0.99082373026035,0.99082373026035,0.009176269739650023
29,29000000,206.75,182.46153846153845,4,39,754.8845352540619,452.54859089609283,0.01,1.250640204865557,1.0,0.0
