iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,94,0,1076.6772760684378,nan,1.0,0.0,0.0,1.0
1,1000000,0.0,0.0,47,116,1065.4166456185849,574.4081754192151,0.8020002475,0.0,0.0,1.0
2,2000000,0.0,0.0,96,97,1069.1345381897856,507.18486980313725,0.5545002475,0.0,0.0,1.0
3,3000000,0.0,0.0,22,98,1062.4145506202108,508.53768452437066,0.3070002475,0.0,0.0,1.0
4,4000000,0.0,5.813953488372093,23,86,1066.109435302021,504.0162061953595,0.05950024749999997,0.0,0.0,1.0
5,5000000,0.0,0.0,49,77,1073.7928669458033,504.8165473813211,0.01,0.0,0.0,1.0
6,6000000,0.0,11.494252873563218,26,87,1044.3627305488374,510.1954334464466,0.01,0.0,0.0,1.0
7,7000000,0.0,14.0625,26,64,1101.3267493644319,510.54252734702266,0.01,0.0,0.0,1.0
8,8000000,0.0,6.153846153846154,29,65,1097.7119789202663,517.3774263629639,0.01,0.0,0.0,1.0
9,9000000,0.0,0.0,24,67,1116.717895656827,519.070440480762,0.01,0.0,0.0,1.0
10,10000000,0.0,8.771929824561404,48,57,1123.5859677753108,520.7832869560895,0.01,0.0,0.0,1.0
11,11000000,0.0,9.375,54,64,1209.5159942233988,524.0463795299352,0.01,0.0,0.0,1.0
12,12000000,0.0,8.823529411764707,92,68,1154.742744438321,500.69462719256234,0.01,0.0,0.0,1.0
13,13000000,0.0,15.942028985507246,43,69,1151.8661629760136,485.5101686415619,0.01,0.0,0.0,1.0
14,14000000,0.0,15.584415584415584,25,77,1160.5753150459564,473.2232916887459,0.01,0.0,0.0,1.0
15,15000000,0.0,29.761904761904763,27,84,1169.1441954340137,471.40225555347695,0.01,0.0,0.0,1.0
16,16000000,0.0,31.03448275862069,47,87,1183.428726203082,471.4936501396449,0.01,0.0,0.0,1.0
17,17000000,0.0,35.1063829787234,32,94,1220.3899151584928,475.3018588443156,0.01,0.0,0.0,1.0
18,18000000,0.0,21.296296296296298,51,108,1175.5079539872183,468.4638138426517,0.01,0.0,0.0,1.0
19,19000000,0.0,15.384615384615385,54,104,1176.5699076251806,466.0917621208861,0.01,0.0,0.0,1.0
20,20000000,0.0,16.037735849056602,27,106,1163.586934129819,461.82704134902946,0.01,0.0,0.0,1.0
21,21000000,0.0,14.285714285714286,95,105,1182.3633568084006,464.3034763347745,0.01,0.0,0.0,1.0
22,22000000,0.0,7.619047619047619,54,105,1185.42127429031,470.7080972625333,0.01,0.0,0.0,1.0
23,23000000,0.0,11.504424778761061,51,113,1205.403688815343,470.4913309475643,0.01,0.0,0.0,1.0
24,24000000,0.0,11.926605504587156,25,109,1225.809839106743,476.5030755609581,0.01,0.0,0.0,1.0
25,25000000,0.0,13.793103448275861,91,116,1195.1858741918818,474.84974928807134,0.01,0.0,0.0,1.0
26,26000000,0.0,5.555555555555555,41,108,1184.210928546858,470.5341116663581,0.01,0.0,0.0,1.0
27,27000000,0.0,7.407407407407407,45,108,1183.7612615940184,464.96690075296164,0.01,0.0,0.0,1.0
28,28000000,0.0,4.8076923076923075,49,104,1180.887143868942,471.1864613035179,0.01,0.0,0.0,1.0
29,29000000,0.0,5.714285714285714,54,105,1160.1238725050941,465.964901437977,0.01,0.0,0.0,1.0
30,30000000,0.0,5.128205128205129,23,117,1159.8259503783927,471.1582586788114,0.01,0.0,0.0,1.0
31,31000000,0.0,7.758620689655173,49,116,1171.7216785581402,478.93157968874766,0.01,0.0,0.0,1.0
32,32000000,0.0,1.8181818181818181,21,110,1168.1837501204334,480.3128217024927,0.01,0.0,0.0,1.0
33,33000000,0.0,8.264462809917354,49,121,1164.3507605998325,482.8019332424955,0.01,0.0,0.0,1.0
34,34000000,0.0,0.0,54,123,1157.2686868643796,493.38283024202696,0.01,0.0,0.0,1.0
35,35000000,0.0,4.201680672268908,54,119,1148.2015232573149,507.2665483632474,0.01,0.0,0.0,1.0
36,36000000,0.0,5.504587155963303,96,109,1141.1835505560337,510.6430186284569,0.01,0.0,0.0,1.0
37,37000000,0.0,1.7543859649122806,51,114,1125.256700288168,516.7585968851184,0.01,0.0,0.0,1.0
38,38000000,0.0,4.424778761061947,50,113,1119.0775399100542,516.2262898709059,0.01,0.0,0.0,1.0
39,39000000,0.0,6.363636363636363,48,110,1097.1377130557476,520.1469213099198,0.01,0.0,0.0,1.0
40,40000000,0.0,3.883495145631068,26,103,1038.728577734793,517.3797180293809,0.01,0.0,0.0,1.0
41,41000000,0.0,6.363636363636363,47,110,1086.121013261173,542.2965657494454,0.01,0.0,0.0,1.0
42,42000000,0.0,5.504587155963303,27,109,1152.8861337335418,551.3823596585672,0.01,0.0,0.0,1.0
43,43000000,0.0,1.8867924528301887,96,106,1108.3898675556804,538.1297169167922,0.01,0.0,0.0,1.0
44,44000000,0.0,4.201680672268908,27,119,1112.2868893635068,540.8756137443115,0.01,0.0,0.0,1.0
45,45000000,0.0,9.90990990990991,26,111,1119.794516669375,523.6812135399431,0.01,0.0,0.0,1.0
46,46000000,0.0,5.785123966942149,93,121,1155.948247050938,524.3074193012682,0.01,0.0,0.0,1.0
47,47000000,0.0,4.310344827586207,26,116,1156.2157915213147,510.09255233141243,0.01,0.0,0.0,1.0
48,48000000,0.0,0.0,50,109,1210.901817761975,505.87804400259,0.01,0.0,0.0,1.0
49,49000000,0.0,3.7383177570093458,49,107,1200.4390913808793,501.46687025674106,0.01,0.0,0.0,1.0
50,50000000,0.0,4.62962962962963,52,108,1194.8632247985206,501.78402000026136,0.01,0.0,0.0,1.0
51,51000000,0.0,6.481481481481482,48,108,1221.3117380644314,500.33368419707324,0.01,0.0,0.0,1.0
52,52000000,0.0,2.542372881355932,25,118,1232.7542007161762,496.4349132331573,0.01,0.0,0.0,1.0
53,53000000,0.0,4.8076923076923075,26,104,1186.7366538430558,486.80036924787794,0.01,0.0,0.0,1.0
54,54000000,0.0,2.4390243902439024,52,123,1154.6326267276515,478.92596217306254,0.01,0.0,0.0,1.0
55,55000000,0.0,3.389830508474576,54,118,1182.8049196411203,490.26793223526477,0.01,0.0,0.0,1.0
56,56000000,0.0,7.2727272727272725,26,110,1173.659779809466,496.75974552985696,0.01,0.0,0.0,1.0
57,57000000,0.0,7.207207207207207,45,111,1141.6598571297434,493.40088202486385,0.01,0.0,0.0,1.0
58,58000000,0.0,3.6363636363636362,24,110,1169.1296260341874,499.8163615338357,0.01,0.0,0.0,1.0
59,59000000,0.0,3.5714285714285716,47,112,1140.4227379053955,484.3512436379255,0.01,0.0,0.0,1.0
60,60000000,0.0,1.8691588785046729,94,107,1133.9719045102104,486.2258285513293,0.01,0.0,0.0,1.0
61,61000000,0.0,1.8018018018018018,96,111,1144.3156762071308,495.2658930813113,0.01,0.0,0.0,1.0
62,62000000,0.0,0.0,47,101,1134.7943241672174,499.41583308354535,0.01,0.0,0.0,1.0
63,63000000,0.0,1.7543859649122806,26,114,1131.3959665355258,501.4939075467544,0.01,0.0,0.0,1.0
64,64000000,0.0,0.0,44,118,1106.002818705818,508.75868453999243,0.01,0.0,0.0,1.0
65,65000000,0.0,3.6363636363636362,93,110,1093.5406247817339,509.9234087537269,0.01,0.0,0.0,1.0
66,66000000,0.0,1.7241379310344827,27,116,1087.390190061459,508.9430806437684,0.01,0.0,0.0,1.0
67,67000000,0.0,11.711711711711711,27,111,1105.611250582375,525.8342207866193,0.01,0.0,0.0,1.0
68,68000000,0.0,10.679611650485437,54,103,1186.3630214698806,536.8265872690591,0.01,0.0,0.0,1.0
69,69000000,0.0,10.344827586206897,54,116,1210.5838839071628,610.7011209129076,0.01,0.0,0.0,1.0
70,70000000,0.0,6.422018348623853,27,109,1191.3914673821023,555.6290243861733,0.01,0.0,0.0,1.0
71,71000000,0.0,4.0,54,100,1215.0559229786734,498.3705335562211,0.01,0.0,0.0,1.0
72,72000000,0.0,2.0833333333333335,93,96,1207.3853315769522,500.7277016365742,0.01,0.0,0.0,1.0
73,73000000,0.0,4.0,96,100,1226.8572080348779,503.0358539347844,0.01,0.0,0.0,1.0
74,74000000,0.0,8.333333333333334,92,108,1236.4855182735198,505.52350594598437,0.01,0.0,0.0,1.0
75,75000000,0.0,2.6548672566371683,90,113,1194.415858955864,484.10687613061117,0.01,0.0,0.0,1.0
76,76000000,0.0,5.607476635514018,27,107,1206.2989880597122,481.8505651342471,0.01,0.0,0.0,1.0
77,77000000,0.0,1.7857142857142858,90,112,1196.0051242367838,486.9778331427734,0.01,0.0,0.0,1.0
78,78000000,0.0,1.7241379310344827,47,116,1203.2433016619761,488.30069251613065,0.01,0.0,0.0,1.0
79,79000000,0.0,6.185567010309279,95,97,1195.5929743006027,502.4212772315982,0.01,0.0,0.0,1.0
80,80000000,0.0,6.542056074766355,26,107,1192.6993055087512,499.7675186007572,0.01,0.0,0.0,1.0
81,81000000,0.0,4.3478260869565215,54,115,1180.0554744010528,510.5271505736916,0.01,0.0,0.0,1.0
