iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,4,0,1357.9868910911168,nan,1.0,-11.52154500354357,-11.52154500354357,12.52154500354357
1,1000000,5260.666666666667,25442.0987654321,6,81,1330.623107407087,1016.2711334674643,0.8020002475,-7.793219938577831,-7.793219938577831,8.793219938577831
2,2000000,8236.444444444445,13821.072,9,125,1383.1930023692014,888.9424176501648,0.5545002475,-5.684234979132207,-5.684234979132207,6.684234979132207
3,3000000,0.0,3711.48,4,175,1355.3598876975375,885.9216575467045,0.3070002475,-11.52154500354357,-11.52154500354357,12.52154500354357
4,4000000,7795.75,3613.0773809523807,12,168,1385.2639246712738,929.0387209341022,0.05950024749999997,-5.996562721474124,-5.996562721474124,6.996562721474124
5,5000000,16958.0,5862.412280701755,6,114,1294.2638483367934,961.5019442031077,0.01,0.49688164422395426,0.49688164422395426,0.5031183557760457
6,6000000,15306.551724137931,9927.461538461539,29,117,1295.8076365480608,940.2166936565699,0.01,-0.6735281898384602,-0.6735281898384602,1.6735281898384602
7,7000000,8420.917808219177,16315.732673267326,73,101,1302.270620396615,951.8312659812628,0.01,-5.5534955292564225,-5.5534955292564225,6.5534955292564225
8,8000000,17085.454545454544,14996.66,11,100,1361.6658952259672,957.4190848564053,0.01,0.5872108755879117,0.5872108755879117,0.41278912441208826
9,9000000,33240.92307692308,18295.630434782608,26,92,1328.185862849163,962.612593619272,0.01,12.036869650547878,1.0,0.0
10,10000000,46641.666666666664,21353.128571428573,27,70,1318.605225948675,964.6953362094174,0.01,21.53420741790689,1.0,0.0
11,11000000,22702.76923076923,15394.787878787878,26,99,1330.5633023399698,965.2147293161178,0.01,4.568298533500512,1.0,0.0
12,12000000,23213.291666666668,21033.710843373494,24,83,1376.751197191965,968.440386634705,0.01,4.930114575950857,1.0,0.0
13,13000000,17577.4,20042.115384615383,45,78,1301.8524326463946,969.9043087937806,0.01,0.9358610914245217,0.9358610914245217,0.06413890857547833
14,14000000,35190.5625,19720.42528735632,32,87,1291.467820920563,970.8402142224962,0.01,13.418612686038252,1.0,0.0
15,15000000,20827.333333333332,20079.0,6,87,1320.7833342341441,970.2015805829553,0.01,3.239144814552322,1.0,0.0
16,16000000,21740.85714285714,29949.565789473683,7,76,1382.3253889205166,970.522109601002,0.01,3.8865748709122143,1.0,0.0
17,17000000,21276.416666666668,24217.824324324323,48,74,1329.4432546550295,970.6139889839046,0.01,3.5574179069218013,1.0,0.0
18,18000000,58920.27272727273,29485.26153846154,22,65,1335.8738036030375,974.3871303250944,0.01,30.236266993106074,1.0,0.0
19,19000000,14218.333333333334,41068.637931034486,18,58,1297.7000131568577,973.1184696485618,0.01,-1.4447673045121638,-1.4447673045121638,2.4447673045121636
20,20000000,80018.32,28985.1375,25,80,1361.1746597980946,966.8484765784373,0.01,45.18881644223949,1.0,0.0
21,21000000,71630.23809523809,30160.92405063291,21,79,1347.8338915914771,961.3595001016516,0.01,39.2440383382268,1.0,0.0
22,22000000,66909.54166666667,30334.855263157893,24,76,1325.022988306914,973.1850990110815,0.01,35.898399480273994,1.0,0.0
23,23000000,100164.05,26256.654320987655,20,81,1336.200169514502,971.0289418627999,0.01,59.46644223954635,1.0,0.0
24,24000000,78234.63157894737,48177.43076923077,19,65,1356.4763439853393,976.3774102272617,0.01,43.92468573986343,1.0,0.0
25,25000000,170949.2142857143,53524.50943396227,14,53,1364.9094229513134,966.1647221798178,0.01,109.633107218791,1.0,0.0
26,26000000,129085.22222222222,63271.8,18,55,1335.1989009208362,972.413927490743,0.01,79.96337506890296,1.0,0.0
27,27000000,120788.5,51607.1746031746,12,63,1345.0266232095078,977.5613438270694,0.01,74.08334514528694,1.0,0.0
28,28000000,198474.58333333334,52354.269841269845,12,63,1354.2568841130417,972.2683402705497,0.01,129.14081030002347,1.0,0.0
29,29000000,167223.06666666668,75112.60784313726,15,51,1370.310638609709,968.889943924828,0.01,106.99232223009673,1.0,0.0
30,30000000,169199.2105263158,95430.2,19,45,1305.0706762930906,969.3538025821177,0.01,108.39284941624068,1.0,0.0
31,31000000,157289.85714285713,93724.12244897959,14,49,1329.4812031617191,967.9386495759971,0.01,99.95248557254213,1.0,0.0
32,32000000,31157.0,108169.43478260869,9,46,1335.4642215159026,971.6018684128835,0.01,10.559957476966677,1.0,0.0
33,33000000,36398.269230769234,132681.3777777778,26,45,1380.8551023947853,967.896688044237,0.01,14.274535245052592,1.0,0.0
34,34000000,273534.9166666667,133709.85714285713,12,42,1356.9556065943343,963.6415842441746,0.01,182.33736120954384,1.0,0.0
35,35000000,153335.2380952381,150526.84375,21,32,1329.9390551383376,967.1348735630601,0.01,97.14977894772356,1.0,0.0
36,36000000,324618.6923076923,175366.8947368421,13,38,1315.9981367591809,971.2568115938295,0.01,218.54131276236137,1.0,0.0
37,37000000,126652.15789473684,252263.03225806452,19,31,1377.460518393026,973.0173211566475,0.01,78.23902047819752,1.0,0.0
38,38000000,127799.17647058824,200249.22857142857,17,35,1389.5066880061204,962.7539089252388,0.01,79.0519322966606,1.0,0.0
39,39000000,235471.14285714287,215124.25,14,32,1402.9258677977639,981.1186991420001,0.01,155.3609091829501,1.0,0.0
40,40000000,248096.0,204087.33333333334,11,30,1382.125858288272,984.9150059853863,0.01,164.30836286321735,1.0,0.0
41,41000000,417269.625,240786.63333333333,8,30,1396.1796790908409,977.0821556770381,0.01,284.20462437987203,1.0,0.0
42,42000000,132546.5,218340.375,22,32,1378.2787294144498,974.3064763009083,0.01,82.41644223954631,1.0,0.0
