iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.21052631578947367,nan,475,0,1371.1717061540724,nan,1.0,-0.13434044209020046,-0.13434044209020046,1.1343404420902004
1,1000000,762.5,666.2650602409639,8,166,1152.7226905932848,655.7175625259031,0.8020002475,0.04746005246839971,0.04746005246839971,0.9525399475316003
2,2000000,1.5625,655.3072625698323,448,179,1140.023498605867,619.7830140602305,0.5545002475,-0.13401800620081086,-0.13401800620081086,1.134018006200811
3,3000000,0.22123893805309736,431.9148936170213,452,235,1147.1161603529624,615.3654890425576,0.3070002475,-0.1343378872077145,-0.1343378872077145,1.1343378872077146
4,4000000,7.246376811594203,279.44785276073617,345,326,1390.449296358934,585.8144267646805,0.05950024749999997,-0.13266244292592552,-0.13266244292592552,1.1326624429259255
5,5000000,112.82051282051282,130.57471264367817,312,435,1232.7155984778221,569.8096633163863,0.01,-0.10748377943703487,-0.10748377943703487,1.107483779437035
6,6000000,100.0,119.5227765726681,334,461,1163.4460331118808,600.5543694559381,0.01,-0.11054137848795612,-0.11054137848795612,1.110541378487956
7,7000000,500.0,180.22598870056498,16,354,1176.2779715989168,614.6891768854606,0.01,-0.015144288099212973,-0.015144288099212973,1.015144288099213
8,8000000,326.60550458715596,255.14950166112956,109,301,1156.2194447287823,612.252651750466,0.01,-0.056497613978736955,-0.056497613978736955,1.056497613978737
9,9000000,741.1764705882352,394.91525423728814,85,236,1369.6401117839337,578.1731175955497,0.01,0.04237454581164685,0.04237454581164685,0.9576254541883531
10,10000000,694.0,444.84304932735427,50,223,1248.7908761170072,559.3481908745366,0.01,0.03112330073932745,0.03112330073932745,0.9688766992606725
11,11000000,464.6341463414634,500.9756097560976,82,205,1128.3612022308841,582.3945866675508,0.01,-0.023578786944559168,-0.023578786944559168,1.0235787869445592
12,12000000,1326.0869565217392,570.1030927835052,46,194,1105.4299312772703,600.203240048607,0.01,0.18187144205145223,0.18187144205145223,0.8181285579485478
13,13000000,521.978021978022,517.6991150442478,91,226,1096.8740145313209,593.6655408601388,0.01,-0.009902689726205114,-0.009902689726205114,1.0099026897262051
14,14000000,821.6216216216217,572.192513368984,74,187,1134.4261923103836,580.3259737947975,0.01,0.061560129172816995,0.061560129172816995,0.938439870827183
15,15000000,777.6785714285714,608.8082901554404,112,193,1377.423837634391,569.0984053101539,0.01,0.051080031344758275,0.051080031344758275,0.9489199686552418
16,16000000,681.9148936170212,672.1951219512196,94,205,1244.1160157866595,550.5617143467875,0.01,0.028241090774390944,0.028241090774390944,0.971758909225609
17,17000000,1484.2105263157894,833.4975369458128,19,203,1149.7282993619715,592.422546714086,0.01,0.21958276325203657,0.21958276325203657,0.7804172367479634
18,18000000,817.0,849.468085106383,100,188,1141.6797793096014,615.2856476488121,0.01,0.060457906033865964,0.060457906033865964,0.9395420939661341
19,19000000,1376.4705882352941,931.1475409836065,17,183,1152.9579508021916,607.6464952286198,0.01,0.1938875717231801,0.1938875717231801,0.80611242827682
20,20000000,822.2222222222222,883.8541666666666,45,192,1295.6581041993893,576.430063178218,0.01,0.06170336804727455,0.06170336804727455,0.9382966319527255
21,21000000,1374.4444444444443,1119.4871794871794,90,195,1370.3514566264967,558.7939529070492,0.01,0.19340435116728938,0.19340435116728938,0.8065956488327106
22,22000000,1787.012987012987,1245.1977401129943,77,177,1158.2124487179742,575.394062052441,0.01,0.2917989475346976,0.2917989475346976,0.7082010524653024
23,23000000,1255.4054054054054,1156.0693641618498,74,173,1156.2460907303325,606.1016314811334,0.01,0.16501440624979857,0.16501440624979857,0.8349855937502014
24,24000000,652.0833333333334,1185.7142857142858,144,175,1165.493460250805,607.1118792193571,0.01,0.021126480642340417,0.021126480642340417,0.9788735193576595
25,25000000,1646.875,1410.344827586207,64,174,1231.7989201936016,601.6380952243842,0.01,0.2583770569997615,0.2583770569997615,0.7416229430002386
26,26000000,1214.942528735632,1390.6432748538011,87,171,1426.7147882657573,564.8882890849267,0.01,0.15536430449216124,0.15536430449216124,0.8446356955078388
27,27000000,996.0526315789474,1444.871794871795,76,156,1168.306290302301,573.0577472779939,0.01,0.1031606562315639,0.1031606562315639,0.8968393437684361
28,28000000,1468.0,1391.6666666666667,25,168,1173.2836547507804,611.4432433339557,0.01,0.21571667064154543,0.21571667064154543,0.7842833293584546
29,29000000,2003.448275862069,1542.5,29,160,1175.9270910742066,615.2757744136891,0.01,0.3434171895688216,0.3434171895688216,0.6565828104311784
30,30000000,1419.1489361702127,1532.3170731707316,47,164,1224.8023887439863,599.275364228967,0.01,0.20406604726215422,0.20406604726215422,0.7959339527378457
31,31000000,1491.044776119403,1712.987012987013,67,154,1437.6377155636837,565.3773058299842,0.01,0.22121268211767303,0.22121268211767303,0.778787317882327
32,32000000,1741.5384615384614,1516.25,65,160,1127.9469873548387,575.190436545319,0.01,0.2809536039920013,0.2809536039920013,0.7190463960079987
33,33000000,1728.9855072463768,1547.560975609756,69,164,1550.7779781539086,738.4627971146948,0.01,0.2779598157038819,0.2779598157038819,0.7220401842961182
34,34000000,1472.4137931034484,1581.7073170731708,58,164,1549.2795105899684,779.096280392496,0.01,0.2167693281906626,0.2167693281906626,0.7832306718093374
35,35000000,2034.7222222222222,1611.842105263158,72,152,1508.0458658418902,780.9048137395131,0.01,0.3508757982881522,0.3508757982881522,0.6491242017118478
36,36000000,1070.6349206349207,1756.953642384106,126,151,1149.0383532106594,626.9978903847533,0.01,0.12094798965774403,0.12094798965774403,0.879052010342256
37,37000000,1422.4489795918366,1621.4285714285713,49,154,1161.5807658244057,606.7939990419213,0.01,0.20485308361360283,0.20485308361360283,0.7951469163863971
38,38000000,1416.6666666666667,1720.6666666666667,24,150,1218.2449160536082,604.9166010512512,0.01,0.20347404404165675,0.20347404404165675,0.7965259559583433
39,39000000,1541.4634146341464,1725.8278145695365,82,151,1405.0963408838554,566.4251228998797,0.01,0.23323716065684388,0.23323716065684388,0.7667628393431561
40,40000000,1410.6666666666667,1691.6083916083917,75,143,1163.8532400327517,582.841633739075,0.01,0.2020430876858256,0.2020430876858256,0.7979569123141744
41,41000000,1657.471264367816,1786.842105263158,87,152,1002.6769839107047,607.4450510327086,0.01,0.26090418897396045,0.26090418897396045,0.7390958110260395
42,42000000,1586.4583333333333,2232.8947368421054,96,152,883.0900008201105,511.6355240782836,0.01,0.24396812147229507,0.24396812147229507,0.7560318785277049
43,43000000,1651.2820512820513,2000.6535947712418,78,153,981.0832852322254,502.2141478123164,0.01,0.2594281066735157,0.2594281066735157,0.7405718933264843
44,44000000,1451.4285714285713,2041.6666666666667,35,156,1352.729392014786,589.2977104296505,0.01,0.21176450546829748,0.21176450546829748,0.7882354945317025
45,45000000,3315.5172413793102,2142.948717948718,58,156,1248.9574448148828,569.8361683278844,0.01,0.6563360938181041,0.6563360938181041,0.3436639061818959
46,46000000,3311.3636363636365,2275.0,44,156,1144.1830290752896,595.3049525049429,0.01,0.6553454892353057,0.6553454892353057,0.34465451076469433
47,47000000,2681.0810810810813,2405.6603773584907,74,159,1151.3832074314662,607.9633733353522,0.01,0.5050276844934608,0.5050276844934608,0.4949723155065392
48,48000000,5545.2830188679245,2501.9736842105262,53,152,1270.076030078064,593.0282331977805,0.01,1.1881190123701226,1.0,0.0
49,49000000,3350.877192982456,2148.4848484848485,57,165,1316.204142633448,571.7431897223795,0.01,0.6647691850661712,0.6647691850661712,0.3352308149338288
50,50000000,2338.2716049382716,2912.751677852349,81,149,1163.1502142727802,597.3990965938167,0.01,0.4232701180391776,0.4232701180391776,0.5767298819608224
51,51000000,3882.089552238806,2576.7295597484276,67,159,1154.3174925165374,618.1174313437566,0.01,0.79145946869516,0.79145946869516,0.20854053130483996
52,52000000,2625.531914893617,3243.708609271523,94,151,1226.4041990462938,605.0231108454622,0.01,0.4917796124239487,0.4917796124239487,0.5082203875760514
53,53000000,2455.6962025316457,3215.8940397350993,79,151,1353.052469293538,572.306200020855,0.01,0.4512750304153698,0.4512750304153698,0.5487249695846301
54,54000000,3722.4137931034484,3079.7385620915034,58,153,1168.6154731833308,592.9103825564255,0.01,0.7533779616273428,0.7533779616273428,0.24662203837265717
55,55000000,1551.685393258427,3874.125874125874,89,143,1160.8766109970118,615.0337094340508,0.01,0.23567502820377462,0.23567502820377462,0.7643249717962254
56,56000000,5106.779661016949,3355.7046979865772,59,149,1222.1960433501845,609.9967983364779,0.01,1.0835391512084305,1.0,0.0
57,57000000,3880.0,4030.4054054054054,60,148,1348.615474821796,575.4669956786527,0.01,0.7909611256856666,0.7909611256856666,0.20903887431433343
58,58000000,2270.4225352112676,4076.6423357664235,71,137,1170.584556930344,596.9400256099705,0.01,0.40708860844532974,0.40708860844532974,0.5929113915546702
59,59000000,8555.737704918032,4002.054794520548,61,146,1168.9564393051737,620.8813944018082,0.01,1.9060905568609665,1.0,0.0
60,60000000,3682.278481012658,3791.0344827586205,79,145,1248.5946066701235,605.886651023843,0.01,0.743805981639079,0.743805981639079,0.25619401836092104
61,61000000,9610.0,3910.6382978723404,10,141,1331.7587459364045,571.1587614948432,0.01,2.157524445504412,1.0,0.0
62,62000000,2890.6976744186045,3755.944055944056,86,143,1160.095968057083,591.8486623991681,0.01,0.5550197172474611,0.5550197172474611,0.44498028275253887
