iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,141,0,1291.8078324066682,nan,1.0,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
1,1000000,329.1666666666667,28.214285714285715,96,280,1087.9057282138924,773.8819021945907,0.8020002475,0.03245521909096214,0.03245521909096214,0.9675447809090378
2,2000000,0.0,57.19557195571956,141,271,1095.5236819583984,698.8207889096161,0.5545002475,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
3,3000000,361.70212765957444,72.11895910780669,94,269,1089.133833131683,700.0870443194308,0.3070002475,0.036014585994614746,0.036014585994614746,0.9639854140053853
4,4000000,0.0,50.0,141,270,1103.8842136448463,702.2819387063787,0.05950024749999997,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
5,5000000,0.0,20.28985507246377,141,276,1091.52035110217,696.2531125100228,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
6,6000000,0.0,57.2992700729927,141,274,1090.9179816661115,689.7711323125076,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
7,7000000,0.0,55.14705882352941,141,272,1085.8268869091755,689.9603410308787,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
8,8000000,0.0,108.71212121212122,141,264,1072.2127377204447,683.222392928005,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
9,9000000,0.0,140.69767441860466,141,258,1074.9275280955617,678.2621132856794,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
10,10000000,0.0,132.94117647058823,141,255,1093.9013855914898,690.7753904219084,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
11,11000000,0.0,138.996138996139,141,259,1107.2561753219475,693.0550281402743,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
12,12000000,425.6198347107438,167.680608365019,121,263,1093.3596545521195,692.3267619221813,0.01,0.04300715853215734,0.04300715853215734,0.9569928414678427
13,13000000,0.0,212.99212598425197,141,254,1092.7912975399686,688.9024965308108,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
14,14000000,0.0,254.83870967741936,141,248,1099.0208404003683,700.2801764892286,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
15,15000000,0.0,192.15686274509804,141,255,1102.618789384616,696.720857102165,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
16,16000000,78.35820895522389,185.71428571428572,134,252,1091.8126461994677,697.5815517578815,0.01,0.005016870400317685,0.005016870400317685,0.9949831295996823
17,17000000,141.26984126984127,352.94117647058823,126,238,1090.2354786624485,695.2859762370257,0.01,0.011899378749107438,0.011899378749107438,0.9881006212508926
18,18000000,0.0,383.0508474576271,141,236,1098.8896923222455,692.9695437819887,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
19,19000000,57.55395683453237,312.2448979591837,139,245,1098.894584721635,695.1484813694597,0.01,0.002740893229753673,0.002740893229753673,0.9972591067702463
20,20000000,0.0,561.4349775784754,141,223,1132.3707689893524,699.2738856978302,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
21,21000000,0.0,636.6515837104073,141,221,1158.6334625315894,699.6028531125271,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
22,22000000,3098.4126984126983,924.6305418719212,63,203,1177.4703205718185,695.1039205456366,0.01,0.33540966856431587,0.33540966856431587,0.6645903314356841
23,23000000,3437.313432835821,1477.5862068965516,67,174,1166.8105056362367,695.4887942846648,0.01,0.3724852784040589,0.3724852784040589,0.6275147215959411
24,24000000,0.0,1907.6023391812867,141,171,1185.0645096230367,695.788460962588,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
25,25000000,1818.2926829268292,2026.060606060606,82,165,1160.1909683828912,689.317910978053,0.01,0.1953650318272831,0.1953650318272831,0.804634968172717
26,26000000,3271.4285714285716,2341.614906832298,63,161,1161.4370024273755,685.0676593684492,0.01,0.3543375384461504,0.3543375384461504,0.6456624615538495
27,27000000,3050.537634408602,2751.006711409396,93,149,1169.347142564422,687.4509138637285,0.01,0.3301721549983155,0.3301721549983155,0.6698278450016846
