iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.051130776794493606,nan,1017,0,1456.0481392395589,nan,1.0,-0.05725240358352453,-0.05725240358352453,1.0572524035835245
1,1000000,1.0,1.287528005974608,68,1339,1496.5876926644362,1027.5426158992755,0.8020002475,-0.024305555555555552,-0.024305555555555552,1.0243055555555556
2,2000000,0.16666666666666666,1.2761194029850746,6,1340,1510.6711531913008,976.506191122732,0.5545002475,-0.053240740740740734,-0.053240740740740734,1.0532407407407407
3,3000000,0.0,1.2696969696969698,5,1320,1524.3277302139634,984.1256952555922,0.3070002475,-0.059027777777777776,-0.059027777777777776,1.0590277777777777
4,4000000,1.3015384615384615,1.3616680032076984,650,1247,1472.5233564493583,987.0393794871038,0.05950024749999997,-0.013835470085470083,-0.013835470085470083,1.0138354700854701
5,5000000,1.4,1.3575085324232081,5,1172,1524.8740015742335,990.1513834878552,0.01,-0.010416666666666668,-0.010416666666666668,1.0104166666666667
6,6000000,1.5,1.462280701754386,6,1140,1526.9190728417134,982.845528805847,0.01,-0.006944444444444442,-0.006944444444444442,1.0069444444444444
7,7000000,1.6,1.365038560411311,5,1167,1516.4937234349516,977.4401089388376,0.01,-0.0034722222222222177,-0.0034722222222222177,1.0034722222222223
8,8000000,0.07199211045364892,1.467134092900964,1014,1141,1417.6894678988385,954.4259840818675,0.01,-0.05652805172035941,-0.05652805172035941,1.0565280517203595
9,9000000,0.040354330708661415,1.4601386481802425,1016,1154,1465.9580916097839,942.6283568683301,0.01,-0.05762658573928259,-0.05762658573928259,1.0576265857392826
10,10000000,0.4,1.4126297577854672,5,1156,1536.9748157608883,940.0178834022257,0.01,-0.04513888888888888,-0.04513888888888888,1.0451388888888888
11,11000000,1.2664624808575804,1.5299374441465594,653,1119,1491.8798835450498,985.6491763874445,0.01,-0.015053386081334013,-0.015053386081334013,1.015053386081334
12,12000000,1.3125,1.6489252814738997,16,977,1528.9127079250748,990.7855963329624,0.01,-0.013454861111111108,-0.013454861111111108,1.0134548611111112
13,13000000,3.1875,1.9636015325670497,16,522,1557.4693092186808,1007.194916652319,0.01,0.05164930555555555,0.05164930555555555,0.9483506944444444
14,14000000,7.159420289855072,6.553672316384181,69,531,1569.5504317372706,1035.1121369038146,0.01,0.18956320450885666,0.18956320450885666,0.8104367954911433
15,15000000,10.928571428571429,7.190064794816415,14,463,1557.817522581616,1043.6193124058598,0.01,0.32043650793650796,0.32043650793650796,0.6795634920634921
16,16000000,17.176470588235293,10.840731070496084,17,383,1554.6143169926033,1062.3155740877296,0.01,0.5373774509803921,0.5373774509803921,0.46262254901960786
17,17000000,15.736842105263158,15.009876543209877,19,405,1527.2127082067902,1067.3995300063098,0.01,0.48739035087719296,0.48739035087719296,0.512609649122807
18,18000000,54.666666666666664,17.96551724137931,27,377,1550.1033779897525,1075.1937860430317,0.01,1.8391203703703702,1.0,0.0
19,19000000,21.0873786407767,23.641304347826086,103,368,1538.9253493436222,1061.9195995591924,0.01,0.6731728694714132,0.6731728694714132,0.3268271305285868
20,20000000,20.433333333333334,27.830357142857142,60,336,1541.876817321555,1061.9254818217803,0.01,0.650462962962963,0.650462962962963,0.349537037037037
21,21000000,43.75796178343949,32.74683544303797,157,316,1516.5844212002596,1050.0789106035015,0.01,1.4603458952583155,1.0,0.0
22,22000000,51.80530973451327,46.913333333333334,113,300,1558.5158941038173,1053.420703323295,0.01,1.7397676991150441,1.0,0.0
23,23000000,66.02803738317758,64.01953125,107,256,1546.8854683205764,1043.715165222254,0.01,2.23361240913811,1.0,0.0
24,24000000,78.38271604938272,70.41739130434783,81,230,1557.1345825949427,1045.4174441151413,0.01,2.662594307270233,1.0,0.0
25,25000000,82.84210526315789,75.67942583732058,57,209,1546.1114384643085,1032.9469726190491,0.01,2.8174342105263155,1.0,0.0
26,26000000,82.67,91.70918367346938,100,196,1581.156024065307,1027.3035389418374,0.01,2.8114583333333334,1.0,0.0
27,27000000,94.97619047619048,102.07179487179488,84,195,1595.6732674750135,1012.8641149450358,0.01,3.238756613756614,1.0,0.0
28,28000000,125.9375,100.75263157894737,96,190,1665.0710141005459,1004.8805156485098,0.01,4.313802083333333,1.0,0.0
29,29000000,153.0,114.48167539267016,36,191,1738.3240815589284,994.702419100419,0.01,5.253472222222222,1.0,0.0
30,30000000,168.9873417721519,131.62295081967213,79,183,1740.2523521819337,998.277455090848,0.01,5.808588255977496,1.0,0.0
31,31000000,219.68627450980392,166.37790697674419,51,172,1710.3196173114713,1002.3207180564835,0.01,7.5689678649237475,1.0,0.0
32,32000000,228.34285714285716,197.77124183006535,35,153,1660.0398903029857,1012.9032560940343,0.01,7.869543650793651,1.0,0.0
33,33000000,320.7142857142857,229.6818181818182,35,154,1625.1644422594186,1019.3794667056084,0.01,11.076884920634921,1.0,0.0
34,34000000,347.5,239.38255033557047,34,149,1635.4338769337483,1028.4470006181218,0.01,12.006944444444445,1.0,0.0
35,35000000,393.6666666666667,282.42537313432837,48,134,1647.82731203685,1023.8483674668142,0.01,13.609953703703704,1.0,0.0
36,36000000,383.2857142857143,319.0472440944882,14,127,1656.5910743133054,1024.0187105563512,0.01,13.249503968253968,1.0,0.0
37,37000000,372.7878787878788,323.40495867768595,33,121,1625.6654535108662,1026.18117287919,0.01,12.884995791245792,1.0,0.0
38,38000000,376.5625,340.25217391304346,16,115,1677.8673229736253,1019.4088644574401,0.01,13.016059027777779,1.0,0.0
39,39000000,397.54545454545456,339.65486725663715,11,113,1689.4956206926265,1017.8091634775238,0.01,13.74463383838384,1.0,0.0
40,40000000,393.11764705882354,345.7878787878788,17,99,1674.9133015488749,1018.1004233990849,0.01,13.590890522875817,1.0,0.0
41,41000000,368.1764705882353,351.5,17,100,1641.3107621376882,1015.6864731118765,0.01,12.724877450980392,1.0,0.0
42,42000000,381.5,364.9270833333333,14,96,1662.5580020282052,1006.9006546085456,0.01,13.1875,1.0,0.0
43,43000000,409.15384615384613,366.84705882352944,13,85,1692.790747450672,1004.0342241958318,0.01,14.147702991452991,1.0,0.0
44,44000000,290.9230769230769,366.36842105263156,13,95,1753.341473201037,1005.2008113588182,0.01,10.042467948717949,1.0,0.0
45,45000000,399.6,383.2278481012658,5,79,1789.4857413964523,995.0736478686205,0.01,13.815972222222223,1.0,0.0
46,46000000,363.75,403.14864864864865,4,74,1742.8125814625676,1004.1062510480841,0.01,12.571180555555555,1.0,0.0
47,47000000,409.8,381.51851851851853,5,81,1692.5793165544035,1004.8538877187082,0.01,14.17013888888889,1.0,0.0
48,48000000,336.625,379.719512195122,8,82,1619.8321817242067,1016.879904590007,0.01,11.629340277777779,1.0,0.0
49,49000000,412.875,391.6623376623377,8,77,1605.0097862952434,1022.1609237034509,0.01,14.276909722222221,1.0,0.0
50,50000000,396.4,378.25,10,80,1657.8670986232846,1018.7407410113503,0.01,13.70486111111111,1.0,0.0
51,51000000,381.77777777777777,404.54794520547944,9,73,1623.009673530882,1014.8213499868544,0.01,13.197145061728396,1.0,0.0
52,52000000,380.04761904761904,392.91358024691357,21,81,1615.5259211684308,1011.0115416192168,0.01,13.137070105820106,1.0,0.0
53,53000000,396.6,393.59722222222223,5,72,1650.2680596423425,1014.336076476792,0.01,13.711805555555557,1.0,0.0
54,54000000,409.6,390.84615384615387,5,78,1663.0926729620005,1015.228520128865,0.01,14.163194444444445,1.0,0.0
55,55000000,418.0,405.77272727272725,5,66,1751.5071626348918,1022.6964404406978,0.01,14.45486111111111,1.0,0.0
56,56000000,342.14285714285717,378.63157894736844,14,76,1693.4989663616234,1022.6264877075715,0.01,11.820932539682541,1.0,0.0
57,57000000,401.375,408.2435897435897,8,78,1787.356559254158,1018.746090903009,0.01,13.877604166666666,1.0,0.0
58,58000000,380.52941176470586,420.25757575757575,17,66,1772.994311815365,1002.5350755794476,0.01,13.153799019607842,1.0,0.0
59,59000000,398.75,425.3918918918919,12,74,1798.2567605130891,983.8082187334604,0.01,13.786458333333334,1.0,0.0
60,60000000,461.14285714285717,383.5810810810811,7,74,1785.0768325141069,987.1803187273066,0.01,15.952876984126984,1.0,0.0
61,61000000,436.0,405.2191780821918,9,73,1740.9433238760732,1001.3804173252039,0.01,15.07986111111111,1.0,0.0
62,62000000,424.0,397.1267605633803,5,71,1692.675426877877,1013.1744968781954,0.01,14.663194444444445,1.0,0.0
63,63000000,369.6,401.13157894736844,10,76,1686.9525698762106,1017.9924333954776,0.01,12.774305555555557,1.0,0.0
64,64000000,411.6666666666667,406.5,6,76,1657.0252500488546,1028.2916878240628,0.01,14.234953703703704,1.0,0.0
65,65000000,400.1666666666667,393.10843373493975,6,83,1638.9294921537523,1020.4049115399046,0.01,13.835648148148149,1.0,0.0
66,66000000,356.6,420.61764705882354,5,68,1658.6793609091799,1024.043164667893,0.01,12.322916666666668,1.0,0.0
67,67000000,355.05555555555554,421.6756756756757,18,74,1650.8863461622796,1020.1209655922019,0.01,12.26929012345679,1.0,0.0
68,68000000,300.04347826086956,412.4264705882353,23,68,1632.8978723009916,1022.4089446074686,0.01,10.359148550724639,1.0,0.0
69,69000000,404.5,388.93589743589746,4,78,1652.971829392397,1017.3680286719368,0.01,13.98611111111111,1.0,0.0
70,70000000,403.4,387.3411764705882,10,85,1680.971576463008,1007.3549952973266,0.01,13.947916666666666,1.0,0.0
71,71000000,416.7142857142857,412.78205128205127,7,78,1748.2336284397568,1003.7244519410299,0.01,14.410218253968255,1.0,0.0
