iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,5.0,nan,4,0,1091.1269634021526,nan,1.0,-0.014100011710973182,-0.014100011710973182,1.014100011710973
1,1000000,22.5,72.85053929121726,8,649,1397.2625138187364,618.8871305994221,0.8020002475,-0.010001171097318188,-0.010001171097318188,1.0100011710973182
2,2000000,40.10964912280702,81.48148148148148,456,621,1064.3322984144586,553.2546644828628,0.5545002475,-0.005876648524931018,-0.005876648524931018,1.005876648524931
3,3000000,205.73705179282868,150.70909090909092,251,550,1090.432850986278,590.8235368952188,0.3070002475,0.032916512892101804,0.032916512892101804,0.9670834871078982
4,4000000,223.90243902439025,211.59183673469389,246,490,1095.2831557581915,602.8179301787515,0.05950024749999997,0.037171200146244344,0.037171200146244344,0.9628287998537557
5,5000000,260.2083333333333,281.45539906103284,240,426,1387.4930525752975,574.3572015386799,0.01,0.04567474723816216,0.04567474723816216,0.9543252527618379
6,6000000,255.47368421052633,296.0696517412935,190,402,1096.014078071336,556.578882230913,0.01,0.044565800260106876,0.044565800260106876,0.9554341997398931
7,7000000,251.9298245614035,295.41333333333336,171,375,1105.5767915656577,603.8383503091054,0.01,0.04373575935388301,0.04373575935388301,0.956264240646117
8,8000000,262.7710843373494,337.08092485549133,166,346,1093.6029023492003,607.5917830598821,0.01,0.04627499340375909,0.04627499340375909,0.9537250065962409
9,9000000,261.6666666666667,297.54208754208753,30,297,1409.7773312231102,556.917784098148,0.01,0.04601631728930008,0.04601631728930008,0.9539836827106999
10,10000000,270.0,288.0,148,190,1078.1036613667557,567.2750448013331,0.01,0.04796814615294531,0.04796814615294531,0.9520318538470547
11,11000000,270.0,335.85798816568047,16,169,1092.530554058772,600.53108765218,0.01,0.04796814615294531,0.04796814615294531,0.9520318538470547
12,12000000,253.05882352941177,366.43564356435644,170,303,1131.8245428597836,595.9299791394587,0.01,0.044000192886617114,0.044000192886617114,0.9559998071133828
13,13000000,269.6875,353.14102564102564,64,156,1370.9648019830001,550.2756668353426,0.01,0.04789495257055862,0.04789495257055862,0.9521050474294414
14,14000000,400.74766355140184,408.03108808290153,107,193,1080.842780872222,568.5948321127113,0.01,0.07859179378180159,0.07859179378180159,0.9214082062181984
15,15000000,1081.6279069767443,492.59842519685037,129,127,1056.0419201723607,592.2196372857106,0.01,0.23806719919820687,0.23806719919820687,0.7619328008017932
16,16000000,360.7692307692308,506.0,13,90,1083.5849798049894,593.5202772904131,0.01,0.0692280666984965,0.0692280666984965,0.9307719333015035
