iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,740,0,1362.9628733895338,nan,1.0,0.0,0.0,1.0
1,1000000,0.0,0.2247191011235955,539,445,1368.9938995237737,752.4533570358153,0.8020002475,0.0,0.0,1.0
2,2000000,0.0,0.2032520325203252,4,492,1399.5670812474718,681.1012032331081,0.5545002475,0.0,0.0,1.0
3,3000000,0.0,0.0,4,308,1407.0764986480367,683.1485627928464,0.3070002475,0.0,0.0,1.0
4,4000000,0.0,0.0,4,67,1399.9389494292352,688.5721984002624,0.05950024749999997,0.0,0.0,1.0
5,5000000,0.0,80.76923076923077,4,26,1401.3545525274747,686.6487671963719,0.01,0.0,0.0,1.0
6,6000000,0.0,15.789473684210526,21,19,1388.6975219170363,674.7169803322347,0.01,0.0,0.0,1.0
7,7000000,0.0,0.0,4,13,1398.140705033843,677.4273845892396,0.01,0.0,0.0,1.0
8,8000000,0.0,0.0,4,9,1392.3268837201952,678.3528810288225,0.01,0.0,0.0,1.0
9,9000000,0.0,0.0,4,10,1404.531035683927,682.5413714103811,0.01,0.0,0.0,1.0
10,10000000,0.0,0.0,4,9,1398.582839939262,683.0480976463421,0.01,0.0,0.0,1.0
11,11000000,0.0,0.0,4,9,1408.400811460193,684.3541523448918,0.01,0.0,0.0,1.0
12,12000000,0.0,0.0,4,9,1403.005810280245,683.4848164863613,0.01,0.0,0.0,1.0
13,13000000,0.0,0.0,4,9,1410.9265194464526,682.6990559880369,0.01,0.0,0.0,1.0
14,14000000,0.0,0.0,4,12,1409.2117410162746,688.5707243242206,0.01,0.0,0.0,1.0
15,15000000,0.0,0.0,4,11,1403.0772146396407,679.8540437671036,0.01,0.0,0.0,1.0
16,16000000,0.0,0.0,4,13,1396.3485532846962,682.7362062669332,0.01,0.0,0.0,1.0
17,17000000,0.0,0.0,4,17,1384.0822973362829,687.9684073578468,0.01,0.0,0.0,1.0
18,18000000,0.0,9.523809523809524,4,21,1383.757214689062,681.9341659765263,0.01,0.0,0.0,1.0
19,19000000,0.0,0.0,5,28,1388.5259849829283,678.5924637897712,0.01,0.0,0.0,1.0
20,20000000,0.0,0.0,4,22,1386.2845501382242,676.8308299244559,0.01,0.0,0.0,1.0
21,21000000,0.0,0.0,4,27,1396.855814914488,684.0288992393015,0.01,0.0,0.0,1.0
22,22000000,0.0,3.4482758620689653,4,29,1395.8035425528387,682.4698168587046,0.01,0.0,0.0,1.0
23,23000000,0.0,4.0,4,25,1392.6706206312554,682.1437256370464,0.01,0.0,0.0,1.0
24,24000000,0.0,0.0,4,33,1394.3580924097628,680.7029310483767,0.01,0.0,0.0,1.0
25,25000000,0.0,0.0,4,41,1408.808670318914,678.322498621095,0.01,0.0,0.0,1.0
26,26000000,0.0,2.9411764705882355,6,34,1411.9285934002783,683.3394141461113,0.01,0.0,0.0,1.0
27,27000000,0.0,4.3478260869565215,4,46,1406.8048548693232,682.8631344879275,0.01,0.0,0.0,1.0
28,28000000,0.0,2.7027027027027026,4,37,1403.333764871173,685.1731899325735,0.01,0.0,0.0,1.0
29,29000000,0.0,0.0,4,42,1400.1142703567325,682.0935453017819,0.01,0.0,0.0,1.0
30,30000000,0.0,10.0,4,50,1405.0948834091719,683.3463932439918,0.01,0.0,0.0,1.0
31,31000000,0.0,2.2222222222222223,4,45,1404.237829713296,681.4661139374946,0.01,0.0,0.0,1.0
32,32000000,0.0,8.823529411764707,4,34,1394.6415155813738,682.3588863011063,0.01,0.0,0.0,1.0
33,33000000,0.0,0.0,4,48,1388.934426565584,678.0229030944774,0.01,0.0,0.0,1.0
34,34000000,0.0,0.0,4,44,1354.0029000456823,656.3436722092488,0.01,0.0,0.0,1.0
35,35000000,0.0,1.694915254237288,6,59,1358.36357411811,656.0845290514926,0.01,0.0,0.0,1.0
36,36000000,0.0,0.0,4,59,1363.0445495630256,656.2569962491325,0.01,0.0,0.0,1.0
37,37000000,0.0,4.545454545454546,4,44,1353.019307220423,659.2322235967334,0.01,0.0,0.0,1.0
38,38000000,0.0,12.820512820512821,4,39,1359.8730872879214,665.677682538829,0.01,0.0,0.0,1.0
39,39000000,0.0,0.0,4,49,1371.8836615238804,660.7148230640188,0.01,0.0,0.0,1.0
40,40000000,0.0,3.9215686274509802,4,51,1359.267184558661,661.9463096480806,0.01,0.0,0.0,1.0
41,41000000,0.0,2.0833333333333335,5,48,1367.2790523733886,655.617650488994,0.01,0.0,0.0,1.0
42,42000000,0.0,3.6363636363636362,4,55,1398.6296709363908,666.7609449715764,0.01,0.0,0.0,1.0
43,43000000,0.0,2.6666666666666665,6,75,1403.4932810425853,681.1892114731843,0.01,0.0,0.0,1.0
44,44000000,0.0,0.0,4,70,1406.7451768707124,679.4457517753306,0.01,0.0,0.0,1.0
45,45000000,0.0,1.8181818181818181,4,55,1403.709653470512,679.6137318327451,0.01,0.0,0.0,1.0
46,46000000,0.0,3.3333333333333335,4,60,1385.7953862320064,680.3997582066685,0.01,0.0,0.0,1.0
47,47000000,0.0,0.0,4,71,1406.2845587288164,681.3984892096722,0.01,0.0,0.0,1.0
48,48000000,0.0,0.0,4,92,1401.3211324630647,680.5527903076838,0.01,0.0,0.0,1.0
49,49000000,0.0,1.1235955056179776,4,89,1397.0854888985375,681.6602679238279,0.01,0.0,0.0,1.0
50,50000000,0.0,2.150537634408602,4,93,1405.0416155439905,681.7413955923279,0.01,0.0,0.0,1.0
51,51000000,0.0,3.3333333333333335,4,90,1399.7414361818403,681.8274883665295,0.01,0.0,0.0,1.0
52,52000000,0.0,0.0,4,81,1399.0693335782644,682.7517429518747,0.01,0.0,0.0,1.0
53,53000000,0.0,1.5873015873015872,4,63,1399.4806396140077,682.0412428500512,0.01,0.0,0.0,1.0
54,54000000,0.0,0.0,4,58,1400.583209147585,681.5739787926059,0.01,0.0,0.0,1.0
55,55000000,0.0,1.9607843137254901,4,51,1394.1674818779888,679.4981874623082,0.01,0.0,0.0,1.0
56,56000000,0.0,5.797101449275362,4,69,1394.1002688147357,680.2075117691877,0.01,0.0,0.0,1.0
57,57000000,0.0,1.1494252873563218,4,87,1398.0109512554545,678.6153594686962,0.01,0.0,0.0,1.0
58,58000000,0.0,2.6315789473684212,4,76,1410.5268294702496,683.0526061370504,0.01,0.0,0.0,1.0
59,59000000,0.0,1.9230769230769231,4,52,1404.855264165583,679.9599425341869,0.01,0.0,0.0,1.0
60,60000000,0.0,0.0,4,57,1408.9186924623198,681.9037155584396,0.01,0.0,0.0,1.0
61,61000000,0.0,0.0,4,109,1397.6111076397374,683.5255488371679,0.01,0.0,0.0,1.0
62,62000000,0.0,0.0,10,123,1409.787855405328,682.7169092009232,0.01,0.0,0.0,1.0
63,63000000,0.0,0.0,4,91,1400.0080054901844,681.5974409081305,0.01,0.0,0.0,1.0
64,64000000,0.0,0.0,4,108,1402.432418975717,683.496502983868,0.01,0.0,0.0,1.0
65,65000000,0.0,0.0,4,71,1408.401556702325,681.5253531914917,0.01,0.0,0.0,1.0
66,66000000,0.0,1.25,4,80,1387.2565368290923,678.2299697353357,0.01,0.0,0.0,1.0
67,67000000,0.0,0.0,4,60,1389.87582788857,678.7765256106849,0.01,0.0,0.0,1.0
68,68000000,0.0,0.0,5,82,1390.2914159672491,680.7608087197325,0.01,0.0,0.0,1.0
69,69000000,0.0,0.0,4,102,1399.784846577874,680.1961524552177,0.01,0.0,0.0,1.0
70,70000000,0.0,1.941747572815534,5,103,1402.8078253644314,679.406584694929,0.01,0.0,0.0,1.0
71,71000000,0.0,0.0,4,103,1401.560009980621,680.7532071668674,0.01,0.0,0.0,1.0
72,72000000,0.0,0.0,4,58,1404.0900068103474,680.5985959920129,0.01,0.0,0.0,1.0
73,73000000,0.0,1.0101010101010102,5,99,1410.139146887221,681.4079837495007,0.01,0.0,0.0,1.0
74,74000000,0.0,0.0,4,113,1408.4183674083688,682.4540296243591,0.01,0.0,0.0,1.0
75,75000000,0.0,0.0,4,137,1405.8293021259274,681.4745005728666,0.01,0.0,0.0,1.0
76,76000000,0.0,0.0,4,127,1393.8591983638196,679.4926853008446,0.01,0.0,0.0,1.0
77,77000000,0.0,0.9259259259259259,4,108,1402.0546605041245,680.6914120966627,0.01,0.0,0.0,1.0
78,78000000,0.0,0.0,4,128,1395.2186610703488,677.7670576090753,0.01,0.0,0.0,1.0
79,79000000,0.0,0.970873786407767,4,103,1410.490098093756,683.2547785474467,0.01,0.0,0.0,1.0
80,80000000,0.0,1.2658227848101267,4,79,1401.6069562062169,679.8997358906212,0.01,0.0,0.0,1.0
81,81000000,0.0,0.0,4,117,1407.607969469409,679.9789201610772,0.01,0.0,0.0,1.0
82,82000000,0.0,1.9801980198019802,4,101,1401.8563005854478,682.2917338732584,0.01,0.0,0.0,1.0
83,83000000,0.0,0.0,4,137,1407.9016090776902,681.9828733516184,0.01,0.0,0.0,1.0
84,84000000,0.0,0.0,4,147,1401.3348655105854,681.0773028913794,0.01,0.0,0.0,1.0
85,85000000,0.0,0.0,4,156,1404.247962873038,680.1033354578111,0.01,0.0,0.0,1.0
86,86000000,0.0,1.0309278350515463,7,97,1368.5135827123427,675.5602110949218,0.01,0.0,0.0,1.0
87,87000000,0.0,3.278688524590164,4,61,1393.3618413327026,681.68377036398,0.01,0.0,0.0,1.0
88,88000000,0.0,0.8928571428571429,4,112,1389.242035142195,681.4902642610966,0.01,0.0,0.0,1.0
89,89000000,0.0,0.0,22,152,1395.174422693625,680.1192199199451,0.01,0.0,0.0,1.0
90,90000000,0.0,0.0,4,216,1399.3094801427087,679.4649405009288,0.01,0.0,0.0,1.0
91,91000000,0.0,0.0,4,150,1403.860023597,681.2444048800322,0.01,0.0,0.0,1.0
92,92000000,0.0,0.0,4,91,1392.5835946611471,682.1136066867592,0.01,0.0,0.0,1.0
93,93000000,0.0,0.0,5,99,1399.1543330367024,679.2010868149158,0.01,0.0,0.0,1.0
94,94000000,0.0,1.694915254237288,4,118,1388.2379108721896,676.2927995225458,0.01,0.0,0.0,1.0
95,95000000,0.0,0.0,4,132,1398.3662652422747,681.208869153663,0.01,0.0,0.0,1.0
96,96000000,0.0,0.0,4,193,1400.4516007358761,680.5466575897796,0.01,0.0,0.0,1.0
97,97000000,0.0,0.0,4,191,1406.9157789278634,680.7373359691577,0.01,0.0,0.0,1.0
98,98000000,0.0,0.0,4,110,1408.8013884398395,682.0926010398741,0.01,0.0,0.0,1.0
99,99000000,0.0,0.0,4,88,1404.8331025326352,682.6928210575467,0.01,0.0,0.0,1.0
