iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,4,0,1829.558474233782,nan,1.0,-0.001629102826398135,-0.001629102826398135,1.0016291028263982
1,1000000,61.470588235294116,77.46938775510205,68,490,1767.094547706804,1118.3285475917298,0.8020002475,-0.00016503982881811187,-0.00016503982881811187,1.0001650398288182
2,2000000,162.40963855421685,114.18604651162791,166,430,1682.5319066968339,1037.8358921952424,0.5545002475,0.0022390550859260486,0.0022390550859260486,0.997760944914074
3,3000000,239.3984962406015,126.22950819672131,133,427,1670.5492947094297,1036.199948513776,0.3070002475,0.004072721250517467,0.004072721250517467,0.9959272787494825
4,4000000,183.37662337662337,110.24070021881838,154,457,1686.1577599949228,1033.7155605230419,0.05950024749999997,0.0027384319022305697,0.0027384319022305697,0.9972615680977694
5,5000000,147.44444444444446,113.68181818181819,180,440,1671.6473736318467,1030.3915830095764,0.01,0.0018826246762502165,0.0018826246762502165,0.9981173753237498
6,6000000,151.13513513513513,118.14385150812065,185,431,1701.2085370315199,1031.6051453890364,0.01,0.0019705269370040974,0.0019705269370040974,0.9980294730629959
7,7000000,49.63455149501661,122.87058823529412,301,425,1680.339428978849,1021.5735973991011,0.01,-0.0004469421812587296,-0.0004469421812587296,1.0004469421812587
8,8000000,80.0,114.66357308584686,317,431,1689.2066535707215,1025.8036173250111,0.01,0.00027628059628974203,0.00027628059628974203,0.9997237194037103
9,9000000,68.88888888888889,112.25806451612904,72,434,1703.97802367284,1020.0293675900231,0.01,1.1644009805314593e-05,1.1644009805314593e-05,0.9999883559901946
10,10000000,145.0561797752809,110.22421524663677,178,446,1663.5399135604964,1014.0739581993048,0.01,0.0018257426773800238,0.0018257426773800238,0.99817425732262
11,11000000,197.5,110.0,144,434,1663.323318527345,1012.0289809487335,0.01,0.0030748124983625614,0.0030748124983625614,0.9969251875016374
12,12000000,20.985221674876847,100.40723981900453,203,442,1668.6525118441639,1005.3865111610628,0.01,-0.0011292916576388767,-0.0011292916576388767,1.0011292916576389
13,13000000,85.70469798657719,95.15837104072398,298,442,1590.8914023514508,991.0266031045703,0.01,0.00041215105847805555,0.00041215105847805555,0.999587848941522
14,14000000,15.0,95.8891454965358,4,433,1613.5384357009095,976.9557220487867,0.01,-0.001271843434644158,-0.001271843434644158,1.0012718434346441
15,15000000,31.53846153846154,95.57077625570776,78,438,1608.5062818885958,976.7138426567301,0.01,-0.0008779420539923372,-0.0008779420539923372,1.0008779420539924
16,16000000,162.16748768472905,90.04651162790698,203,430,1547.9678488515362,979.7374385843561,0.01,0.002233287707769655,0.002233287707769655,0.9977667122922304
17,17000000,36.0,81.26410835214448,5,443,1554.5694240510559,964.3363437036409,0.01,-0.0007716802861885903,-0.0007716802861885903,1.0007716802861886
18,18000000,65.90163934426229,87.58620689655173,61,435,1556.9111705330624,965.422493073892,0.01,-5.9504187216728155e-05,-5.9504187216728155e-05,1.0000595041872167
19,19000000,5.0,81.85101580135441,4,443,1559.6640902005208,962.8187088731858,0.01,-0.0015100163624801426,-0.0015100163624801426,1.0015100163624802
20,20000000,0.0,79.22727272727273,4,440,1566.517927301054,965.6034382911479,0.01,-0.001629102826398135,-0.001629102826398135,1.0016291028263982
21,21000000,149.3181818181818,79.36794582392777,176,443,1541.1615999806977,978.2656879111333,0.01,0.00192725202788009,0.00192725202788009,0.9980727479721199
22,22000000,80.39800995024876,83.27272727272727,201,440,1582.1992041944293,979.9800311171455,0.01,0.0002857601158056023,0.0002857601158056023,0.9997142398841944
23,23000000,0.0,79.63386727688787,4,437,1698.0938630905544,1010.6786134673239,0.01,-0.001629102826398135,-0.001629102826398135,1.0016291028263982
24,24000000,148.58757062146893,80.22727272727273,177,440,1665.0329108544988,1012.6431396455957,0.01,0.0019098508470970037,0.0019098508470970037,0.998090149152903
25,25000000,5.0,78.64253393665159,4,442,1639.818755846786,998.3952708654643,0.01,-0.0015100163624801426,-0.0015100163624801426,1.0015100163624802
