iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,2.857142857142857,nan,7,0,1340.1340581436054,nan,1.0,-0.014601910561624815,-0.014601910561624815,1.0146019105616249
1,1000000,5.0,76.17737003058105,4,654,1589.850405646869,736.94465539766,0.8020002475,-0.014100011710973182,-0.014100011710973182,1.014100011710973
2,2000000,40.672853828306266,74.37978560490046,431,653,1306.8610447379658,649.8922907904556,0.5545002475,-0.005744735020890909,-0.005744735020890909,1.005744735020891
3,3000000,8.0,79.22256097560975,5,656,1345.1967089701434,707.7811855003431,0.3070002475,-0.013397353320060897,-0.013397353320060897,1.0133973533200609
4,4000000,101.8941504178273,102.5585023400936,359,641,1332.895480944689,651.1935404955731,0.05950024749999997,0.008594484229494626,0.008594484229494626,0.9914055157705054
5,5000000,188.01418439716312,218.4978540772532,282,466,1319.8686156575443,711.0800966137264,0.01,0.02876547239657176,0.02876547239657176,0.9712345276034282
6,6000000,319.18552036199094,367.11484593837537,221,357,1482.02669566215,640.2990463817731,0.01,0.059488352350858635,0.059488352350858635,0.9405116476491414
7,7000000,721.1111111111111,334.98480243161094,9,329,1307.1487690376323,681.1142867205563,0.01,0.15362714863827404,0.15362714863827404,0.8463728513617259
8,8000000,243.8679245283019,418.3376623376623,212,385,1495.7951714382016,669.3531819247138,0.01,0.041847505452231384,0.041847505452231384,0.9581524945477686
9,9000000,212.7027027027027,574.8091603053435,259,393,1299.9111826102592,640.762356743988,0.01,0.03454800391209807,0.03454800391209807,0.9654519960879019
10,10000000,1071.6107382550335,730.1420454545455,149,352,1283.5720966962226,700.0292666479584,0.01,0.23572098331304217,0.23572098331304217,0.7642790166869579
11,11000000,2582.782608695652,987.7672955974842,115,318,1396.26509228955,631.6620479677889,0.01,0.5896668482716131,0.5896668482716131,0.4103331517283869
12,12000000,1004.6753246753246,909.1167192429023,154,317,1286.2536457088106,669.043705953292,0.01,0.22004340664605332,0.22004340664605332,0.7799565933539467
13,13000000,968.8617886178862,1092.7333333333333,123,300,1474.2044758008333,672.1191845188963,0.01,0.21165517943972037,0.21165517943972037,0.7883448205602797
14,14000000,1028.208092485549,883.936507936508,173,315,1336.5284420318715,635.3488478749663,0.01,0.22555523890046822,0.22555523890046822,0.7744447610995318
15,15000000,1170.2380952380952,873.495145631068,126,309,1307.3656683873571,703.4239205159523,0.01,0.25882142996559204,0.25882142996559204,0.741178570034408
16,16000000,1171.5602836879432,1161.923076923077,141,286,1397.1009225762132,637.8246077613933,0.01,0.259131112235143,0.259131112235143,0.740868887764857
17,17000000,1613.4259259259259,1390.2919708029196,108,274,1311.5771752109038,694.2364160911198,0.01,0.3626246459599311,0.3626246459599311,0.6373753540400688
18,18000000,758.993288590604,1713.3734939759036,149,249,1557.292970068987,654.5288668933031,0.01,0.16249989192893874,0.16249989192893874,0.8375001080710612
19,19000000,2287.92,2055.3543307086616,125,254,1302.4899494237106,649.4803767875187,0.01,0.5206042862161846,0.5206042862161846,0.4793957137838154
20,20000000,1743.448275862069,2210.798319327731,116,238,1336.686793474933,700.0240029515728,0.01,0.39307841102285257,0.39307841102285257,0.6069215889771474
