iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,5.0,nan,4,0,1574.869227468363,nan,1.0,-0.0015100163624801426,-0.0015100163624801426,1.0015100163624802
1,1000000,179.56521739130434,127.58620689655173,138,406,1545.7062165900793,1160.1524046097413,0.8020002475,0.002647654529961067,0.002647654529961067,0.9973523454700389
2,2000000,145.5056179775281,201.6564417177914,178,326,1551.9213991083145,1077.4081442051954,0.5545002475,0.0018364470786310795,0.0018364470786310795,0.9981635529213689
3,3000000,80.26548672566372,190.46052631578948,226,304,1558.5486897654607,1115.9479045083642,0.3070002475,0.00028260377136503373,0.00028260377136503373,0.999717396228635
4,4000000,208.25396825396825,157.72307692307692,126,325,1567.8082348143867,1124.151154941162,0.05950024749999997,0.003330942908852846,0.003330942908852846,0.9966690570911472
5,5000000,158.125,199.22535211267606,160,284,1576.7639882576223,1143.3606571850087,0.01,0.002137006595008372,0.002137006595008372,0.9978629934049916
6,6000000,468.22222222222223,305.4625550660793,90,227,1549.8639040326414,1117.353069584491,0.01,0.009522682928055633,0.009522682928055633,0.9904773170719444
7,7000000,453.48837209302326,244.8689138576779,86,267,1574.0611139110104,1138.9130043391094,0.01,0.009171762505698842,0.009171762505698842,0.9908282374943012
8,8000000,226.53061224489795,426.70588235294116,98,170,1493.0393003966587,1056.9640343539893,0.01,0.0037662430898864146,0.0037662430898864146,0.9962337569101136
9,9000000,603.0,500.7843137254902,60,153,1531.2119443872193,1068.760584395213,0.01,0.012732724722111738,0.012732724722111738,0.9872672752778883
10,10000000,216.7123287671233,411.75824175824175,146,182,1576.7563943823338,1097.8601384515998,0.01,0.003532398157663888,0.003532398157663888,0.9964676018423361
11,11000000,713.6842105263158,506.57894736842104,57,152,1578.4358887725055,1115.053184116841,0.01,0.015368922970738453,0.015368922970738453,0.9846310770292616
12,12000000,784.2105263157895,582.4817518248175,57,137,1582.4616497066786,1112.7430286526346,0.01,0.01704866888284487,0.01704866888284487,0.9829513311171552
13,13000000,623.4375,592.2302158273382,64,139,1575.9435148270002,1116.196672693495,0.01,0.013219490643376531,0.013219490643376531,0.9867805093566234
14,14000000,744.2105263157895,622.3076923076923,57,130,1572.2732383084253,1113.5011456469863,0.01,0.016095977171500932,0.016095977171500932,0.9839040228284991
15,15000000,503.8961038961039,504.87179487179486,77,156,1566.360140362652,1111.0935672387404,0.01,0.010372338212609923,0.010372338212609923,0.98962766178739
16,16000000,746.9090909090909,682.6016260162602,55,123,1574.731216648118,1115.223813294313,0.01,0.016160249674515043,0.016160249674515043,0.983839750325485
17,17000000,744.6666666666666,671.5873015873016,60,126,1583.5368142478417,1110.6841924632943,0.01,0.016106841199788186,0.016106841199788186,0.9838931588002118
18,18000000,781.4035087719299,674.9606299212599,57,127,1580.001950706987,1111.7807684401669,0.01,0.01698181332415407,0.01698181332415407,0.983018186675846
19,19000000,719.0625,678.6046511627907,64,129,1580.706066794638,1111.6606941919038,0.01,0.015497019265808135,0.015497019265808135,0.9845029807341918
20,20000000,574.0298507462686,628.2352941176471,67,136,1575.998478895971,1111.5092628434395,0.01,0.012042734195351072,0.012042734195351072,0.9879572658046489
21,21000000,634.7540983606557,686.1904761904761,61,126,1580.6289066837005,1112.7491787184974,0.01,0.01348902137984666,0.01348902137984666,0.9865109786201534
22,22000000,785.9649122807018,662.3255813953489,57,129,1575.2794465450872,1110.8145784583419,0.01,0.017090453607026622,0.017090453607026622,0.9829095463929733
23,23000000,696.6666666666666,714.8333333333334,60,120,1577.513764822315,1111.873606041805,0.01,0.01496361114617546,0.01496361114617546,0.9850363888538245
24,24000000,772.280701754386,731.3333333333334,57,120,1575.4525642431759,1117.6547231025302,0.01,0.01676453275840896,0.01676453275840896,0.983235467241591
25,25000000,568.1081081081081,707.2,74,125,1572.401967653742,1111.7487480833122,0.01,0.011901694317148884,0.011901694317148884,0.9880983056828511
26,26000000,497.3333333333333,737.5409836065573,75,122,1567.2824993215281,1114.9575109997147,0.01,0.010216030784644833,0.010216030784644833,0.9897839692153552
27,27000000,816.7272727272727,701.6,55,125,1579.0589845112281,1114.1311048205469,0.01,0.017823129752497193,0.017823129752497193,0.9821768702475028
28,28000000,794.3859649122807,707.9032258064516,57,124,1573.7174863928776,1115.8246311818805,0.01,0.017291020283099028,0.017291020283099028,0.982708979716901
29,29000000,844.0,742.6666666666666,55,120,1575.7501356792843,1112.4824480579985,0.01,0.018472692282958968,0.018472692282958968,0.981527307717041
30,30000000,788.4745762711865,711.6129032258065,59,124,1573.1475408721346,1114.3227115444142,0.01,0.017150227009076452,0.017150227009076452,0.9828497729909236
31,31000000,808.0701754385965,744.4628099173553,57,121,1561.5005996808427,1111.699557461188,0.01,0.017616941131716694,0.017616941131716694,0.9823830588682833
32,32000000,616.8571428571429,768.90756302521,70,119,1566.3936428254458,1113.8415388890253,0.01,0.01306276435068446,0.01306276435068446,0.9869372356493156
33,33000000,507.43589743589746,753.4426229508197,78,122,1574.7797494505908,1114.2326502203066,0.01,0.010456646511740676,0.010456646511740676,0.9895433534882593
34,34000000,411.8867924528302,706.060606060606,106,132,1568.0068450919014,1116.4057100681441,0.01,0.008180925503148175,0.008180925503148175,0.9918190744968518
35,35000000,763.2786885245902,729.1338582677165,61,127,1567.7068766425118,1114.2478413393605,0.01,0.016550129173673087,0.016550129173673087,0.983449870826327
36,36000000,731.1111111111111,731.1811023622047,63,127,1555.770448556572,1112.934315224239,0.01,0.015783984564277185,0.015783984564277185,0.9842160154357228
